Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Martinottiella communis,Spirosigmoilinella sp.,Spirolocammina sp.,Karreriella sp.,Pullenia bulloides,Melonis zaandamae,Globocassidulina globosa,Epistominella exigua,Cibicides kullenbergi,Cassidulina reniforme,Cibicides grossus,Cassidulina teretis,Cibicides wuellerstorfi,Bolivina arctica,Eponides umbonatus,Comment
  IR,Pliocene         ,                 ,Zone B            ,              ,151, 907,A,  7,H,CC,   8.00,     64.5200,Osterman ,Benthic Foraminifers                         ,               ,                  ,                       ,                      ,                  ,               ,+                 ,+                ,+                       ,                    ,                     ,                     ,+                ,+                  ,                       ,                ,                  ,from Leg 151IR. Ch 5. Fig. 12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pliocene         ,                 ,Zone B            ,              ,151, 907,A,  8,H, 1,  15.00,     64.4500,Osterman ,Benthic Foraminifers                         ,               ,                  ,                       ,                      ,                  ,               ,+                 ,+                ,                        ,                    ,                     ,                     ,+                ,+                  ,                       ,                ,                  ,from Leg 151IR. Ch 5. Fig. 12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Miocene     ,                 ,Zone C            ,              ,151, 907,A, 11,H, 1, 141.00,     94.2100,Osterman ,Benthic Foraminifers                         ,               ,                  ,                       ,                      ,                  ,               ,+                 ,+                ,+                       ,+                   ,+                    ,+                    ,                 ,                   ,                       ,                ,                  ,from Leg 151IR. Ch 5. Fig. 12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Miocene     ,                 ,Zone C            ,              ,151, 907,A, 11,H, 2,  14.00,     94.4400,Osterman ,Benthic Foraminifers                         ,               ,                  ,                       ,                      ,                  ,               ,+                 ,+                ,+                       ,+                   ,                     ,                     ,                 ,                   ,                       ,                ,                  ,from Leg 151IR. Ch 5. Fig. 12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Middle Miocene   ,                 ,Zone D            ,              ,151, 907,A, 11,H,CC,  20.00,    102.8400,Osterman ,Benthic Foraminifers                         ,               ,                  ,                       ,+                     ,                  ,+              ,                  ,                 ,                        ,                    ,                     ,                     ,                 ,                   ,                       ,                ,                  ,from Leg 151IR. Ch 5. Fig. 12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Middle Miocene   ,                 ,Zone D            ,              ,151, 907,A, 12,H,CC,  25.00,    112.2200,Osterman ,Benthic Foraminifers                         ,               ,                  ,+                      ,+                     ,                  ,+              ,                  ,                 ,                        ,                    ,                     ,                     ,                 ,                   ,                       ,                ,                  ,from Leg 151IR. Ch 5. Fig. 12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Middle Miocene   ,                 ,Zone D            ,              ,151, 907,A, 13,H,CC,  13.00,    121.7500,Osterman ,Benthic Foraminifers                         ,               ,                  ,+                      ,+                     ,                  ,+              ,                  ,                 ,                        ,                    ,                     ,                     ,                 ,                   ,                       ,                ,                  ,from Leg 151IR. Ch 5. Fig. 12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Middle Miocene   ,                 ,Zone D            ,              ,151, 907,A, 14,H,CC,  21.00,    131.1900,Osterman ,Benthic Foraminifers                         ,               ,                  ,+                      ,+                     ,                  ,+              ,                  ,                 ,                        ,                    ,                     ,                     ,                 ,                   ,                       ,                ,                  ,from Leg 151IR. Ch 5. Fig. 12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Middle Miocene   ,                 ,Zone D            ,              ,151, 907,A, 15,H,CC,  25.00,    140.5000,Osterman ,Benthic Foraminifers                         ,               ,                  ,+                      ,+                     ,+                 ,               ,                  ,                 ,                        ,                    ,                     ,                     ,                 ,                   ,                       ,                ,                  ,from Leg 151IR. Ch 5. Fig. 12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Middle Miocene   ,                 ,Zone D            ,              ,151, 907,A, 16,H,CC,  27.00,    150.1800,Osterman ,Benthic Foraminifers                         ,               ,                  ,+                      ,+                     ,+                 ,               ,                  ,                 ,                        ,                    ,                     ,                     ,                 ,                   ,                       ,                ,                  ,from Leg 151IR. Ch 5. Fig. 12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Middle Miocene   ,                 ,Zone D            ,              ,151, 907,A, 17,H,CC,  23.00,    159.7700,Osterman ,Benthic Foraminifers                         ,               ,                  ,+                      ,                      ,                  ,               ,                  ,                 ,                        ,                    ,                     ,                     ,                 ,                   ,                       ,                ,                  ,from Leg 151IR. Ch 5. Fig. 12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Middle Miocene   ,                 ,Zone D            ,              ,151, 907,A, 18,H,CC,  23.00,    169.1300,Osterman ,Benthic Foraminifers                         ,               ,                  ,+                      ,                      ,                  ,               ,                  ,                 ,                        ,                    ,                     ,                     ,                 ,                   ,                       ,                ,                  ,from Leg 151IR. Ch 5. Fig. 12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Middle Miocene   ,                 ,Zone D            ,              ,151, 907,A, 19,H,CC,  21.00,    178.7600,Osterman ,Benthic Foraminifers                         ,               ,                  ,+                      ,                      ,                  ,               ,                  ,                 ,                        ,                    ,                     ,                     ,                 ,                   ,                       ,                ,                  ,from Leg 151IR. Ch 5. Fig. 12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Middle Miocene   ,                 ,Zone D            ,              ,151, 907,A, 20,H,CC,  22.00,    188.1200,Osterman ,Benthic Foraminifers                         ,               ,                  ,+                      ,                      ,                  ,               ,                  ,                 ,                        ,                    ,                     ,                     ,                 ,                   ,                       ,                ,                  ,from Leg 151IR. Ch 5. Fig. 12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Middle Miocene   ,                 ,Zone D            ,              ,151, 907,A, 21,H,CC,   0.00,    197.3800,Osterman ,Benthic Foraminifers                         ,               ,                  ,+                      ,                      ,                  ,               ,                  ,                 ,                        ,                    ,                     ,                     ,                 ,                   ,                       ,                ,                  ,from Leg 151IR. Ch 5. Fig. 12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Middle Miocene   ,                 ,Zone D            ,              ,151, 907,A, 22,H,CC,   0.00,    206.8500,Osterman ,Benthic Foraminifers                         ,               ,                  ,+                      ,                      ,                  ,               ,                  ,                 ,                        ,                    ,                     ,                     ,                 ,                   ,                       ,                ,                  ,from Leg 151IR. Ch 5. Fig. 12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Middle Miocene   ,                 ,Zone D            ,              ,151, 907,A, 23,H,CC,  15.00,    216.5500,Osterman ,Benthic Foraminifers                         ,               ,                  ,+                      ,                      ,                  ,               ,                  ,                 ,                        ,                    ,                     ,                     ,                 ,                   ,                       ,                ,                  ,from Leg 151IR. Ch 5. Fig. 12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Middle Miocene   ,                 ,Zone D            ,              ,151, 907,A, 24,X,CC,  15.00,    216.4500,Osterman ,Benthic Foraminifers                         ,               ,                  ,+                      ,                      ,                  ,               ,                  ,                 ,                        ,                    ,                     ,                     ,                 ,                   ,                       ,                ,                  ,from Leg 151IR. Ch 5. Fig. 12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
