Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Sphenolithus abies,Reticulofenestra sp. (small),Coccolithus pelagicus,Helicosphaera carteri,Coccolithus sp.,Braarudosphaera bigelowii,Umbilicosphaera sibogae,Reticulofenestra pseudoumbilica,Pseudoemiliania lacunosa,Pontosphaera sp.,Pontosphaera pacifica,Gephyrocapsa sp. (small),Gephyrocapsa oceanica,Emiliania huxleyi,Coccolithus streckerii,Calcidiscus leptoporus,Gephyrocapsa caribbeanica,Triquetrorhabdulus rugosus,Comment
  SR,Quaternary       ,                 ,CN14a             ,              ,127, 795,A,  4,H,CC,  20.00,     38.2000,Rahman   ,Nannofossils                                 ,A              ,G                 ,F                 ,                            ,A                    ,R                    ,R              ,                         ,R                      ,R                              ,R                       ,R               ,M                    ,C                       ,R                    ,R                ,R                     ,R                     ,                         ,                          ,from ODP Legs 127&128 SR Chapter 11 Table 3 p 176
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,127, 795,A,  5,H, 2,  45.00,     39.7500,Rahman   ,Nannofossils                                 ,M              ,G                 ,                  ,                            ,F                    ,R                    ,R              ,M                        ,                       ,                               ,                        ,                ,                     ,                        ,                     ,                 ,                      ,                      ,                         ,                          ,from ODP Legs 127&128 SR Chapter 11 Table 3 p 176
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,127, 795,A,  8,H, 2,  80.00,     68.6000,Rahman   ,Nannofossils                                 ,F              ,P                 ,                  ,                            ,F                    ,                     ,               ,                         ,                       ,                               ,                        ,                ,                     ,                        ,                     ,                 ,                      ,                      ,                         ,                          ,from ODP Legs 127&128 SR Chapter 11 Table 3 p 176
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,127, 795,A,  8,H, 4,  80.00,     71.6000,Rahman   ,Nannofossils                                 ,R              ,P                 ,F                 ,                            ,R                    ,                     ,               ,                         ,                       ,                               ,                        ,                ,                     ,                        ,                     ,                 ,                      ,                      ,                         ,                          ,from ODP Legs 127&128 SR Chapter 11 Table 3 p 176
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,127, 795,A, 11,H, 3,  39.00,     98.1900,Rahman   ,Nannofossils                                 ,M              ,M                 ,R                 ,                            ,M                    ,R                    ,R              ,F                        ,                       ,                               ,                        ,                ,                     ,                        ,                     ,                 ,                      ,                      ,                         ,                          ,from ODP Legs 127&128 SR Chapter 11 Table 3 p 176
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,127, 795,A, 28,X,CC,  21.00,    251.3600,Rahman   ,Nannofossils                                 ,R              ,P                 ,R                 ,R                           ,R                    ,                     ,               ,                         ,                       ,                               ,                        ,                ,                     ,                        ,                     ,                 ,                      ,                      ,                         ,                          ,from ODP Legs 127&128 SR Chapter 11 Table 3 p 176
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
