Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Thoracosphaera spp.,Sphenolithus verensis,Sphenolithus moriformis,Sphenolithus grandis,Sphenolithus abies,Rhabdosphaera clavigera,Reticulofenestra pseudoumbilica,Reticulofenestra minutula,Reticulofenestra minuta,Helicosphaera carteri,Discoaster variabilis,Discoaster quinqueramus,Discoaster pentaradiatus,Discoaster pansus,Discoaster neohamatus,Discoaster calcaris,Discoaster brouweri,Discoaster berggrenii,Dictyococcites productellus,Coccolithus pelagicus,Calcidiscus tropicus,Calcidiscus leptoporus,Amaurolithus tricorniculatus,Syracosphaera pulchra,Discolithina multipora,Scapholithus fossilis,Discosphaera tubifera,Discoaster intercalaris,Oolithotus antillarum,Discoaster blackstockae,Discoaster surculus,Triquetrorhabdulus rugosus,Triquetrorhabdulus striatus,Syracosphaera lamina,Discoaster challengeri,Holodiscolithus solidus,Discolithina discopora,Discoaster asymmetricus,Amaurolithus primus,Umbilicosphaera sibogae,Discolithina japonica,Amaurolithus delicatus,Ceratolithus armatus,Syracosphaera nodosa,Ceratolithus rugosus,Ceratolithus cristatus,Hayaster perplexus,Cricosphaera quadrilaminata,Ceratolithus telesmus,Holodiscolithus macroporus,Discolithina syracusana,Discoaster triradiatus,Discoaster quadramus,Pseudoemiliania lacunosa,Gephyrocapsa spp. (small),Gephyrocapsa margerelii,Discoaster tamalis,Helicosphaera sellii,Umbilicosphaera angustiforamen,Scyphosphaera pulcherrima,Amaurolithus amplificus,Helicosphaera wallichii,Scyphosphaera globulosa,Gephyrocapsa oceanica s.l.,Gephyrocapsa caribbeanica,Gephyrocapsa oceanica (>6 microns),Cyclolithella annula,Umbellosphaera irregularis,Helicosphaera hyalina,Helicosphaera inversa,Emiliania huxleyi,Helicosphaera neogranulata,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,NN21              ,              ,124, 768,B,  2,H, 1,  37.00,      4.3700,Shyu     ,Nannofossils                                 ,               ,                  ,                   ,                     ,                       ,                    ,                  ,R                      ,                               ,                         ,                       ,R                    ,                     ,                       ,                        ,                 ,                     ,                   ,                   ,                     ,F                          ,                     ,                    ,F                     ,                            ,F                    ,                      ,R                    ,VR                   ,                       ,F                    ,                       ,                   ,                          ,                           ,VR                  ,                      ,                       ,                      ,                       ,                   ,F                      ,                     ,                      ,                    ,VR                  ,                    ,                      ,                  ,                           ,                     ,                          ,                       ,                      ,                    ,                        ,F                        ,                       ,                  ,                    ,                              ,                         ,                       ,R                      ,                       ,A                         ,                         ,                                  ,VR                  ,R                         ,                     ,VR                   ,C                ,                          ,from ODP Leg 124 SR Chapter 10 Table 4 back-pocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,NN21              ,              ,124, 768,B,  2,H, 3,  37.00,      7.3700,Shyu     ,Nannofossils                                 ,               ,                  ,                   ,                     ,                       ,                    ,                  ,F                      ,                               ,                         ,                       ,F                    ,                     ,                       ,                        ,                 ,                     ,                   ,                   ,                     ,C                          ,                     ,                    ,F                     ,                            ,F                    ,                      ,C                    ,VR                   ,                       ,                     ,                       ,                   ,                          ,                           ,VR                  ,                      ,                       ,R                     ,                       ,                   ,F                      ,R                    ,                      ,                    ,                    ,                    ,R                     ,                  ,                           ,                     ,                          ,                       ,                      ,                    ,                        ,C                        ,                       ,                  ,                    ,                              ,                         ,                       ,R                      ,                       ,A                         ,                         ,VR                                ,F                   ,R                         ,R                    ,                     ,F                ,                          ,from ODP Leg 124 SR Chapter 10 Table 4 back-pocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,NN21              ,              ,124, 768,B,  2,H, 5,  37.00,     10.3700,Shyu     ,Nannofossils                                 ,               ,                  ,R                  ,                     ,                       ,                    ,                  ,F                      ,                               ,                         ,VR                     ,F                    ,                     ,                       ,                        ,                 ,                     ,                   ,                   ,                     ,F                          ,                     ,                    ,F                     ,                            ,F                    ,                      ,F                    ,VR                   ,                       ,F                    ,                       ,                   ,                          ,                           ,VR                  ,                      ,                       ,VR                    ,                       ,                   ,F                      ,VR                   ,                      ,                    ,VR                  ,                    ,R                     ,                  ,                           ,                     ,                          ,                       ,                      ,                    ,                        ,A                        ,                       ,                  ,                    ,                              ,                         ,                       ,VR                     ,                       ,C                         ,                         ,VR                                ,R                   ,R                         ,R                    ,                     ,R                ,                          ,from ODP Leg 124 SR Chapter 10 Table 4 back-pocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,NN21              ,              ,124, 768,B,  2,H,CC,  16.00,     13.9500,Shyu     ,Nannofossils                                 ,               ,                  ,R                  ,                     ,                       ,                    ,                  ,R                      ,                               ,                         ,                       ,R                    ,                     ,                       ,                        ,                 ,                     ,                   ,                   ,                     ,F                          ,                     ,                    ,F                     ,                            ,F                    ,VR                    ,F                    ,R                    ,                       ,F                    ,                       ,                   ,                          ,                           ,VR                  ,                      ,                       ,VR                    ,                       ,                   ,F                      ,                     ,                      ,                    ,                    ,                    ,VR                    ,                  ,                           ,                     ,                          ,                       ,                      ,                    ,                        ,C                        ,                       ,                  ,                    ,                              ,                         ,                       ,VR                     ,                       ,C                         ,VR                       ,                                  ,                    ,VR                        ,F                    ,                     ,R                ,                          ,from ODP Leg 124 SR Chapter 10 Table 4 back-pocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,NN21              ,              ,124, 768,B,  3,H, 1,  38.00,     13.8800,Shyu     ,Nannofossils                                 ,               ,                  ,R                  ,                     ,                       ,                    ,                  ,R                      ,                               ,                         ,                       ,R                    ,                     ,                       ,                        ,                 ,                     ,                   ,                   ,                     ,F                          ,                     ,                    ,F                     ,                            ,F                    ,                      ,F                    ,R                    ,                       ,F                    ,                       ,                   ,                          ,                           ,R                   ,                      ,                       ,                      ,                       ,                   ,R                      ,                     ,                      ,                    ,VR                  ,                    ,VR                    ,                  ,                           ,                     ,                          ,                       ,                      ,                    ,                        ,C                        ,                       ,                  ,                    ,                              ,                         ,                       ,VR                     ,                       ,C                         ,                         ,                                  ,R                   ,F                         ,F                    ,                     ,R                ,                          ,from ODP Leg 124 SR Chapter 10 Table 4 back-pocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,NN21              ,              ,124, 768,B,  3,H, 3,  41.00,     16.9100,Shyu     ,Nannofossils                                 ,               ,                  ,R                  ,                     ,                       ,                    ,                  ,R                      ,                               ,                         ,                       ,R                    ,                     ,                       ,                        ,                 ,                     ,                   ,                   ,                     ,F                          ,                     ,                    ,F                     ,                            ,F                    ,                      ,F                    ,R                    ,                       ,F                    ,                       ,                   ,                          ,                           ,F                   ,                      ,                       ,                      ,                       ,                   ,F                      ,                     ,                      ,                    ,VR                  ,                    ,VR                    ,                  ,                           ,                     ,                          ,                       ,                      ,                    ,                        ,A                        ,                       ,                  ,                    ,                              ,                         ,                       ,VR                     ,                       ,A                         ,                         ,VR                                ,F                   ,F                         ,F                    ,                     ,F                ,                          ,from ODP Leg 124 SR Chapter 10 Table 4 back-pocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,NN21              ,              ,124, 768,B,  3,H,CC,  20.00,     23.4500,Shyu     ,Nannofossils                                 ,               ,                  ,R                  ,                     ,                       ,                    ,                  ,F                      ,                               ,                         ,                       ,F                    ,                     ,                       ,                        ,                 ,                     ,                   ,                   ,                     ,F                          ,                     ,                    ,F                     ,                            ,F                    ,                      ,R                    ,                     ,                       ,F                    ,                       ,                   ,                          ,                           ,                    ,                      ,                       ,                      ,                       ,                   ,C                      ,VR                   ,                      ,                    ,                    ,                    ,R                     ,                  ,                           ,                     ,                          ,                       ,                      ,                    ,                        ,A                        ,                       ,                  ,                    ,                              ,                         ,                       ,R                      ,                       ,A                         ,                         ,VR                                ,R                   ,R                         ,R                    ,VR                   ,R                ,                          ,from ODP Leg 124 SR Chapter 10 Table 4 back-pocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,NN21              ,              ,124, 768,B,  4,H, 1,  23.00,     23.2300,Shyu     ,Nannofossils                                 ,               ,                  ,R                  ,                     ,                       ,                    ,                  ,VR                     ,                               ,                         ,R                      ,F                    ,                     ,                       ,                        ,                 ,                     ,                   ,                   ,                     ,                           ,                     ,                    ,F                     ,                            ,F                    ,                      ,F                    ,VR                   ,                       ,F                    ,                       ,                   ,                          ,                           ,VR                  ,                      ,                       ,                      ,                       ,                   ,F                      ,                     ,                      ,                    ,                    ,                    ,R                     ,                  ,                           ,                     ,                          ,                       ,                      ,                    ,                        ,C                        ,                       ,                  ,                    ,                              ,                         ,                       ,VR                     ,                       ,A                         ,                         ,VR                                ,R                   ,VR                        ,R                    ,                     ,R                ,                          ,from ODP Leg 124 SR Chapter 10 Table 4 back-pocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,NN21              ,              ,124, 768,B,  4,H, 3,  23.00,     26.2300,Shyu     ,Nannofossils                                 ,               ,                  ,                   ,                     ,                       ,                    ,                  ,F                      ,                               ,                         ,                       ,F                    ,                     ,                       ,                        ,                 ,                     ,                   ,                   ,                     ,F                          ,                     ,                    ,                      ,                            ,F                    ,                      ,F                    ,VR                   ,                       ,                     ,                       ,                   ,                          ,                           ,R                   ,                      ,                       ,VR                    ,                       ,                   ,                       ,                     ,                      ,                    ,                    ,                    ,VR                    ,                  ,                           ,                     ,                          ,                       ,                      ,                    ,                        ,C                        ,VR                     ,                  ,                    ,                              ,F                        ,                       ,R                      ,                       ,A                         ,                         ,                                  ,R                   ,                          ,VR                   ,VR                   ,R                ,R                         ,from ODP Leg 124 SR Chapter 10 Table 4 back-pocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,NN21              ,              ,124, 768,B,  4,H, 5,  23.00,     29.2300,Shyu     ,Nannofossils                                 ,               ,                  ,R                  ,                     ,                       ,                    ,                  ,F                      ,                               ,                         ,                       ,F                    ,                     ,                       ,                        ,                 ,                     ,                   ,                   ,                     ,                           ,                     ,                    ,F                     ,                            ,R                    ,                      ,F                    ,VR                   ,                       ,                     ,                       ,                   ,                          ,                           ,R                   ,                      ,                       ,                      ,                       ,                   ,F                      ,                     ,                      ,                    ,VR                  ,                    ,                      ,                  ,                           ,                     ,                          ,                       ,                      ,                    ,                        ,C                        ,                       ,                  ,                    ,                              ,                         ,                       ,VR                     ,                       ,A                         ,                         ,                                  ,VR                  ,VR                        ,R                    ,R                    ,F                ,                          ,from ODP Leg 124 SR Chapter 10 Table 4 back-pocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,NN20              ,              ,124, 768,B,  4,H, 6,  23.00,     30.7300,Shyu     ,Nannofossils                                 ,               ,                  ,F                  ,                     ,                       ,                    ,                  ,F                      ,                               ,                         ,                       ,F                    ,                     ,                       ,                        ,                 ,                     ,                   ,                   ,                     ,F                          ,                     ,                    ,F                     ,                            ,F                    ,                      ,R                    ,R                    ,                       ,F                    ,                       ,                   ,                          ,                           ,F                   ,                      ,                       ,                      ,                       ,                   ,F                      ,                     ,                      ,                    ,VR                  ,                    ,VR                    ,                  ,                           ,                     ,                          ,                       ,                      ,                    ,                        ,A                        ,                       ,                  ,                    ,                              ,                         ,                       ,VR                     ,                       ,A                         ,                         ,VR                                ,R                   ,R                         ,R                    ,F                    ,                 ,                          ,from ODP Leg 124 SR Chapter 10 Table 4 back-pocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,NN20              ,              ,124, 768,B,  4,H,CC,  22.00,     33.1200,Shyu     ,Nannofossils                                 ,               ,                  ,F                  ,                     ,                       ,                    ,                  ,F                      ,                               ,                         ,R                      ,F                    ,                     ,                       ,                        ,                 ,                     ,                   ,                   ,                     ,F                          ,                     ,                    ,F                     ,                            ,F                    ,                      ,F                    ,VR                   ,                       ,R                    ,                       ,                   ,                          ,                           ,VR                  ,                      ,                       ,                      ,                       ,                   ,F                      ,F                    ,                      ,                    ,R                   ,                    ,R                     ,                  ,                           ,VR                   ,                          ,VR                     ,                      ,                    ,                        ,C                        ,                       ,                  ,                    ,                              ,                         ,                       ,F                      ,                       ,A                         ,                         ,VR                                ,F                   ,R                         ,F                    ,VR                   ,                 ,                          ,from ODP Leg 124 SR Chapter 10 Table 4 back-pocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,NN20              ,              ,124, 768,B,  5,H, 1,  49.00,     32.9900,Shyu     ,Nannofossils                                 ,               ,                  ,R                  ,                     ,                       ,                    ,                  ,R                      ,                               ,                         ,                       ,F                    ,                     ,                       ,                        ,                 ,                     ,                   ,                   ,                     ,F                          ,                     ,                    ,F                     ,                            ,F                    ,                      ,F                    ,                     ,                       ,F                    ,                       ,                   ,                          ,                           ,VR                  ,                      ,                       ,VR                    ,                       ,                   ,F                      ,R                    ,                      ,                    ,                    ,                    ,R                     ,                  ,                           ,                     ,                          ,                       ,                      ,                    ,                        ,A                        ,                       ,                  ,                    ,                              ,                         ,                       ,VR                     ,                       ,A                         ,                         ,VR                                ,R                   ,R                         ,VR                   ,                     ,                 ,                          ,from ODP Leg 124 SR Chapter 10 Table 4 back-pocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,NN20              ,              ,124, 768,B,  5,H, 2,  40.00,     34.4000,Shyu     ,Nannofossils                                 ,               ,                  ,R                  ,                     ,                       ,                    ,                  ,                       ,                               ,                         ,R                      ,F                    ,                     ,                       ,                        ,                 ,                     ,                   ,                   ,                     ,C                          ,                     ,                    ,F                     ,                            ,F                    ,                      ,R                    ,VR                   ,                       ,F                    ,                       ,                   ,                          ,                           ,                    ,                      ,                       ,VR                    ,                       ,                   ,F                      ,R                    ,                      ,                    ,                    ,                    ,                      ,                  ,                           ,                     ,                          ,                       ,                      ,                    ,                        ,A                        ,VR                     ,                  ,                    ,                              ,                         ,                       ,R                      ,                       ,A                         ,R                        ,                                  ,VR                  ,VR                        ,VR                   ,                     ,                 ,                          ,from ODP Leg 124 SR Chapter 10 Table 4 back-pocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,NN20              ,              ,124, 768,B,  5,H, 3,  76.00,     36.2600,Shyu     ,Nannofossils                                 ,               ,                  ,F                  ,                     ,                       ,                    ,                  ,R                      ,                               ,                         ,                       ,F                    ,                     ,                       ,                        ,                 ,                     ,                   ,                   ,                     ,C                          ,                     ,                    ,C                     ,                            ,F                    ,                      ,F                    ,                     ,                       ,F                    ,                       ,                   ,                          ,                           ,R                   ,                      ,                       ,VR                    ,                       ,                   ,F                      ,                     ,                      ,                    ,                    ,                    ,                      ,                  ,                           ,                     ,VR                        ,                       ,                      ,                    ,                        ,C                        ,R                      ,                  ,                    ,                              ,                         ,                       ,VR                     ,                       ,A                         ,R                        ,VR                                ,VR                  ,R                         ,R                    ,VR                   ,                 ,                          ,from ODP Leg 124 SR Chapter 10 Table 4 back-pocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,NN20              ,              ,124, 768,B,  5,H, 5,  71.00,     39.2100,Shyu     ,Nannofossils                                 ,               ,                  ,R                  ,                     ,                       ,                    ,                  ,R                      ,                               ,                         ,                       ,F                    ,                     ,                       ,                        ,                 ,                     ,                   ,                   ,                     ,C                          ,                     ,                    ,                      ,                            ,R                    ,                      ,F                    ,VR                   ,                       ,F                    ,                       ,                   ,                          ,                           ,VR                  ,                      ,                       ,VR                    ,                       ,                   ,F                      ,                     ,                      ,                    ,                    ,                    ,VR                    ,                  ,                           ,                     ,                          ,                       ,                      ,                    ,                        ,C                        ,R                      ,                  ,                    ,                              ,                         ,                       ,VR                     ,                       ,A                         ,VR                       ,VR                                ,VR                  ,R                         ,R                    ,VR                   ,                 ,                          ,from ODP Leg 124 SR Chapter 10 Table 4 back-pocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,NN20              ,              ,124, 768,B,  5,H,CC,  10.00,     42.1700,Shyu     ,Nannofossils                                 ,               ,                  ,F                  ,                     ,                       ,                    ,                  ,R                      ,                               ,VR                       ,VR                     ,F                    ,                     ,                       ,                        ,                 ,                     ,                   ,                   ,                     ,C                          ,VR                   ,                    ,F                     ,                            ,F                    ,                      ,F                    ,                     ,                       ,F                    ,                       ,                   ,                          ,                           ,R                   ,                      ,                       ,                      ,                       ,                   ,F                      ,VR                   ,                      ,                    ,                    ,                    ,                      ,                  ,                           ,                     ,                          ,                       ,                      ,                    ,                        ,C                        ,R                      ,                  ,                    ,                              ,                         ,                       ,VR                     ,                       ,A                         ,VR                       ,VR                                ,VR                  ,R                         ,R                    ,VR                   ,                 ,                          ,from ODP Leg 124 SR Chapter 10 Table 4 back-pocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,NN20              ,              ,124, 768,B,  6,H, 1,  55.00,     42.5500,Shyu     ,Nannofossils                                 ,               ,                  ,R                  ,                     ,                       ,                    ,                  ,R                      ,                               ,                         ,                       ,F                    ,                     ,                       ,                        ,                 ,                     ,                   ,                   ,                     ,C                          ,VR                   ,                    ,F                     ,                            ,F                    ,                      ,F                    ,VR                   ,                       ,F                    ,                       ,                   ,                          ,                           ,F                   ,                      ,                       ,                      ,                       ,                   ,F                      ,                     ,                      ,                    ,                    ,                    ,VR                    ,                  ,                           ,                     ,                          ,                       ,                      ,                    ,                        ,A                        ,                       ,                  ,                    ,                              ,                         ,                       ,VR                     ,                       ,A                         ,                         ,                                  ,R                   ,                          ,R                    ,VR                   ,                 ,                          ,from ODP Leg 124 SR Chapter 10 Table 4 back-pocket
