Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Distephanus speculum f. speculum	Distephanus speculum	Actiniscus pentasterias	Distephanus bioctonarius	Dictyocha fibula	Ebria tripartita (large triodes)	Ammodochium sp. (small triodes)	Ammodochium serotinum	Distephanus aculeata	Dictyocha perlaevis	Ebria tripartita	Dictyocha varia	Dictyocha messanensis stapedia	Dictyocha messanensis messanensis	Dictyocha messanensis (total)	Dictyocha messanensis aculeata	Comment
  SR	Quaternary       	                 	Ds. speculum      	              	141	 860	B	  7	H	 4	  60.00	     54.0000	Locker   	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                                	                    	R                      	                        	                	                                	                               	                     	                    	                   	                	               	                              	                                 	                             	                              	silicoflagellate fragments noted. from 141 SR; Ch 16; Table 1; p 226-227

  SR	                 	                 	                  	              	141	 860	B	 12	X	 3	 100.00	     91.7000	Locker   	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	R                               	R                   	                       	                        	                	                                	                               	                     	                    	                   	                	               	                              	                                 	                             	                              	from 141 SR; Ch 16; Table 1; p 226-227

  SR	Quaternary       	                 	Ds. speculum      	              	141	 860	B	 15	X	 3	 100.00	    111.2000	Locker   	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	R                               	R                   	R                      	                        	rT              	                                	                               	                     	                    	                   	                	               	                              	R                                	R                            	                              	from 141 SR; Ch 16; Table 1; p 226-227

  SR	                 	                 	                  	              	141	 860	B	 17	X	CC	  18.00	    133.8800	Locker   	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                                	                    	R                      	                        	                	                                	                               	                     	                    	                   	                	               	                              	                                 	                             	                              	from 141 SR; Ch 16; Table 1; p 226-227

  SR	Quaternary       	                 	Ds. speculum      	              	141	 860	B	 19	X	 3	 100.00	    141.1000	Locker   	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	R                               	R                   	R                      	                        	T               	R                               	                               	                     	                    	T                  	R               	rT             	R                             	R                                	R                            	                              	from 141 SR; Ch 16; Table 1; p 226-227

  SR	Quaternary       	                 	Ds. speculum      	              	141	 860	B	 20	X	 1	 127.00	    147.0700	Locker   	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	F                               	F                   	R                      	                        	rT              	                                	                               	                     	                    	R                  	                	               	                              	                                 	                             	                              	from 141 SR; Ch 16; Table 1; p 226-227

  SR	Pliocene         	                 	Ds. aculeatus     	              	141	 860	B	 21	X	 1	  72.00	    156.2200	Locker   	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	R                               	R                   	T                      	                        	                	                                	                               	                     	T                   	                   	                	               	                              	                                 	                             	                              	from 141 SR; Ch 16; Table 1; p 226-227

  SR	Pliocene         	                 	Ds. aculeatus     	              	141	 860	B	 22	X	 2	 103.00	    167.6300	Locker   	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	F                               	F                   	R                      	                        	                	R                               	T                              	R                    	                    	                   	                	               	                              	                                 	                             	                              	from 141 SR; Ch 16; Table 1; p 226-227

  SR	                 	                 	                  	              	141	 860	B	 31	X	 3	   6.00	    254.9600	Locker   	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                                	                    	R                      	                        	                	                                	                               	                     	                    	                   	                	               	                              	                                 	                             	                              	silicoflagellate fragments noted. from 141 SR; Ch 16; Table 1; p 226-227

  SR	                 	                 	                  	              	141	 860	B	 32	X	 1	  27.00	    261.8700	Locker   	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	R                               	R                   	R                      	R                       	rT              	                                	                               	                     	                    	                   	                	               	                              	                                 	                             	                              	from 141 SR; Ch 16; Table 1; p 226-227

  SR	                 	                 	                  	              	141	 860	B	 36	X	 3	  91.00	    304.0100	Locker   	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                                	                    	R                      	                        	                	                                	                               	                     	                    	                   	                	               	                              	                                 	                             	                              	from 141 SR; Ch 16; Table 1; p 226-227

  SR	                 	                 	                  	              	141	 860	B	 37	X	 3	  98.00	    313.7800	Locker   	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	R                               	R                   	R                      	                        	                	                                	                               	                     	                    	                   	                	               	                              	                                 	                             	                              	from 141 SR; Ch 16; Table 1; p 226-227

