Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Sphenolithus spp.,Reticulofenestra umbilica,Pseudoemiliania lacunosa,Discoaster tamalis,Discoaster surculus,Discoaster pentaradiatus,Discoaster brouweri,Discoaster asymmetricus,Discoaster variabilis,Helicosphaera sellii,Discoaster triradiatus,Discoaster intercalaris,Coccolithus pelagicus,Ceratolithus cristatus,Calcidiscus macintyrei,Calcidiscus leptoporus,Helicosphaera inversa,Helicosphaera wallichii,Discoaster neorectus,Reticulofenestra asanoi,Helicosphaera carteri,Gephyrocapsa spp. medium,Gephyrocapsa spp. (small),Gephyrocapsa spp. (large),Gephyrocapsa sp.3 medium,Pontosphaera spp.,Florisphaera profunda,Emiliania huxleyi,Comment
  IR,                 ,                 ,                  ,              ,172,1063,A,  5,H,CC,   0.00,     43.1200,Raffi    ,Nannofossils                                 ,A              ,M                 ,                 ,                         ,                        ,                  ,                   ,                        ,                   ,                       ,                     ,                    ,                      ,                       ,A                    ,F                     ,                      ,A                     ,                     ,                       ,                    ,                       ,F                    ,F                       ,C                        ,                         ,                        ,                 ,                     ,-                ,> 0.26  < 0.46 - (A) diatoms -
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1063,A,  6,H,CC,   7.00,     52.7600,Raffi    ,Nannofossils                                 ,A              ,G                 ,                 ,                         ,1                       ,                  ,                   ,                        ,                   ,                       ,                     ,                    ,                      ,                       ,C                    ,R                     ,                      ,C                     ,                     ,                       ,                    ,                       ,A                    ,A                       ,A                        ,                         ,A                       ,                 ,                     ,                 ,> 0.26  < 0.46 - no diatoms
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1063,A,  7,H,CC,   0.00,     62.3000,Raffi    ,Nannofossils                                 ,A              ,M                 ,                 ,                         ,-                       ,                  ,                   ,                        ,                   ,                       ,                     ,                    ,                      ,                       ,F                    ,R                     ,                      ,C                     ,                     ,                       ,                    ,                       ,F                    ,A                       ,A                        ,                         ,                        ,                 ,                     ,                 ,> 0.26  < 0.46 - (A) diatoms
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1063,A,  8,H,CC,   0.00,     71.8500,Raffi    ,Nannofossils                                 ,A              ,G                 ,                 ,                         ,1                       ,                  ,                   ,                        ,                   ,                       ,                     ,                    ,                      ,                       ,F                    ,                      ,                      ,C                     ,                     ,                       ,                    ,                       ,F                    ,F                       ,D                        ,                         ,F                       ,                 ,                     ,                 ,> 0.26  < 0.46  -  (A) diatoms
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1063,A,  9,H,CC,   0.00,     81.2700,Raffi    ,Nannofossils                                 ,A              ,G                 ,                 ,                         ,-                       ,                  ,                   ,                        ,                   ,                       ,                     ,F                   ,                      ,                       ,F                    ,R                     ,                      ,R                     ,R                    ,                       ,                    ,                       ,F                    ,A                       ,A                        ,                         ,                        ,                 ,                     ,                 ,> 0.26  < 0.46 - (R) diatom frags
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,              ,172,1063,A, 10,H, 4,  65.00,     86.4500,Raffi    ,Nannofossils                                 ,F              ,M                 ,                 ,                         ,-                       ,                  ,                   ,                        ,                   ,                       ,                     ,                    ,                      ,                       ,                     ,                      ,                      ,                      ,                     ,                       ,                    ,                       ,                     ,F                       ,R                        ,                         ,                        ,                 ,                     ,                 ,"abun. clay minerals, Diatom fragments. Age:>0.26 <046"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,              ,172,1063,A, 10,H, 6,  39.00,     89.1900,Raffi    ,Nannofossils                                 ,C              ,M                 ,                 ,                         ,-                       ,                  ,                   ,                        ,                   ,                       ,                     ,                    ,                      ,                       ,                     ,                      ,                      ,                      ,                     ,                       ,                    ,                       ,                     ,C                       ,F                        ,                         ,                        ,                 ,                     ,                 ,"Age: >0.26 <0.46 Ma, abund. clay minerals"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,              ,172,1063,A, 11,H, 3,  39.00,     94.1900,Raffi    ,Nannofossils                                 ,A              ,G                 ,                 ,                         ,-                       ,                  ,                   ,                        ,                   ,                       ,                     ,                    ,                      ,                       ,                     ,                      ,                      ,                      ,                     ,                       ,                    ,                       ,                     ,A                       ,C                        ,                         ,                        ,                 ,                     ,                 ,Age:>0.26 <0.46 Ma
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,              ,172,1063,A, 11,H, 3,  65.00,     94.4500,Raffi    ,Nannofossils                                 ,C              ,M                 ,                 ,                         ,-                       ,                  ,                   ,                        ,                   ,                       ,                     ,                    ,                      ,                       ,                     ,                      ,                      ,                      ,                     ,                       ,                    ,                       ,                     ,F                       ,                         ,                         ,                        ,                 ,                     ,                 ,strong dissolution and dilution by terrigenous input. Abundant Diatoms Age: >0.26 <0.46
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,              ,172,1063,A, 11,H,CC,   0.00,    100.2700,Raffi    ,Nannofossils                                 ,A              ,G                 ,                 ,                         ,A                       ,                  ,                   ,                        ,                   ,                       ,                     ,                    ,                      ,                       ,                     ,                      ,                      ,R                     ,                     ,F                      ,                    ,                       ,                     ,A                       ,A                        ,                         ,                        ,                 ,C                    ,                 ,age: >0.46 <1.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,              ,172,1063,A, 12,H,CC,   0.00,    109.9400,Raffi    ,Nannofossils                                 ,A              ,G                 ,                 ,                         ,A                       ,                  ,                   ,                        ,                   ,                       ,                     ,                    ,                      ,                       ,R                    ,                      ,                      ,A                     ,                     ,C                      ,                    ,                       ,                     ,A                       ,                         ,                         ,C                       ,                 ,C                    ,                 ,age: >0.46 <1.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1063,A, 13,H,CC,  39.00,    118.6400,Raffi    ,Nannofossils                                 ,A              ,G                 ,                 ,                         ,A                       ,                  ,                   ,                        ,                   ,                       ,                     ,                    ,                      ,                       ,                     ,                      ,                      ,                      ,                     ,+                      ,                    ,                       ,+                    ,A                       ,A                        ,                         ,A                       ,                 ,R                    ,                 ,age: >0.46  <1.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,              ,172,1063,A, 14,H,CC,   0.00,    128.6600,Raffi    ,Nannofossils                                 ,A              ,G                 ,                 ,                         ,A                       ,r                 ,                   ,                        ,                   ,                       ,                     ,                    ,                      ,                       ,                     ,                      ,                      ,C                     ,                     ,A                      ,                    ,                       ,C                    ,A                       ,A                        ,                         ,A                       ,A                ,C                    ,                 ,age:>0.46  <1.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,              ,172,1063,A, 15,H, 3, 114.00,    132.5900,Raffi    ,Nannofossils                                 ,A              ,G                 ,                 ,                         ,R                       ,                  ,                   ,                        ,                   ,                       ,                     ,                    ,                      ,                       ,                     ,                      ,                      ,                      ,                     ,                       ,                    ,                       ,                     ,C                       ,C                        ,                         ,                        ,                 ,                     ,                 ,age: >0.46 <1.0 Ma;abundant Diatoms and clay minerals
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,              ,172,1063,A, 15,H,CC,  11.00,    138.0300,Raffi    ,Nannofossils                                 ,A              ,G                 ,                 ,r                        ,A                       ,                  ,                   ,                        ,                   ,                       ,                     ,                    ,                      ,                       ,                     ,                      ,                      ,A                     ,                     ,A                      ,                    ,                       ,C                    ,A                       ,A                        ,                         ,A                       ,                 ,F                    ,                 ,age: >0.46  <1.0 Ma
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,              ,172,1063,A, 16,H,CC,   0.00,    147.9900,Raffi    ,Nannofossils                                 ,A              ,G                 ,                 ,                         ,A                       ,                  ,                   ,                        ,                   ,                       ,                     ,                    ,                      ,                       ,                     ,                      ,                      ,+                     ,                     ,A                      ,                    ,                       ,+                    ,A                       ,D                        ,                         ,A                       ,                 ,                     ,                 ,NO SEDIMENT IN CC - DATA FROM BOTTOM CORE 16
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1063,A, 17,H,CC,  19.00,    155.9000,Raffi    ,Nannofossils                                 ,A              ,M                 ,                 ,                         ,A                       ,                  ,                   ,                        ,+                  ,                       ,                     ,                    ,                      ,                       ,                     ,                      ,                      ,                      ,                     ,                       ,                    ,                       ,                     ,C                       ,C                        ,                         ,                        ,                 ,R                    ,                 ,"slight dissolution, abun clay miner."
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,              ,172,1063,A, 18,H,CC,   0.00,    166.7500,Raffi    ,Nannofossils                                 ,A              ,M                 ,                 ,                         ,A                       ,                  ,                   ,                        ,                   ,                       ,                     ,                    ,                      ,                       ,                     ,                      ,                      ,                      ,                     ,                       ,                    ,A                      ,                     ,C                       ,R                        ,                         ,                        ,                 ,+                    ,                 ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,              ,172,1063,A, 19,H,CC,  17.00,    176.3200,Raffi    ,Nannofossils                                 ,A              ,G                 ,                 ,                         ,A                       ,                  ,                   ,                        ,                   ,                       ,                     ,                    ,                      ,                       ,                     ,                      ,                      ,                      ,                     ,                       ,                    ,A                      ,                     ,F                       ,C                        ,                         ,                        ,                 ,                     ,                 ,Age: >0.46 <1.0 Ma
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1063,A, 20,H,CC,  12.00,    186.0300,Raffi    ,Nannofossils                                 ,T              ,P                 ,                 ,                         ,                        ,                  ,                   ,                        ,                   ,                       ,                     ,                    ,                      ,                       ,                     ,                      ,                      ,                      ,                     ,                       ,                    ,2                      ,                     ,                        ,                         ,                         ,                        ,                 ,                     ,                 ,almost barren
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1063,A, 21,H,CC,  12.00,    195.6000,Raffi    ,Nannofossils                                 ,F              ,P                 ,                 ,                         ,A                       ,                  ,                   ,                        ,                   ,                       ,                     ,                    ,                      ,                       ,                     ,                      ,                      ,                      ,                     ,                       ,                    ,                       ,                     ,-                       ,R                        ,                         ,                        ,                 ,                     ,                 ,"nannos rare and etched, abun clay minerals > 1.0  < 1.24"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1063,A, 22,H,CC,  10.00,    201.3500,Raffi    ,Nannofossils                                 ,A              ,G                 ,                 ,                         ,A                       ,                  ,                   ,                        ,                   ,                       ,                     ,                    ,                      ,                       ,                     ,                      ,                      ,A                     ,                     ,A                      ,                    ,A                      ,                     ,-                       ,A                        ,-                        ,-                       ,A                ,                     ,                 ,> 1.0  < 1.24 -
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1063,A, 23,X,CC,  26.00,    209.1600,Raffi    ,Nannofossils                                 ,C              ,M                 ,                 ,                         ,C                       ,                  ,                   ,                        ,                   ,                       ,                     ,                    ,                      ,                       ,                     ,                      ,                      ,F                     ,                     ,                       ,                    ,C                      ,R                    ,                        ,F                        ,                         ,                        ,                 ,                     ,                 ,> 1.0  < 1.24 - quite dissolved
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1063,A, 24,X,CC,  25.00,    217.4000,Raffi    ,Nannofossils                                 ,A              ,VG                ,                 ,                         ,A                       ,                  ,                   ,                        ,                   ,                       ,                     ,-                   ,                      ,                       ,F                    ,                      ,                      ,A                     ,                     ,                       ,                    ,A                      ,F                    ,C                       ,A                        ,F                        ,                        ,                 ,                     ,                 ,> 1.24  < 1.58
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1063,A, 25,X,CC,  35.00,    226.6600,Raffi    ,Nannofossils                                 ,C              ,P                 ,                 ,                         ,A                       ,                  ,                   ,                        ,                   ,                       ,                     ,                    ,                      ,                       ,                     ,                      ,                      ,C                     ,                     ,                       ,                    ,C                      ,                     ,F                       ,                         ,4                        ,                        ,                 ,                     ,                 ,~ 1.58 - dissolved
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1063,A, 26,X,CC,  37.00,    236.4400,Raffi    ,Nannofossils                                 ,C              ,P                 ,                 ,                         ,A                       ,                  ,                   ,                        ,                   ,                       ,                     ,                    ,                      ,                       ,                     ,                      ,                      ,A                     ,                     ,                       ,                    ,                       ,R                    ,A                       ,                         ,1                        ,                        ,                 ,                     ,                 ,> 1.58  < 1.69
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1063,A, 27,X,CC,  24.00,    245.7500,Raffi    ,Nannofossils                                 ,A              ,G                 ,                 ,                         ,A                       ,                  ,                   ,                        ,                   ,                       ,                     ,                    ,                      ,                       ,A                    ,F                     ,                      ,A                     ,                     ,                       ,                    ,C                      ,F                    ,A                       ,A                        ,-                        ,F                       ,                 ,                     ,                 ,> 1.58  < 1.69
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1063,A, 28,X,CC,  60.00,    255.6000,Raffi    ,Nannofossils                                 ,A              ,M                 ,                 ,                         ,A                       ,                  ,                   ,                        ,                   ,                       ,                     ,R                   ,                      ,                       ,                     ,R                     ,                      ,C                     ,                     ,R                      ,                    ,C                      ,F                    ,F                       ,F                        ,                         ,                        ,                 ,                     ,                 ,> 1.58  < 1.69
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1063,A, 29,X,CC,  25.00,    264.9500,Raffi    ,Nannofossils                                 ,A              ,G                 ,                 ,                         ,A                       ,                  ,                   ,                        ,                   ,                       ,                     ,F                   ,                      ,                       ,R                    ,                      ,C                     ,F                     ,                     ,R                      ,                    ,D                      ,A                    ,-                       ,A                        ,                         ,                        ,                 ,                     ,                 ,> 1.69  < 1.95
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1063,A, 30,X,CC,  36.00,    274.5400,Raffi    ,Nannofossils                                 ,A              ,G                 ,                 ,                         ,A                       ,                  ,                   ,                        ,-                  ,                       ,                     ,                    ,                      ,                       ,R                    ,F                     ,A                     ,A                     ,                     ,F                      ,                    ,A                      ,                     ,                        ,                         ,                         ,                        ,                 ,                     ,                 ,> 1.69  < 1.95
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1063,A, 31,X,CC,  25.00,    284.2800,Raffi    ,Nannofossils                                 ,A              ,G                 ,                 ,                         ,A                       ,                  ,                   ,1                       ,F                  ,                       ,                     ,F                   ,R                     ,                       ,F                    ,                      ,A                     ,A                     ,                     ,R                      ,                    ,                       ,                     ,                        ,                         ,                         ,                        ,                 ,                     ,                 ,> 1.95  < 2.15
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1063,A, 32,X,CC,  50.00,    293.5200,Raffi    ,Nannofossils                                 ,A              ,G                 ,                 ,                         ,                        ,                  ,                   ,                        ,14                 ,                       ,                     ,                    ,3                     ,                       ,                     ,                      ,C                     ,                      ,                     ,                       ,                    ,                       ,                     ,                        ,                         ,                         ,                        ,                 ,                     ,                 ,> 1.95   < 2.15
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1063,A, 33,X,CC,  34.00,    303.3700,Raffi    ,Nannofossils                                 ,A              ,G                 ,                 ,                         ,+                       ,                  ,                   ,                        ,6                  ,                       ,                     ,                    ,1                     ,                       ,                     ,                      ,                      ,                      ,                     ,                       ,                    ,                       ,                     ,                        ,                         ,                         ,                        ,                 ,                     ,                 ,> (1.95) 2.15   < 2.52 - abundant clay
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1063,A, 34,X,CC,  61.00,    313.1100,Raffi    ,Nannofossils                                 ,C              ,M                 ,                 ,                         ,                        ,                  ,                   ,-                       ,10                 ,                       ,                     ,                    ,                      ,                       ,                     ,                      ,                      ,                      ,                     ,                       ,                    ,                       ,                     ,                        ,                         ,                         ,                        ,                 ,                     ,                 ,> 2.15   < 2.52 - dissolution and dilution
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1063,A, 35,X,CC,   9.00,    322.6400,Raffi    ,Nannofossils                                 ,               ,                  ,                 ,                         ,A                       ,                  ,2                  ,1                       ,C10                ,                       ,                     ,                    ,                      ,                       ,                     ,                      ,                      ,                      ,                     ,                       ,                    ,                       ,                     ,                        ,                         ,                         ,                        ,                 ,                     ,                 ,> 2.15   < 2.52   discos very rare!
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1063,A, 36,X,CC,  31.00,    331.4400,Raffi    ,Nannofossils                                 ,C              ,M                 ,                 ,                         ,                        ,                  ,+                  ,4                       ,10                 ,                       ,                     ,                    ,                      ,                       ,                     ,                      ,                      ,                      ,                     ,                       ,                    ,                       ,                     ,                        ,                         ,                         ,                        ,                 ,                     ,                 ,> 2.15  < 2.5 - discos very rare
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1063,A, 37,X,CC,   0.00,    341.4500,Raffi    ,Nannofossils                                 ,F              ,M                 ,                 ,                         ,                        ,                  ,                   ,                        ,6                  ,                       ,                     ,                    ,                      ,                       ,                     ,                      ,                      ,                      ,                     ,                       ,                    ,                       ,                     ,                        ,                         ,                         ,                        ,                 ,                     ,                 ,"dilution - disco's very rare, almost absent"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1063,A, 38,X,CC,  28.00,    349.2000,Raffi    ,Nannofossils                                 ,A              ,G                 ,                 ,                         ,                        ,-                 ,F                  ,F                       ,C                  ,                       ,                     ,                    ,+                     ,+                      ,                     ,                      ,                      ,                      ,                     ,                       ,+                   ,                       ,                     ,                        ,                         ,                         ,                        ,                 ,                     ,                 ,> 2.15   < 2.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1063,A, 39,X,CC,  13.00,    353.7300,Raffi    ,Nannofossils                                 ,               ,                  ,                 ,                         ,A                       ,-                 ,C                  ,C                       ,F                  ,                       ,                     ,                    ,R                     ,                       ,F                    ,R                     ,F                     ,C                     ,                     ,                       ,                    ,                       ,                     ,                        ,                         ,                         ,                        ,                 ,                     ,                 ,> 2.53   < 2.83
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1063,A, 40,X,CC,  20.00,    369.3200,Raffi    ,Nannofossils                                 ,               ,                  ,                 ,                         ,A                       ,F                 ,C                  ,C                       ,F                  ,                       ,                     ,                    ,                      ,                       ,                     ,                      ,F                     ,A                     ,                     ,                       ,                    ,                       ,                     ,                        ,                         ,                         ,                        ,                 ,                     ,                 ,~ 2.83
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1063,A, 41,X,CC,  30.00,    375.5600,Raffi    ,Nannofossils                                 ,A              ,G                 ,                 ,                         ,A                       ,F                 ,F                  ,A                       ,F                  ,                       ,                     ,F                   ,                      ,                       ,A                    ,                      ,C                     ,A                     ,R                    ,R                      ,                    ,                       ,                     ,                        ,                         ,                         ,                        ,                 ,                     ,                 ,> 2.83  < 3.66
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1063,A, 42,X,CC,  23.00,    387.1000,Raffi    ,Nannofossils                                 ,A              ,G                 ,                 ,                         ,A                       ,F                 ,F                  ,F                       ,C                  ,                       ,                     ,R                   ,                      ,                       ,A                    ,R                     ,A                     ,A                     ,R                    ,                       ,                    ,                       ,                     ,                        ,                         ,                         ,                        ,                 ,                     ,                 ,> 2.83  < 3.66
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Pliocene  ,                  ,              ,172,1063,A, 43,X,CC,   0.00,    398.7800,Raffi    ,Nannofossils                                 ,A              ,G                 ,-                ,-                        ,A                       ,A                 ,A                  ,A                       ,C                  ,+                      ,                     ,F                   ,R                     ,F                      ,A                    ,+                     ,A                     ,A                     ,                     ,                       ,                    ,                       ,                     ,                        ,                         ,                         ,                        ,                 ,                     ,                 ,age: >2.83  <3.66 Ma
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Pliocene  ,                  ,              ,172,1063,A, 44,X,CC,  11.00,    408.5300,Raffi    ,Nannofossils                                 ,A              ,G                 ,                 ,                         ,A                       ,A                 ,C                  ,C                       ,A                  ,C                      ,R                    ,                    ,                      ,                       ,                     ,                      ,                      ,                      ,                     ,                       ,                    ,                       ,                     ,                        ,                         ,                         ,                        ,                 ,                     ,                 ,age: >2.83  <3.66 Ma
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Pliocene  ,                  ,              ,172,1063,A, 45,X,CC,  31.00,    418.2900,Raffi    ,Nannofossils                                 ,A              ,G                 ,-                ,-                        ,A                       ,C                 ,F                  ,A                       ,C                  ,C                      ,                     ,                    ,                      ,                       ,                     ,                      ,                      ,                      ,                     ,                       ,                    ,                       ,                     ,                        ,                         ,                         ,                        ,                 ,                     ,                 ,age: >2.83 <3.66 Ma
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
