Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Watznaueria barnesae	Prediscosphaera cretacea	Micula staurophora	Micula murus	Microrhabdulus decoratus	Manivitella pemmatoidea	Loxolithus armilla	Eiffellithus turriseiffelii	Cribrosphaerella ehrenbergii	Ceratolithoides aculeus	Biscutum constans	Arkhangelskiella cymbiformis	Ceratolithoides kamptneri	Micula prinsii	Cruciplacolithus tenuis	Cruciplacolithus primus	Coccolithus pelagicus	Toweius eminens	Neochiastozygus modestus	Fasciculithus ulii	Fasciculithus tympaniformis	Fasciculithus pileatus	Ericsonia formosa	Clausicoccus obrutus	Chiasmolithus consuetus	Sphenolithus moriformis	Ellipsolithus macellus	Discoaster mohleri	Discoaster nobilis	Discoaster multiradiatus	Discoaster diastypus	Sphenolithus spp.	Sphenolithus radians	Discoaster lodoensis	Discoaster kuepperi	Chiasmolithus grandis	Ericsonia subdisticha	Discoaster sublodoensis	Discoaster saipanensis	Discoaster barbadiensis	Chiasmolithus solitus	Cribrocentrum reticulatum	Chiphragmalithus armatus	Chiasmolithus gigas	Reticulofenestra umbilica	Discoaster tanii	Dictyococcites bisectus	Discoaster deflandrei	Cyclicargolithus floridanus	Discoaster hamatus	Catinaster coalitus	Catinaster calyculus	Reticulofenestra pseudoumbilicus	Discoaster variabilis	Discoaster surculus	Discoaster quinqueramus	Discoaster pentaradiatus	Discoaster challengeri	Discoaster brouweri	Amaurolithus spp.	Amaurolithus primus	Ceratolithus rugosus	Discoaster tamalis	Calcidiscus macintyrei	Pseudoemiliania lacunosa	Discoaster asymmetricus	Gephyrocapsa oceanica	Gephyrocapsa large	Gephyrocapsa caribbeanica	Gephyrocapsa parallela	Gephyrocapsa (small)	Comment

  IR	                 	                 	CN12b             	CN12b         	198	1209	A	  5	H	CC	  35.00	     46.5600	nannos   	Nannofossils                                 	A              	G                 	                    	                        	                  	            	                        	                       	                  	                           	                            	                       	                 	                            	                         	              	                       	                       	                     	               	                        	                  	                           	                      	                 	                    	                       	                       	                      	                  	                  	                        	                    	                 	                    	                    	                   	                     	                     	                       	                      	                       	                     	                         	                        	                   	                         	                	                       	                     	                           	                  	                   	                    	                                	                     	C                  	                       	C                       	                      	                   	                 	                   	                    	                  	C                     	F                       	R                      	                     	                  	                         	                      	                    	       

  IR	                 	                 	CN11              	CN11          	198	1209	A	  6	H	CC	  25.00	     56.0900	nannos   	Nannofossils                                 	A              	M                 	                    	                        	                  	            	                        	                       	                  	                           	                            	                       	                 	                            	                         	              	                       	                       	                     	               	                        	                  	                           	                      	                 	                    	                       	                       	                      	                  	                  	                        	                    	                 	                    	                    	                   	                     	                     	                       	                      	                       	                     	                         	                        	                   	                         	                	                       	                     	                           	                  	                   	                    	C                               	                     	R                  	                       	F                       	                      	R                  	                 	                   	                    	R                 	C                     	                        	                       	                     	                  	                         	                      	                    	       

  IR	                 	                 	CN10c             	CN10c         	198	1209	A	  7	H	CC	  22.00	     65.5300	nannos   	Nannofossils                                 	A              	M                 	                    	                        	                  	            	                        	                       	                  	                           	                            	                       	                 	                            	                         	              	                       	                       	                     	               	                        	                  	                           	                      	                 	                    	                       	                       	                      	                  	                  	                        	                    	                 	                    	                    	                   	                     	                     	                       	                      	                       	                     	                         	                        	                   	                         	                	                       	                     	                           	                  	                   	                    	C                               	                     	C                  	                       	C                       	                      	R                  	F                	                   	R                   	                  	                      	                        	                       	                     	                  	                         	                      	                    	       

  IR	                 	                 	CN9d              	CN9c          	198	1209	A	  8	H	CC	  20.00	     75.0800	nannos   	Nannofossils                                 	A              	M                 	                    	                        	                  	            	                        	                       	                  	                           	                            	                       	                 	                            	                         	              	                       	                       	                     	               	                        	                  	                           	                      	                 	                    	                       	                       	                      	                  	                  	                        	                    	                 	                    	                    	                   	                     	                     	                       	                      	                       	                     	                         	                        	                   	                         	                	                       	                     	                           	                  	                   	                    	A                               	F                    	R                  	R                      	C                       	F                     	R                  	F                	F                  	                    	                  	                      	                        	                       	                     	                  	                         	                      	                    	       

  IR	                 	                 	CN7               	CN7           	198	1209	A	 10	H	CC	  21.00	     94.0600	nannos   	Nannofossils                                 	               	                  	                    	                        	                  	            	                        	                       	                  	                           	                            	                       	                 	                            	                         	              	                       	                       	                     	               	                        	                  	                           	                      	                 	                    	                       	                       	                      	                  	                  	                        	                    	                 	                    	                    	                   	                     	                     	                       	                      	                       	                     	                         	                        	                   	                         	                	                       	                     	                           	R                 	F                  	F                   	                                	                     	                   	                       	                        	                      	                   	                 	                   	                    	                  	                      	                        	                       	                     	                  	                         	                      	                    	       

  IR	                 	                 	CP19              	CP19          	198	1209	A	 12	H	CC	  14.00	    112.8900	nannos   	Nannofossils                                 	A              	M                 	                    	                        	                  	            	                        	                       	                  	                           	                            	                       	                 	                            	                         	              	                       	                       	                     	               	                        	                  	                           	                      	                 	                    	                       	                       	                      	                  	                  	                        	                    	                 	                    	                    	                   	                     	                     	                       	                      	                       	                     	                         	                        	                   	                         	                	                       	A                    	A                          	                  	                   	                    	                                	                     	                   	                       	                        	                      	                   	                 	                   	                    	                  	                      	                        	                       	                     	                  	                         	                      	                    	       

  IR	                 	                 	CP16c             	CP16c         	198	1209	A	 13	H	CC	  16.00	    122.1700	nannos   	Nannofossils                                 	A              	M                 	                    	                        	                  	            	                        	                       	                  	                           	                            	                       	                 	                            	                         	              	                       	                       	                     	               	                        	                  	                           	                      	                 	                    	                       	                       	                      	                  	                  	                        	                    	                 	                    	                    	                   	                     	                     	                       	                      	                       	                     	                         	                        	                   	                         	                	                       	F                    	A                          	                  	                   	                    	                                	                     	                   	                       	                        	                      	                   	                 	                   	                    	                  	                      	                        	                       	                     	                  	                         	                      	                    	       

  IR	                 	                 	CP14b             	CP14b         	198	1209	A	 14	H	CC	  11.00	    131.2200	nannos   	Nannofossils                                 	               	                  	                    	                        	                  	            	                        	                       	                  	                           	                            	                       	                 	                            	                         	              	                       	                       	C                    	               	                        	                  	                           	                      	                 	                    	                       	                       	                      	                  	                  	                        	                    	C                	                    	                    	                   	F                    	C                    	                       	C                     	C                      	                     	                         	                        	                   	C                        	C               	C                      	                     	                           	                  	                   	                    	                                	                     	                   	                       	                        	                      	                   	                 	                   	                    	                  	                      	                        	                       	                     	                  	                         	                      	                    	       

  IR	                 	                 	CP14a             	CP14a         	198	1209	A	 15	H	CC	   8.00	    141.0400	nannos   	Nannofossils                                 	               	                  	                    	                        	                  	            	                        	                       	                  	                           	                            	                       	                 	                            	                         	              	                       	                       	C                    	               	                        	                  	                           	                      	                 	                    	                       	                       	                      	                  	                  	                        	                    	C                	F                   	                    	                   	C                    	C                    	                       	C                     	C                      	F                    	F                        	                        	                   	C                        	C               	                       	                     	                           	                  	                   	                    	                                	                     	                   	                       	                        	                      	                   	                 	                   	                    	                  	                      	                        	                       	                     	                  	                         	                      	                    	       

  IR	                 	                 	CP14a             	CP14a         	198	1209	A	 16	H	CC	  23.00	    149.8700	nannos   	Nannofossils                                 	               	                  	                    	                        	                  	            	                        	                       	                  	                           	                            	                       	                 	                            	                         	              	                       	                       	C                    	               	                        	                  	                           	                      	                 	                    	                       	                       	                      	                  	                  	                        	                    	C                	F                   	C                   	                   	C                    	F                    	C                      	C                     	C                      	C                    	F                        	                        	                   	F                        	                	                       	                     	                           	                  	                   	                    	                                	                     	                   	                       	                        	                      	                   	                 	                   	                    	                  	                      	                        	                       	                     	                  	                         	                      	                    	       

  IR	                 	                 	CP13b             	CP13b         	198	1209	A	 17	H	CC	   8.00	    160.4700	nannos   	Nannofossils                                 	               	                  	                    	                        	                  	            	                        	                       	                  	                           	                            	                       	                 	                            	                         	              	                       	                       	C                    	               	                        	                  	                           	                      	                 	C                   	                       	                       	                      	                  	                  	                        	                    	C                	F                   	C                   	                   	C                    	F                    	C                      	C                     	C                      	C                    	F                        	C                       	R                  	                         	                	                       	                     	                           	                  	                   	                    	                                	                     	                   	                       	                        	                      	                   	                 	                   	                    	                  	                      	                        	                       	                     	                  	                         	                      	                    	       

  IR	                 	                 	CP12              	CP12          	198	1209	A	 18	H	CC	   7.00	    169.2600	nannos   	Nannofossils                                 	               	                  	                    	                        	                  	            	                        	                       	                  	                           	                            	                       	                 	                            	                         	              	                       	                       	C                    	               	                        	                  	                           	                      	                 	C                   	                       	                       	                      	                  	                  	                        	                    	C                	F                   	C                   	F                  	C                    	R                    	C                      	F                     	C                      	F                    	                         	                        	                   	                         	                	                       	                     	                           	                  	                   	                    	                                	                     	                   	                       	                        	                      	                   	                 	                   	                    	                  	                      	                        	                       	                     	                  	                         	                      	                    	       

  IR	                 	                 	CP12              	CP12          	198	1209	A	 19	H	CC	   9.00	    178.9500	nannos   	Nannofossils                                 	               	                  	                    	                        	                  	            	                        	                       	                  	                           	                            	                       	                 	                            	                         	              	                       	                       	C                    	               	                        	                  	                           	                      	C                	                    	                       	                       	                      	                  	                  	                        	                    	C                	F                   	C                   	C                  	C                    	                     	                       	                      	                       	                     	                         	                        	                   	                         	                	                       	                     	                           	                  	                   	                    	                                	                     	                   	                       	                        	                      	                   	                 	                   	                    	                  	                      	                        	                       	                     	                  	                         	                      	                    	       

  IR	                 	                 	CP14b             	CP9b          	198	1209	A	 20	H	CC	   8.00	    188.9700	nannos   	Nannofossils                                 	               	                  	                    	                        	                  	            	                        	                       	                  	                           	                            	                       	                 	                            	                         	              	                       	                       	C                    	               	                        	                  	                           	                      	C                	                    	C                      	                       	                      	                  	                  	                        	                    	C                	F                   	R                   	                   	                     	                     	                       	                      	                       	                     	                         	                        	                   	                         	                	                       	                     	                           	                  	                   	                    	                                	                     	                   	                       	                        	                      	                   	                 	                   	                    	                  	                      	                        	                       	                     	                  	                         	                      	                    	       

  IR	                 	                 	CP8               	CP8           	198	1209	A	 21	H	CC	  13.00	    198.3600	nannos   	Nannofossils                                 	               	                  	                    	                        	                  	            	                        	                       	                  	                           	                            	                       	                 	                            	                         	              	                       	                       	C                    	C              	                        	                  	C                          	                      	                 	                    	F                      	                       	                      	                  	F                 	C                       	F                   	                 	                    	                    	                   	                     	                     	                       	                      	                       	                     	                         	                        	                   	                         	                	                       	                     	                           	                  	                   	                    	                                	                     	                   	                       	                        	                      	                   	                 	                   	                    	                  	                      	                        	                       	                     	                  	                         	                      	                    	       

  IR	                 	                 	                  	              	198	1209	A	 22	H	CC	  12.00	    207.3700	nannos   	Nannofossils                                 	               	                  	                    	                        	                  	            	                        	                       	                  	                           	                            	                       	                 	                            	                         	              	                       	                       	C                    	C              	F                       	                  	C                          	                      	                 	                    	C                      	F                      	F                     	C                 	                  	                        	                    	                 	                    	                    	                   	                     	                     	                       	                      	                       	                     	                         	                        	                   	                         	                	                       	                     	                           	                  	                   	                    	                                	                     	                   	                       	                        	                      	                   	                 	                   	                    	                  	                      	                        	                       	                     	                  	                         	                      	                    	CP7 is the age of the sample

  IR	                 	                 	CP5               	CP5           	198	1209	A	 23	H	CC	   9.00	    217.5500	nannos   	Nannofossils                                 	               	                  	                    	                        	                  	            	                        	                       	                  	                           	                            	                       	                 	                            	                         	              	                       	                       	C                    	C              	F                       	F                 	C                          	C                     	C                	F                   	C                      	                       	                      	                  	                  	                        	                    	                 	                    	                    	                   	                     	                     	                       	                      	                       	                     	                         	                        	                   	                         	                	                       	                     	                           	                  	                   	                    	                                	                     	                   	                       	                        	                      	                   	                 	                   	                    	                  	                      	                        	                       	                     	                  	                         	                      	                    	Possible H. kleinpelli in sample

  IR	                 	                 	CP3               	CP3           	198	1209	A	 24	H	CC	  11.00	    227.0900	nannos   	Nannofossils                                 	               	                  	                    	                        	                  	            	                        	                       	                  	                           	                            	                       	                 	                            	                         	              	C                      	F                      	C                    	               	                        	                  	                           	                      	                 	                    	                       	                       	                      	                  	                  	                        	                    	                 	                    	                    	                   	                     	                     	                       	                      	                       	                     	                         	                        	                   	                         	                	                       	                     	                           	                  	                   	                    	                                	                     	                   	                       	                        	                      	                   	                 	                   	                    	                  	                      	                        	                       	                     	                  	                         	                      	                    	Prinsius spp. present

  IR	                 	                 	CC26              	CC26          	198	1209	A	 25	H	CC	  13.00	    236.4800	nannos   	Nannofossils                                 	A              	M                 	A                   	C                       	C                 	C           	F                       	                       	F                 	C                          	C                           	C                      	C                	C                           	C                        	C             	                       	                       	                     	               	                        	                  	                           	                      	                 	                    	                       	                       	                      	                  	                  	                        	                    	                 	                    	                    	                   	                     	                     	                       	                      	                       	                     	                         	                        	                   	                         	                	                       	                     	                           	                  	                   	                    	                                	                     	                   	                       	                        	                      	                   	                 	                   	                    	                  	                      	                        	                       	                     	                  	                         	                      	                    	       

  IR	                 	                 	CC25              	CC25          	198	1209	A	 26	H	CC	  14.00	    246.0300	nannos   	Nannofossils                                 	A              	M                 	A                   	C                       	C                 	C           	F                       	                       	F                 	C                          	C                           	C                      	C                	C                           	F                        	              	                       	                       	                     	               	                        	                  	                           	                      	                 	                    	                       	                       	                      	                  	                  	                        	                    	                 	                    	                    	                   	                     	                     	                       	                      	                       	                     	                         	                        	                   	                         	                	                       	                     	                           	                  	                   	                    	                                	                     	                   	                       	                        	                      	                   	                 	                   	                    	                  	                      	                        	                       	                     	                  	                         	                      	                    	       

  IR	                 	                 	CC25              	CC25          	198	1209	A	 27	X	CC	  12.00	    251.5400	nannos   	Nannofossils                                 	A              	M                 	A                   	C                       	C                 	C           	F                       	                       	F                 	C                          	C                           	C                      	C                	C                           	                         	              	                       	                       	                     	               	                        	                  	                           	                      	                 	                    	                       	                       	                      	                  	                  	                        	                    	                 	                    	                    	                   	                     	                     	                       	                      	                       	                     	                         	                        	                   	                         	                	                       	                     	                           	                  	                   	                    	                                	                     	                   	                       	                        	                      	                   	                 	                   	                    	                  	                      	                        	                       	                     	                  	                         	                      	                    	       

  IR	                 	                 	CC25              	CC25          	198	1209	A	 28	X	CC	  18.00	    256.9100	nannos   	Nannofossils                                 	A              	M                 	A                   	C                       	C                 	C           	F                       	F                      	F                 	C                          	C                           	C                      	C                	C                           	                         	              	                       	                       	                     	               	                        	                  	                           	                      	                 	                    	                       	                       	                      	                  	                  	                        	                    	                 	                    	                    	                   	                     	                     	                       	                      	                       	                     	                         	                        	                   	                         	                	                       	                     	                           	                  	                   	                    	                                	                     	                   	                       	                        	                      	                   	                 	                   	                    	                  	                      	                        	                       	                     	                  	                         	                      	                    	       

