Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Pseudoparrella sandiegoensis,Nonionella auris,Fursenkoina glabra,Buliminella subfusiformis,Buliminella elegantissima,Buccella peruviana,Bolivinellina humilis,Bolivina costata,Ammobaculites sp.,Alexanderina viejoensis,Valvulineria peruensis,Parabolivina peruensis,Rosalina sp.,Cancris inflatus,Suggrunda eckisi,Nonionoides basispinatus,Bulimina patagonica,Globocassidulina depressa,Epistominella afueraensis,Hanzawaia nitidula,Brizalina interjuncta bicostata,Globobulimina ovula,Cassidulina auka,Bulimina pulchella,Zeaflorilus chiliensis,Uvigerina semitrigona,Brizalina sp. cf. B. acutula,Bolivinellina quadrata,Planulina depressa,Buliminella elegantissima limbosa,Bolivina plicata,Cassidulina sp.,Cassidulina pulchella,Cassidulina detierraensis,Angulogerina carinata bradyana,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Quaternary       ,                 ,                  ,              ,112, 681,A,  3,H,CC,  10.00,     25.2600,Resig    ,Benthic Foraminifers                         ,               ,                  ,1                           ,5               ,14                ,                         ,T                        ,                  ,46                   ,32              ,                 ,                       ,                      ,                      ,            ,                ,1               ,                        ,                   ,                         ,                         ,                  ,                               ,                   ,                ,                  ,                      ,                     ,                            ,                      ,                  ,                                 ,                ,T              ,                     ,                         ,                              ,count=549 from ODP Leg 112 SR Chapter 16 Table 3 p 271
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Quaternary       ,                 ,                  ,              ,112, 681,A,  4,H, 3,  84.00,     29.3400,Resig    ,Benthic Foraminifers                         ,               ,                  ,3                           ,18              ,30                ,                         ,1                        ,                  ,35                   ,10              ,                 ,                       ,2                     ,                      ,            ,                ,1               ,                        ,                   ,                         ,                         ,                  ,                               ,                   ,                ,                  ,                      ,                     ,                            ,                      ,                  ,                                 ,                ,               ,                     ,                         ,                              ,count=738 from ODP Leg 112 SR Chapter 16 Table 3 p 271
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Quaternary       ,                 ,                  ,              ,112, 681,A,  5,H, 4, 128.00,     40.7800,Resig    ,Benthic Foraminifers                         ,               ,                  ,                            ,5               ,3                 ,                         ,T                        ,                  ,74                   ,2               ,                 ,                       ,                      ,                      ,            ,T               ,                ,                        ,                   ,                         ,10                       ,                  ,                               ,                   ,6               ,                  ,                      ,                     ,                            ,                      ,                  ,                                 ,                ,               ,                     ,                         ,                              ,count=216 from ODP Leg 112 SR Chapter 16 Table 3 p 271
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Quaternary       ,                 ,                  ,              ,112, 681,A,  5,H,CC,   5.00,     44.6500,Resig    ,Benthic Foraminifers                         ,               ,                  ,                            ,31              ,                  ,T                        ,34                       ,5                 ,2                    ,16              ,                 ,5                      ,                      ,                      ,            ,1               ,                ,                        ,                   ,T                        ,1                        ,T                 ,                               ,                   ,T               ,2                 ,3                     ,T                    ,T                           ,T                     ,                  ,                                 ,                ,               ,                     ,                         ,                              ,count=659 from ODP Leg 112 SR Chapter 16 Table 3 p 271
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Quaternary       ,                 ,                  ,              ,112, 681,A,  6,H,CC,   5.00,     44.5500,Resig    ,Benthic Foraminifers                         ,               ,                  ,3                           ,12              ,                  ,T                        ,                         ,6                 ,6                    ,9               ,                 ,                       ,                      ,                      ,            ,T               ,                ,                        ,                   ,T                        ,2                        ,T                 ,                               ,                   ,1               ,1                 ,4                     ,T                    ,1                           ,T                     ,T                 ,55                               ,T               ,               ,                     ,                         ,                              ,count=393 from ODP Leg 112 SR Chapter 16 Table 3 p 271
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Quaternary       ,                 ,                  ,              ,112, 681,A,  7,H, 3,  41.00,     57.4100,Resig    ,Benthic Foraminifers                         ,               ,                  ,                            ,4               ,1                 ,                         ,14                       ,                  ,66                   ,13              ,                 ,                       ,                      ,                      ,            ,1               ,                ,                        ,                   ,                         ,                         ,                  ,                               ,                   ,1               ,                  ,                      ,                     ,                            ,                      ,                  ,                                 ,                ,               ,                     ,                         ,                              ,count=209 from ODP Leg 112 SR Chapter 16 Table 3 p 271
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Quaternary       ,                 ,                  ,              ,112, 681,A,  7,H,CC,   1.00,     63.1000,Resig    ,Benthic Foraminifers                         ,               ,                  ,                            ,4               ,                  ,T                        ,12                       ,T                 ,69                   ,4               ,                 ,4                      ,                      ,                      ,            ,T               ,2               ,                        ,1                  ,                         ,2                        ,T                 ,                               ,T                  ,T               ,T                 ,                      ,                     ,                            ,                      ,                  ,                                 ,                ,               ,                     ,                         ,                              ,count=462 from ODP Leg 112 SR Chapter 16 Table 3 p 271
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Quaternary       ,                 ,                  ,              ,112, 681,A,  8,H, 4,  56.00,     68.5600,Resig    ,Benthic Foraminifers                         ,               ,                  ,                            ,14              ,9                 ,3                        ,18                       ,                  ,41                   ,14              ,                 ,                       ,                      ,                      ,            ,                ,                ,                        ,1                  ,                         ,                         ,                  ,                               ,                   ,                ,                  ,                      ,                     ,                            ,                      ,                  ,                                 ,                ,               ,                     ,                         ,                              ,count=287 from ODP Leg 112 SR Chapter 16 Table 3 p 271
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Quaternary       ,                 ,                  ,              ,112, 681,A,  8,H,CC,  15.00,     73.4900,Resig    ,Benthic Foraminifers                         ,               ,                  ,2                           ,16              ,16                ,3                        ,12                       ,                  ,9                    ,31              ,                 ,T                      ,1                     ,                      ,            ,T               ,                ,1                       ,9                  ,T                        ,                         ,                  ,T                              ,                   ,                ,                  ,                      ,                     ,                            ,                      ,                  ,                                 ,                ,               ,                     ,                         ,                              ,count=472 from ODP Leg 112 SR Chapter 16 Table 3 p 271
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Quaternary       ,                 ,                  ,              ,112, 681,A,  9,H, 1, 130.00,     74.3000,Resig    ,Benthic Foraminifers                         ,               ,                  ,                            ,11              ,5                 ,3                        ,16                       ,                  ,39                   ,17              ,                 ,2                      ,                      ,                      ,            ,                ,                ,                        ,7                  ,                         ,                         ,                  ,                               ,                   ,                ,                  ,                      ,                     ,                            ,                      ,                  ,                                 ,                ,               ,                     ,                         ,                              ,count=382 from ODP Leg 112 SR Chapter 16 Table 3 p 271
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Quaternary       ,                 ,                  ,              ,112, 681,A,  9,H, 3,  76.00,     76.7600,Resig    ,Benthic Foraminifers                         ,               ,                  ,1                           ,17              ,                  ,                         ,24                       ,T                 ,19                   ,34              ,                 ,2                      ,                      ,                      ,2           ,                ,T               ,                        ,T                  ,                         ,T                        ,                  ,                               ,                   ,                ,                  ,                      ,                     ,                            ,                      ,                  ,                                 ,                ,               ,                     ,                         ,                              ,count=362 from ODP Leg 112 SR Chapter 16 Table 3 p 271
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Quaternary       ,                 ,                  ,              ,112, 681,A,  9,H,CC,  15.00,     82.8000,Resig    ,Benthic Foraminifers                         ,               ,                  ,                            ,13              ,                  ,T                        ,1                        ,                  ,47                   ,39              ,                 ,T                      ,                      ,                      ,            ,                ,                ,                        ,                   ,                         ,                         ,                  ,                               ,                   ,                ,                  ,                      ,                     ,                            ,                      ,                  ,                                 ,                ,               ,                     ,                         ,                              ,count=581 from ODP Leg 112 SR Chapter 16 Table 3 p 271
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Quaternary       ,                 ,                  ,              ,112, 681,A, 10,H, 3,  64.00,     85.7900,Resig    ,Benthic Foraminifers                         ,               ,                  ,                            ,29              ,14                ,T                        ,14                       ,                  ,19                   ,22              ,                 ,1                      ,T                     ,                      ,            ,                ,                ,                        ,                   ,                         ,                         ,T                 ,                               ,                   ,                ,                  ,                      ,                     ,                            ,                      ,                  ,                                 ,                ,               ,                     ,                         ,                              ,count=302 from ODP Leg 112 SR Chapter 16 Table 3 p 271
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Quaternary       ,                 ,                  ,              ,112, 681,A, 10,H,CC,   0.00,     88.1500,Resig    ,Benthic Foraminifers                         ,               ,                  ,T                           ,18              ,T                 ,T                        ,9                        ,T                 ,34                   ,34              ,                 ,1                      ,T                     ,                      ,1           ,T               ,                ,                        ,T                  ,T                        ,3                        ,                  ,                               ,                   ,                ,                  ,                      ,                     ,                            ,                      ,                  ,                                 ,                ,               ,                     ,                         ,                              ,count=402 from ODP Leg 112 SR Chapter 16 Table 3 p 271
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Quaternary       ,                 ,                  ,              ,112, 681,A, 11,H, 3,  45.00,     95.4500,Resig    ,Benthic Foraminifers                         ,               ,                  ,                            ,60              ,T                 ,                         ,11                       ,                  ,                     ,26              ,                 ,                       ,                      ,                      ,            ,                ,                ,1                       ,2                  ,                         ,                         ,                  ,                               ,                   ,                ,                  ,                      ,                     ,                            ,                      ,                  ,                                 ,                ,               ,                     ,                         ,                              ,count=312 from ODP Leg 112 SR Chapter 16 Table 3 p 271
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Quaternary       ,                 ,                  ,              ,112, 681,A, 11,H, 4, 118.00,     97.6800,Resig    ,Benthic Foraminifers                         ,               ,                  ,                            ,18              ,                  ,6                        ,16                       ,                  ,9                    ,50              ,                 ,                       ,T                     ,                      ,            ,                ,                ,                        ,                   ,                         ,                         ,                  ,                               ,                   ,                ,                  ,                      ,                     ,                            ,                      ,                  ,                                 ,                ,               ,                     ,                         ,                              ,count=301 from ODP Leg 112 SR Chapter 16 Table 3 p 271
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Quaternary       ,                 ,                  ,              ,112, 681,A, 11,H, 5, 120.00,     99.2000,Resig    ,Benthic Foraminifers                         ,               ,                  ,                            ,7               ,                  ,45                       ,15                       ,                  ,24                   ,9               ,                 ,T                      ,                      ,                      ,            ,                ,                ,                        ,                   ,                         ,                         ,                  ,                               ,                   ,                ,                  ,                      ,                     ,                            ,                      ,                  ,                                 ,                ,               ,                     ,                         ,                              ,count=229 from ODP Leg 112 SR Chapter 16 Table 3 p 271
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Quaternary       ,                 ,                  ,              ,112, 681,A, 12,H, 3,  66.00,    105.1600,Resig    ,Benthic Foraminifers                         ,               ,                  ,                            ,22              ,13                ,11                       ,T                        ,                  ,7                    ,45              ,                 ,                       ,                      ,                      ,            ,                ,T               ,                        ,                   ,                         ,                         ,                  ,                               ,                   ,                ,                  ,                      ,                     ,                            ,                      ,                  ,                                 ,                ,               ,                     ,                         ,                              ,count=279 from ODP Leg 112 SR Chapter 16 Table 3 p 271
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Quaternary       ,                 ,                  ,              ,112, 681,A, 12,H, 4, 138.00,    107.3800,Resig    ,Benthic Foraminifers                         ,               ,                  ,                            ,17              ,9                 ,7                        ,20                       ,                  ,3                    ,43              ,                 ,                       ,1                     ,                      ,            ,                ,                ,                        ,                   ,                         ,                         ,                  ,                               ,                   ,                ,                  ,                      ,                     ,                            ,                      ,                  ,                                 ,                ,               ,                     ,                         ,                              ,count=410 from ODP Leg 112 SR Chapter 16 Table 3 p 271
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Quaternary       ,                 ,                  ,              ,112, 681,A, 12,H,CC,  20.00,    111.1400,Resig    ,Benthic Foraminifers                         ,               ,                  ,                            ,25              ,6                 ,14                       ,16                       ,                  ,11                   ,24              ,                 ,2                      ,T                     ,1                     ,            ,T               ,                ,                        ,                   ,                         ,                         ,                  ,                               ,                   ,                ,                  ,                      ,                     ,                            ,                      ,                  ,                                 ,                ,               ,                     ,                         ,                              ,count=307 from ODP Leg 112 SR Chapter 16 Table 3 p 271
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Quaternary       ,                 ,                  ,              ,112, 681,A, 13,X, 3,  32.00,    114.3200,Resig    ,Benthic Foraminifers                         ,               ,                  ,                            ,31              ,14                ,5                        ,7                        ,                  ,2                    ,41              ,                 ,                       ,T                     ,                      ,T           ,                ,                ,                        ,                   ,                         ,                         ,                  ,                               ,                   ,                ,                  ,                      ,                     ,                            ,                      ,                  ,                                 ,                ,               ,                     ,                         ,                              ,count=431 from ODP Leg 112 SR Chapter 16 Table 3 p 271
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Quaternary       ,                 ,                  ,              ,112, 681,A, 13,X,CC,  40.00,    115.3800,Resig    ,Benthic Foraminifers                         ,               ,                  ,                            ,20              ,19                ,7                        ,14                       ,                  ,4                    ,36              ,                 ,                       ,                      ,T                     ,            ,                ,                ,                        ,                   ,                         ,                         ,                  ,                               ,                   ,                ,                  ,                      ,                     ,                            ,                      ,                  ,                                 ,                ,               ,                     ,                         ,                              ,count=609 from ODP Leg 112 SR Chapter 16 Table 3 p 271
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Quaternary       ,                 ,                  ,              ,112, 681,A, 14,X, 1, 140.00,    121.9000,Resig    ,Benthic Foraminifers                         ,               ,                  ,                            ,6               ,                  ,1                        ,2                        ,                  ,T                    ,83              ,                 ,                       ,8                     ,                      ,            ,                ,                ,                        ,                   ,                         ,                         ,                  ,                               ,                   ,                ,                  ,                      ,                     ,                            ,                      ,                  ,                                 ,                ,               ,                     ,                         ,                              ,count=578 from ODP Leg 112 SR Chapter 16 Table 3 p 271
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Quaternary       ,                 ,                  ,              ,112, 681,A, 14,X, 2,  46.00,    122.4600,Resig    ,Benthic Foraminifers                         ,               ,                  ,                            ,12              ,                  ,2                        ,8                        ,                  ,1                    ,72              ,                 ,                       ,5                     ,                      ,            ,                ,                ,                        ,                   ,                         ,                         ,                  ,                               ,                   ,                ,                  ,                      ,                     ,                            ,                      ,                  ,                                 ,                ,               ,                     ,                         ,                              ,count=432 from ODP Leg 112 SR Chapter 16 Table 3 p 271
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Quaternary       ,                 ,                  ,              ,112, 681,A, 14,X, 2,  91.00,    122.9100,Resig    ,Benthic Foraminifers                         ,               ,                  ,                            ,3               ,                  ,1                        ,2                        ,                  ,                     ,79              ,                 ,                       ,15                    ,                      ,            ,                ,                ,                        ,                   ,                         ,                         ,                  ,                               ,                   ,                ,                  ,                      ,                     ,                            ,                      ,                  ,                                 ,                ,               ,                     ,                         ,                              ,count=417 from ODP Leg 112 SR Chapter 16 Table 3 p 271
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Quaternary       ,                 ,                  ,              ,112, 681,A, 14,X,CC,  28.00,    125.0300,Resig    ,Benthic Foraminifers                         ,               ,                  ,                            ,15              ,                  ,3                        ,28                       ,                  ,2                    ,50              ,                 ,2                      ,T                     ,                      ,            ,                ,                ,                        ,                   ,                         ,                         ,                  ,                               ,                   ,                ,                  ,                      ,                     ,                            ,                      ,                  ,                                 ,                ,               ,                     ,                         ,                              ,count=1003 from ODP Leg 112 SR Chapter 16 Table 3 p 271
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Quaternary       ,                 ,                  ,              ,112, 681,A, 15,X, 3,  72.00,    133.7200,Resig    ,Benthic Foraminifers                         ,               ,                  ,                            ,                ,                  ,4                        ,5                        ,                  ,3                    ,88              ,                 ,                       ,                      ,                      ,            ,                ,                ,                        ,                   ,                         ,                         ,                  ,                               ,                   ,                ,                  ,                      ,                     ,                            ,                      ,                  ,                                 ,                ,               ,                     ,                         ,                              ,count 116 from ODP Leg 112 SR Chapter 16 Table 3 p 271
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Quaternary       ,                 ,                  ,              ,112, 681,A, 18,X,CC,  13.00,    158.6300,Resig    ,Benthic Foraminifers                         ,               ,                  ,                            ,1               ,                  ,1                        ,32                       ,                  ,8                    ,58              ,                 ,                       ,                      ,                      ,            ,                ,                ,                        ,                   ,                         ,                         ,                  ,                               ,                   ,                ,                  ,                      ,                     ,                            ,                      ,                  ,                                 ,                ,               ,                     ,                         ,                              ,count=152; uncertain age assignment from ODP Leg 112 SR Chapter 16 Table 3 p 271
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Quaternary       ,                 ,                  ,              ,112, 681,A, 19,X,CC,  14.00,    168.1400,Resig    ,Benthic Foraminifers                         ,               ,                  ,6                           ,1               ,1                 ,1                        ,12                       ,T                 ,52                   ,22              ,4                ,1                      ,                      ,                      ,            ,                ,                ,                        ,                   ,                         ,                         ,                  ,                               ,                   ,                ,                  ,                      ,                     ,                            ,                      ,                  ,                                 ,                ,               ,                     ,                         ,                              ,count=376 from ODP Leg 112 SR Chapter 16 Table 3 p 271
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
