Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Neogloboquadrina dutertrei,Globorotalia bermudezi,Globigerinita glutinata,Globigerinoides sacculifer,Globigerinoides ruber,Neogloboquadrina incompta,Neogloboquadrina blowi,Globorotaloides hexagona,Globorotalia obesa,Globigerinoides elongatus,Globigerinoides cyclostomus,Globigerina rubescens,Globigerina falconensis,Globigerina bulloides,Pulleniatina obliquiloculata,Neogloboquadrina pachyderma,Neogloboquadrina humerosa,Hastigerinopsis riedeli,Globigerinita iota,Globigerina quinqueloba,Globorotalia anfracta,Orbulina universa,Orbulina suturalis,Globigerinoides trilobus,Globigerinoides immaturus,Globigerina calida,Globorotalia cultrata cultrata,Globorotalia theyeri,Globorotalia scitula,Globigerinita parkerae,Globorotalia cultrata menardii,Globigerina calida praecalida,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,112, 681,A,  6,H,CC,   5.00,     44.5500,Ibaraki  ,Planktonic Foraminifers                      ,R              ,G                 ,T                         ,                      ,                       ,                          ,                     ,A                        ,                      ,                        ,                  ,                         ,                           ,                     ,                       ,A                    ,                            ,A                          ,                         ,F                      ,                  ,A                      ,                     ,                 ,T                 ,                        ,                         ,                  ,                              ,                    ,                    ,R                     ,                              ,                             ,from ODP Leg 112 SR Chapter 15 Table 2 p 242
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,112, 681,A,  7,H,CC,   1.00,     63.1000,Ibaraki  ,Planktonic Foraminifers                      ,R              ,G                 ,T                         ,                      ,                       ,T                         ,                     ,R                        ,                      ,                        ,T                 ,                         ,                           ,                     ,                       ,T                    ,T                           ,R                          ,                         ,                       ,                  ,                       ,                     ,                 ,                  ,                        ,                         ,                  ,T                             ,                    ,                    ,                      ,                              ,                             ,from ODP Leg 112 SR Chapter 15 Table 2 p 242
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,112, 681,A,  8,H,CC,  15.00,     73.4900,Ibaraki  ,Planktonic Foraminifers                      ,R              ,G                 ,A                         ,                      ,T                      ,C                         ,C                    ,                         ,                      ,                        ,R                 ,T                        ,T                          ,T                    ,F                      ,A                    ,                            ,                           ,C                        ,                       ,T                 ,C                      ,                     ,T                ,T                 ,T                       ,T                        ,T                 ,                              ,                    ,                    ,                      ,                              ,                             ,from ODP Leg 112 SR Chapter 15 Table 2 p 242
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,112, 681,A,  9,H,CC,  15.00,     82.8000,Ibaraki  ,Planktonic Foraminifers                      ,R              ,G                 ,T                         ,                      ,T                      ,                          ,                     ,T                        ,                      ,                        ,T                 ,                         ,                           ,                     ,                       ,A                    ,                            ,                           ,                         ,                       ,                  ,A                      ,T                    ,                 ,                  ,                        ,                         ,                  ,                              ,                    ,                    ,                      ,                              ,                             ,from ODP Leg 112 SR Chapter 15 Table 2 p 242
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,112, 681,A, 10,H,CC,   0.00,     88.1500,Ibaraki  ,Planktonic Foraminifers                      ,R              ,G                 ,T                         ,                      ,C                      ,T                         ,                     ,F                        ,                      ,                        ,                  ,                         ,                           ,                     ,R                      ,A                    ,T                           ,C                          ,R                        ,R                      ,C                 ,A                      ,                     ,                 ,                  ,                        ,                         ,                  ,                              ,                    ,                    ,                      ,                              ,                             ,from ODP Leg 112 SR Chapter 15 Table 2 p 242
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,112, 681,A, 12,H,CC,  20.00,    111.1400,Ibaraki  ,Planktonic Foraminifers                      ,R              ,G                 ,T                         ,                      ,C                      ,T                         ,A                    ,T                        ,C                     ,T                       ,T                 ,T                        ,T                          ,T                    ,T                      ,A                    ,                            ,                           ,                         ,                       ,                  ,                       ,                     ,                 ,                  ,                        ,                         ,                  ,                              ,                    ,                    ,                      ,                              ,                             ,from ODP Leg 112 SR Chapter 15 Table 2 p 242
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,112, 681,A, 13,X,CC,  40.00,    115.3800,Ibaraki  ,Planktonic Foraminifers                      ,R              ,G                 ,                          ,                      ,T                      ,T                         ,T                    ,                         ,                      ,                        ,                  ,                         ,                           ,                     ,                       ,                     ,                            ,                           ,                         ,                       ,                  ,                       ,                     ,                 ,                  ,                        ,                         ,                  ,                              ,                    ,                    ,                      ,                              ,                             ,from ODP Leg 112 SR Chapter 15 Table 2 p 242
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,112, 681,A, 14,X,CC,  28.00,    125.0300,Ibaraki  ,Planktonic Foraminifers                      ,R              ,G                 ,                          ,                      ,T                      ,                          ,                     ,                         ,                      ,                        ,                  ,                         ,                           ,                     ,                       ,                     ,                            ,                           ,                         ,                       ,                  ,                       ,                     ,                 ,                  ,                        ,                         ,                  ,                              ,                    ,                    ,                      ,                              ,                             ,from ODP Leg 112 SR Chapter 15 Table 2 p 242
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,112, 681,A, 18,X,CC,  13.00,    158.6300,Ibaraki  ,Planktonic Foraminifers                      ,R              ,G                 ,                          ,T                     ,                       ,                          ,                     ,                         ,                      ,                        ,                  ,                         ,                           ,                     ,                       ,                     ,                            ,                           ,                         ,                       ,                  ,                       ,                     ,                 ,                  ,                        ,                         ,                  ,                              ,                    ,                    ,                      ,                              ,                             ,from ODP Leg 112 SR Chapter 15 Table 2 p 242
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,112, 681,A, 19,X,CC,  14.00,    168.1400,Ibaraki  ,Planktonic Foraminifers                      ,R              ,G                 ,T                         ,                      ,                       ,                          ,                     ,                         ,                      ,                        ,                  ,                         ,                           ,                     ,                       ,                     ,                            ,                           ,                         ,                       ,                  ,                       ,                     ,                 ,                  ,                        ,                         ,                  ,                              ,                    ,                    ,                      ,                              ,                             ,from ODP Leg 112 SR Chapter 15 Table 2 p 242
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
