Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Sphenolithus heteromorphus	Reticulofenestra minutula	Reticulofenestra haqii	Orthorhabdus serratus	Helicosphaera mediterranea	Helicosphaera kamptneri	Discoaster variabilis	Discoaster petaliformis	Discoaster exilis	Discoaster druggii	Cyclicargolithus floridanus	Coronocyclus nitescens (circular)	Coccolithus pelagicus	Triquetrorhabdulus auritus	Sphenolithus abies	Solidopons petrae	Pontosphaera multipora	Helicosphaera granulata	Coccolithus eopelagicus	Discoaster sanmiguelensis	Discoaster deflandrei	Triquetrorhabdulus rugosus	Reticulofenestra pseudoumbilicus	Helicosphaera intermedia	Geminilithella rotula	Discoaster signus	Coronocyclus nitescens (oval)	Calcidiscus premacintyrei	Calcidiscus macintyrei	Discoaster moorei	Calcidiscus leptoporus	Sphenolithus moriformis	Scapholithus fossilis	Discoaster kugleri	Discoaster braarudii	Discoaster bollii	Syracosphaera? fragilis	Discoaster toralis	Coccolithus miopelagicus	Discoaster triradiatus	Pontosphaera japonica	Helicosphaera stalis	Reticulofenestra ampliumbilicus	Catinaster mexicanus	Discoaster brouweri	Catinaster coalitus	Helicosphaera orientalis	Discoaster prepentaradiatus	Discoaster hamatus	Helicosphaera pacifica	Discoaster pseudovariabilis	Helicosphaera obliqua	Catinaster calyculus	Discoaster loeblichii	Discoaster tristellifer	Sphenolithus neoabies	Discoaster pentaradiatus	Discoaster calcaris	Quadrum giganteum	Discoaster neohamatus	Minylitha convallis	Discoaster neorectus	Discoaster asymmetricus	Discoaster berggrenii	Reticulofenestra minuta	Helicosphaera rhomba	Helicosphaera burkei	Discoaster surculus	Discoaster challengeri	Discoaster quinqueramus	Amaurolithus delicatus	Triquetrorhabdulus farnsworthii	Amaurolithus tricorniculatus	Amaurolithus primus	Reticulofenestra rotaria	Helicosphaera sellii	Discoaster tamalis	Amaurolithus amplificus	Discoaster subsurculus	Syracosphaera pulchra	Florisphaera profunda	Discoaster pansus	Ceratolithus armatus/rugosus	Ceratolithus armatus	Ceratolithus rugosus	Rhabdosphaera clavigera	Coccolithus pelagicus (w/ bar)	Ceratolithus separatus	Pontosphaera indooceanica	Pseudoemiliania lacunosa (small)	Gephyrocapsa spp. (small)	Gephyrocapsa aperta	Pseudoemiliania lacunosa	Pontosphaera plana	Discoaster blackstockae	Discoaster decorus	Helicosphaera scissura	Helicosphaera elongata	Reticulofenestra astoni	Umbilicosphaera sibogae	Ceratolithus cristatus	Helicosphaera inversa	Gephyrocapsa caribbeanica	Comment

  SR	Late Pliocene    	                 	CN12d             	              	159	 959	B	  3	H	 7	  55.00	     24.0500	Shafik   	Nannofossils                                 	A              	G                 	                          	                         	                      	                     	R                         	F                      	                     	                       	                 	                  	                           	                                 	                     	                          	                  	                 	                      	                       	                       	                         	                     	                          	                                	                        	                     	                 	                             	                         	+                     	                 	F                     	                       	                     	                  	                    	                 	                       	                  	                        	                      	F                    	                    	                               	                    	+                  	                   	                        	                           	                  	                      	                           	                     	                    	                     	                       	                     	                        	                   	                 	                     	                   	                    	                       	                     	                       	                    	                    	                   	                      	                       	                      	                               	                            	                   	                        	C                   	                  	                       	                      	F                    	                     	                 	                            	                    	                    	                       	F                             	                      	                         	                                	                         	                   	C                       	                  	                       	                  	R                     	                      	                       	                       	                      	                     	                         	From Leg 159SR Ch 37 Table 2

  SR	Late Pliocene    	                 	CN12d             	              	159	 959	B	  3	H	CC	  17.00	     24.3200	Shafik   	Nannofossils                                 	A              	G                 	                          	                         	                      	                     	                          	C                      	                     	                       	                 	                  	                           	                                 	                     	                          	                  	                 	                      	                       	                       	                         	                     	                          	                                	                        	                     	                 	                             	                         	R                     	                 	                      	                       	                     	                  	                    	                 	                       	                  	                        	                      	C                    	                    	                               	                    	C                  	                   	                        	                           	                  	                      	                           	                     	                    	                     	                       	                     	                        	                   	                 	                     	                   	                    	                       	                     	                       	                    	                    	                   	                      	                       	                      	                               	                            	                   	                        	R                   	                  	                       	                      	R                    	                     	                 	                            	                    	                    	                       	C                             	                      	                         	                                	                         	                   	C                       	                  	                       	                  	                      	                      	                       	                       	R                     	                     	                         	From Leg 159SR Ch 37 Table 2

  SR	Late Pliocene    	                 	CN12d             	              	159	 959	B	  4	H	 1	  59.00	     24.5900	Shafik   	Nannofossils                                 	A              	G                 	                          	                         	                      	                     	                          	C                      	                     	                       	                 	                  	                           	                                 	                     	                          	                  	                 	                      	                       	                       	                         	                     	                          	                                	                        	                     	                 	                             	                         	F                     	                 	F                     	                       	                     	                  	                    	                 	                       	                  	                        	                      	F                    	                    	                               	                    	F                  	                   	                        	                           	                  	                      	                           	                     	                    	                     	                       	                     	                        	                   	                 	                     	                   	                    	                       	                     	                       	                    	                    	                   	                      	                       	                      	                               	                            	                   	                        	                    	                  	                       	                      	R                    	F                    	                 	                            	                    	                    	                       	F                             	                      	                         	                                	                         	                   	C                       	                  	                       	                  	R                     	                      	R                      	R                      	                      	                     	                         	From Leg 159SR Ch 37 Table 2

  SR	Late Pliocene    	                 	CN12d             	              	159	 959	B	  4	H	 2	  59.00	     26.0900	Shafik   	Nannofossils                                 	A              	G                 	                          	                         	                      	                     	+                         	                       	                     	                       	                 	                  	                           	                                 	                     	                          	                  	                 	                      	                       	                       	                         	                     	                          	                                	                        	                     	                 	                             	                         	F                     	                 	R                     	                       	                     	                  	                    	                 	                       	                  	                        	                      	                     	                    	                               	                    	                   	                   	                        	                           	                  	                      	                           	                     	                    	                     	                       	                     	                        	                   	                 	                     	                   	                    	                       	                     	                       	                    	                    	                   	                      	                       	                      	                               	                            	                   	                        	F                   	                  	                       	                      	+                    	                     	                 	                            	                    	                    	+                      	+                             	                      	+                        	                                	                         	                   	C                       	                  	                       	                  	                      	                      	F                      	                       	                      	                     	                         	From Leg 159SR Ch 37 Table 2

  SR	Late Pliocene    	                 	CN12c             	              	159	 959	B	  4	H	 3	  59.00	     27.5900	Shafik   	Nannofossils                                 	A              	G                 	                          	                         	                      	                     	+                         	+                      	                     	                       	                 	                  	                           	                                 	                     	                          	                  	                 	                      	                       	                       	                         	                     	                          	                                	                        	                     	                 	                             	                         	                      	                 	+                     	                       	                     	                  	                    	                 	                       	                  	                        	                      	+                    	                    	                               	                    	                   	                   	                        	                           	                  	                      	                           	                     	                    	                     	                       	                     	+                       	                   	                 	                     	                   	                    	                       	                     	                       	                    	                    	                   	                      	                       	                      	                               	                            	                   	                        	                    	                  	                       	                      	+                    	                     	                 	                            	                    	                    	+                      	                              	                      	                         	                                	                         	                   	+                       	                  	                       	                  	                      	                      	+                      	                       	                      	                     	                         	From Leg 159SR Ch 37 Table 2

  SR	Late Pliocene    	                 	CN12c             	              	159	 959	B	  4	H	 4	  59.00	     29.0900	Shafik   	Nannofossils                                 	A              	G                 	                          	                         	                      	                     	                          	+                      	                     	                       	                 	                  	                           	                                 	                     	                          	                  	                 	                      	                       	                       	                         	                     	                          	                                	                        	                     	                 	                             	                         	+                     	                 	+                     	                       	                     	                  	                    	                 	                       	                  	                        	                      	+                    	                    	                               	                    	F                  	                   	                        	                           	                  	                      	                           	                     	                    	                     	                       	                     	R                       	                   	                 	                     	                   	                    	                       	                     	                       	                    	                    	                   	                      	                       	                      	                               	                            	                   	                        	+                   	                  	                       	                      	                     	                     	                 	                            	                    	                    	+                      	+                             	                      	                         	                                	                         	                   	+                       	                  	                       	                  	                      	                      	+                      	                       	                      	                     	                         	From Leg 159SR Ch 37 Table 2

  SR	Late Pliocene    	                 	CN12c             	              	159	 959	B	  4	H	 5	  59.00	     30.5900	Shafik   	Nannofossils                                 	A              	G                 	                          	F                        	F                     	                     	R                         	F                      	                     	                       	                 	                  	                           	                                 	                     	                          	                  	                 	                      	                       	                       	                         	                     	                          	                                	                        	                     	                 	                             	                         	F                     	                 	F                     	                       	+                    	                  	                    	                 	                       	                  	                        	                      	F                    	                    	                               	                    	R                  	                   	                        	                           	                  	                      	                           	                     	                    	                     	                       	                     	F                       	                   	                 	                     	                   	                    	                       	                     	                       	                    	                    	                   	                      	                       	                      	                               	                            	                   	                        	                    	                  	                       	                      	R                    	C                    	                 	                            	                    	                    	R                      	                              	                      	                         	                                	                         	                   	C                       	                  	                       	                  	                      	                      	F                      	R                      	                      	                     	                         	From Leg 159SR Ch 37 Table 2

  SR	Late Pliocene    	                 	CN12c             	              	159	 959	B	  4	H	 6	  59.00	     32.0900	Shafik   	Nannofossils                                 	A              	G                 	                          	                         	                      	                     	+                         	C                      	                     	                       	                 	                  	                           	                                 	                     	                          	                  	                 	                      	                       	                       	                         	                     	                          	                                	                        	                     	                 	                             	                         	R                     	                 	F                     	                       	+                    	                  	                    	                 	                       	                  	                        	                      	F                    	                    	                               	                    	                   	                   	                        	                           	                  	                      	                           	                     	                    	                     	                       	                     	C                       	                   	                 	                     	                   	                    	                       	                     	                       	                    	                    	                   	                      	                       	                      	                               	                            	                   	                        	F                   	                  	                       	                      	R                    	                     	                 	                            	                    	                    	                       	                              	                      	                         	                                	                         	                   	C                       	                  	                       	                  	                      	                      	+                      	                       	                      	                     	                         	From Leg 159SR Ch 37 Table 2

  SR	Late Pliocene    	                 	CN12b             	              	159	 959	B	  4	H	 7	  60.00	     33.6000	Shafik   	Nannofossils                                 	A              	G                 	                          	+                        	                      	                     	+                         	+                      	                     	                       	                 	                  	                           	                                 	                     	                          	                  	                 	                      	                       	                       	                         	                     	                          	                                	                        	                     	                 	                             	                         	                      	                 	+                     	                       	+                    	                  	                    	                 	                       	                  	                        	                      	+                    	                    	                               	                    	+                  	                   	                        	                           	                  	                      	                           	                     	                    	                     	                       	                     	+                       	                   	                 	                     	                   	                    	                       	                     	                       	                    	                    	+                  	                      	                       	                      	                               	                            	                   	                        	+                   	                  	                       	                      	+                    	+                    	                 	                            	                    	+                   	+                      	                              	                      	                         	                                	                         	                   	+                       	                  	                       	                  	                      	                      	+                      	                       	                      	                     	                         	From Leg 159SR Ch 37 Table 2

  SR	Late Pliocene    	                 	CN12a             	              	159	 959	B	  4	H	CC	  24.00	     33.8800	Shafik   	Nannofossils                                 	A              	G                 	                          	C                        	                      	                     	                          	C                      	                     	                       	                 	                  	                           	                                 	                     	                          	                  	                 	                      	                       	                       	                         	                     	                          	                                	                        	                     	                 	                             	                         	F                     	                 	F                     	                       	                     	                  	                    	                 	                       	                  	                        	                      	R                    	                    	                               	                    	F                  	                   	                        	                           	                  	                      	                           	                     	                    	                     	                       	                     	                        	                   	                 	                     	                   	                    	                       	                     	C                      	                    	                    	                   	                      	                       	                      	                               	                            	                   	                        	F                   	+                 	                       	                      	R                    	C                    	                 	                            	                    	                    	R                      	R                             	                      	                         	                                	                         	                   	R                       	                  	                       	                  	                      	                      	                       	                       	                      	                     	                         	From Leg 159SR Ch 37 Table 2

  SR	Late Pliocene    	                 	CN12a             	              	159	 959	B	  5	H	 1	  59.00	     34.0900	Shafik   	Nannofossils                                 	A              	G                 	                          	F                        	                      	                     	R                         	C                      	                     	                       	                 	                  	                           	                                 	R                    	                          	                  	                 	                      	                       	                       	                         	                     	                          	                                	                        	                     	                 	                             	                         	R                     	                 	F                     	                       	+                    	                  	                    	                 	                       	                  	                        	                      	F                    	                    	                               	                    	F                  	                   	                        	                           	                  	                      	                           	                     	                    	                     	                       	                     	F                       	                   	                 	                     	                   	                    	                       	                     	                       	                    	                    	R                  	                      	                       	                      	                               	                            	                   	                        	F                   	                  	                       	                      	F                    	C                    	                 	                            	                    	                    	                       	                              	                      	R                        	                                	                         	                   	F                       	                  	                       	                  	                      	                      	                       	                       	                      	                     	                         	From Leg 159SR Ch 37 Table 2

  SR	Late Pliocene    	                 	CN12a             	              	159	 959	B	  5	H	 2	  59.00	     35.5900	Shafik   	Nannofossils                                 	A              	G                 	                          	+                        	+                     	                     	+                         	                       	                     	                       	                 	                  	                           	                                 	+                    	                          	                  	                 	                      	                       	                       	                         	                     	                          	                                	                        	                     	                 	                             	                         	+                     	                 	+                     	                       	                     	                  	                    	                 	                       	                  	                        	                      	+                    	                    	                               	                    	C                  	                   	                        	                           	                  	                      	                           	                     	                    	                     	                       	                     	F                       	                   	                 	                     	                   	                    	                       	                     	                       	                    	                    	+                  	                      	                       	                      	                               	                            	                   	                        	+                   	                  	                       	                      	+                    	+                    	                 	                            	                    	                    	+                      	                              	                      	                         	                                	                         	                   	+                       	                  	                       	                  	                      	+                     	                       	                       	                      	                     	                         	From Leg 159SR Ch 37 Table 2

  SR	Late Pliocene    	                 	CN12a             	              	159	 959	B	  5	H	 3	  59.00	     37.0900	Shafik   	Nannofossils                                 	A              	G                 	                          	+                        	+                     	                     	                          	+                      	                     	                       	                 	                  	                           	                                 	+                    	                          	                  	                 	                      	                       	                       	                         	                     	                          	                                	                        	                     	                 	                             	                         	+                     	                 	+                     	                       	                     	                  	                    	                 	                       	                  	                        	                      	+                    	                    	                               	                    	+                  	                   	                        	                           	                  	                      	                           	                     	                    	                     	                       	                     	+                       	                   	                 	                     	                   	                    	                       	                     	                       	                    	                    	                   	                      	                       	                      	                               	                            	                   	                        	+                   	+                 	                       	                      	+                    	+                    	                 	                            	                    	                    	+                      	                              	                      	                         	                                	                         	                   	+                       	                  	                       	                  	                      	+                     	                       	                       	                      	                     	                         	From Leg 159SR Ch 37 Table 2
