Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Pseudoemiliania lacunosa,Helicosphaera wallichii,Gephyrocapsa spp. (large),Gephyrocapsa sp. medium,Coccolithus pelagicus,Calcidiscus leptoporus,Pontosphaera spp.,Gephyrocapsa spp. (small),Braarudosphaera bigelowii,Reticulofenestra asanoi,Helicosphaera carteri,Gephyrocapsa sp.3 medium,Florisphaera profunda,Ceratolithus cristatus,Emiliania huxleyi,Comment
  IR,                 ,                 ,                  ,              ,172,1057,B,  7,H,CC,  24.00,     61.3300,Raffi    ,Nannofossils                                 ,A              ,M                 ,A                       ,                       ,                         ,F                      ,                     ,C                     ,                 ,A                        ,                         ,                       ,F                    ,F                       ,A                    ,R                     ,                 ,> 0.46< 0.96- reworked Eifelithus spp.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1057,B,  8,H,CC,  35.00,     70.8800,Raffi    ,Nannofossils                                 ,A              ,M                 ,A                       ,                       ,                         ,F                      ,                     ,F                     ,                 ,D                        ,                         ,                       ,                     ,                        ,C                    ,                      ,                 ,> 0.46< 0.96- reworked H selli (F)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1057,B,  9,H,CC,  22.00,     80.8100,Raffi    ,Nannofossils                                 ,A              ,G                 ,A                       ,                       ,                         ,F                      ,                     ,C                     ,                 ,A                        ,                         ,A                      ,F                    ,                        ,A                    ,                      ,                 ,> 0.46< 0.96- wonder if the appearance of R asenoi marks the emergence period of med Gephs
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1057,B, 10,H,CC,  37.00,     89.9500,Raffi    ,Nannofossils                                 ,A              ,G                 ,A                       ,                       ,                         ,F                      ,                     ,C                     ,                 ,A                        ,                         ,-                      ,F                    ,F                       ,A                    ,                      ,                 ,> 0.46< 0.96- black sed - charcoal- P lacunosa almost dominant!
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1057,B, 11,H,CC,  22.00,     99.1600,Raffi    ,Nannofossils                                 ,A              ,G                 ,C                       ,                       ,                         ,                       ,                     ,C                     ,                 ,A                        ,                         ,A                      ,F                    ,F                       ,A                    ,                      ,                 ,> 0.46< 0.96- reworked D. variabilis (1)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1057,B, 12,H,CC,  19.00,    108.7300,Raffi    ,Nannofossils                                 ,C              ,G                 ,A                       ,                       ,                         ,                       ,                     ,+                     ,                 ,                         ,                         ,F                      ,C                    ,                        ,                     ,                      ,                 ,> 0.96< 1.24- abundant terrigenous input - few frags of siliceous stuff- reworked D. pentaradiatus
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1057,B, 13,H,CC,  20.00,    118.2900,Raffi    ,Nannofossils                                 ,C              ,G                 ,A                       ,                       ,-                        ,-                      ,                     ,+                     ,C                ,C                        ,+                        ,                       ,                     ,                        ,                     ,                      ,                 ,> 0.96< 1.24- various frags and terrigenous input
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1057,B, 14,H,CC,  23.00,    127.8100,Raffi    ,Nannofossils                                 ,C              ,G                 ,A                       ,                       ,-                        ,-                      ,                     ,                      ,                 ,                         ,                         ,                       ,                     ,                        ,                     ,                      ,                 ,> 0.96< 1.24- few frags of siliceous stuff- reworked C. floridanus
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1057,B, 15,H,CC,  20.00,    137.2800,Raffi    ,Nannofossils                                 ,C              ,G                 ,A                       ,A                      ,-                        ,-                      ,+                    ,A                     ,                 ,                         ,                         ,                       ,                     ,                        ,                     ,                      ,                 ,"> 0.96< 1.24- few frags of diatoms- reworked Plio discoasters (broweri, pentaradiatus)"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
