Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Reticulofenestra umbilica	Helicosphaera papillata	Discoaster saipanensis	Discoaster barbadiensis	Dictyococcites bisectus	Cribrocentrum reticulatum	Chiasmolithus grandis	Prinsius tenuiculum	Prinsius martinii	Prinsius dimorphosus	Placozygus sigmoides	Neochiastozygus modestus	Fasciculithus magnus	Ericsonia robusta	Ellipsolithus bollii	Cruciplacolithus tenuis	Cruciplacolithus primus (large)	Chiasmolithus edentulus	Cruciplacolithus primus	Chiasmolithus danicus	Rhabdosphaera inflata	Pseudotriquetrorhabdulus inversus	Discoaster sublodoensis	Discoaster strictus	Chiasmolithus solitus	Campylosphaera dela	Sphenolithus furcatolithoides	Nannotetrina fulgens	Coccolithus eopelagicus	Bramletteius serraculoides	Reticulofenestra dictyoda	Nannotetrina cristata	Ericsonia formosa	Sphenolithus obtusus	Sphenolithus pseudoradians	Pemma papillatum	Pemma basquensis	Chiasmolithus oamaruensis	Neococcolithes minutus	Cyclicargolithus floridanus	Discoaster deflandrei	Discoaster tanii	Isthmolithus recurvus	Sphenolithus predistentus	Ericsonia obruta	Comment
  IR	                 	Middle Eocene    	                  	CP15a         	171	1052	A	  4	H	CC	  14.00	     32.5900	Watkins  	Nannofossils                                 	A              	G                 	+                        	                       	+                     	+                      	+                      	+                        	                     	                   	                 	                    	                    	                        	                    	                 	                    	                       	                               	                       	                       	                     	                     	                                 	                       	                   	                     	                   	                             	                    	                       	                          	                         	                     	                 	                    	                          	+               	                	                         	                      	+                          	+                    	                	                     	                         	                	C. grandis reworked (?)

  IR	                 	Late Eocene      	                  	CP15a         	171	1052	A	  5	H	CC	  14.00	     41.9700	Watkins  	Nannofossils                                 	A              	G                 	+                        	                       	+                     	+                      	+                      	+                        	                     	                   	                 	                    	                    	                        	                    	                 	                    	                       	                               	                       	                       	                     	                     	                                 	                       	                   	                     	                   	                             	                    	                       	                          	                         	                     	                 	                    	                          	+               	                	                         	                      	                           	                     	                	                     	                         	                	       

  IR	                 	Late Eocene      	                  	CP15a         	171	1052	A	  6	H	CC	  11.00	     51.4000	Watkins  	Nannofossils                                 	A              	G                 	+                        	                       	+                     	+                      	+                      	+                        	                     	                   	                 	                    	                    	                        	                    	                 	                    	                       	                               	                       	                       	                     	                     	                                 	                       	                   	                     	                   	                             	                    	                       	                          	                         	                     	                 	                    	                          	+               	+               	                         	                      	                           	                     	                	                     	                         	                	C. grandis reworked (?)

  IR	                 	Late Eocene      	                  	CP15a         	171	1052	A	  7	H	CC	  19.00	     61.1800	Watkins  	Nannofossils                                 	A              	G                 	+                        	                       	                      	+                      	+                      	+                        	                     	                   	                 	                    	                    	                        	                    	                 	                    	                       	                               	                       	                       	                     	                     	                                 	                       	                   	                     	                   	                             	                    	                       	                          	                         	                     	                 	                    	                          	+               	+               	                         	                      	+                          	                     	                	                     	                         	                	       

  IR	                 	Late Eocene      	                  	CP15a         	171	1052	A	  8	H	CC	  21.00	     70.3900	Watkins  	Nannofossils                                 	A              	G                 	+                        	                       	+                     	+                      	+                      	+                        	                     	                   	                 	                    	                    	                        	                    	                 	                    	                       	                               	                       	                       	                     	                     	                                 	                       	                   	                     	                   	                             	                    	                       	                          	                         	                     	                 	                    	                          	+               	+               	                         	                      	                           	                     	                	                     	                         	                	       

  IR	                 	Middle Eocene    	                  	CP14b         	171	1052	A	  9	H	 1	  67.00	     70.8700	Watkins  	Nannofossils                                 	               	                  	+                        	                       	+                     	+                      	+                      	+                        	                     	                   	                 	                    	                    	                        	                    	                 	                    	                       	                               	                       	                       	                     	                     	                                 	                       	                   	                     	                   	                             	                    	                       	                          	                         	                     	                 	                    	                          	+               	+               	                         	                      	                           	                     	                	                     	                         	                	       

  IR	                 	Late Eocene      	                  	CP15a         	171	1052	A	  9	H	 3	  68.00	     73.8800	Watkins  	Nannofossils                                 	A              	G                 	+                        	                       	+                     	+                      	+                      	+                        	                     	                   	                 	                    	                    	                        	                    	                 	                    	                       	                               	                       	                       	                     	                     	                                 	                       	                   	                     	                   	                             	                    	                       	                          	                         	                     	                 	                    	                          	+               	+               	                         	+                     	                           	                     	                	                     	                         	                	No Ch. grandis

  IR	                 	Late Eocene      	                  	CP15a         	171	1052	A	  9	H	 5	  67.00	     76.8700	Watkins  	Nannofossils                                 	A              	G                 	+                        	                       	+                     	+                      	+                      	                         	                     	                   	                 	                    	                    	                        	                    	                 	                    	                       	                               	                       	                       	                     	                     	                                 	                       	                   	                     	                   	                             	                    	                       	                          	                         	                     	                 	                    	                          	                	                	                         	+                     	                           	                     	                	                     	                         	                	Ch. grandis reworked

  IR	                 	Late Eocene      	                  	CP15a         	171	1052	A	  9	H	 6	  67.00	     78.3700	Watkins  	Nannofossils                                 	A              	G                 	+                        	                       	+                     	+                      	+                      	+                        	                     	                   	                 	                    	                    	                        	                    	                 	                    	                       	                               	                       	                       	                     	                     	                                 	                       	                   	                     	                   	                             	                    	                       	                          	                         	                     	                 	                    	                          	+               	+               	+                        	                      	                           	                     	                	                     	                         	                	       

  IR	                 	Middle Eocene    	                  	CP14b         	171	1052	A	  9	H	CC	   0.00	     79.8200	Watkins  	Nannofossils                                 	A              	G                 	+                        	                       	                      	+                      	+                      	+                        	+                    	                   	                 	                    	                    	                        	                    	                 	                    	                       	                               	                       	                       	                     	                     	                                 	                       	                   	                     	                   	                             	                    	                       	                          	                         	                     	                 	                    	                          	+               	+               	                         	                      	                           	                     	                	                     	                         	                	1 questionable specimen of C. oamauruensis found - missing central cross.

  IR	                 	Middle Eocene    	                  	CP14b         	171	1052	A	 10	H	CC	  12.00	     89.3400	Mita     	Nannofossils                                 	               	G                 	+                        	                       	+                     	+                      	+                      	+                        	+                    	                   	                 	                    	                    	                        	                    	                 	                    	                       	                               	                       	                       	                     	                     	                                 	                       	                   	                     	                   	                             	                    	+                      	                          	                         	                     	+                	                    	+                         	                	                	                         	                      	                           	                     	                	                     	                         	                	       

  IR	                 	                 	                  	CP14b         	171	1052	A	 11	H	CC	  21.00	     99.0400	Mita     	Nannofossils                                 	A              	G                 	+                        	                       	+                     	                       	+                      	+                        	R                    	                   	                 	                    	                    	                        	                    	                 	                    	                       	                               	                       	                       	                     	                     	                                 	                       	                   	                     	                   	                             	                    	F                      	                          	                         	                     	                 	                    	+                         	                	                	                         	                      	                           	                     	                	                     	                         	                	       

  IR	                 	Middle Eocene    	                  	CP14b         	171	1052	A	 12	H	 7	  52.00	    108.2200	Watkins  	Nannofossils                                 	A              	G                 	+                        	                       	+                     	+                      	                       	                         	+                    	                   	                 	                    	                    	                        	                    	                 	                    	                       	                               	                       	                       	                     	                     	                                 	                       	                   	                     	                   	                             	                    	+                      	                          	                         	                     	                 	                    	                          	                	                	                         	                      	                           	                     	                	                     	                         	                	small D. bisectus present

  IR	                 	Middle Eocene    	                  	CP14b         	171	1052	A	 13	H	CC	  16.00	    117.9000	Watkins  	Nannofossils                                 	A              	G                 	+                        	                       	+                     	+                      	+                      	                         	+                    	                   	                 	                    	                    	                        	                    	                 	                    	                       	                               	                       	                       	                     	                     	                                 	                       	                   	                     	                   	                             	                    	+                      	+                         	                         	                     	                 	                    	                          	                	                	                         	                      	                           	                     	                	                     	                         	                	       

  IR	                 	Middle Eocene    	                  	CP14b         	171	1052	A	 14	H	CC	  22.00	    127.5900	Watkins  	Nannofossils                                 	A              	M                 	                         	                       	+                     	+                      	                       	+                        	                     	                   	                 	                    	                    	                        	                    	                 	                    	                       	                               	                       	                       	                     	                     	+                                	                       	                   	                     	                   	                             	                    	+                      	+                         	                         	                     	                 	+                   	                          	                	                	                         	                      	                           	                     	                	                     	                         	                	       

  IR	                 	Middle Eocene    	                  	CP14a         	171	1052	A	 15	H	CC	  14.00	    129.6700	Watkins  	Nannofossils                                 	A              	M                 	+                        	                       	                      	+                      	                       	+                        	+                    	                   	                 	                    	                    	                        	                    	                 	                    	                       	                               	                       	                       	                     	                     	+                                	                       	                   	+                    	                   	                             	                    	+                      	                          	                         	                     	                 	+                   	                          	                	                	                         	                      	                           	                     	                	                     	                         	                	       

  IR	                 	Middle Eocene    	                  	CP14a         	171	1052	A	 16	X	CC	  17.00	    134.9500	Watkins  	Nannofossils                                 	A              	M                 	                         	                       	+                     	+                      	                       	+                        	+                    	                   	                 	                    	                    	                        	                    	                 	                    	                       	                               	                       	                       	                     	                     	                                 	                       	                   	+                    	                   	                             	                    	                       	                          	                         	                     	                 	                    	                          	                	                	                         	                      	                           	                     	                	                     	                         	                	       

  IR	                 	                 	                  	CP14b         	171	1052	A	 17	X	CC	  16.00	    142.4700	Mita     	Nannofossils                                 	A              	G                 	+                        	                       	+                     	                       	                       	+                        	+                    	                   	                 	                    	                    	                        	                    	                 	                    	                       	                               	                       	                       	                     	                     	                                 	                       	                   	                     	                   	+                            	                    	+                      	                          	                         	                     	+                	                    	                          	                	                	                         	                      	                           	                     	                	                     	                         	                	       

  IR	                 	Middle Eocene    	                  	              	171	1052	A	 18	X	 2	  62.00	    147.8200	Watkins  	Nannofossils                                 	A              	G                 	+                        	                       	                      	+                      	                       	+                        	                     	                   	                 	                    	                    	                        	                    	                 	                    	                       	                               	                       	                       	                     	                     	                                 	                       	                   	+                    	                   	                             	                    	                       	                          	                         	                     	                 	                    	                          	                	                	                         	                      	                           	                     	                	                     	                         	                	Subzone CP14a

  IR	                 	Middle Eocene    	                  	              	171	1052	A	 18	X	 4	  72.00	    150.9200	Watkins  	Nannofossils                                 	A              	G                 	+                        	                       	                      	+                      	                       	                         	+                    	                   	                 	                    	                    	                        	                    	                 	                    	                       	                               	                       	                       	                     	                     	                                 	                       	                   	+                    	                   	                             	                    	                       	                          	                         	                     	                 	                    	                          	                	                	                         	                      	                           	                     	                	                     	                         	                	CP14a; no Cr. reticulatum

  IR	                 	                 	                  	CP14b         	171	1052	A	 18	X	CC	  16.00	    154.7600	Mita     	Nannofossils                                 	A              	G                 	+                        	                       	+                     	                       	                       	                         	+                    	                   	                 	                    	                    	                        	                    	                 	                    	                       	                               	                       	                       	                     	                     	                                 	                       	                   	                     	                   	+                            	                    	+                      	                          	                         	                     	+                	                    	                          	                	                	                         	                      	                           	                     	                	                     	                         	                	       

  IR	                 	Middle Eocene    	                  	CP14a         	171	1052	A	 19	X	 1	  62.00	    155.9200	Watkins  	Nannofossils                                 	A              	G                 	+                        	                       	                      	                       	                       	                         	+                    	                   	                 	                    	                    	                        	                    	                 	                    	                       	                               	                       	                       	                     	                     	+                                	                       	                   	+                    	                   	+                            	                    	+                      	                          	+                        	+                    	                 	                    	                          	                	                	                         	                      	                           	                     	                	                     	                         	                	rare R. umbilica @ 14-15 um reworked D. lodoensis and D. salisburgensis

  IR	                 	Middle Eocene    	                  	CP14a         	171	1052	A	 19	X	 3	  43.00	    158.7300	Watkins  	Nannofossils                                 	A              	G                 	+                        	                       	                      	                       	                       	                         	+                    	                   	                 	                    	                    	                        	                    	                 	                    	                       	                               	                       	                       	                     	                     	                                 	                       	                   	+                    	                   	+                            	+                   	+                      	+                         	                         	                     	                 	                    	                          	                	                	                         	                      	                           	                     	                	                     	                         	                	       

  IR	                 	Middle Eocene    	                  	CP14a         	171	1052	A	 19	X	 4	  63.00	    160.4300	Watkins  	Nannofossils                                 	A              	G                 	+                        	                       	                      	                       	                       	                         	+                    	                   	                 	                    	                    	                        	                    	                 	                    	                       	                               	                       	                       	                     	                     	                                 	                       	                   	+                    	                   	                             	+                   	                       	                          	                         	                     	                 	                    	                          	                	                	                         	                      	                           	                     	                	                     	                         	                	       

  IR	                 	Middle Eocene    	                  	CP14a         	171	1052	A	 19	X	 4	  73.00	    160.5300	Watkins  	Nannofossils                                 	C              	M                 	+                        	                       	+                     	+                      	                       	                         	+                    	                   	                 	                    	                    	                        	                    	                 	                    	                       	                               	                       	                       	                     	                     	                                 	                       	                   	+                    	                   	+                            	+                   	+                      	                          	                         	                     	                 	                    	                          	                	                	                         	                      	                           	                     	                	                     	                         	                	few R. umbilica @ 14-15 um

  IR	                 	                 	                  	              	171	1052	A	 19	X	 5	  63.00	    161.9300	Watkins  	Nannofossils                                 	T              	P                 	                         	                       	                      	                       	                       	                         	                     	                   	                 	                    	                    	                        	                    	                 	                    	                       	                               	                       	                       	                     	                     	                                 	                       	                   	                     	+                  	                             	                    	                       	                          	                         	                     	                 	                    	                          	                	                	                         	                      	                           	                     	                	                     	                         	                	       

  IR	                 	Middle Eocene    	                  	CP12b         	171	1052	A	 19	X	 5	 142.00	    162.7200	Watkins  	Nannofossils                                 	C              	M                 	                         	                       	                      	                       	                       	                         	+                    	                   	                 	                    	                    	                        	                    	                 	                    	                       	                               	                       	                       	                     	+                    	+                                	+                      	+                  	+                    	                   	                             	                    	                       	                          	                         	                     	                 	                    	                          	                	                	                         	                      	                           	                     	                	                     	                         	                	D. lodoensis reworked

  IR	                 	Early Paleocene  	                  	CP3           	171	1052	A	 19	X	 6	  69.00	    163.4900	Watkins  	Nannofossils                                 	C              	M                 	                         	                       	                      	                       	                       	                         	                     	                   	+                	+                   	+                   	+                       	+                   	+                	+                   	+                      	                               	+                      	+                      	                     	                     	                                 	                       	                   	                     	                   	                             	                    	                       	                          	                         	                     	                 	                    	                          	                	                	                         	                      	                           	                     	                	                     	                         	                	       

  IR	                 	Late Paleocene   	                  	CP3           	171	1052	A	 19	X	 6	  73.00	    163.5300	Watkins  	Nannofossils                                 	A              	G                 	                         	                       	                      	                       	                       	                         	                     	+                  	+                	+                   	+                   	+                       	+                   	+                	+                   	+                      	+                              	+                      	                       	                     	                     	                                 	                       	                   	                     	                   	                             	                    	                       	                          	                         	                     	                 	                    	                          	                	                	                         	                      	                           	                     	                	                     	                         	                	       

  IR	                 	Middle Eocene    	                  	CP14b         	171	1052	A	 19	X	CC	  37.00	    164.3600	Watkins  	Nannofossils                                 	A              	G                 	+                        	+                      	+                     	+                      	+                      	+                        	+                    	                   	                 	                    	                    	                        	                    	                 	                    	                       	                               	                       	                       	                     	                     	                                 	                       	                   	                     	                   	                             	                    	                       	                          	                         	                     	                 	                    	                          	                	                	                         	                      	                           	                     	                	                     	                         	                	       

  IR	                 	Late Paleocene   	                  	CP3           	171	1052	A	 20	X	CC	  16.00	    163.2900	Watkins  	Nannofossils                                 	C              	M                 	                         	                       	                      	                       	                       	                         	                     	                   	                 	                    	+                   	+                       	                    	                 	+                   	+                      	                               	                       	+                      	+                    	                     	                                 	                       	                   	                     	                   	                             	                    	                       	                          	                         	                     	                 	                    	                          	                	                	                         	                      	                           	                     	                	                     	                         	                	       

