Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Sphenolithus abies,Reticulofenestra pseudoumbilicus,Reticulofenestra minutula,Reticulofenestra minuta,Helicosphaera carteri,Discoaster variabilis,Discoaster brouweri,Discoaster bollii,Dictyococcites productus,Dictyococcites antarcticus,Cryptococcolithus takayamae,Coccolithus pelagicus,Coccolithus miopelagicus,Calcidiscus macintyrei,Ericsonia formosa,Discoaster neohamatus,Discoaster calcaris,Discoaster bellus,Discoaster barbadiensis,Triquetrorhabdulus rugosus,Discoaster quinqueramus,Calcidiscus leptoporus,Umbilicosphaera sibogae,Pyrocyclus hermosus,Pseudobiscutum biobturaculum,Discolithina multipora,Discolithina discopora,Discoaster loeblichii,Discoaster hamatus,Discoaster challengeri,Dictyococcites bisectus,Minylitha convallis,Discoaster surculus,Discoaster saipanensis,Discoaster pentaradiatus,Discoaster intercalaris,Discoaster icarus,Reticulofenestra umbilica,Sphenolithus moriformis,Rhabdosphaera clavigera,Discoaster asymmetricus,Discoaster berggrenii,Dictyococcites abisectus,Cyclicargolithus floridanus,Tranolithus exiguus,Amaurolithus primus,Amaurolithus delicatus,Gephyrocapsa spp. (small),Microrhabdulus decoratus,Helicosphaera euphratis,Discoaster moorei,Discoaster deflandrei,Chiasmolithus grandis,Calcidiscus tropicus,Braarudosphaera bigelowii,Aspidolithus parcus constrictus,Chiasmolithus modestus,Isthmolithus recurvus,Discoaster lodoensis,Helicosphaera vedderi,Discolithina japonica,Amaurolithus amplificus,Discoaster signus,Chiasmolithus solitus,Chiasmolithus eograndis,Lithostromation perdurum,Discolithina syracusana,Umbilicosphaera angustiforamen,Eiffellithus sp.,Micula decussata,Amaurolithus tricorniculatus,Ceratolithus acutus,Syracosphaera pulchra,Ceratolithus cristatus,Ceratolithus armatus,Syracosphaera nodosa,Scapholithus fossilis,Pseudoemiliania lacunosa,Sphenolithus radians,Coronocyclus nitescens,Helicosphaera sellii,Chiasmolithus oamaruensis,Prediscosphaera sp.,Discoaster tamalis,Discoaster petaliformis,Cribrocentrum reticulatum,Helicosphaera wallichii,Syracosphaera lamina,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,CN12b             ,              ,150, 905,A, 28,X, 2,  73.00,    226.2300,Gartner  ,Nannofossils                                 ,               ,                  ,                  ,VR                              ,F                        ,A                      ,C                    ,                     ,VR                 ,                 ,F                       ,                          ,                           ,F                    ,                        ,VR                    ,                 ,                     ,                   ,                 ,                       ,                          ,                       ,R                     ,                       ,                   ,                            ,                      ,                      ,                     ,                  ,                      ,                       ,                   ,R                  ,                      ,VR                      ,                       ,                 ,                         ,                       ,VR                     ,                       ,                     ,                        ,                           ,                   ,                   ,                      ,                         ,                        ,                       ,                 ,                     ,                     ,                    ,                         ,                               ,                      ,                     ,                    ,                     ,F                    ,                       ,                 ,                     ,                       ,                        ,                       ,                              ,                ,                ,                            ,                   ,                     ,VR                    ,                    ,                    ,                     ,R                       ,                    ,                      ,R                   ,                         ,                   ,                  ,                       ,                         ,                       ,                    ,From Leg 150 SR; Ch 4; Figure 1; p 55
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,CN12b             ,              ,150, 905,A, 28,X, 3,  78.00,    227.7800,Gartner  ,Nannofossils                                 ,               ,                  ,                  ,                                ,                         ,                       ,                     ,                     ,                   ,                 ,                        ,                          ,                           ,F                    ,                        ,R                     ,                 ,                     ,                   ,                 ,                       ,                          ,                       ,R                     ,                       ,                   ,                            ,                      ,                      ,                     ,                  ,                      ,                       ,                   ,R                  ,                      ,                        ,                       ,                 ,                         ,                       ,                       ,                       ,                     ,                        ,                           ,                   ,                   ,                      ,                         ,                        ,                       ,                 ,                     ,                     ,                    ,                         ,                               ,                      ,                     ,                    ,                     ,                     ,                       ,                 ,                     ,                       ,                        ,                       ,                              ,                ,                ,                            ,                   ,                     ,                      ,                    ,                    ,                     ,                        ,                    ,                      ,                    ,                         ,                   ,                  ,                       ,                         ,                       ,                    ,From Leg 150 SR; Ch 4; Figure 1; p 55
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,CN12b             ,              ,150, 905,A, 28,X, 4,  75.00,    229.2500,Gartner  ,Nannofossils                                 ,               ,                  ,                  ,VR                              ,F                        ,F                      ,R                    ,                     ,VR                 ,                 ,R                       ,                          ,                           ,F                    ,                        ,VR                    ,                 ,                     ,                   ,                 ,                       ,                          ,                       ,R                     ,                       ,                   ,                            ,                      ,                      ,                     ,                  ,                      ,                       ,                   ,R                  ,                      ,F                       ,                       ,                 ,                         ,                       ,                       ,                       ,                     ,                        ,                           ,                   ,                   ,                      ,                         ,                        ,                       ,                 ,                     ,                     ,                    ,                         ,                               ,                      ,                     ,                    ,                     ,                     ,                       ,                 ,                     ,                       ,                        ,                       ,                              ,                ,                ,                            ,                   ,                     ,VR                    ,                    ,                    ,                     ,F                       ,                    ,                      ,R                   ,                         ,                   ,                  ,                       ,                         ,                       ,                    ,From Leg 150 SR; Ch 4; Figure 1; p 55
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,CN12b             ,              ,150, 905,A, 30,X, 1,  89.00,    242.8900,Gartner  ,Nannofossils                                 ,               ,                  ,                  ,                                ,                         ,                       ,                     ,                     ,                   ,                 ,                        ,                          ,                           ,R                    ,                        ,VR                    ,                 ,                     ,                   ,                 ,                       ,                          ,                       ,VR                    ,                       ,                   ,                            ,                      ,                      ,                     ,                  ,                      ,                       ,                   ,                   ,                      ,                        ,                       ,                 ,                         ,                       ,                       ,                       ,                     ,                        ,                           ,                   ,                   ,                      ,                         ,                        ,                       ,                 ,                     ,                     ,                    ,                         ,                               ,                      ,                     ,                    ,                     ,                     ,                       ,                 ,                     ,                       ,                        ,                       ,                              ,                ,                ,                            ,                   ,                     ,                      ,                    ,                    ,                     ,                        ,                    ,                      ,                    ,                         ,                   ,                  ,                       ,                         ,                       ,                    ,From Leg 150 SR; Ch 4; Figure 1; p 55
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,CN12a             ,              ,150, 905,A, 30,X, 2,  89.00,    244.3900,Gartner  ,Nannofossils                                 ,               ,                  ,                  ,                                ,F                        ,                       ,VR                   ,                     ,VR                 ,                 ,                        ,                          ,                           ,F                    ,                        ,VR                    ,                 ,                     ,                   ,                 ,                       ,                          ,                       ,VR                    ,                       ,                   ,                            ,                      ,                      ,                     ,                  ,                      ,                       ,                   ,R                  ,                      ,R                       ,                       ,                 ,                         ,                       ,                       ,VR                     ,                     ,                        ,                           ,                   ,                   ,                      ,                         ,                        ,                       ,                 ,                     ,                     ,                    ,                         ,                               ,                      ,                     ,                    ,                     ,                     ,                       ,                 ,                     ,                       ,                        ,                       ,                              ,                ,                ,                            ,                   ,                     ,                      ,                    ,                    ,                     ,                        ,                    ,                      ,                    ,                         ,                   ,VR                ,                       ,                         ,                       ,                    ,From Leg 150 SR; Ch 4; Figure 1; p 55
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,CN12a             ,              ,150, 905,A, 30,X, 4,  90.00,    247.4000,Gartner  ,Nannofossils                                 ,               ,                  ,                  ,cf                              ,R                        ,R                      ,R                    ,                     ,VR                 ,                 ,R                       ,                          ,                           ,F                    ,                        ,                      ,                 ,                     ,                   ,                 ,                       ,                          ,                       ,R                     ,                       ,                   ,                            ,                      ,                      ,                     ,                  ,                      ,                       ,                   ,R                  ,                      ,R                       ,                       ,                 ,                         ,                       ,                       ,                       ,                     ,                        ,                           ,                   ,                   ,                      ,                         ,                        ,                       ,                 ,r                    ,                     ,                    ,                         ,                               ,                      ,                     ,                    ,                     ,                     ,                       ,                 ,                     ,                       ,                        ,                       ,                              ,                ,                ,                            ,                   ,                     ,VR                    ,                    ,                    ,                     ,R                       ,                    ,                      ,R                   ,                         ,                   ,                  ,                       ,                         ,                       ,                    ,From Leg 150 SR; Ch 4; Figure 1; p 55
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,CN12a             ,              ,150, 905,A, 30,X, 6,  90.00,    250.4000,Gartner  ,Nannofossils                                 ,               ,                  ,                  ,cf                              ,F                        ,R                      ,F                    ,                     ,                   ,                 ,F                       ,                          ,                           ,F                    ,                        ,R                     ,                 ,                     ,                   ,                 ,                       ,                          ,                       ,F                     ,                       ,                   ,                            ,                      ,VR                    ,                     ,                  ,                      ,                       ,                   ,VR                 ,                      ,R                       ,                       ,                 ,                         ,                       ,                       ,                       ,                     ,                        ,                           ,                   ,                   ,                      ,                         ,                        ,                       ,                 ,                     ,                     ,                    ,                         ,                               ,                      ,                     ,                    ,                     ,                     ,                       ,                 ,                     ,                       ,                        ,                       ,VR                            ,                ,                ,                            ,                   ,                     ,                      ,                    ,                    ,                     ,F                       ,                    ,                      ,VR                  ,                         ,                   ,                  ,                       ,                         ,                       ,                    ,From Leg 150 SR; Ch 4; Figure 1; p 55
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,CN12a             ,              ,150, 905,A, 31,X, 1,  88.00,    252.5800,Gartner  ,Nannofossils                                 ,               ,                  ,                  ,r                               ,F                        ,C                      ,VR                   ,                     ,R                  ,                 ,F                       ,                          ,r                          ,C                    ,                        ,F                     ,                 ,                     ,                   ,                 ,                       ,                          ,r                      ,F                     ,                       ,                   ,                            ,                      ,                      ,                     ,r                 ,                      ,                       ,                   ,R                  ,r                     ,VR                      ,                       ,                 ,                         ,                       ,                       ,                       ,                     ,                        ,                           ,                   ,                   ,                      ,                         ,                        ,                       ,                 ,                     ,                     ,                    ,                         ,                               ,                      ,                     ,                    ,                     ,VR                   ,                       ,                 ,                     ,                       ,                        ,                       ,VR                            ,                ,                ,                            ,                   ,                     ,R                     ,                    ,                    ,                     ,F                       ,                    ,                      ,VR                  ,                         ,                   ,R                 ,                       ,r                        ,                       ,                    ,From Leg 150 SR; Ch 4; Figure 1; p 55
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,CN12a             ,              ,150, 905,A, 31,X, 2,  90.00,    254.1000,Gartner  ,Nannofossils                                 ,               ,                  ,                  ,                                ,F                        ,F                      ,VR                   ,                     ,                   ,                 ,F                       ,                          ,                           ,F                    ,                        ,R                     ,                 ,                     ,                   ,                 ,                       ,                          ,                       ,R                     ,                       ,                   ,                            ,                      ,                      ,                     ,                  ,                      ,                       ,                   ,VR                 ,                      ,VR                      ,                       ,                 ,                         ,                       ,                       ,                       ,                     ,                        ,                           ,                   ,                   ,                      ,                         ,                        ,                       ,                 ,                     ,                     ,                    ,                         ,                               ,                      ,                     ,                    ,                     ,                     ,                       ,                 ,                     ,                       ,                        ,                       ,VR                            ,                ,                ,                            ,                   ,                     ,VR                    ,                    ,                    ,                     ,F                       ,                    ,                      ,VR                  ,                         ,                   ,                  ,                       ,                         ,                       ,                    ,From Leg 150 SR; Ch 4; Figure 1; p 55
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,CN12a             ,              ,150, 905,A, 32,X, 1,  90.00,    262.2000,Gartner  ,Nannofossils                                 ,               ,                  ,                  ,                                ,                         ,                       ,                     ,                     ,                   ,                 ,R                       ,                          ,                           ,F                    ,                        ,VR                    ,                 ,                     ,                   ,                 ,                       ,                          ,                       ,VR                    ,                       ,                   ,                            ,                      ,                      ,                     ,                  ,                      ,                       ,                   ,R                  ,                      ,                        ,                       ,                 ,                         ,                       ,                       ,                       ,                     ,                        ,                           ,                   ,                   ,                      ,                         ,                        ,                       ,                 ,                     ,                     ,                    ,                         ,                               ,                      ,                     ,                    ,                     ,                     ,                       ,                 ,                     ,                       ,                        ,                       ,                              ,                ,                ,                            ,                   ,                     ,                      ,                    ,                    ,                     ,                        ,                    ,                      ,                    ,                         ,                   ,                  ,r                      ,                         ,                       ,                    ,From Leg 150 SR; Ch 4; Figure 1; p 55
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,CN12a             ,              ,150, 905,A, 32,X, 2,  89.00,    263.6900,Gartner  ,Nannofossils                                 ,               ,                  ,                  ,r                               ,C                        ,C                      ,VR                   ,                     ,R                  ,                 ,C                       ,                          ,                           ,C                    ,                        ,R                     ,                 ,                     ,                   ,                 ,                       ,                          ,                       ,F                     ,VR                     ,                   ,                            ,                      ,VR                    ,                     ,                  ,                      ,                       ,                   ,VR                 ,                      ,VR                      ,                       ,                 ,r                        ,                       ,                       ,VR                     ,                     ,                        ,                           ,                   ,                   ,                      ,                         ,                        ,                       ,                 ,                     ,                     ,                    ,                         ,                               ,                      ,                     ,                    ,                     ,VR                   ,                       ,                 ,                     ,                       ,                        ,                       ,VR                            ,                ,                ,                            ,                   ,VR                   ,VR                    ,                    ,                    ,                     ,F                       ,                    ,                      ,                    ,                         ,                   ,                  ,                       ,                         ,                       ,                    ,From Leg 150 SR; Ch 4; Figure 1; p 55
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,CN12a             ,              ,150, 905,A, 32,X, 3,  89.00,    265.1900,Gartner  ,Nannofossils                                 ,               ,                  ,                  ,                                ,C                        ,C                      ,VR                   ,                     ,VR                 ,                 ,F                       ,                          ,                           ,F                    ,                        ,R                     ,                 ,                     ,                   ,                 ,                       ,                          ,                       ,F                     ,VR                     ,                   ,                            ,                      ,                      ,                     ,                  ,                      ,                       ,                   ,VR                 ,                      ,VR                      ,                       ,                 ,                         ,r                      ,                       ,                       ,                     ,                        ,                           ,                   ,                   ,                      ,                         ,                        ,                       ,                 ,                     ,                     ,                    ,                         ,                               ,                      ,                     ,                    ,                     ,                     ,                       ,                 ,                     ,                       ,                        ,                       ,VR                            ,                ,                ,                            ,                   ,                     ,                      ,                    ,                    ,                     ,C                       ,                    ,                      ,VR                  ,                         ,                   ,VR                ,                       ,                         ,                       ,                    ,From Leg 150 SR; Ch 4; Figure 1; p 55
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,CN12a             ,              ,150, 905,A, 32,X, 4,  89.00,    266.6900,Gartner  ,Nannofossils                                 ,               ,                  ,                  ,                                ,A                        ,A                      ,F                    ,                     ,VR                 ,                 ,C                       ,                          ,                           ,C                    ,                        ,F                     ,                 ,                     ,                   ,                 ,                       ,                          ,r                      ,C                     ,                       ,                   ,                            ,                      ,                      ,                     ,                  ,                      ,                       ,                   ,VR                 ,                      ,F                       ,                       ,                 ,r                        ,                       ,                       ,                       ,                     ,                        ,                           ,                   ,                   ,                      ,VR                       ,                        ,                       ,                 ,                     ,                     ,                    ,                         ,                               ,r                     ,                     ,                    ,                     ,R                    ,                       ,                 ,                     ,                       ,                        ,                       ,VR                            ,                ,                ,                            ,                   ,                     ,VR                    ,                    ,                    ,                     ,C                       ,                    ,                      ,R                   ,                         ,                   ,VR                ,                       ,                         ,                       ,                    ,From Leg 150 SR; Ch 4; Figure 1; p 55
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,CN12a             ,              ,150, 905,A, 32,X, 6,  89.00,    269.6900,Gartner  ,Nannofossils                                 ,               ,                  ,                  ,                                ,A                        ,A                      ,F                    ,                     ,R                  ,                 ,C                       ,                          ,                           ,C                    ,                        ,C                     ,                 ,                     ,                   ,                 ,                       ,                          ,                       ,C                     ,                       ,                   ,                            ,VR                    ,VR                    ,                     ,                  ,                      ,                       ,                   ,VR                 ,r                     ,F                       ,                       ,                 ,                         ,                       ,R                      ,                       ,r                    ,                        ,                           ,                   ,                   ,                      ,F                        ,                        ,                       ,                 ,                     ,                     ,                    ,                         ,                               ,                      ,r                    ,                    ,                     ,R                    ,                       ,                 ,                     ,                       ,                        ,VR                     ,VR                            ,                ,                ,                            ,                   ,VR                   ,VR                    ,                    ,                    ,                     ,C                       ,                    ,r                     ,R                   ,                         ,                   ,VR                ,                       ,                         ,                       ,                    ,From Leg 150 SR; Ch 4; Figure 1; p 55
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,CN12a             ,              ,150, 905,A, 33,X, 1,  89.00,    271.8900,Gartner  ,Nannofossils                                 ,               ,                  ,VR                ,                                ,A                        ,A                      ,F                    ,                     ,R                  ,                 ,C                       ,                          ,                           ,C                    ,r                       ,VR                    ,                 ,                     ,                   ,                 ,                       ,                          ,                       ,C                     ,R                      ,                   ,                            ,                      ,VR                    ,                     ,                  ,                      ,                       ,                   ,R                  ,                      ,R                       ,                       ,                 ,r                        ,                       ,VR                     ,R                      ,                     ,                        ,r                          ,                   ,                   ,                      ,VR                       ,                        ,                       ,                 ,r                    ,                     ,                    ,                         ,                               ,r                     ,                     ,                    ,                     ,R                    ,                       ,                 ,                     ,                       ,                        ,R                      ,R                             ,                ,                ,                            ,                   ,VR                   ,                      ,                    ,                    ,                     ,C                       ,                    ,                      ,VR                  ,                         ,r                  ,VR                ,                       ,                         ,                       ,                    ,From Leg 150 SR; Ch 4; Figure 1; p 55
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
