Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Lenticulina spp.	Dentalina spp.	Ammodiscus sp.	Valvulineria intracretacea/parva	Tristix excavata	Pleurostomella spp.	Osangularia utaturensis	Osangularia insigna	Nodosaria spp.	Margulinopsis spp.	Marginulina spp.	Gyroidinoides primitiva	Glomospira gordialis	Gavelinella intermedia	Gavelinella ammonoides	other agglutinated taxa	lagenid taxa	Tritaxa spp.	Spiroplectammina spp.	Sitella spp. (juveniles)	Sitella cf. plana	Reussella szajnochae	Pyramidina sp. (large)	Pyramidina sp. (apical spine)	Praebulimina reussi	Paralabamina lunata	Paralabamina hillebrandti	Other trochospiral taxa	Osangularia velascoensis	Osangularia navarroana	Nuttallides truempyi	Gyroidinoides depressus	Globorotalites sp. A	Gavelinella beccariiformis	Gaudryina pyramidata	Bulimina velascoensis	Bulimina sp. 185 (apical spine)	Bulimina sp. (apical spine)	Boldia? sp.	Aragonia velascoensis	Alabamina sp. A	pleurostomellid taxa	Sitella cushmani	Scheibnerova? sp.	Pyramidina rudita	Pullenia spp.	Oridorsalis spp.	Nuttallinella sp. A	Gyroidinoides spp.	Goesella rugosa	Globorotalites sp. C	Cibicidoides hyphalus	Charltonia? sp. (porate)	Buliminella cf. beaumonti	Bulimina spinea	Allomorphina trochoides	Quadratobuliminella pyramidalis	Other bulimid taxa	Nonion havanensis	Nodogenerina spp.	Hyperammina/Bathysiphon frag.	Gyroidinoides tellburmaensis	Coryphostoma midwayensis	Bulimina trinitatensis	Bulimina sp. (triangular)	Brizalina/Coryphostoma spp. (small)	Bolivinoides delicatulus	Anomalinoides praeacutus	Allomorphina halli	Nuttallinella sp. B	Anomalinoides spissiformis	Vulvulina spinosa	Karreriella subglabra	Gyroidinoides girardanus	Globocassidulina subglobosa	Buliminella grata	Buliminella beaumonti	Bulimina thanetensis	Bulimina semicostata	Bulimina macilenta	Aragonia semireticulata	Nonionella spp.	Osangularia mexicana	Bulimina cf. semicostata	Comment

  IR	                 	Early Eocene     	                  	              	171	1049	A	 10	X	CC	  18.00	     73.1400	Widmark  	Benthic Foraminifers                         	A              	G                 	                	              	              	                                	                	                   	                       	                   	              	                  	                	                       	                    	                      	                      	                       	16          	            	                     	                        	                 	                    	                      	                             	                   	                   	                         	                       	                        	                      	12                  	                       	                    	                          	                    	                     	                               	                           	           	                     	               	1                   	                	                 	                 	             	11              	                   	                  	               	                    	                     	                        	                         	               	                       	                               	                  	1                	3                	                             	                            	                        	8                     	                         	                                   	                        	                        	                  	                   	1                         	1                	1                    	2                       	6                          	4                	6                    	1                   	28                  	2                 	6                      	               	                    	                        	3/4 of a tray examinednanno Zone CP 10 p-forams P 7 - P8 Very few RADS Few ostracods

  IR	                 	Late Paleocene   	                  	              	171	1049	A	 13	H	CC	   7.00	    100.0800	Widmark  	Benthic Foraminifers                         	C              	M                 	                	              	              	                                	                	                   	                       	                   	              	                  	                	                       	                    	                      	                      	1                      	10          	2           	2                    	3                       	6                	                    	                      	                             	                   	1                  	3                        	2                      	3                       	                      	3                   	2                      	3                   	1                         	                    	                     	                               	                           	           	2                    	               	2                   	4               	                 	                 	2            	3               	1                  	1                 	               	                    	                     	                        	                         	4              	                       	                               	                  	2                	1                	                             	                            	2                       	2                     	1                        	                                   	1                       	                        	                  	10                 	1                         	                 	                     	                        	                           	                 	                     	                    	                    	                  	                       	               	                    	                        	~3 trays examined p-foram Zone P 4 Few RADS Some ostracods

  IR	                 	Early Paleocene  	                  	              	171	1049	A	 16	X	CC	  45.00	    124.1200	Widmark  	Benthic Foraminifers                         	C              	G                 	                	              	              	                                	                	                   	                       	                   	              	                  	                	                       	                    	                      	                      	3                      	39          	            	                     	                        	                 	                    	                      	                             	                   	                   	8                        	6                      	2                       	                      	3                   	                       	2                   	1                         	1                   	                     	                               	                           	           	                     	               	                    	                	                 	                 	             	3               	                   	2                 	               	                    	                     	                        	                         	               	                       	1                              	1                 	6                	6                	3                            	1                           	3                       	15                    	6                        	10                                 	1                       	3                       	11                	                   	                          	                 	                     	                        	                           	                 	                     	                    	                    	                  	                       	               	                    	                        	Total sample (in 1 tray) examinedp-foram Zone P 1b (Danian)Abundant ostracodsNo RADS

  IR	                 	Maestrichtian    	                  	              	171	1049	A	 17	X	CC	  36.00	    128.4600	Widmark  	Benthic Foraminifers                         	C              	M                 	                	              	              	                                	                	                   	                       	                   	              	                  	                	                       	                    	                      	                      	                       	12          	1           	2                    	3                       	9                	9                   	                      	                             	3                  	1                  	9                        	                       	                        	                      	9                   	                       	3                   	1                         	                    	1                    	4                              	                           	2          	                     	               	3                   	2               	1                	2                	1            	2               	5                  	1                 	2              	4                   	1                    	16                      	2                        	1              	2                      	                               	                  	                 	                 	                             	                            	                        	                      	                         	                                   	                        	                        	                  	                   	                          	                 	                     	                        	                           	                 	                     	                    	                    	                  	                       	               	                    	                        	Total sample (in 2 trays) examenedp-foram A. mayaroensis ZoneFew RADSSome ostracodsZIPPO INOS!!

  IR	                 	Maestrichtian    	                  	              	171	1049	A	 18	X	CC	  21.00	    142.3900	Widmark  	Benthic Foraminifers                         	C              	M                 	                	              	              	                                	                	                   	                       	                   	              	                  	                	                       	                    	                      	                      	1                      	6           	2           	2                    	6                       	5                	2                   	1                     	3                            	4                  	4                  	4                        	2                      	1                       	2                     	11                  	2                      	4                   	3                         	1                   	4                    	7                              	3                          	3          	2                    	1              	                    	                	                 	                 	             	                	                   	                  	               	                    	                     	                        	                         	               	                       	                               	                  	                 	                 	                             	                            	                        	                      	                         	                                   	                        	                        	                  	                   	                          	                 	                     	                        	                           	                 	                     	                    	                    	                  	                       	               	                    	                        	3 trays examinedLOADED WITH INOS! early Maastrichtian p-foram G. falsostuarti - G. gansseri Zone Few RADS

  IR	                 	Albian           	                  	              	171	1049	A	 19	X	CC	  35.00	    150.9300	Widmark  	Benthic Foraminifers                         	A              	VG                	3               	3             	              	21                              	2               	5                  	51                     	5                  	1             	2                 	2               	34                     	1                   	5                     	4                     	                       	            	            	                     	                        	                 	                    	                      	                             	                   	                   	                         	                       	                        	                      	                    	                       	                    	                          	                    	                     	                               	                           	           	                     	               	                    	                	                 	                 	             	                	                   	                  	               	                    	                     	                        	                         	               	                       	                               	                  	                 	                 	                             	                            	                        	                      	                         	                                   	                        	                        	                  	                   	                          	                 	                     	                        	                           	                 	                     	                    	                    	                  	                       	               	                    	                        	Excellent preservation! Loaded w/ (reddish) bentic forams. Few (small) pl. forams.

  IR	                 	Aptian           	                  	              	171	1049	A	 22	X	CC	  20.00	    174.0100	Widmark  	Benthic Foraminifers                         	T              	P                 	5               	1             	10            	                                	                	                   	                       	                   	              	                  	                	                       	                    	                      	                      	                       	            	            	                     	                        	                 	                    	                      	                             	                   	                   	                         	                       	                        	                      	                    	                       	                    	                          	                    	                     	                               	                           	           	                     	               	                    	                	                 	                 	             	                	                   	                  	               	                    	                     	                        	                         	               	                       	                               	                  	                 	                 	                             	                            	                        	                      	                         	                                   	                        	                        	                  	                   	                          	                 	                     	                        	                           	                 	                     	                    	                    	                  	                       	               	                    	                        	Most specimens <125 microns pl. forams in 63-125 micron fraction only Inoceramids?

