Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Zygrhablithus bijugatus,Umbilicosphaera sp.,Sphenolithus sp.,Sphenolithus pseudoradians,Sphenolithus predistentus,Sphenolithus moriformis,Sphenolithus distentus,Reticulofenestra umbilica,Reticulofenestra sp. (5-7 microns),Pedinocyclus larvalis,Helicosphaera compacta,Discoaster sp. (5-rayed),Discoaster sp.,Discoaster nodifer,Discoaster deflandrei,Discoaster brouweri,Discoaster adamanteus,Dictyococcites scrippsae,Dictyococcites bisectus,Cyclicargolithus floridanus,Cyclicargolithus abisectus,Coronocyclus nitescens,Coccolithus sp.,Coccolithus pelagicus,Clausicoccus fenestratus,Chiasmolithus altus,Helicosphaera sp.,Discoaster barbadiensis,Pontosphaera segmenta,Discoaster tanii,Catinaster umbrellus,Discoaster saipanensis,Calcidiscus sp.,Sphenolithus ciperoensis,Sphenolithus radians,Discoaster sp. (9-rayed),Triquetrorhabdulus carinatus,Dictyococcites sp.,Sphenolithus tribulosus,Sphenolithus abies/neoabies,Reticulofenestra sp. (<5 microns),Reticulofenestra pseudoumbilica (>7microns),Pseudoemiliania lacunosa,Helicosphaera kamptneri,Helicosphaera granulata,Hayaster perplexus,Discoaster variabilis,Discoaster surculus,Calcidiscus macintyrei,Calcidiscus leptoporus,Umbilicosphaera mirabilis,Scyphosphaera sp.,Pontosphaera sp.,Discoaster triradiatus,Discoaster quinqueramus,Discoaster pentaradiatus,Discoaster asymmetricus,Amaurolithus delicatus,Syracosphaera sp.,Rhabdosphaera sp.,Oolithotus fragilis,Coronocyclus sp.,Syracosphaera pulchra,Scapholithus fossilis,Rhabdosphaera clavigera,Gephyrocapsa spp. small (<3.5 microns),Gephyrocapsa oceanica (4-5.5 microns)  ,Pontosphaera japonica,Helicosphaera sellii,Ceratolithus rugosus,Ceratolithus cristatus,Discosphaera tubifera,Ceratolithus sp.,Umbellosphaera irregularis,Pontosphaera multipora,Discoaster berggrenii,Ceratolithus telesmus,Helicosphaera euphratis,Discoaster tamalis,Discoaster challengeri,Braarudosphaera bigelowii,Sphenolithus heteromorphus,Emiliania huxleyi,Umbilicosphaera angustiforamen,Discoaster pansus,Gephyrocapsa spp. large (>5.5 microns),Ceratolithus simplex,Amaurolithus tricorniculatus,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pleistocene ,                 ,CN15              ,              ,134, 828,A,  2,H, 2,  28.00,      6.1800,Staerker ,Nannofossils                                 ,R              ,E                 ,                       ,                   ,                ,                          ,                         ,rR                     ,                      ,                         ,C                                 ,                     ,                      ,                        ,rS            ,                  ,rR                   ,rR                 ,                     ,                        ,                       ,rR                         ,                          ,                      ,               ,R                    ,                        ,                   ,                 ,                       ,                     ,                ,                    ,                      ,               ,                        ,                    ,                        ,                            ,A                 ,                       ,rR                         ,                                 ,                                           ,                        ,C                      ,                       ,                  ,rR                   ,                   ,                      ,C                     ,C                        ,                 ,                ,rR                    ,rR                     ,                        ,                       ,                      ,                 ,                 ,                   ,                ,C                    ,S                    ,S                      ,C                                     ,A                                      ,                     ,                    ,                    ,R                     ,S                    ,R               ,C                         ,                      ,                     ,                     ,                       ,                  ,                      ,                         ,rS                        ,V                ,                              ,                 ,R                                     ,                    ,                            ,from ODP Leg 134 SR Chapter 10 Table 2 pp190-193
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pleistocene ,                 ,CN15              ,              ,134, 828,A,  2,H, 3,  28.00,      7.6800,Staerker ,Nannofossils                                 ,R              ,E                 ,                       ,                   ,                ,                          ,                         ,                       ,                      ,                         ,C                                 ,                     ,                      ,                        ,rS            ,                  ,rR                   ,rR                 ,                     ,                        ,                       ,rS                         ,                          ,                      ,               ,R                    ,                        ,                   ,                 ,                       ,                     ,                ,                    ,                      ,               ,                        ,                    ,                        ,                            ,A                 ,                       ,rC                         ,                                 ,                                           ,                        ,C                      ,                       ,                  ,                     ,                   ,                      ,C                     ,R                        ,                 ,R               ,                      ,rR                     ,rR                      ,                       ,                      ,                 ,                 ,                   ,                ,S                    ,C                    ,C                      ,C                                     ,A                                      ,                     ,                    ,                    ,                      ,R                    ,                ,R                         ,                      ,                     ,                     ,                       ,                  ,                      ,                         ,rS                        ,A                ,                              ,                 ,R                                     ,                    ,                            ,from ODP Leg 134 SR Chapter 10 Table 2 pp190-193
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pleistocene ,                 ,CN15              ,              ,134, 828,A,  2,H, 5,  28.00,     10.6800,Staerker ,Nannofossils                                 ,R              ,E                 ,                       ,                   ,                ,                          ,                         ,                       ,                      ,                         ,C                                 ,                     ,                      ,                        ,rR            ,                  ,                     ,rR                 ,                     ,                        ,                       ,rR                         ,                          ,                      ,               ,                     ,                        ,                   ,                 ,                       ,                     ,                ,                    ,                      ,               ,                        ,                    ,                        ,                            ,A                 ,                       ,rR                         ,                                 ,                                           ,rR                      ,C                      ,                       ,                  ,                     ,                   ,                      ,C                     ,C                        ,                 ,                ,                      ,rR                     ,rR                      ,                       ,                      ,R                ,R                ,                   ,                ,S                    ,R                    ,S                      ,C                                     ,A                                      ,                     ,                    ,                    ,                      ,                     ,                ,R                         ,                      ,                     ,                     ,                       ,                  ,                      ,                         ,                          ,A                ,                              ,                 ,R                                     ,                    ,                            ,from ODP Leg 134 SR Chapter 10 Table 2 pp190-193
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pleistocene ,                 ,CN15              ,              ,134, 828,A,  2,H, 6,  28.00,     12.1800,Staerker ,Nannofossils                                 ,R              ,E                 ,                       ,R                  ,                ,                          ,                         ,rR                     ,                      ,                         ,C                                 ,                     ,                      ,                        ,rR            ,                  ,                     ,rR                 ,                     ,                        ,rR                     ,rR                         ,                          ,                      ,               ,                     ,                        ,                   ,                 ,                       ,                     ,                ,                    ,                      ,               ,                        ,                    ,                        ,                            ,A                 ,                       ,rR                         ,                                 ,                                           ,                        ,S                      ,                       ,                  ,                     ,                   ,                      ,S                     ,C                        ,                 ,                ,                      ,rR                     ,                        ,                       ,                      ,                 ,                 ,                   ,                ,C                    ,C                    ,S                      ,C                                     ,V                                      ,                     ,                    ,                    ,                      ,R                    ,                ,                          ,                      ,                     ,                     ,                       ,                  ,                      ,                         ,                          ,A                ,                              ,                 ,A                                     ,                    ,                            ,from ODP Leg 134 SR Chapter 10 Table 2 pp190-193
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pleistocene ,                 ,CN15              ,              ,134, 828,A,  2,H, 7,  29.00,     13.6900,Staerker ,Nannofossils                                 ,R              ,E                 ,                       ,                   ,                ,                          ,                         ,rR                     ,                      ,                         ,C                                 ,                     ,                      ,                        ,rR            ,                  ,rR                   ,rR                 ,                     ,                        ,                       ,rR                         ,                          ,                      ,               ,S                    ,                        ,                   ,                 ,                       ,                     ,                ,                    ,                      ,               ,                        ,                    ,                        ,                            ,C                 ,                       ,rS                         ,                                 ,                                           ,                        ,R                      ,                       ,                  ,                     ,                   ,                      ,C                     ,C                        ,                 ,                ,                      ,rR                     ,rR                      ,                       ,                      ,R                ,                 ,                   ,                ,S                    ,R                    ,R                      ,C                                     ,V                                      ,                     ,                    ,                    ,                      ,R                    ,                ,                          ,                      ,                     ,                     ,rR                     ,                  ,                      ,                         ,rR                        ,A                ,                              ,                 ,R                                     ,                    ,                            ,from ODP Leg 134 SR Chapter 10 Table 2 pp190-193
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pleistocene ,                 ,CN15              ,              ,134, 828,A,  3,H, 1,  30.00,     14.2000,Staerker ,Nannofossils                                 ,R              ,E                 ,                       ,                   ,rR              ,                          ,                         ,                       ,                      ,                         ,C                                 ,                     ,                      ,                        ,rS            ,                  ,                     ,rR                 ,                     ,                        ,                       ,rS                         ,                          ,                      ,               ,R                    ,                        ,                   ,                 ,                       ,                     ,                ,                    ,                      ,               ,                        ,                    ,                        ,                            ,A                 ,                       ,rC                         ,                                 ,                                           ,rR                      ,S                      ,                       ,                  ,                     ,                   ,                      ,C                     ,C                        ,                 ,                ,                      ,rR                     ,                        ,                       ,                      ,R                ,                 ,                   ,                ,S                    ,R                    ,R                      ,C                                     ,A                                      ,                     ,                    ,                    ,                      ,R                    ,                ,R                         ,                      ,                     ,                     ,                       ,                  ,                      ,                         ,rS                        ,A                ,R                             ,                 ,R                                     ,                    ,                            ,from ODP Leg 134 SR Chapter 10 Table 2 pp190-193
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pleistocene ,                 ,CN15              ,              ,134, 828,A,  3,H, 2,  30.00,     15.7000,Staerker ,Nannofossils                                 ,R              ,E                 ,                       ,                   ,                ,                          ,                         ,                       ,                      ,                         ,C                                 ,                     ,                      ,                        ,rS            ,                  ,                     ,rR                 ,                     ,                        ,                       ,rR                         ,                          ,                      ,               ,R                    ,                        ,                   ,                 ,                       ,                     ,                ,                    ,                      ,               ,                        ,                    ,                        ,                            ,C                 ,                       ,rR                         ,                                 ,                                           ,rR                      ,S                      ,                       ,                  ,rR                   ,                   ,                      ,C                     ,C                        ,                 ,                ,                      ,rR                     ,                        ,                       ,                      ,R                ,                 ,                   ,                ,S                    ,R                    ,S                      ,C                                     ,A                                      ,                     ,                    ,                    ,                      ,                     ,R               ,R                         ,                      ,                     ,                     ,                       ,                  ,                      ,                         ,rR                        ,A                ,R                             ,                 ,S                                     ,                    ,                            ,from ODP Leg 134 SR Chapter 10 Table 2 pp190-193
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pleistocene ,                 ,CN15              ,              ,134, 828,A,  3,H, 3,  30.00,     17.2000,Staerker ,Nannofossils                                 ,R              ,E                 ,                       ,                   ,                ,                          ,                         ,                       ,                      ,                         ,S                                 ,                     ,                      ,                        ,rS            ,                  ,                     ,rR                 ,                     ,                        ,                       ,rS                         ,                          ,                      ,               ,S                    ,                        ,                   ,                 ,                       ,                     ,                ,                    ,                      ,               ,                        ,                    ,                        ,                            ,C                 ,                       ,rS                         ,                                 ,                                           ,                        ,C                      ,                       ,                  ,                     ,                   ,rR                    ,C                     ,C                        ,                 ,                ,                      ,rR                     ,                        ,                       ,                      ,R                ,                 ,                   ,                ,R                    ,R                    ,S                      ,C                                     ,A                                      ,                     ,                    ,                    ,                      ,                     ,                ,                          ,                      ,                     ,                     ,                       ,                  ,                      ,                         ,                          ,V                ,                              ,                 ,                                      ,                    ,                            ,from ODP Leg 134 SR Chapter 10 Table 2 pp190-193
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pleistocene ,                 ,CN15              ,              ,134, 828,A,  3,H, 4,  30.00,     18.7000,Staerker ,Nannofossils                                 ,R              ,E                 ,                       ,                   ,                ,                          ,                         ,                       ,                      ,                         ,R                                 ,                     ,                      ,                        ,rC            ,                  ,                     ,rR                 ,                     ,                        ,                       ,rR                         ,                          ,                      ,               ,                     ,                        ,                   ,                 ,                       ,                     ,                ,                    ,                      ,               ,                        ,                    ,                        ,                            ,                  ,                       ,rS                         ,                                 ,                                           ,                        ,S                      ,                       ,                  ,                     ,                   ,                      ,A                     ,C                        ,                 ,                ,                      ,rR                     ,rR                      ,                       ,                      ,                 ,                 ,R                  ,                ,C                    ,C                    ,C                      ,C                                     ,A                                      ,                     ,                    ,                    ,                      ,                     ,                ,R                         ,                      ,                     ,                     ,                       ,                  ,                      ,                         ,                          ,A                ,                              ,                 ,C                                     ,                    ,                            ,from ODP Leg 134 SR Chapter 10 Table 2 pp190-193
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pleistocene ,                 ,CN15              ,              ,134, 828,A,  3,H, 5,  30.00,     20.2000,Staerker ,Nannofossils                                 ,R              ,E                 ,                       ,                   ,                ,                          ,                         ,                       ,                      ,                         ,R                                 ,                     ,                      ,                        ,rS            ,                  ,                     ,rR                 ,                     ,                        ,                       ,rR                         ,                          ,                      ,               ,R                    ,                        ,                   ,                 ,                       ,                     ,                ,                    ,                      ,               ,                        ,                    ,                        ,                            ,C                 ,                       ,rR                         ,                                 ,                                           ,                        ,S                      ,                       ,                  ,                     ,                   ,                      ,A                     ,C                        ,                 ,                ,                      ,rR                     ,rR                      ,                       ,                      ,                 ,                 ,                   ,                ,R                    ,                     ,R                      ,C                                     ,V                                      ,                     ,R                   ,                    ,                      ,                     ,                ,R                         ,                      ,                     ,                     ,                       ,                  ,                      ,                         ,rR                        ,V                ,R                             ,                 ,S                                     ,                    ,                            ,from ODP Leg 134 SR Chapter 10 Table 2 pp190-193
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pleistocene ,                 ,CN15              ,              ,134, 828,A,  3,H, 6,  30.00,     21.7000,Staerker ,Nannofossils                                 ,R              ,E                 ,                       ,                   ,                ,                          ,                         ,                       ,                      ,                         ,C                                 ,                     ,                      ,                        ,rS            ,                  ,rR                   ,rR                 ,                     ,                        ,                       ,rS                         ,                          ,                      ,               ,                     ,                        ,                   ,                 ,                       ,                     ,                ,                    ,                      ,               ,                        ,                    ,                        ,                            ,C                 ,                       ,rS                         ,                                 ,                                           ,                        ,S                      ,                       ,                  ,rR                   ,rR                 ,rR                    ,A                     ,A                        ,R                ,R               ,rR                    ,rR                     ,rR                      ,                       ,                      ,R                ,                 ,                   ,                ,S                    ,R                    ,R                      ,C                                     ,A                                      ,                     ,R                   ,                    ,R                     ,                     ,                ,R                         ,                      ,                     ,R                    ,                       ,                  ,                      ,                         ,rR                        ,A                ,                              ,                 ,R                                     ,                    ,                            ,from ODP Leg 134 SR Chapter 10 Table 2 pp190-193
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pleistocene ,                 ,CN15              ,              ,134, 828,A,  3,H, 7,  30.00,     23.2000,Staerker ,Nannofossils                                 ,R              ,E                 ,                       ,                   ,                ,                          ,                         ,                       ,                      ,                         ,R                                 ,                     ,                      ,                        ,rR            ,                  ,rR                   ,rR                 ,                     ,                        ,                       ,rC                         ,                          ,                      ,               ,R                    ,                        ,                   ,                 ,                       ,                     ,                ,                    ,                      ,               ,                        ,                    ,                        ,                            ,C                 ,                       ,rR                         ,                                 ,                                           ,                        ,C                      ,                       ,                  ,                     ,                   ,                      ,C                     ,C                        ,                 ,                ,                      ,rR                     ,rR                      ,                       ,                      ,R                ,                 ,                   ,                ,R                    ,                     ,C                      ,C                                     ,A                                      ,                     ,                    ,                    ,                      ,                     ,                ,R                         ,                      ,                     ,                     ,                       ,                  ,                      ,                         ,                          ,V                ,                              ,                 ,R                                     ,                    ,                            ,from ODP Leg 134 SR Chapter 10 Table 2 pp190-193
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pleistocene ,                 ,CN15              ,              ,134, 828,A,  4,H, 1,  30.00,     23.7000,Staerker ,Nannofossils                                 ,R              ,E                 ,                       ,                   ,                ,                          ,                         ,                       ,                      ,                         ,R                                 ,                     ,                      ,                        ,rR            ,                  ,                     ,rR                 ,                     ,                        ,                       ,rR                         ,                          ,                      ,               ,R                    ,                        ,                   ,                 ,                       ,                     ,                ,                    ,                      ,               ,                        ,                    ,                        ,                            ,C                 ,                       ,rS                         ,                                 ,                                           ,                        ,S                      ,                       ,                  ,                     ,                   ,                      ,C                     ,C                        ,                 ,R               ,                      ,rR                     ,                        ,                       ,                      ,R                ,                 ,                   ,                ,S                    ,R                    ,R                      ,C                                     ,A                                      ,                     ,                    ,                    ,                      ,                     ,                ,                          ,                      ,                     ,                     ,                       ,                  ,                      ,                         ,                          ,V                ,                              ,                 ,S                                     ,                    ,                            ,from ODP Leg 134 SR Chapter 10 Table 2 pp190-193
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pleistocene ,                 ,CN15              ,              ,134, 828,A,  4,H, 2,  30.00,     25.2000,Staerker ,Nannofossils                                 ,R              ,E                 ,                       ,                   ,                ,                          ,                         ,                       ,                      ,                         ,S                                 ,                     ,                      ,                        ,rR            ,                  ,rR                   ,rR                 ,                     ,                        ,                       ,rR                         ,                          ,                      ,               ,R                    ,                        ,                   ,                 ,                       ,                     ,                ,                    ,                      ,               ,                        ,                    ,                        ,                            ,C                 ,                       ,rR                         ,                                 ,                                           ,                        ,C                      ,                       ,                  ,rR                   ,                   ,                      ,C                     ,C                        ,                 ,R               ,                      ,rR                     ,rR                      ,                       ,                      ,R                ,                 ,R                  ,                ,S                    ,R                    ,C                      ,S                                     ,A                                      ,R                    ,                    ,                    ,                      ,                     ,                ,                          ,                      ,                     ,                     ,                       ,                  ,                      ,                         ,                          ,V                ,                              ,                 ,S                                     ,                    ,                            ,from ODP Leg 134 SR Chapter 10 Table 2 pp190-193
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pleistocene ,                 ,CN15              ,              ,134, 828,A,  4,H, 3,  30.00,     26.7000,Staerker ,Nannofossils                                 ,R              ,E                 ,                       ,                   ,                ,                          ,                         ,                       ,                      ,                         ,R                                 ,                     ,                      ,                        ,rR            ,                  ,                     ,rR                 ,                     ,                        ,                       ,rR                         ,                          ,                      ,               ,R                    ,                        ,                   ,                 ,                       ,                     ,                ,                    ,                      ,               ,                        ,                    ,                        ,                            ,C                 ,                       ,rR                         ,                                 ,                                           ,rR                      ,S                      ,                       ,                  ,                     ,                   ,                      ,C                     ,C                        ,                 ,R               ,                      ,rR                     ,rR                      ,                       ,                      ,R                ,                 ,                   ,                ,S                    ,R                    ,C                      ,S                                     ,A                                      ,R                    ,                    ,                    ,                      ,                     ,                ,R                         ,                      ,                     ,                     ,                       ,                  ,                      ,                         ,                          ,V                ,                              ,                 ,S                                     ,                    ,                            ,from ODP Leg 134 SR Chapter 10 Table 2 pp190-193
