Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Reticulofenestra minutula,Gephyrocapsa spp. (small),Gephyrocapsa caribbeanica,Coccolithus pelagicus,Calcidiscus leptoporus,Pseudoemiliania lacunosa,Calcidiscus macintyrei,Gephyrocapsa oceanica,Reticulofenestra asanoi,Gephyrocapsa muellerae,Syracosphaera pulchra,Emiliania huxleyi,Scapholithus fossilis,Braarudosphaera bigelowii,Comment
  IR,Quaternary       ,                 ,                  ,              ,168,1028,A,  3,H, 6,  11.00,     20.8100,Su       ,Nannofossils                                 ,A              ,M                 ,                         ,A                        ,C                        ,R                    ,                      ,                        ,                      ,F                    ,                       ,A                     ,                     ,F                ,                     ,                         ,from unpublished FOSSILLIST files provided by Su(4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,                  ,              ,168,1028,A,  3,H,CC,  21.00,     22.9800,Su       ,Nannofossils                                 ,C              ,G                 ,                         ,R                        ,                         ,R                    ,                      ,                        ,                      ,T                    ,                       ,F                     ,                     ,D                ,                     ,T                        ,from unpublished FOSSILLIST files provided by Su(4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,                  ,              ,168,1028,A,  4,H, 1,  65.00,     23.3500,Su       ,Nannofossils                                 ,R              ,M                 ,                         ,T                        ,T                        ,R                    ,                      ,                        ,                      ,R                    ,                       ,R                     ,                     ,D                ,                     ,T                        ,from unpublished FOSSILLIST files provided by Su(4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,                  ,              ,168,1028,A,  4,H, 3, 131.00,     27.0100,Su       ,Nannofossils                                 ,C              ,M-G               ,                         ,F                        ,                         ,R                    ,R                     ,                        ,                      ,T                    ,                       ,R                     ,                     ,D                ,                     ,                         ,from unpublished FOSSILLIST files provided by Su(4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,                  ,              ,168,1028,A,  4,H, 5, 106.00,     29.7600,Su       ,Nannofossils                                 ,F              ,G                 ,                         ,F                        ,                         ,R                    ,T                     ,                        ,                      ,T                    ,                       ,R                     ,                     ,D                ,                     ,                         ,from unpublished FOSSILLIST files provided by Su(4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,                  ,              ,168,1028,A,  4,H, 7,  53.00,     32.2300,Su       ,Nannofossils                                 ,C              ,M-G               ,                         ,C                        ,                         ,R                    ,T                     ,                        ,                      ,R                    ,                       ,C                     ,                     ,A                ,                     ,                         ,from unpublished FOSSILLIST files provided by Su(4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,                  ,              ,168,1028,A,  5,H, 1,  53.00,     32.7300,Su       ,Nannofossils                                 ,C              ,G                 ,                         ,R                        ,                         ,T                    ,                      ,                        ,                      ,T                    ,                       ,D                     ,                     ,F                ,                     ,+                        ,from unpublished FOSSILLIST files provided by Su(4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,                  ,              ,168,1028,A,  5,H, 3, 117.00,     36.3700,Su       ,Nannofossils                                 ,C              ,M-G               ,                         ,R                        ,                         ,R                    ,                      ,                        ,                      ,F                    ,                       ,A                     ,                     ,R                ,                     ,T                        ,from unpublished FOSSILLIST files provided by Su(4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,                  ,              ,168,1028,A,  5,H, 5,  40.00,     38.6000,Su       ,Nannofossils                                 ,F              ,G                 ,                         ,R                        ,                         ,R                    ,                      ,                        ,                      ,R                    ,                       ,A                     ,                     ,T                ,                     ,T                        ,from unpublished FOSSILLIST files provided by Su(4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,                  ,              ,168,1028,A,  5,H, 7,  10.00,     41.3000,Su       ,Nannofossils                                 ,C              ,M-G               ,                         ,C                        ,                         ,R                    ,T                     ,                        ,                      ,F                    ,                       ,C                     ,                     ,T                ,                     ,T                        ,from unpublished FOSSILLIST files provided by Su(4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,                  ,              ,168,1028,A,  6,H, 3,  11.00,     44.8100,Su       ,Nannofossils                                 ,P              ,M-G               ,                         ,                         ,                         ,                     ,                      ,                        ,                      ,                     ,                       ,A                     ,                     ,C                ,                     ,                         ,from unpublished FOSSILLIST files provided by Su(4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,                  ,              ,168,1028,A,  6,H, 5, 100.00,     48.7000,Su       ,Nannofossils                                 ,P              ,M-G               ,                         ,                         ,                         ,                     ,                      ,                        ,                      ,                     ,                       ,                      ,                     ,C                ,                     ,                         ,from unpublished FOSSILLIST files provided by Su(4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,                  ,              ,168,1028,A,  6,H, 7,  60.00,     51.3000,Su       ,Nannofossils                                 ,F              ,M-G               ,                         ,A                        ,                         ,                     ,                      ,                        ,                      ,                     ,                       ,R                     ,T                    ,R                ,+                    ,                         ,from unpublished FOSSILLIST files provided by Su(4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,                  ,              ,168,1028,A,  7,H, 2,  60.00,     53.3000,Su       ,Nannofossils                                 ,R              ,G                 ,                         ,A                        ,                         ,R                    ,                      ,                        ,                      ,                     ,                       ,T                     ,                     ,C                ,                     ,                         ,from unpublished FOSSILLIST files provided by Su(4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,                  ,              ,168,1028,A,  7,H, 6,  49.00,     59.1900,Su       ,Nannofossils                                 ,T              ,G                 ,                         ,                         ,R                        ,C                    ,                      ,                        ,                      ,                     ,                       ,                      ,                     ,A                ,                     ,                         ,from unpublished FOSSILLIST files provided by Su(4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,                  ,              ,168,1028,A,  8,H, 2, 114.00,     63.3400,Su       ,Nannofossils                                 ,C              ,M-G               ,                         ,D                        ,                         ,R                    ,                      ,                        ,                      ,                     ,                       ,F                     ,                     ,F                ,                     ,                         ,from unpublished FOSSILLIST files provided by Su(4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,                  ,              ,168,1028,A,  8,H, 3, 110.00,     64.8000,Su       ,Nannofossils                                 ,A              ,M                 ,                         ,D                        ,R                        ,R                    ,                      ,                        ,                      ,                     ,                       ,F                     ,                     ,                 ,                     ,                         ,from unpublished FOSSILLIST files provided by Su(4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,                  ,              ,168,1028,A,  8,H, 5,  75.00,     67.4500,Su       ,Nannofossils                                 ,P              ,M                 ,                         ,                         ,R                        ,C                    ,                      ,                        ,                      ,                     ,                       ,C                     ,                     ,                 ,                     ,                         ,from unpublished FOSSILLIST files provided by Su(4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,                  ,              ,168,1028,A, 10,H, 3,  45.00,     83.1500,Su       ,Nannofossils                                 ,P              ,M-G               ,                         ,                         ,C                        ,                     ,                      ,                        ,                      ,                     ,                       ,                      ,                     ,                 ,                     ,                         ,from unpublished FOSSILLIST files provided by Su(4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,                  ,              ,168,1028,A, 10,H, 5,  10.00,     85.8000,Su       ,Nannofossils                                 ,C              ,M-G               ,                         ,C                        ,C                        ,R                    ,                      ,T                       ,                      ,R                    ,                       ,C                     ,                     ,                 ,                     ,                         ,from unpublished FOSSILLIST files provided by Su(4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,                  ,              ,168,1028,A, 10,H, 7,  16.00,     88.8600,Su       ,Nannofossils                                 ,F              ,M-G               ,                         ,F                        ,F                        ,T                    ,                      ,                        ,                      ,R                    ,                       ,C                     ,                     ,                 ,                     ,                         ,from unpublished FOSSILLIST files provided by Su(4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,                  ,              ,168,1028,A, 11,H, 1, 120.00,     90.4000,Su       ,Nannofossils                                 ,P              ,G                 ,                         ,                         ,T                        ,                     ,                      ,                        ,                      ,                     ,                       ,                      ,                     ,                 ,                     ,                         ,from unpublished FOSSILLIST files provided by Su(4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,                  ,              ,168,1028,A, 11,H, 2,  63.00,     91.3300,Su       ,Nannofossils                                 ,F              ,M-G               ,                         ,C                        ,C                        ,T                    ,                      ,                        ,                      ,                     ,                       ,F                     ,                     ,                 ,                     ,                         ,from unpublished FOSSILLIST files provided by Su(4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,                  ,              ,168,1028,A, 11,H, 3,  33.00,     92.5300,Su       ,Nannofossils                                 ,A              ,G                 ,                         ,C                        ,C                        ,R                    ,R                     ,R                       ,                      ,F                    ,                       ,C                     ,T                    ,                 ,                     ,                         ,from unpublished FOSSILLIST files provided by Su(4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,                  ,              ,168,1028,A, 11,H, 4,  31.00,     94.0100,Su       ,Nannofossils                                 ,C              ,M-G               ,                         ,R                        ,F                        ,R                    ,                      ,C                       ,                      ,C                    ,                       ,F                     ,                     ,                 ,                     ,                         ,from unpublished FOSSILLIST files provided by Su(4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,                  ,              ,168,1028,A, 11,H, 5, 102.00,     96.2200,Su       ,Nannofossils                                 ,C              ,M-G               ,                         ,A                        ,C                        ,F                    ,                      ,F                       ,                      ,R                    ,                       ,F                     ,                     ,                 ,                     ,                         ,from unpublished FOSSILLIST files provided by Su(4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,                  ,              ,168,1028,A, 11,H, 6, 132.00,     98.0200,Su       ,Nannofossils                                 ,D              ,M-G               ,                         ,D                        ,                         ,F                    ,                      ,R                       ,                      ,F                    ,                       ,F                     ,                     ,                 ,                     ,                         ,from unpublished FOSSILLIST files provided by Su(4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,                  ,              ,168,1028,A, 12,H, 2,  96.00,    101.1600,Su       ,Nannofossils                                 ,F              ,G                 ,                         ,A                        ,T                        ,R                    ,                      ,F                       ,                      ,                     ,                       ,C                     ,                     ,                 ,                     ,                         ,from unpublished FOSSILLIST files provided by Su(4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,                  ,              ,168,1028,A, 12,H, 4, 125.00,    104.4500,Su       ,Nannofossils                                 ,T              ,G                 ,                         ,D                        ,                         ,                     ,                      ,                        ,                      ,                     ,                       ,                      ,                     ,                 ,                     ,                         ,from unpublished FOSSILLIST files provided by Su(4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,                  ,              ,168,1028,A, 12,H, 6,  26.00,    106.4600,Su       ,Nannofossils                                 ,T              ,M-G               ,                         ,                         ,                         ,D                    ,                      ,                        ,                      ,                     ,                       ,                      ,                     ,                 ,                     ,                         ,from unpublished FOSSILLIST files provided by Su(4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,                  ,              ,168,1028,A, 13,X, 1, 110.00,    109.3000,Su       ,Nannofossils                                 ,P              ,M                 ,                         ,A                        ,                         ,F                    ,                      ,R                       ,                      ,                     ,                       ,                      ,                     ,                 ,                     ,                         ,from unpublished FOSSILLIST files provided by Su(4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,                  ,              ,168,1028,A, 13,X, 3, 140.00,    112.6000,Su       ,Nannofossils                                 ,A              ,M                 ,                         ,D                        ,                         ,F                    ,R                     ,F                       ,T                     ,                     ,                       ,                      ,                     ,                 ,                     ,                         ,from unpublished FOSSILLIST files provided by Su(4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,                  ,              ,168,1028,A, 13,X, 4, 107.00,    113.7700,Su       ,Nannofossils                                 ,C              ,M                 ,                         ,D                        ,                         ,F                    ,R                     ,F                       ,T                     ,                     ,                       ,                      ,                     ,                 ,                     ,                         ,from unpublished FOSSILLIST files provided by Su(4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,                  ,              ,168,1028,A, 13,X, 5,  10.00,    114.3000,Su       ,Nannofossils                                 ,A              ,M                 ,                         ,D                        ,                         ,R                    ,R                     ,F                       ,T                     ,                     ,                       ,R                     ,                     ,                 ,                     ,                         ,from unpublished FOSSILLIST files provided by Su(4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,                  ,              ,168,1028,A, 13,X,CC,  12.00,    115.6900,Su       ,Nannofossils                                 ,R              ,M                 ,                         ,D                        ,                         ,R                    ,F                     ,F                       ,R                     ,                     ,                       ,                      ,                     ,                 ,                     ,                         ,from unpublished FOSSILLIST files provided by Su(4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,                  ,              ,168,1028,A, 15,X, 1,  48.00,    124.2800,Su       ,Nannofossils                                 ,C              ,M-G               ,F                        ,F                        ,R                        ,R                    ,                      ,A                       ,                      ,                     ,R                      ,                      ,                     ,                 ,                     ,                         ,from unpublished FOSSILLIST files provided by Su(4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,                  ,              ,168,1028,A, 15,X, 2,  22.00,    125.5200,Su       ,Nannofossils                                 ,T              ,M                 ,                         ,C                        ,                         ,C                    ,                      ,R                       ,                      ,                     ,                       ,                      ,                     ,                 ,                     ,                         ,from unpublished FOSSILLIST files provided by Su(4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,                  ,              ,168,1028,A, 15,X, 3, 100.00,    127.8000,Su       ,Nannofossils                                 ,C              ,M                 ,R                        ,R                        ,F                        ,R                    ,R                     ,C                       ,R                     ,T                    ,                       ,                      ,                     ,                 ,                     ,                         ,from unpublished FOSSILLIST files provided by Su(4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,                  ,              ,168,1028,A, 15,X, 4,  64.00,    128.9400,Su       ,Nannofossils                                 ,P              ,M                 ,                         ,                         ,                         ,D                    ,                      ,                        ,                      ,                     ,                       ,                      ,                     ,                 ,                     ,                         ,from unpublished FOSSILLIST files provided by Su(4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,                  ,              ,168,1028,A, 15,X, 5,  80.00,    130.6000,Su       ,Nannofossils                                 ,A              ,M                 ,                         ,C                        ,C                        ,R                    ,F                     ,F                       ,R                     ,                     ,                       ,                      ,                     ,                 ,                     ,                         ,from unpublished FOSSILLIST files provided by Su(4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,                  ,              ,168,1028,A, 15,X, 6,  80.00,    132.1000,Su       ,Nannofossils                                 ,A              ,M                 ,F                        ,F                        ,C                        ,R                    ,R                     ,F                       ,R                     ,                     ,                       ,                      ,                     ,                 ,                     ,                         ,from unpublished FOSSILLIST files provided by Su(4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,                  ,              ,168,1028,A, 15,X, 6, 117.00,    132.4700,Su       ,Nannofossils                                 ,C              ,P-M               ,R                        ,R                        ,A                        ,R                    ,R                     ,                        ,                      ,                     ,                       ,                      ,                     ,                 ,                     ,                         ,from unpublished FOSSILLIST files provided by Su(4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
