Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Stylatractus universus	Diartus petterssoni	Diartus hughesi	Stichocorys wolffii	Stichocorys delmontensis	Didymocyrtis laticonus	Didymocyrtis antepenultima	Eusyringium fistuligerum	Dorcadospyris ateuchus	Theocyrtis tuberosa	Lithocyclia aristotelis	Cyrtocapsella cornuta	Siphocampe crustula	Lamprocyclas hannai	Dictyophimus splendens	Phormostichoartus fistula	Botryostrobus bramlettei bramlettei	Larcospira moschkovskii	Dictyoprora mongolfieri	Stichocorys peregrina	Acrosphaera murrayana	Anthocyrtidium ehrenbergi	Prunopyle hayesi	Didymocyrtis penultima	Cyrtocapsella elongata	Botryostrobus auritus/australis	Anthocyrtidium pliocenica	Siphocampe modeloensis	Tholospyris capoi	Pterocorys minythorax	Lamprocyrtis nigriniae	Lamprocyclas junonis group	Gondwanaria dogieli	Eucyrtidium infundibulum	Cycladophora davisiana	Botryostrobus bramlettei pretumidulus	Anthocyrtidium ophirense	Theocorythium trachelium	Stichopilium bicorne	Saturnalis circularis	Pterocorys clausus	Pterocanium korotnevi	Prunopyle antarctica	Phormostichoartus pitomorphus	Lithostrobus hexagonalis	Lamprocyclas maritalis group	Eucyrtidium teuscheri teuscheri	Eucyrtidium teuscheri orthoporus	Eucyrtidium indiensis	Eucyrtidium calvertense	Didymocyrtis tetrathalamus	Botryostrobus bramlettei tumidulus	Anthocyrtidium nosicaae	Acrosphaera pseudarktios	Carpocanium sp.A	Streblacantha circumtexta	Eucyrtidium dufresni	Pseudocubus warreni	Rhizosphaera antarctica	Amphirhopalum ypsilon	Octopyle stenozona	Acrosphaera trepanata	Dictyophimus infabricatus	Pterocanium grandiporus	Anthocyrtidium zanguebaricum	Spongotrochus glacialis	Plectacantha cremastoplegma	Cypassis irregularis	Comment

  SR	Pleistocene      	                 	NR3-NR4           	              	112	 685	A	  5	X	CC	  10.00	     40.2500	De Wever 	Radiolarians                                 	C              	G                 	P                     	                   	               	                   	                        	                      	                          	                        	                      	                   	                       	                     	                   	                   	                      	                         	                                   	                       	                       	                     	                     	                         	                	                      	                      	P                              	                         	                      	P                	P                    	P                     	P                         	P                  	P                       	P                     	                                     	P                       	                        	P                   	P                    	P                 	P                    	P                   	                             	P                       	P                           	P                              	P                               	P                    	P                      	                          	P                                 	                       	P                       	                	                         	P                   	P                  	P                      	                     	                  	                     	P                        	P                      	                            	                       	P                          	                    	from ODP Leg 112 SR Chapter 12 Table AppxB p.202-203

  SR	Pleistocene      	                 	NR3-NR4           	              	112	 685	A	  6	X	CC	  13.00	     51.5300	De Wever 	Radiolarians                                 	C              	G                 	P                     	                   	               	                   	P                       	                      	                          	                        	                      	                   	                       	                     	P                  	P                  	                      	                         	                                   	                       	                       	                     	P                    	                         	                	                      	                      	P                              	                         	                      	P                	P                    	P                     	P                         	                   	P                       	P                     	P                                    	P                       	P                       	P                   	P                    	P                 	P                    	P                   	P                            	P                       	P                           	P                              	P                               	                     	                       	P                         	P                                 	P                      	P                       	                	P                        	P                   	P                  	P                      	P                    	                  	                     	P                        	P                      	                            	P                      	P                          	                    	from ODP Leg 112 SR Chapter 12 Table AppxB p.202-203

  SR	Pleistocene      	                 	NR3-NR4           	              	112	 685	A	  8	X	CC	  25.00	     70.7000	De Wever 	Radiolarians                                 	A              	G                 	P                     	                   	               	                   	                        	                      	                          	                        	                      	                   	                       	                     	P                  	                   	                      	                         	                                   	                       	                       	                     	P                    	                         	                	                      	                      	P                              	                         	                      	P                	P                    	P                     	                          	P                  	P                       	P                     	P                                    	P                       	                        	P                   	P                    	                  	P                    	P                   	                             	P                       	P                           	P                              	                                	                     	P                      	P                         	P                                 	P                      	                        	P               	                         	                    	P                  	P                      	                     	P                 	P                    	                         	P                      	P                           	                       	                           	                    	from ODP Leg 112 SR Chapter 12 Table AppxB p.202-203

  SR	Pleistocene      	                 	NR3-NR4           	              	112	 685	A	  9	X	CC	  18.00	     82.0700	De Wever 	Radiolarians                                 	F              	G                 	P                     	                   	               	                   	                        	                      	                          	                        	                      	                   	                       	                     	                   	                   	                      	                         	                                   	                       	                       	                     	P                    	                         	                	                      	                      	P                              	                         	                      	P                	P                    	P                     	P                         	P                  	P                       	P                     	                                     	P                       	                        	                    	                     	P                 	P                    	P                   	                             	P                       	P                           	                               	                                	                     	                       	P                         	P                                 	                       	P                       	                	                         	P                   	P                  	                       	P                    	P                 	                     	P                        	P                      	P                           	                       	                           	                    	from ODP Leg 112 SR Chapter 12 Table AppxB p.202-203

  SR	Pleistocene      	                 	NR3-NR4           	              	112	 685	A	 10	X	CC	  14.00	     88.1400	De Wever 	Radiolarians                                 	F              	G                 	P                     	                   	               	                   	                        	                      	                          	                        	                      	                   	                       	                     	P                  	                   	                      	                         	                                   	                       	                       	                     	P                    	                         	                	                      	                      	P                              	                         	                      	P                	P                    	P                     	                          	P                  	P                       	P                     	                                     	P                       	                        	P                   	P                    	                  	P                    	P                   	                             	P                       	P                           	P                              	P                               	P                    	P                      	P                         	P                                 	                       	                        	                	                         	                    	P                  	                       	P                    	P                 	                     	                         	P                      	                            	                       	                           	                    	from ODP Leg 112 SR Chapter 12 Table AppxB p.202-203

  SR	Pleistocene      	                 	NR3-NR4           	              	112	 685	A	 11	X	CC	  19.00	     99.2100	De Wever 	Radiolarians                                 	F              	G                 	P                     	                   	               	                   	                        	                      	                          	                        	                      	                   	                       	                     	P                  	                   	                      	                         	                                   	                       	                       	                     	P                    	                         	                	                      	                      	P                              	                         	                      	P                	P                    	P                     	P                         	P                  	P                       	P                     	                                     	P                       	                        	P                   	P                    	P                 	P                    	P                   	                             	                        	P                           	P                              	P                               	P                    	P                      	P                         	P                                 	P                      	P                       	                	                         	                    	P                  	                       	P                    	P                 	                     	P                        	P                      	P                           	                       	                           	                    	from ODP Leg 112 SR Chapter 12 Table AppxB p.202-203

  SR	Pleistocene      	                 	NR3-NR4           	              	112	 685	A	 12	X	CC	  13.00	    110.1200	De Wever 	Radiolarians                                 	C              	G                 	P                     	                   	               	                   	                        	                      	                          	                        	                      	                   	                       	                     	P                  	                   	                      	                         	                                   	                       	                       	                     	                     	                         	                	                      	                      	P                              	                         	                      	P                	P                    	P                     	P                         	                   	P                       	P                     	P                                    	P                       	                        	P                   	P                    	P                 	P                    	P                   	                             	                        	P                           	P                              	P                               	P                    	P                      	P                         	P                                 	P                      	                        	                	                         	P                   	P                  	                       	P                    	P                 	                     	                         	P                      	                            	                       	                           	                    	from ODP Leg 112 SR Chapter 12 Table AppxB p.202-203

  SR	Pleistocene      	                 	NR3-NR4           	              	112	 685	A	 13	X	CC	  15.00	    112.4200	De Wever 	Radiolarians                                 	A              	G                 	P                     	                   	               	                   	                        	                      	                          	                        	                      	                   	                       	                     	P                  	                   	                      	                         	                                   	                       	                       	                     	P                    	                         	                	                      	                      	P                              	                         	                      	P                	P                    	P                     	P                         	P                  	P                       	P                     	P                                    	P                       	                        	P                   	P                    	                  	P                    	P                   	                             	P                       	P                           	P                              	P                               	                     	                       	                          	P                                 	                       	                        	P               	                         	                    	                   	                       	                     	                  	P                    	                         	                       	                            	                       	                           	                    	from ODP Leg 112 SR Chapter 12 Table AppxB p.202-203

  SR	Pleistocene      	                 	NR3-NR4           	              	112	 685	A	 14	X	CC	  15.00	    123.2300	De Wever 	Radiolarians                                 	C              	G                 	P                     	                   	               	                   	                        	                      	                          	                        	                      	                   	                       	                     	                   	                   	                      	                         	                                   	                       	                       	                     	P                    	                         	                	                      	                      	P                              	                         	                      	P                	P                    	P                     	P                         	P                  	P                       	P                     	                                     	P                       	                        	P                   	P                    	                  	P                    	P                   	P                            	P                       	                            	P                              	P                               	P                    	                       	                          	P                                 	P                      	                        	P               	                         	P                   	P                  	                       	                     	                  	                     	P                        	                       	                            	                       	                           	                    	from ODP Leg 112 SR Chapter 12 Table AppxB p.202-203

  SR	Pleistocene      	                 	NR3-NR4           	              	112	 685	A	 15	X	CC	   0.00	    133.9000	De Wever 	Radiolarians                                 	A              	G                 	P                     	                   	               	                   	                        	                      	                          	                        	                      	                   	                       	                     	P                  	                   	                      	                         	                                   	                       	                       	                     	P                    	                         	                	                      	                      	P                              	                         	                      	P                	                     	P                     	P                         	P                  	P                       	P                     	P                                    	P                       	                        	P                   	P                    	                  	P                    	P                   	                             	P                       	P                           	                               	P                               	                     	P                      	                          	P                                 	                       	                        	P               	                         	                    	                   	P                      	                     	P                 	P                    	                         	                       	                            	                       	                           	                    	from ODP Leg 112 SR Chapter 12 Table AppxB p.202-203

  SR	Pleistocene      	                 	NR3-NR4           	              	112	 685	A	 16	X	CC	  10.00	    142.2500	De Wever 	Radiolarians                                 	A              	G                 	P                     	                   	               	                   	                        	                      	                          	                        	                      	                   	                       	                     	P                  	                   	                      	                         	                                   	                       	                       	                     	                     	                         	                	                      	                      	P                              	                         	                      	P                	P                    	P                     	P                         	                   	P                       	P                     	P                                    	P                       	                        	P                   	P                    	P                 	                     	                    	                             	P                       	P                           	P                              	P                               	                     	                       	                          	P                                 	                       	                        	P               	                         	                    	P                  	P                      	P                    	                  	                     	                         	                       	                            	                       	                           	                    	from ODP Leg 112 SR Chapter 12 Table AppxB p.202-203

  SR	Pleistocene      	                 	NR3-NR4           	              	112	 685	A	 17	X	CC	  30.00	    158.2700	De Wever 	Radiolarians                                 	A              	G                 	P                     	                   	P              	                   	                        	                      	                          	                        	                      	                   	                       	                     	P                  	                   	                      	                         	                                   	                       	                       	                     	P                    	                         	                	                      	                      	P                              	                         	                      	P                	P                    	P                     	P                         	P                  	P                       	P                     	P                                    	P                       	P                       	P                   	                     	P                 	P                    	                    	P                            	P                       	P                           	P                              	P                               	P                    	                       	P                         	P                                 	P                      	                        	P               	                         	                    	P                  	                       	                     	                  	                     	                         	                       	                            	                       	                           	                    	from ODP Leg 112 SR Chapter 12 Table AppxB p.202-203

  SR	Pleistocene      	                 	NR3-NR4           	              	112	 685	A	 18	X	CC	  60.00	    168.8700	De Wever 	Radiolarians                                 	C              	G                 	P                     	                   	               	                   	                        	                      	                          	                        	                      	                   	                       	                     	P                  	                   	                      	                         	                                   	                       	                       	                     	P                    	                         	                	                      	                      	P                              	                         	                      	P                	P                    	P                     	P                         	P                  	P                       	P                     	P                                    	P                       	                        	P                   	                     	                  	P                    	P                   	                             	P                       	P                           	P                              	P                               	                     	                       	P                         	P                                 	                       	                        	P               	P                        	P                   	                   	                       	                     	                  	                     	                         	                       	                            	                       	                           	                    	from ODP Leg 112 SR Chapter 12 Table AppxB p.202-203

  SR	Pleistocene      	                 	NR3-NR4           	              	112	 685	A	 19	X	CC	  20.00	    166.4500	De Wever 	Radiolarians                                 	C              	G                 	                      	                   	               	                   	                        	                      	                          	                        	                      	                   	                       	                     	P                  	                   	                      	                         	                                   	                       	                       	P                    	P                    	                         	                	                      	                      	P                              	                         	                      	P                	P                    	P                     	P                         	                   	P                       	P                     	P                                    	P                       	P                       	                    	                     	P                 	P                    	P                   	P                            	P                       	                            	P                              	P                               	                     	P                      	P                         	P                                 	                       	                        	                	                         	                    	                   	                       	                     	                  	                     	                         	                       	                            	                       	                           	                    	from ODP Leg 112 SR Chapter 12 Table AppxB p.202-203

  SR	Pleistocene      	                 	NR3-NR4           	              	112	 685	A	 20	X	CC	  15.00	    185.7500	De Wever 	Radiolarians                                 	C              	G                 	P                     	                   	               	                   	                        	                      	                          	                        	                      	                   	                       	                     	P                  	                   	                      	                         	                                   	                       	                       	                     	P                    	                         	                	                      	                      	P                              	P                        	                      	P                	P                    	P                     	P                         	                   	P                       	P                     	P                                    	P                       	                        	P                   	P                    	P                 	P                    	P                   	P                            	P                       	P                           	P                              	                                	P                    	P                      	P                         	P                                 	P                      	P                       	P               	                         	                    	                   	                       	                     	                  	                     	                         	                       	                            	                       	                           	                    	from ODP Leg 112 SR Chapter 12 Table AppxB p.202-203

  SR	Pleistocene      	                 	NR3-NR4           	              	112	 685	A	 21	X	CC	  37.00	    195.6300	De Wever 	Radiolarians                                 	C              	G                 	P                     	                   	               	                   	                        	                      	                          	                        	                      	                   	                       	                     	P                  	                   	                      	                         	                                   	                       	                       	                     	P                    	                         	                	                      	                      	P                              	                         	                      	P                	P                    	P                     	P                         	P                  	P                       	P                     	P                                    	P                       	P                       	P                   	P                    	P                 	P                    	P                   	P                            	P                       	P                           	P                              	P                               	P                    	P                      	P                         	P                                 	P                      	P                       	                	                         	                    	                   	                       	                     	                  	                     	                         	                       	                            	                       	                           	                    	from ODP Leg 112 SR Chapter 12 Table AppxB p.202-203

  SR	Pleistocene      	                 	NR3-NR4           	              	112	 685	A	 22	X	CC	  22.00	    200.0100	De Wever 	Radiolarians                                 	C              	M                 	P                     	                   	P              	                   	                        	                      	P                         	                        	                      	                   	                       	                     	P                  	                   	                      	                         	P                                  	                       	                       	P                    	                     	                         	                	P                     	                      	P                              	                         	                      	P                	P                    	P                     	P                         	P                  	P                       	P                     	P                                    	P                       	                        	                    	                     	                  	                     	                    	                             	                        	                            	                               	                                	                     	                       	                          	                                  	                       	                        	                	                         	                    	                   	                       	                     	                  	                     	                         	                       	                            	                       	                           	                    	from ODP Leg 112 SR Chapter 12 Table AppxB p.202-203

  SR	Late Miocene     	                 	D. penultima (RN8)	              	112	 685	A	 23	X	CC	  14.00	    203.7400	De Wever 	Radiolarians                                 	C              	G                 	P                     	                   	P              	                   	P                       	                      	                          	                        	                      	                   	                       	                     	                   	P                  	P                     	P                        	P                                  	                       	                       	P                    	                     	                         	P               	P                     	                      	P                              	P                        	P                     	                 	                     	                      	                          	                   	                        	                      	                                     	                        	                        	                    	                     	                  	                     	                    	                             	                        	                            	                               	                                	                     	                       	                          	                                  	                       	                        	                	                         	                    	                   	                       	                     	                  	                     	                         	                       	                            	                       	                           	                    	from ODP Leg 112 SR Chapter 12 Table AppxB p.202-203

  SR	Late Miocene     	                 	D. penultima (RN8)	              	112	 685	A	 25	X	CC	  15.00	    223.1000	De Wever 	Radiolarians                                 	F              	M                 	P                     	P                  	P              	                   	P                       	                      	                          	                        	                      	                   	                       	                     	                   	P                  	P                     	P                        	P                                  	P                      	                       	                     	                     	                         	P               	P                     	P                     	P                              	P                        	                      	                 	                     	                      	                          	                   	                        	                      	                                     	                        	                        	                    	                     	                  	                     	                    	                             	                        	                            	                               	                                	                     	                       	                          	                                  	                       	                        	                	                         	                    	                   	                       	                     	                  	                     	                         	                       	                            	                       	                           	                    	from ODP Leg 112 SR Chapter 12 Table AppxB p.202-203

  SR	Late Miocene     	                 	D. antepenultima RN7	              	112	 685	A	 27	X	CC	  12.00	    235.3200	De Wever 	Radiolarians                                 	F              	M                 	P                     	                   	P              	                   	                        	                      	P                         	                        	                      	                   	                       	                     	                   	P                  	P                     	P                        	P                                  	P                      	                       	                     	                     	                         	                	                      	                      	                               	                         	                      	                 	                     	                      	                          	                   	                        	                      	                                     	                        	                        	                    	                     	                  	                     	                    	                             	                        	                            	                               	                                	                     	                       	                          	                                  	                       	                        	                	                         	                    	                   	                       	                     	                  	                     	                         	                       	                            	                       	                           	                    	from ODP Leg 112 SR Chapter 12 Table AppxB p.202-203

  SR	Late Miocene     	                 	D. antepenultima RN7	              	112	 685	A	 28	X	CC	   7.00	    255.8000	De Wever 	Radiolarians                                 	F              	M                 	P                     	                   	P              	                   	P                       	                      	P                         	                        	                      	                   	                       	                     	P                  	P                  	P                     	P                        	P                                  	P                      	                       	P                    	P                    	P                        	                	                      	                      	                               	                         	                      	                 	                     	                      	                          	                   	                        	                      	                                     	                        	                        	                    	                     	                  	                     	                    	                             	                        	                            	                               	                                	                     	                       	                          	                                  	                       	                        	                	                         	                    	                   	                       	                     	                  	                     	                         	                       	                            	                       	                           	                    	from ODP Leg 112 SR Chapter 12 Table AppxB p.202-203

  SR	Late Miocene     	                 	D. antepenultima RN7	              	112	 685	A	 29	X	CC	  25.00	    256.7500	De Wever 	Radiolarians                                 	C              	M                 	P                     	                   	P              	                   	P                       	                      	P                         	                        	                      	                   	                       	                     	P                  	P                  	P                     	P                        	P                                  	P                      	                       	P                    	P                    	                         	                	                      	                      	                               	                         	                      	                 	                     	                      	                          	                   	                        	                      	                                     	                        	                        	                    	                     	                  	                     	                    	                             	                        	                            	                               	                                	                     	                       	                          	                                  	                       	                        	                	                         	                    	                   	                       	                     	                  	                     	                         	                       	                            	                       	                           	                    	from ODP Leg 112 SR Chapter 12 Table AppxB p.202-203

  SR	Late Miocene     	                 	D. antepenultima RN7	              	112	 685	A	 30	X	CC	  18.00	    265.1500	De Wever 	Radiolarians                                 	C              	M                 	P                     	                   	P              	                   	P                       	                      	P                         	                        	                      	                   	                       	                     	P                  	P                  	P                     	P                        	P                                  	P                      	                       	P                    	                     	                         	                	                      	                      	                               	                         	                      	                 	                     	                      	                          	                   	                        	                      	                                     	                        	                        	                    	                     	                  	                     	                    	                             	                        	                            	                               	                                	                     	                       	                          	                                  	                       	                        	                	                         	                    	                   	                       	                     	                  	                     	                         	                       	                            	                       	                           	                    	from ODP Leg 112 SR Chapter 12 Table AppxB p.202-203

  SR	Late Miocene     	                 	D. antepenultima RN7	              	112	 685	A	 31	X	CC	  16.00	    271.9100	De Wever 	Radiolarians                                 	C              	M                 	P                     	P                  	P              	                   	P                       	P                     	P                         	                        	                      	                   	                       	                     	P                  	P                  	P                     	P                        	P                                  	P                      	                       	                     	                     	                         	                	                      	                      	                               	                         	                      	                 	                     	                      	                          	                   	                        	                      	                                     	                        	                        	                    	                     	                  	                     	                    	                             	                        	                            	                               	                                	                     	                       	                          	                                  	                       	                        	                	                         	                    	                   	                       	                     	                  	                     	                         	                       	                            	                       	                           	                    	from ODP Leg 112 SR Chapter 12 Table AppxB p.202-203

  SR	Late Miocene     	                 	D. antepenultima RN7	              	112	 685	A	 32	X	CC	  25.00	    286.8900	De Wever 	Radiolarians                                 	C              	M                 	P                     	P                  	P              	                   	P                       	                      	P                         	                        	                      	                   	                       	                     	P                  	P                  	P                     	                         	P                                  	P                      	                       	                     	                     	                         	                	                      	                      	                               	                         	                      	                 	                     	                      	                          	                   	                        	                      	                                     	                        	                        	                    	                     	                  	                     	                    	                             	                        	                            	                               	                                	                     	                       	                          	                                  	                       	                        	                	                         	                    	                   	                       	                     	                  	                     	                         	                       	                            	                       	                           	                    	from ODP Leg 112 SR Chapter 12 Table AppxB p.202-203

  SR	Late Miocene     	                 	D. antepenultima RN7	              	112	 685	A	 33	X	CC	  18.00	    291.1800	De Wever 	Radiolarians                                 	R              	P                 	P                     	                   	               	                   	P                       	                      	P                         	                        	                      	                   	                       	                     	                   	P                  	P                     	                         	P                                  	P                      	                       	                     	                     	                         	                	                      	                      	                               	                         	                      	                 	                     	                      	                          	                   	                        	                      	                                     	                        	                        	                    	                     	                  	                     	                    	                             	                        	                            	                               	                                	                     	                       	                          	                                  	                       	                        	                	                         	                    	                   	                       	                     	                  	                     	                         	                       	                            	                       	                           	                    	from ODP Leg 112 SR Chapter 12 Table AppxB p.202-203

  SR	Late Miocene     	                 	D. antepenultima RN7	              	112	 685	A	 34	X	CC	  28.00	    310.2400	De Wever 	Radiolarians                                 	R              	M                 	P                     	                   	               	                   	P                       	                      	                          	                        	                      	                   	                       	                     	                   	                   	P                     	                         	                                   	P                      	P                      	                     	                     	                         	                	                      	                      	                               	                         	                      	                 	                     	                      	                          	                   	                        	                      	                                     	                        	                        	                    	                     	                  	                     	                    	                             	                        	                            	                               	                                	                     	                       	                          	                                  	                       	                        	                	                         	                    	                   	                       	                     	                  	                     	                         	                       	                            	                       	                           	                    	from ODP Leg 112 SR Chapter 12 Table AppxB p.202-203

  SR	Late Miocene     	                 	D. antepenultima RN7	              	112	 685	A	 35	X	CC	  30.00	    319.0500	De Wever 	Radiolarians                                 	F              	P                 	P                     	                   	               	                   	P                       	                      	P                         	                        	                      	                   	                       	                     	                   	                   	P                     	                         	P                                  	P                      	                       	                     	                     	                         	                	                      	                      	                               	                         	                      	                 	                     	                      	                          	                   	                        	                      	                                     	                        	                        	                    	                     	                  	                     	                    	                             	                        	                            	                               	                                	                     	                       	                          	                                  	                       	                        	                	                         	                    	                   	                       	                     	                  	                     	                         	                       	                            	                       	                           	                    	from ODP Leg 112 SR Chapter 12 Table AppxB p.202-203

  SR	Late Miocene     	                 	D. antepenultima RN7	              	112	 685	A	 36	X	CC	  20.00	    330.8500	De Wever 	Radiolarians                                 	F              	P                 	P                     	                   	P              	                   	P                       	                      	P                         	                        	                      	                   	                       	                     	P                  	P                  	P                     	P                        	                                   	                       	                       	                     	                     	                         	                	                      	                      	                               	                         	                      	                 	                     	                      	                          	                   	                        	                      	                                     	                        	                        	                    	                     	                  	                     	                    	                             	                        	                            	                               	                                	                     	                       	                          	                                  	                       	                        	                	                         	                    	                   	                       	                     	                  	                     	                         	                       	                            	                       	                           	                    	from ODP Leg 112 SR Chapter 12 Table AppxB p.202-203

  SR	Late Miocene     	                 	D. antepenultima RN7	              	112	 685	A	 37	X	CC	  19.00	    332.4500	De Wever 	Radiolarians                                 	F              	P                 	P                     	                   	P              	                   	P                       	                      	P                         	                        	                      	                   	                       	                     	P                  	P                  	P                     	P                        	P                                  	                       	                       	                     	                     	                         	                	                      	                      	                               	                         	                      	                 	                     	                      	                          	                   	                        	                      	                                     	                        	                        	                    	                     	                  	                     	                    	                             	                        	                            	                               	                                	                     	                       	                          	                                  	                       	                        	                	                         	                    	                   	                       	                     	                  	                     	                         	                       	                            	                       	                           	                    	from ODP Leg 112 SR Chapter 12 Table AppxB p.202-203

  SR	Late Miocene     	                 	D. antepenultima RN7	              	112	 685	A	 38	X	CC	  17.00	    338.7900	De Wever 	Radiolarians                                 	R              	M                 	                      	                   	P              	                   	P                       	                      	P                         	                        	                      	                   	                       	                     	P                  	P                  	P                     	P                        	                                   	                       	                       	                     	                     	                         	                	                      	                      	                               	                         	                      	                 	                     	                      	                          	                   	                        	                      	                                     	                        	                        	                    	                     	                  	                     	                    	                             	                        	                            	                               	                                	                     	                       	                          	                                  	                       	                        	                	                         	                    	                   	                       	                     	                  	                     	                         	                       	                            	                       	                           	                    	from ODP Leg 112 SR Chapter 12 Table AppxB p.202-203

  SR	Late Miocene     	                 	D. antepenultima RN7	              	112	 685	A	 39	X	CC	   5.00	    358.9700	De Wever 	Radiolarians                                 	R              	M                 	P                     	                   	P              	                   	P                       	                      	P                         	                        	                      	                   	                       	                     	P                  	P                  	P                     	                         	                                   	                       	                       	                     	                     	                         	                	                      	                      	                               	                         	                      	                 	                     	                      	                          	                   	                        	                      	                                     	                        	                        	                    	                     	                  	                     	                    	                             	                        	                            	                               	                                	                     	                       	                          	                                  	                       	                        	                	                         	                    	                   	                       	                     	                  	                     	                         	                       	                            	                       	                           	                    	from ODP Leg 112 SR Chapter 12 Table AppxB p.202-203

