Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Gansserina wiedenmayeri	Pseudotextularia elegans	Heterohelix sp.	Globotruncana ventricosa	Archaeoglobigerina cretacea	Archaeoglobigerina blowi	Rugoglobigerina rugosa	Heterohelix punctulata	Globotruncana linneiana	Globotruncana arca	Globotruncana aegyptiaca	Gansserina gansseri	Contusotruncana plummerae	Rugoglobigerina sp.	Globotruncanita stuartiformis	Archaeoglobigerina sp.	Heterohelix globulosa	Pseudoguembelina excolata	Pseudotextularia sp.	Globotruncana bulloides	Globigerinelloides alvarezi	Comment
  SR	Maestrichtian    	                 	G. gansseri       	              	144	 876	A	  5	R	 3	   0.00	     46.0000	Erba     	Planktonic Foraminifers                      	               	                  	1                      	                        	1              	                        	                           	                        	                      	                      	                       	                  	                        	                   	1                        	                   	                             	                      	                     	                         	                    	                       	                           	from ODP Leg 144 SR; Ch 8; Table 7; p 165

  SR	Maestrichtian    	                 	G. gansseri       	              	144	 876	A	  7	R	 1	  17.00	     62.3700	Erba     	Planktonic Foraminifers                      	               	                  	                       	                        	1              	                        	                           	                        	1                     	                      	                       	                  	                        	                   	                         	                   	                             	                      	                     	                         	                    	                       	                           	from ODP Leg 144 SR; Ch 8; Table 7; p 165

  SR	Maestrichtian    	                 	G. gansseri       	              	144	 876	A	  7	R	 1	 130.00	     63.5000	Erba     	Planktonic Foraminifers                      	               	                  	                       	                        	1              	                        	1                          	1                       	                      	                      	                       	                  	                        	                   	                         	1                  	                             	                      	                     	                         	                    	1                      	1                          	from ODP Leg 144 SR; Ch 8; Table 7; p 165

  SR	Maestrichtian    	                 	G. gansseri       	              	144	 876	A	  8	R	 1	  56.00	     72.4600	Erba     	Planktonic Foraminifers                      	               	                  	                       	                        	1              	                        	                           	                        	                      	                      	                       	                  	                        	                   	                         	                   	                             	                      	                     	                         	                    	                       	                           	from ODP Leg 144 SR; Ch 8; Table 7; p 165

  SR	Maestrichtian    	                 	G. gansseri       	              	144	 876	A	  9	R	 1	  10.00	     81.6000	Erba     	Planktonic Foraminifers                      	               	                  	                       	                        	1              	                        	                           	                        	                      	                      	                       	                  	                        	?1                 	                         	                   	                             	                      	                     	                         	                    	                       	                           	from ODP Leg 144 SR; Ch 8; Table 7; p 165

  SR	Maestrichtian    	                 	G. gansseri       	              	144	 876	A	 10	R	 1	  27.00	     91.4700	Erba     	Planktonic Foraminifers                      	               	                  	                       	                        	1              	                        	1                          	                        	                      	                      	                       	                  	                        	                   	                         	                   	                             	                      	                     	                         	                    	                       	                           	from ODP Leg 144 SR; Ch 8; Table 7; p 165

  SR	Maestrichtian    	                 	G. gansseri       	              	144	 876	A	 11	R	 1	  58.00	    101.3800	Erba     	Planktonic Foraminifers                      	               	                  	                       	                        	               	                        	                           	                        	                      	                      	                       	                  	                        	                   	                         	                   	                             	1                     	                     	                         	                    	                       	                           	from ODP Leg 144 SR; Ch 8; Table 7; p 165

  SR	Maestrichtian    	                 	G. gansseri       	              	144	 876	A	 11	R	 1	 115.00	    101.9500	Erba     	Planktonic Foraminifers                      	               	                  	                       	?                       	               	                        	                           	                        	                      	                      	                       	                  	                        	                   	                         	                   	                             	                      	                     	                         	1                   	                       	                           	from ODP Leg 144 SR; Ch 8; Table 7; p 165

  SR	Maestrichtian    	                 	G. gansseri       	              	144	 876	A	 11	R	 1	 131.00	    102.1100	Erba     	Planktonic Foraminifers                      	               	                  	                       	                        	1              	                        	                           	                        	                      	                      	                       	                  	                        	                   	                         	                   	                             	                      	                     	                         	                    	                       	                           	from ODP Leg 144 SR; Ch 8; Table 7; p 165

  SR	Maestrichtian    	                 	G. gansseri       	              	144	 876	A	 11	R	 2	  43.00	    102.6300	Erba     	Planktonic Foraminifers                      	               	                  	                       	                        	?              	                        	                           	                        	                      	                      	                       	                  	                        	                   	                         	                   	                             	                      	                     	                         	                    	                       	                           	from ODP Leg 144 SR; Ch 8; Table 7; p 165

  SR	Maestrichtian    	                 	G. gansseri       	              	144	 876	A	 11	R	 2	  71.00	    102.9100	Erba     	Planktonic Foraminifers                      	               	                  	                       	                        	1              	                        	1                          	1                       	                      	                      	                       	                  	                        	                   	                         	                   	                             	                      	                     	                         	                    	                       	                           	from ODP Leg 144 SR; Ch 8; Table 7; p 165

  SR	Maestrichtian    	                 	G. gansseri       	              	144	 876	A	 12	R	 1	  21.00	    110.7100	Erba     	Planktonic Foraminifers                      	               	                  	                       	                        	               	                        	1                          	                        	                      	                      	                       	                  	                        	                   	                         	1                  	                             	                      	                     	1                        	                    	                       	                           	from ODP Leg 144 SR; Ch 8; Table 7; p 165

  SR	Maestrichtian    	                 	G. gansseri       	              	144	 876	A	 13	R	 1	   0.00	    120.1000	Erba     	Planktonic Foraminifers                      	               	                  	                       	                        	               	1                       	                           	                        	1                     	                      	1                      	1                 	                        	1                  	1                        	                   	                             	                      	1                    	                         	                    	                       	                           	from ODP Leg 144 SR; Ch 8; Table 7; p 165

  SR	Maestrichtian    	                 	G. gansseri       	              	144	 876	A	 13	R	 1	  22.00	    120.3200	Erba     	Planktonic Foraminifers                      	               	                  	1                      	                        	1              	                        	                           	                        	                      	                      	                       	                  	                        	                   	                         	1                  	1                            	1                     	                     	                         	                    	                       	                           	from ODP Leg 144 SR; Ch 8; Table 7; p 165

  SR	Maestrichtian    	                 	G. gansseri       	              	144	 876	A	 13	R	 1	  88.00	    120.9800	Erba     	Planktonic Foraminifers                      	               	                  	1                      	                        	1              	                        	                           	                        	                      	                      	                       	                  	                        	                   	                         	                   	                             	                      	                     	                         	                    	                       	                           	from ODP Leg 144 SR; Ch 8; Table 7; p 165

  SR	Maestrichtian    	                 	G. gansseri       	              	144	 876	A	 14	R	 1	   0.00	    129.8000	Erba     	Planktonic Foraminifers                      	               	                  	                       	                        	               	C                       	                           	                        	C                     	1                     	1                      	R                 	R                       	1                  	1                        	                   	                             	                      	                     	                         	                    	                       	                           	from ODP Leg 144 SR; Ch 8; Table 7; p 165

  SR	Maestrichtian    	                 	G. gansseri       	              	144	 876	A	 14	R	 1	  48.00	    130.2800	Erba     	Planktonic Foraminifers                      	               	                  	                       	1                       	1              	1                       	1                          	1                       	                      	                      	                       	                  	                        	                   	                         	                   	                             	                      	                     	                         	                    	                       	                           	from ODP Leg 144 SR; Ch 8; Table 7; p 165

  SR	Maestrichtian    	                 	G. gansseri       	              	144	 876	A	 14	R	 1	  77.00	    130.5700	Erba     	Planktonic Foraminifers                      	               	                  	1                      	                        	               	                        	                           	                        	                      	                      	                       	                  	                        	                   	                         	                   	                             	                      	                     	                         	                    	                       	                           	from ODP Leg 144 SR; Ch 8; Table 7; p 165

