Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Tenuitellinata angustiumbilicata,Tenuitella gemma,Subbotina angiporoides,Paragloborotalia nana,Hantkenina alabamensis,Globigerina euapertura,Chiloguembelina cubensis,Catapsydrax unicavus,Catapsydrax dissimilis,Subbotina (?) eocaena,Subbotina linaperta,Pseudohastigerina spp.,Globorotaloides suteri,Globigerina tapuriensis,Globigerina pseudovenezuelana,Globigerina gortanii,Turborotalia ampliapertura,Turborotalia pomeroli,Turborotalia increbescens,Globigerina  cf. G. praeturritilina,Globigerina yeguaensis,Cassigerinella chipolensis,Globigerina tripartita,Globoquadrina venezuelana,Globigerina praebulloides,Paragloborotalia opima,Globigerina ouachitaensis,Globigerina sellii,Globigerina angulisuturalis,Globigerinella obesa,Globigerinita glutinata,Paragloborotalia semivera-mayeri group,Paragloborotalia pseudokugleri,Paragloborotalia kugleri,Globoquadrina dehiscens,Globigerinita uvula,Globigerinoides primordius,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Oligocene   ,                 ,P22               ,              ,130, 803,D, 36,X, 1,  51.00,    323.2100,Leckie   ,Planktonic Foraminifers                      ,               ,P                 ,F/C                             ,                ,                      ,R                    ,                      ,R                     ,                        ,R                   ,R                     ,                     ,                   ,                      ,                      ,                       ,R                            ,                    ,                          ,                     ,                         ,                                   ,                      ,                          ,                      ,R                        ,R                        ,                      ,                         ,R                 ,                           ,R                   ,R                      ,R                                     ,F/C                           ,                        ,                       ,                   ,                          ,from 130SR.Chapter 9.Figure 6.page 118.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Oligocene   ,                 ,P22               ,              ,130, 803,D, 36,X, 3,  52.00,    326.2200,Leckie   ,Planktonic Foraminifers                      ,               ,P                 ,R                               ,                ,                      ,                     ,                      ,                      ,                        ,R                   ,R                     ,                     ,                   ,                      ,                      ,                       ,R                            ,                    ,                          ,                     ,                         ,                                   ,                      ,                          ,                      ,                         ,                         ,                      ,                         ,                  ,                           ,                    ,                       ,R                                     ,                              ,                        ,                       ,                   ,                          ,from 130SR.Chapter 9.Figure 6.page 118.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Oligocene   ,                 ,P22               ,              ,130, 803,D, 36,X, 5,  50.00,    329.2000,Leckie   ,Planktonic Foraminifers                      ,               ,MG                ,F/C                             ,                ,                      ,R                    ,                      ,R                     ,                        ,R                   ,R                     ,                     ,                   ,                      ,                      ,R                      ,F/C                          ,R                   ,                          ,                     ,                         ,                                   ,R                     ,                          ,                      ,R                        ,R                        ,                      ,                         ,R                 ,                           ,R                   ,R                      ,F/C                                   ,F/C                           ,                        ,                       ,                   ,                          ,from 130SR.Chapter 9.Figure 6.page 118.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Oligocene   ,                 ,P22               ,              ,130, 803,D, 36,X,CC,  18.00,    331.8300,Leckie   ,Planktonic Foraminifers                      ,               ,MG                ,F/C                             ,                ,                      ,R                    ,                      ,                      ,                        ,R                   ,F/C                   ,                     ,                   ,                      ,                      ,                       ,R                            ,                    ,                          ,                     ,                         ,                                   ,                      ,                          ,R                     ,R                        ,                         ,                      ,                         ,R                 ,                           ,                    ,R                      ,R                                     ,F/C                           ,                        ,                       ,                   ,                          ,from 130SR.Chapter 9.Figure 6.page 118.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Oligocene   ,                 ,P22               ,              ,130, 803,D, 37,X, 1,  50.00,    332.8000,Leckie   ,Planktonic Foraminifers                      ,               ,MP                ,R                               ,                ,                      ,R                    ,                      ,                      ,                        ,R                   ,R                     ,                     ,                   ,                      ,                      ,                       ,R                            ,                    ,                          ,                     ,                         ,                                   ,                      ,                          ,                      ,                         ,                         ,                      ,                         ,                  ,                           ,                    ,                       ,R                                     ,R                             ,                        ,                       ,                   ,                          ,from 130SR.Chapter 9.Figure 6.page 118.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Oligocene   ,                 ,P22               ,              ,130, 803,D, 37,X, 3,  51.00,    335.8100,Leckie   ,Planktonic Foraminifers                      ,               ,MG                ,R                               ,                ,                      ,F/C                  ,                      ,                      ,R                       ,R                   ,R                     ,                     ,                   ,                      ,                      ,                       ,R                            ,                    ,                          ,                     ,                         ,                                   ,                      ,                          ,                      ,R                        ,                         ,                      ,                         ,                  ,                           ,                    ,R                      ,F/C                                   ,R                             ,                        ,                       ,                   ,                          ,from 130SR.Chapter 9.Figure 6.page 118.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Oligocene   ,                 ,P22               ,              ,130, 803,D, 37,X, 5,  51.00,    338.8100,Leckie   ,Planktonic Foraminifers                      ,               ,P                 ,R                               ,                ,                      ,R                    ,                      ,                      ,                        ,R                   ,R                     ,                     ,                   ,                      ,                      ,                       ,R                            ,                    ,                          ,                     ,                         ,                                   ,                      ,                          ,                      ,R                        ,                         ,                      ,                         ,                  ,                           ,                    ,                       ,?                                     ,R                             ,                        ,                       ,                   ,                          ,from 130SR.Chapter 9.Figure 6.page 118.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Oligocene   ,                 ,P22               ,              ,130, 803,D, 37,X,CC,  22.00,    341.9000,Leckie   ,Planktonic Foraminifers                      ,               ,P                 ,R                               ,                ,                      ,R                    ,                      ,R                     ,                        ,R                   ,R                     ,                     ,                   ,                      ,                      ,                       ,R                            ,                    ,                          ,                     ,                         ,                                   ,                      ,                          ,                      ,                         ,                         ,                      ,                         ,                  ,                           ,                    ,                       ,R                                     ,R                             ,                        ,                       ,                   ,                          ,from 130SR.Chapter 9.Figure 6.page 118.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Oligocene   ,                 ,P22               ,              ,130, 803,D, 38,X, 1,  50.00,    342.5000,Leckie   ,Planktonic Foraminifers                      ,               ,P                 ,R                               ,                ,                      ,R                    ,                      ,R                     ,                        ,R                   ,R                     ,                     ,                   ,                      ,R                     ,                       ,R                            ,                    ,                          ,                     ,                         ,                                   ,                      ,                          ,                      ,R                        ,                         ,                      ,                         ,                  ,                           ,                    ,R                      ,R                                     ,R                             ,                        ,                       ,                   ,                          ,from 130SR.Chapter 9.Figure 6.page 118.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Oligocene   ,                 ,P22               ,              ,130, 803,D, 38,X, 3,  51.00,    345.5100,Leckie   ,Planktonic Foraminifers                      ,               ,P                 ,R                               ,                ,                      ,                     ,                      ,R                     ,R                       ,R                   ,R                     ,                     ,                   ,                      ,                      ,                       ,                             ,                    ,                          ,                     ,                         ,                                   ,                      ,                          ,                      ,R                        ,                         ,                      ,                         ,                  ,                           ,R                   ,                       ,R                                     ,R                             ,                        ,                       ,                   ,                          ,from 130SR.Chapter 9.Figure 6.page 118.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Oligocene   ,                 ,P22               ,              ,130, 803,D, 38,X, 5,  62.00,    348.6200,Leckie   ,Planktonic Foraminifers                      ,               ,MP                ,F/C                             ,                ,                      ,R                    ,                      ,R                     ,                        ,R                   ,R                     ,                     ,                   ,                      ,                      ,                       ,R                            ,R                   ,                          ,                     ,                         ,R                                  ,R                     ,R                         ,R                     ,R                        ,R                        ,                      ,                         ,R                 ,                           ,                    ,                       ,F/C                                   ,R                             ,                        ,                       ,                   ,                          ,from 130SR.Chapter 9.Figure 6.page 118.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Oligocene   ,                 ,P22               ,              ,130, 803,D, 38,X,CC,  25.00,    350.4100,Leckie   ,Planktonic Foraminifers                      ,               ,MP                ,F/C                             ,                ,                      ,F/C                  ,                      ,R                     ,                        ,R                   ,R                     ,                     ,                   ,                      ,                      ,                       ,R                            ,                    ,                          ,                     ,                         ,                                   ,                      ,                          ,                      ,                         ,R                        ,                      ,R                        ,                  ,                           ,                    ,                       ,F/C                                   ,R                             ,                        ,                       ,                   ,                          ,from 130SR.Chapter 9.Figure 6.page 118.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Oligocene   ,                 ,P22               ,              ,130, 803,D, 39,X, 1,  51.00,    352.1100,Leckie   ,Planktonic Foraminifers                      ,               ,P                 ,R                               ,                ,                      ,R                    ,                      ,R                     ,                        ,R                   ,R                     ,                     ,                   ,                      ,                      ,                       ,R                            ,R                   ,                          ,                     ,                         ,                                   ,R                     ,                          ,                      ,R                        ,R                        ,                      ,                         ,                  ,                           ,                    ,                       ,R                                     ,R                             ,                        ,                       ,                   ,                          ,from 130SR.Chapter 9.Figure 6.page 118.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Oligocene   ,                 ,P22               ,              ,130, 803,D, 39,X, 3,  74.00,    355.3400,Leckie   ,Planktonic Foraminifers                      ,               ,MP                ,F/C                             ,                ,                      ,R                    ,                      ,R                     ,                        ,R                   ,R                     ,                     ,                   ,                      ,                      ,                       ,R                            ,R                   ,                          ,                     ,                         ,                                   ,R                     ,R                         ,                      ,R                        ,R                        ,                      ,                         ,                  ,                           ,                    ,                       ,R                                     ,F/C                           ,                        ,                       ,                   ,                          ,from 130SR.Chapter 9.Figure 6.page 118.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Oligocene   ,                 ,P22               ,              ,130, 803,D, 39,X, 5,  65.00,    358.2500,Leckie   ,Planktonic Foraminifers                      ,               ,MG                ,F/C                             ,                ,                      ,R                    ,                      ,                      ,                        ,R                   ,R                     ,                     ,                   ,                      ,                      ,                       ,R                            ,R                   ,                          ,                     ,                         ,                                   ,                      ,R                         ,                      ,                         ,                         ,                      ,                         ,                  ,                           ,                    ,                       ,                                      ,R                             ,                        ,                       ,                   ,                          ,from 130SR.Chapter 9.Figure 6.page 118.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Oligocene   ,                 ,P22               ,              ,130, 803,D, 39,X,CC,  26.00,    360.6300,Leckie   ,Planktonic Foraminifers                      ,               ,MP                ,F/C                             ,                ,                      ,R                    ,                      ,R                     ,                        ,                    ,R                     ,                     ,                   ,                      ,                      ,                       ,R                            ,R                   ,                          ,                     ,                         ,                                   ,                      ,                          ,                      ,R                        ,R                        ,                      ,                         ,R                 ,?                          ,                    ,                       ,?                                     ,R                             ,                        ,                       ,                   ,                          ,from 130SR.Chapter 9.Figure 6.page 118.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Oligocene   ,                 ,P22               ,              ,130, 803,D, 40,X, 1,  52.00,    361.8200,Leckie   ,Planktonic Foraminifers                      ,               ,MP                ,F/C                             ,                ,                      ,F/C                  ,                      ,R                     ,                        ,R                   ,R                     ,                     ,                   ,                      ,                      ,?                      ,R                            ,R                   ,                          ,                     ,                         ,                                   ,                      ,                          ,                      ,R                        ,R                        ,                      ,                         ,                  ,?                          ,                    ,                       ,?                                     ,                              ,                        ,                       ,                   ,                          ,from 130SR.Chapter 9.Figure 6.page 118.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Oligocene   ,                 ,P22               ,              ,130, 803,D, 40,X, 3,  54.00,    364.8400,Leckie   ,Planktonic Foraminifers                      ,               ,MP                ,R                               ,                ,                      ,R                    ,                      ,R                     ,                        ,R                   ,R                     ,                     ,                   ,                      ,                      ,                       ,                             ,                    ,                          ,                     ,                         ,                                   ,                      ,                          ,                      ,                         ,                         ,                      ,                         ,                  ,                           ,                    ,                       ,                                      ,                              ,                        ,                       ,                   ,                          ,from 130SR.Chapter 9.Figure 6.page 118.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Oligocene   ,                 ,P22               ,              ,130, 803,D, 40,X, 5,  67.00,    367.9700,Leckie   ,Planktonic Foraminifers                      ,               ,MP                ,R                               ,                ,                      ,F/C                  ,                      ,R                     ,R                       ,R                   ,R                     ,                     ,                   ,                      ,                      ,                       ,                             ,                    ,                          ,                     ,                         ,                                   ,                      ,                          ,                      ,                         ,                         ,                      ,                         ,                  ,                           ,                    ,                       ,                                      ,                              ,                        ,                       ,                   ,                          ,from 130SR.Chapter 9.Figure 6.page 118.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Oligocene   ,                 ,P22               ,              ,130, 803,D, 40,X,CC,  18.00,    368.7800,Leckie   ,Planktonic Foraminifers                      ,               ,MG                ,F/C                             ,R               ,                      ,F/C                  ,                      ,R                     ,                        ,R                   ,R                     ,                     ,                   ,                      ,                      ,                       ,R                            ,                    ,                          ,                     ,                         ,                                   ,                      ,                          ,?                     ,R                        ,                         ,                      ,                         ,R                 ,                           ,                    ,                       ,?                                     ,                              ,                        ,                       ,                   ,                          ,from 130SR.Chapter 9.Figure 6.page 118.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Oligocene   ,                 ,P22               ,              ,130, 803,D, 41,X, 1,  55.00,    371.5500,Leckie   ,Planktonic Foraminifers                      ,               ,MG                ,F/C                             ,                ,                      ,R                    ,                      ,                      ,F/C                     ,                    ,R                     ,                     ,                   ,r                     ,                      ,                       ,                             ,                    ,r                         ,                     ,                         ,                                   ,                      ,R                         ,                      ,                         ,?                        ,                      ,R                        ,                  ,                           ,                    ,                       ,                                      ,                              ,                        ,                       ,                   ,                          ,from 130SR.Chapter 9.Figure 6.page 118.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Oligocene   ,                 ,P22               ,              ,130, 803,D, 41,X, 3,  61.00,    374.6100,Leckie   ,Planktonic Foraminifers                      ,               ,MG                ,                                ,                ,                      ,R                    ,                      ,                      ,                        ,R                   ,                      ,                     ,                   ,                      ,                      ,                       ,                             ,                    ,                          ,                     ,                         ,                                   ,                      ,                          ,                      ,                         ,                         ,                      ,R                        ,                  ,                           ,                    ,                       ,                                      ,                              ,                        ,                       ,                   ,                          ,from 130SR.Chapter 9.Figure 6.page 118.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Oligocene   ,                 ,P22               ,              ,130, 803,D, 41,X,CC,  27.00,    376.4700,Leckie   ,Planktonic Foraminifers                      ,               ,P                 ,F/C                             ,                ,                      ,F/C                  ,                      ,                      ,                        ,R                   ,R                     ,                     ,                   ,                      ,                      ,                       ,                             ,R                   ,                          ,                     ,                         ,                                   ,R                     ,                          ,                      ,R                        ,                         ,?                     ,                         ,                  ,R                          ,                    ,                       ,?                                     ,                              ,                        ,                       ,                   ,                          ,from 130SR.Chapter 9.Figure 6.page 118.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Oligocene   ,                 ,P21b              ,              ,130, 803,D, 42,X, 1,  54.00,    381.2400,Leckie   ,Planktonic Foraminifers                      ,               ,P                 ,F/C                             ,                ,                      ,F/C                  ,                      ,                      ,R                       ,R                   ,R                     ,                     ,                   ,                      ,                      ,                       ,R                            ,                    ,                          ,                     ,                         ,                                   ,                      ,                          ,                      ,R                        ,                         ,R                     ,                         ,                  ,                           ,                    ,                       ,?                                     ,                              ,                        ,                       ,                   ,                          ,from 130SR.Chapter 9.Figure 6.page 118.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Oligocene   ,                 ,P21b              ,              ,130, 803,D, 42,X, 3,  54.00,    384.2400,Leckie   ,Planktonic Foraminifers                      ,               ,MG                ,F/C                             ,                ,                      ,F/C                  ,                      ,                      ,                        ,R                   ,F/C                   ,                     ,                   ,                      ,                      ,                       ,R                            ,R                   ,                          ,                     ,                         ,                                   ,                      ,R                         ,                      ,R                        ,R                        ,R                     ,R                        ,                  ,                           ,                    ,                       ,?                                     ,                              ,                        ,                       ,                   ,                          ,from 130SR.Chapter 9.Figure 6.page 118.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Oligocene   ,                 ,P21b              ,              ,130, 803,D, 42,X,CC,  32.00,    387.7200,Leckie   ,Planktonic Foraminifers                      ,               ,MP                ,F/C                             ,                ,                      ,R                    ,                      ,R                     ,                        ,R                   ,F/C                   ,                     ,                   ,                      ,R                     ,                       ,F/C                          ,F/C                 ,                          ,                     ,                         ,R                                  ,R                     ,R                         ,                      ,R                        ,                         ,F/C                   ,                         ,R                 ,                           ,                    ,                       ,                                      ,                              ,                        ,                       ,                   ,                          ,from 130SR.Chapter 9.Figure 6.page 118.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Oligocene   ,                 ,P21b              ,              ,130, 803,D, 43,X, 1,  49.00,    390.8900,Leckie   ,Planktonic Foraminifers                      ,               ,MP                ,F/C                             ,                ,                      ,F/C                  ,                      ,R                     ,F/C                     ,R                   ,R                     ,                     ,                   ,                      ,R                     ,                       ,F/C                          ,F/C                 ,                          ,                     ,                         ,R                                  ,F/C                   ,F/C                       ,                      ,F/C                      ,R                        ,F/C                   ,                         ,                  ,R                          ,                    ,R                      ,                                      ,                              ,                        ,                       ,                   ,                          ,from 130SR.Chapter 9.Figure 6.page 118.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Oligocene   ,                 ,P21b              ,              ,130, 803,D, 43,X, 3,  53.00,    393.9300,Leckie   ,Planktonic Foraminifers                      ,               ,MG                ,F/C                             ,                ,                      ,F/C                  ,                      ,R                     ,R                       ,R                   ,R                     ,                     ,                   ,                      ,R                     ,                       ,F/C                          ,F/C                 ,                          ,                     ,                         ,R                                  ,R                     ,F/C                       ,                      ,F/C                      ,R                        ,R                     ,                         ,                  ,                           ,                    ,?                      ,                                      ,                              ,                        ,                       ,                   ,                          ,from 130SR.Chapter 9.Figure 6.page 118.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Oligocene   ,                 ,P21b              ,              ,130, 803,D, 43,X, 5,  50.00,    396.9000,Leckie   ,Planktonic Foraminifers                      ,               ,MP                ,F/C                             ,                ,                      ,F/C                  ,                      ,R                     ,R                       ,R                   ,R                     ,                     ,                   ,                      ,                      ,                       ,F/C                          ,R                   ,                          ,                     ,                         ,R                                  ,R                     ,F/C                       ,                      ,F/C                      ,R                        ,F/C                   ,                         ,R                 ,                           ,                    ,                       ,                                      ,                              ,                        ,                       ,                   ,                          ,from 130SR.Chapter 9.Figure 6.page 118.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Oligocene   ,                 ,P21b              ,              ,130, 803,D, 43,X,CC,  17.00,    397.6500,Leckie   ,Planktonic Foraminifers                      ,               ,MP                ,F/C                             ,                ,                      ,F/C                  ,                      ,R                     ,                        ,R                   ,F/C                   ,                     ,                   ,                      ,R                     ,                       ,R                            ,R                   ,                          ,                     ,                         ,                                   ,R                     ,R                         ,                      ,                         ,                         ,R                     ,                         ,                  ,                           ,R                   ,                       ,                                      ,                              ,                        ,                       ,                   ,                          ,from 130SR.Chapter 9.Figure 6.page 118.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Oligocene   ,                 ,P21b              ,              ,130, 803,D, 44,X, 1,  62.00,    400.6200,Leckie   ,Planktonic Foraminifers                      ,               ,P                 ,R                               ,                ,                      ,R                    ,                      ,R                     ,                        ,                    ,R                     ,                     ,                   ,                      ,R                     ,                       ,R                            ,R                   ,                          ,                     ,                         ,                                   ,                      ,                          ,                      ,                         ,                         ,                      ,                         ,                  ,                           ,                    ,                       ,                                      ,                              ,                        ,                       ,                   ,                          ,from 130SR.Chapter 9.Figure 6.page 118.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Oligocene   ,                 ,P21b              ,              ,130, 803,D, 44,X, 3,  61.00,    403.6100,Leckie   ,Planktonic Foraminifers                      ,               ,MG                ,F/C                             ,                ,                      ,F/C                  ,                      ,F/C                   ,                        ,R                   ,R                     ,                     ,                   ,                      ,R                     ,                       ,F/C                          ,R                   ,                          ,                     ,                         ,?                                  ,R                     ,R                         ,                      ,R                        ,R                        ,R                     ,R                        ,                  ,                           ,                    ,                       ,                                      ,                              ,                        ,                       ,                   ,                          ,from 130SR.Chapter 9.Figure 6.page 118.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Oligocene   ,                 ,P21b              ,              ,130, 803,D, 44,X, 5,  68.00,    406.6800,Leckie   ,Planktonic Foraminifers                      ,               ,MG                ,F/C                             ,F/C             ,                      ,F/C                  ,                      ,R                     ,R                       ,R                   ,F/C                   ,                     ,                   ,                      ,                      ,                       ,R                            ,R                   ,                          ,                     ,                         ,R                                  ,R                     ,R                         ,                      ,R                        ,R                        ,F/C                   ,R                        ,                  ,R                          ,                    ,                       ,                                      ,                              ,                        ,                       ,                   ,                          ,from 130SR.Chapter 9.Figure 6.page 118.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Oligocene   ,                 ,P21b              ,              ,130, 803,D, 44,X,CC,  32.00,    408.2500,Leckie   ,Planktonic Foraminifers                      ,               ,MP                ,R                               ,                ,                      ,F/C                  ,                      ,R                     ,                        ,R                   ,R                     ,                     ,                   ,                      ,                      ,                       ,R                            ,R                   ,                          ,                     ,                         ,                                   ,R                     ,                          ,                      ,                         ,                         ,F/C                   ,                         ,                  ,R                          ,                    ,                       ,                                      ,                              ,                        ,                       ,                   ,                          ,from 130SR.Chapter 9.Figure 6.page 118.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Oligocene   ,                 ,P21b              ,              ,130, 803,D, 45,X, 1,  64.00,    410.3400,Leckie   ,Planktonic Foraminifers                      ,               ,MG                ,F/C                             ,                ,                      ,F/C                  ,                      ,F/C                   ,                        ,R                   ,R                     ,                     ,                   ,                      ,R                     ,                       ,R                            ,R                   ,                          ,                     ,                         ,R                                  ,R                     ,F/C                       ,                      ,R                        ,R                        ,F/C                   ,R                        ,                  ,R                          ,                    ,                       ,                                      ,                              ,                        ,                       ,                   ,                          ,from 130SR.Chapter 9.Figure 6.page 118.
