Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),,Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Theocorys redondoensis,Stichocorys armata,Siphostichartus corona,Lychnocanoma nipponica nipponica,Lithopera renzae,Gondwanaria hister,Eucyrtidium asanoi,Cyrtocapsella tetrapera,Cyrtocapsella cornuta,Dictyophimus splendens,Stichocorys delmontensis,Phormostichoartus fistula,Stichocorys wolffii,Lithopera thornburgi,Diartus petterssoni,Cyrtocapsella japonica,Stauroxiphos communis,Lychnocanoma nipponica magnacornuta,Eucyrtidium calvertense,Botryostrobus bramlettei,Anthocyrtidium ehrenbergi,Stylacontarium acquilonium,Stichocorys johnsoni,Diartus hughesi,Phormostichoartus doliolum,Phormostichoartus corbula,Lychnodictyum audax,Botryostrobus praetumidulus,Stylodictya validispina,Stichocorys radicula,Stichocorys peregrina,Phormostichoartus crustula,Stylosphaera angelina,Stylatractus universus,Prunopyle tetrapila,Collosphaera huxleyi,Ceratocyrtis histricosa,Botryostrobus tumidulus,Axoprunum euterpe,Actinomma popofskii,Spirema circularis,Lamprocyrtis heteroporos,Gondwanaria dogieli,Cycladophora bicorona,Botryostrobus aquilonaris,Axoprunum angelinum,Anthocyrtidium pliocenica,Eucyrtidium cienkowskii,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,S. peregrina (N Pac),              ,,167,1010,C, 11,H,CC,  12.00,    100.7000,Caulet   ,Radiolarians                                 ,A              ,G                 ,+                     ,                  ,+                     ,                                ,                ,                  ,                  ,                       ,                     ,                      ,+                       ,+                        ,                   ,                    ,                   ,                      ,+                    ,                                   ,+                      ,+                       ,+                        ,                          ,                    ,+              ,+                         ,+                        ,+                  ,+                          ,                       ,                    ,                     ,                          ,                     ,                      ,                   ,                    ,                       ,                       ,                 ,                   ,                  ,                        ,                   ,                     ,                         ,                   ,                         ,                       ,from IR. Ch 4. Tables 6 and 7.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,S. peregrina (N Pac),              ,,167,1010,C, 12,H,CC,  17.00,    110.2900,Caulet   ,Radiolarians                                 ,A              ,G                 ,+                     ,                  ,                      ,                                ,                ,                  ,                  ,                       ,                     ,+                     ,                        ,+                        ,                   ,                    ,                   ,                      ,+                    ,+                                  ,                       ,                        ,+                        ,                          ,+                   ,+              ,                          ,                         ,                   ,                           ,                       ,                    ,                     ,                          ,                     ,                      ,                   ,                    ,                       ,                       ,                 ,                   ,                  ,                        ,                   ,                     ,                         ,                   ,                         ,                       ,from IR. Ch 4. Tables 6 and 7.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,D. petterssoni (RN6),D. antepenultima RN7,167,1010,C, 13,H,CC,  15.00,    119.5300,Caulet   ,Radiolarians                                 ,C              ,M                 ,                      ,                  ,+                     ,                                ,                ,                  ,                  ,                       ,                     ,+                     ,+                       ,+                        ,                   ,                    ,                   ,+                     ,                     ,                                   ,+                      ,                        ,+                        ,+                         ,                    ,               ,                          ,                         ,                   ,                           ,                       ,                    ,                     ,                          ,                     ,                      ,                   ,                    ,                       ,                       ,                 ,                   ,                  ,                        ,                   ,                     ,                         ,                   ,                         ,                       ,from IR. Ch 4. Tables 6 and 7.,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,D. petterssoni (RN6),D. antepenultima RN7,167,1010,C, 14,H,CC,  11.00,    129.2900,Caulet   ,Radiolarians                                 ,A              ,G                 ,+                     ,                  ,                      ,+                               ,                ,                  ,                  ,                       ,                     ,+                     ,+                       ,                         ,+                  ,                    ,+                  ,+                     ,+                    ,+                                  ,+                      ,+                       ,+                        ,                          ,                    ,               ,                          ,                         ,                   ,                           ,                       ,                    ,                     ,                          ,                     ,                      ,                   ,                    ,                       ,                       ,                 ,                   ,                  ,                        ,                   ,                     ,                         ,                   ,                         ,                       ,from IR. Ch 4. Tables 6 and 7.,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,D. petterssoni (RN6),D. antepenultima RN7,167,1010,C, 15,H,CC,  24.00,    139.0300,Caulet   ,Radiolarians                                 ,A              ,M                 ,                      ,                  ,                      ,                                ,                ,                  ,                  ,                       ,                     ,                      ,                        ,                         ,+                  ,                    ,                   ,+                     ,                     ,                                   ,                       ,                        ,                         ,                          ,                    ,               ,                          ,                         ,                   ,                           ,                       ,                    ,                     ,                          ,                     ,                      ,                   ,                    ,                       ,                       ,                 ,                   ,                  ,                        ,                   ,                     ,                         ,                   ,                         ,                       ,from IR. Ch 4. Tables 6 and 7.,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,D. petterssoni (RN6),D. antepenultima RN7,167,1010,C, 16,H,CC,  12.00,    148.2900,Caulet   ,Radiolarians                                 ,A              ,G                 ,                      ,                  ,                      ,+                               ,                ,                  ,                  ,+                      ,+                    ,                      ,                        ,                         ,+                  ,+                   ,+                  ,+                     ,                     ,                                   ,                       ,                        ,                         ,                          ,                    ,               ,                          ,                         ,                   ,                           ,                       ,                    ,                     ,                          ,                     ,                      ,                   ,                    ,                       ,                       ,                 ,                   ,                  ,                        ,                   ,                     ,                         ,                   ,                         ,                       ,from IR. Ch 4. Tables 6 and 7.,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,,167,1010,C, 17,H,CC,  19.00,    157.8700,Caulet   ,Radiolarians                                 ,A              ,G                 ,+                     ,+                 ,                      ,+                               ,                ,+                 ,                  ,                       ,+                    ,+                     ,+                       ,+                        ,                   ,                    ,                   ,                      ,                     ,                                   ,                       ,                        ,                         ,                          ,                    ,               ,                          ,                         ,                   ,                           ,                       ,                    ,                     ,                          ,                     ,                      ,                   ,                    ,                       ,                       ,                 ,                   ,                  ,                        ,                   ,                     ,                         ,                   ,                         ,                       ,from IR. Ch 4. Tables 6 and 7.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,,167,1010,C, 18,X,CC,  26.00,    166.8900,Caulet   ,Radiolarians                                 ,A              ,G                 ,+                     ,                  ,                      ,+                               ,                ,                  ,+                 ,                       ,                     ,+                     ,                        ,                         ,                   ,                    ,                   ,                      ,                     ,                                   ,                       ,                        ,                         ,                          ,                    ,               ,                          ,                         ,                   ,                           ,                       ,                    ,                     ,                          ,                     ,                      ,                   ,                    ,                       ,                       ,                 ,                   ,                  ,                        ,                   ,                     ,                         ,                   ,                         ,                       ,from IR. Ch 4. Tables 6 and 7.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,,167,1010,C, 19,X,CC,  23.00,    174.8500,Caulet   ,Radiolarians                                 ,A              ,G                 ,+                     ,+                 ,+                     ,+                               ,+               ,+                 ,+                 ,+                      ,+                    ,                      ,                        ,                         ,                   ,                    ,                   ,                      ,                     ,                                   ,                       ,                        ,                         ,                          ,                    ,               ,                          ,                         ,                   ,                           ,                       ,                    ,                     ,                          ,                     ,                      ,                   ,                    ,                       ,                       ,                 ,                   ,                  ,                        ,                   ,                     ,                         ,                   ,                         ,                       ,from IR. Ch 4. Tables 6 and 7.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
