Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Agglutinated spp. (indeterminate),Nonionella miocenica,Cassidulina minuta,Epistominella pacifica,Uvigerina peregrina,Quinqueloculina sp.,Globobulimina pacifica,Valvulineria araucana,Bulimina striata mexicana,Lagena spp.,Calcareous spp. (indeterminate),Melonis pompilioides,Gyroidina soldanii rotundimargo,Gyroidina soldanii altiformis,Fissurina spp.,Elphidium excavatum f. clavatum,Cibicidoides wuellerstorfi,Oridorsalis umbonatus,Elphidium spp.,Fursenkoina sp.,Elphidiella hannai,Cassidulina spp.,Uvigerina senticosa,Bolivina spissa,Fursenkoina bradyi,Cibicides spp.,Chilostomella oolina,Cassidulinoides bradyi,Bulimina subacuminata,Cassidulina limbata,Pyrgo spp.,Pullenia bulloides,Nonionella labradorica,Cassidulina translucens,Buliminella subfusiformis,Bulimina subcalva,Bulimina exilis,Bulimina barbata,Buccella frigida,Uvigerina hispida,Trifarina angulosa,Nodosaria spp.,Globocassidulina subglobosa,Dorothia sp.,Cibicidoides spp.,Cassidulina californica,Buccella tenerrima,Chilostomella ovoidea,Elphidiella oregonense,Cassidulina teretis,Uvigerina dirupta,Lenticulina sp.,Guttulina sp.,Cassidulinoides cornuta,Bolivina spp.,Bolivina subspinescens,Eponides healdi,Pullenia salisburyi,Glandulina laevigata,Cibicidoides mckannai,Globobulimina affinis,Buliminella elegantissima,Nonionella globosa,Trichohyalus ornatissima,Eggerella bradyi,Cassidulina carinata,Karreriella sp.,Cassidulina norcrossi,Cassidulina cushmani,Bulimina spp.,Bolivina seminuda,Bolivina interjuncta,Bolivina argentea,Astrononion sp.,Triloculina sp.,Epistominella sp.,Epistominella exigua,Reophax sp.,Bolivina translucens,Suggrunda sp.,Globobulimina auriculata,Bolivina pseudobeyrichi,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 888,B,  2,H, 4, 125.00,     11.2500,Zellers  ,Benthic Foraminifers                         ,               ,G                 ,                                 ,                    ,                  ,                      ,                   ,                   ,                      ,                     ,                         ,           ,                               ,                    ,                               ,                             ,              ,                               ,                          ,                     ,S             ,               ,                  ,                ,                   ,               ,                  ,              ,                    ,                      ,                     ,                   ,          ,                  ,                      ,                       ,                         ,                 ,               ,                ,                ,                 ,                  ,              ,                           ,            ,                 ,                       ,                  ,                     ,                      ,                   ,                 ,               ,             ,                       ,             ,                      ,               ,                   ,                    ,                     ,                     ,                         ,C                 ,                        ,                ,                    ,               ,                     ,                    ,             ,                 ,                    ,                 ,               ,               ,                 ,                    ,           ,                    ,             ,                        ,                       ,from Leg 146 SR; Ch 5; Table 1; p. 82-90
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 888,B,  2,H, 5, 133.00,     12.8300,Zellers  ,Benthic Foraminifers                         ,               ,G                 ,                                 ,S                   ,                  ,R                     ,S                  ,                   ,                      ,                     ,                         ,           ,                               ,                    ,                               ,                             ,              ,                               ,                          ,                     ,              ,               ,                  ,                ,                   ,               ,                  ,              ,                    ,                      ,                     ,                   ,          ,                  ,                      ,                       ,                         ,                 ,               ,                ,                ,                 ,                  ,              ,                           ,            ,                 ,                       ,                  ,                     ,                      ,                   ,                 ,               ,             ,                       ,             ,                      ,               ,                   ,                    ,                     ,                     ,                         ,S                 ,                        ,                ,                    ,               ,                     ,                    ,             ,S                ,                    ,                 ,               ,               ,                 ,                    ,           ,                    ,             ,                        ,                       ,from Leg 146 SR; Ch 5; Table 1; p. 82-90
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 888,B,  2,H, 6, 135.00,     14.3500,Zellers  ,Benthic Foraminifers                         ,               ,G                 ,                                 ,                    ,                  ,R                     ,                   ,                   ,S                     ,                     ,                         ,           ,                               ,                    ,                               ,                             ,              ,                               ,                          ,                     ,              ,S              ,                  ,                ,                   ,               ,                  ,              ,S                   ,                      ,                     ,                   ,          ,                  ,                      ,                       ,S                        ,                 ,               ,                ,                ,                 ,                  ,              ,                           ,            ,                 ,                       ,                  ,                     ,                      ,                   ,                 ,               ,             ,                       ,             ,                      ,               ,                   ,                    ,                     ,                     ,                         ,C                 ,                        ,                ,                    ,               ,                     ,                    ,S            ,                 ,                    ,                 ,               ,S              ,                 ,                    ,           ,                    ,             ,                        ,                       ,from Leg 146 SR; Ch 5; Table 1; p. 82-90
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 888,B,  2,H,CC,  23.00,     15.1100,Zellers  ,Benthic Foraminifers                         ,               ,G                 ,                                 ,                    ,S                 ,S                     ,                   ,                   ,                      ,                     ,                         ,           ,                               ,                    ,                               ,                             ,              ,S                              ,                          ,                     ,              ,               ,                  ,                ,                   ,               ,                  ,S             ,                    ,                      ,                     ,                   ,          ,                  ,                      ,                       ,                         ,                 ,               ,                ,                ,                 ,                  ,              ,                           ,            ,                 ,                       ,                  ,                     ,                      ,                   ,                 ,               ,             ,                       ,             ,                      ,               ,                   ,                    ,                     ,                     ,                         ,R                 ,                        ,                ,                    ,               ,                     ,                    ,             ,                 ,                    ,                 ,               ,               ,                 ,                    ,           ,                    ,             ,                        ,                       ,from Leg 146 SR; Ch 5; Table 1; p. 82-90
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 888,B,  3,H, 1,  14.00,     15.1400,Zellers  ,Benthic Foraminifers                         ,               ,G                 ,S                                ,                    ,R                 ,C                     ,R                  ,                   ,                      ,                     ,                         ,           ,                               ,                    ,                               ,                             ,              ,R                              ,S                         ,                     ,              ,               ,                  ,R               ,                   ,S              ,                  ,S             ,                    ,                      ,R                    ,                   ,          ,                  ,                      ,                       ,                         ,                 ,               ,                ,                ,                 ,                  ,              ,                           ,            ,                 ,                       ,                  ,                     ,                      ,                   ,                 ,               ,             ,                       ,             ,                      ,               ,                   ,                    ,                     ,                     ,                         ,R                 ,                        ,                ,                    ,               ,                     ,                    ,             ,                 ,                    ,                 ,               ,               ,                 ,                    ,           ,                    ,             ,                        ,                       ,from Leg 146 SR; Ch 5; Table 1; p. 82-90
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 888,B,  3,H, 1, 125.00,     16.2500,Zellers  ,Benthic Foraminifers                         ,               ,G                 ,S                                ,                    ,R                 ,R                     ,                   ,                   ,                      ,                     ,                         ,           ,                               ,                    ,                               ,                             ,              ,R                              ,                          ,                     ,              ,               ,                  ,                ,                   ,               ,                  ,              ,                    ,                      ,                     ,                   ,          ,                  ,                      ,                       ,                         ,                 ,               ,                ,                ,                 ,                  ,              ,                           ,            ,                 ,                       ,                  ,                     ,                      ,                   ,                 ,               ,             ,                       ,             ,                      ,               ,                   ,                    ,                     ,                     ,                         ,S                 ,                        ,                ,                    ,               ,                     ,                    ,             ,                 ,                    ,                 ,               ,               ,                 ,                    ,           ,                    ,             ,                        ,                       ,from Leg 146 SR; Ch 5; Table 1; p. 82-90
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 888,B,  3,H, 2,  17.00,     16.6700,Zellers  ,Benthic Foraminifers                         ,               ,G                 ,S                                ,                    ,R                 ,                      ,                   ,                   ,                      ,                     ,                         ,           ,                               ,                    ,                               ,                             ,              ,                               ,                          ,                     ,              ,               ,                  ,                ,                   ,               ,                  ,              ,                    ,                      ,S                    ,                   ,          ,                  ,                      ,                       ,                         ,                 ,               ,                ,                ,                 ,                  ,              ,                           ,            ,                 ,                       ,                  ,                     ,                      ,                   ,                 ,               ,             ,                       ,             ,                      ,               ,                   ,                    ,                     ,                     ,                         ,                  ,                        ,                ,                    ,               ,                     ,                    ,             ,                 ,                    ,                 ,               ,               ,                 ,                    ,           ,                    ,             ,                        ,                       ,from Leg 146 SR; Ch 5; Table 1; p. 82-90
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 888,B,  3,H, 2, 128.00,     17.7800,Zellers  ,Benthic Foraminifers                         ,               ,G                 ,                                 ,                    ,                  ,                      ,                   ,                   ,                      ,                     ,                         ,           ,                               ,                    ,                               ,                             ,              ,                               ,                          ,                     ,              ,               ,                  ,                ,                   ,               ,                  ,              ,                    ,                      ,                     ,                   ,          ,                  ,                      ,                       ,                         ,                 ,               ,                ,                ,                 ,                  ,              ,                           ,            ,                 ,                       ,                  ,                     ,                      ,                   ,                 ,               ,             ,                       ,             ,                      ,               ,                   ,                    ,                     ,                     ,                         ,C                 ,                        ,                ,                    ,               ,                     ,                    ,             ,                 ,                    ,                 ,               ,R              ,                 ,                    ,           ,                    ,             ,                        ,                       ,from Leg 146 SR; Ch 5; Table 1; p. 82-90
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 888,B,  3,H, 3,  31.00,     18.3100,Zellers  ,Benthic Foraminifers                         ,               ,G                 ,                                 ,                    ,                  ,                      ,                   ,                   ,                      ,                     ,                         ,           ,                               ,                    ,                               ,                             ,              ,                               ,                          ,                     ,              ,               ,                  ,R               ,                   ,               ,                  ,              ,                    ,                      ,                     ,                   ,          ,                  ,                      ,                       ,                         ,                 ,               ,                ,                ,                 ,                  ,              ,                           ,            ,                 ,                       ,                  ,                     ,                      ,                   ,                 ,               ,             ,                       ,             ,                      ,               ,                   ,                    ,                     ,                     ,                         ,                  ,                        ,                ,                    ,               ,                     ,                    ,             ,                 ,                    ,                 ,               ,               ,                 ,                    ,           ,                    ,             ,                        ,                       ,from Leg 146 SR; Ch 5; Table 1; p. 82-90
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 888,B,  3,H, 3, 118.00,     19.1800,Zellers  ,Benthic Foraminifers                         ,               ,G                 ,S                                ,                    ,                  ,R                     ,                   ,                   ,                      ,                     ,                         ,           ,                               ,                    ,                               ,                             ,              ,                               ,                          ,                     ,              ,S              ,                  ,                ,                   ,               ,                  ,              ,                    ,                      ,                     ,                   ,          ,                  ,                      ,                       ,                         ,                 ,               ,                ,                ,                 ,                  ,              ,                           ,            ,                 ,                       ,                  ,                     ,                      ,                   ,                 ,               ,             ,                       ,             ,                      ,               ,                   ,                    ,                     ,                     ,                         ,S                 ,                        ,                ,                    ,               ,                     ,                    ,             ,                 ,                    ,                 ,               ,               ,                 ,                    ,           ,                    ,             ,                        ,                       ,from Leg 146 SR; Ch 5; Table 1; p. 82-90
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 888,B,  3,H, 4,  31.00,     19.8100,Zellers  ,Benthic Foraminifers                         ,               ,G                 ,S                                ,                    ,                  ,                      ,S                  ,                   ,                      ,                     ,                         ,           ,                               ,                    ,                               ,                             ,              ,                               ,                          ,                     ,              ,               ,                  ,                ,                   ,               ,                  ,              ,                    ,                      ,                     ,                   ,          ,                  ,                      ,                       ,                         ,                 ,               ,                ,                ,                 ,                  ,              ,                           ,            ,                 ,                       ,                  ,                     ,                      ,                   ,                 ,               ,             ,                       ,             ,                      ,               ,                   ,                    ,                     ,                     ,                         ,R                 ,                        ,                ,                    ,               ,                     ,                    ,             ,                 ,                    ,                 ,               ,               ,                 ,                    ,           ,                    ,             ,                        ,                       ,from Leg 146 SR; Ch 5; Table 1; p. 82-90
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 888,B,  3,H, 4,  88.00,     20.3800,Zellers  ,Benthic Foraminifers                         ,               ,G                 ,S                                ,                    ,                  ,                      ,                   ,                   ,                      ,                     ,                         ,           ,                               ,                    ,                               ,                             ,              ,                               ,                          ,                     ,R             ,               ,                  ,                ,                   ,               ,                  ,              ,                    ,                      ,                     ,                   ,          ,                  ,                      ,                       ,                         ,                 ,               ,                ,                ,                 ,                  ,              ,                           ,            ,                 ,                       ,                  ,                     ,                      ,                   ,                 ,               ,             ,                       ,             ,                      ,               ,                   ,                    ,                     ,                     ,                         ,                  ,                        ,                ,                    ,               ,                     ,                    ,             ,                 ,                    ,                 ,               ,               ,                 ,                    ,           ,                    ,             ,                        ,                       ,from Leg 146 SR; Ch 5; Table 1; p. 82-90
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 888,B,  3,H, 5,   8.00,     21.0800,Zellers  ,Benthic Foraminifers                         ,               ,G                 ,                                 ,                    ,R                 ,                      ,                   ,                   ,                      ,                     ,                         ,           ,                               ,                    ,                               ,                             ,              ,                               ,                          ,                     ,              ,               ,                  ,                ,                   ,               ,                  ,              ,                    ,                      ,                     ,                   ,          ,                  ,                      ,                       ,                         ,                 ,               ,                ,                ,                 ,                  ,              ,                           ,            ,                 ,                       ,                  ,                     ,                      ,                   ,                 ,               ,             ,                       ,             ,                      ,               ,                   ,                    ,                     ,                     ,                         ,                  ,                        ,                ,                    ,               ,                     ,                    ,             ,                 ,                    ,                 ,               ,S              ,                 ,                    ,           ,                    ,             ,                        ,                       ,from Leg 146 SR; Ch 5; Table 1; p. 82-90
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 888,B,  3,H, 5,  73.00,     21.7300,Zellers  ,Benthic Foraminifers                         ,               ,G                 ,                                 ,                    ,                  ,R                     ,S                  ,                   ,                      ,                     ,                         ,           ,                               ,                    ,                               ,                             ,              ,                               ,                          ,                     ,S             ,               ,                  ,                ,                   ,               ,                  ,              ,                    ,                      ,                     ,                   ,          ,                  ,                      ,S                      ,                         ,                 ,               ,                ,                ,                 ,                  ,              ,                           ,            ,                 ,                       ,                  ,                     ,                      ,                   ,                 ,               ,             ,                       ,             ,                      ,               ,                   ,                    ,                     ,                     ,                         ,                  ,                        ,                ,                    ,               ,                     ,                    ,             ,                 ,                    ,                 ,               ,               ,                 ,                    ,           ,S                   ,             ,                        ,                       ,from Leg 146 SR; Ch 5; Table 1; p. 82-90
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 888,B,  3,H, 6,  11.00,     22.6100,Zellers  ,Benthic Foraminifers                         ,               ,G                 ,S                                ,                    ,                  ,                      ,                   ,                   ,                      ,                     ,                         ,           ,                               ,                    ,                               ,                             ,              ,                               ,                          ,                     ,              ,               ,                  ,                ,                   ,               ,                  ,              ,                    ,                      ,                     ,                   ,          ,                  ,                      ,                       ,                         ,                 ,               ,                ,                ,                 ,                  ,              ,                           ,            ,                 ,                       ,                  ,                     ,                      ,                   ,                 ,               ,             ,                       ,             ,                      ,               ,                   ,                    ,                     ,                     ,                         ,F                 ,                        ,                ,                    ,               ,                     ,                    ,             ,                 ,                    ,                 ,               ,               ,                 ,                    ,           ,                    ,             ,                        ,                       ,from Leg 146 SR; Ch 5; Table 1; p. 82-90
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 888,B,  3,H, 7,  30.00,     24.3000,Zellers  ,Benthic Foraminifers                         ,               ,G                 ,S                                ,                    ,                  ,                      ,                   ,                   ,                      ,                     ,                         ,           ,                               ,                    ,                               ,                             ,              ,                               ,                          ,                     ,              ,               ,                  ,                ,                   ,               ,                  ,              ,                    ,                      ,                     ,                   ,          ,                  ,                      ,                       ,                         ,                 ,               ,                ,                ,                 ,                  ,              ,                           ,            ,                 ,                       ,                  ,                     ,                      ,                   ,                 ,               ,             ,                       ,             ,                      ,               ,                   ,                    ,                     ,                     ,                         ,R                 ,                        ,                ,                    ,               ,                     ,                    ,             ,                 ,                    ,                 ,               ,               ,                 ,                    ,           ,                    ,             ,                        ,                       ,from Leg 146 SR; Ch 5; Table 1; p. 82-90
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 888,B,  3,H,CC,  52.00,     25.2400,Zellers  ,Benthic Foraminifers                         ,               ,G                 ,                                 ,                    ,R                 ,                      ,                   ,                   ,                      ,                     ,                         ,           ,                               ,                    ,                               ,                             ,              ,R                              ,                          ,                     ,              ,               ,                  ,                ,                   ,               ,                  ,              ,                    ,                      ,                     ,                   ,          ,                  ,                      ,                       ,                         ,                 ,               ,                ,                ,                 ,                  ,              ,                           ,            ,                 ,                       ,                  ,                     ,                      ,                   ,                 ,               ,             ,                       ,             ,                      ,               ,                   ,                    ,                     ,                     ,                         ,R                 ,                        ,                ,                    ,               ,                     ,                    ,             ,                 ,                    ,                 ,               ,               ,                 ,                    ,           ,                    ,             ,                        ,                       ,from Leg 146 SR; Ch 5; Table 1; p. 82-90
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 888,B,  4,H, 1, 110.00,     25.6000,Zellers  ,Benthic Foraminifers                         ,               ,G                 ,                                 ,                    ,S                 ,                      ,                   ,                   ,                      ,                     ,                         ,           ,                               ,                    ,                               ,                             ,              ,                               ,                          ,                     ,              ,               ,                  ,                ,                   ,               ,                  ,              ,                    ,                      ,                     ,                   ,          ,                  ,                      ,                       ,                         ,                 ,               ,S               ,                ,                 ,                  ,              ,                           ,            ,                 ,                       ,                  ,                     ,                      ,                   ,                 ,               ,             ,                       ,             ,                      ,               ,                   ,                    ,                     ,                     ,                         ,F                 ,                        ,                ,                    ,               ,                     ,                    ,             ,                 ,                    ,                 ,               ,               ,                 ,                    ,           ,                    ,             ,                        ,                       ,from Leg 146 SR; Ch 5; Table 1; p. 82-90
