Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Watznaueria barnesae	Tranolithus orionatus	Prediscosphaera cretacea	Parhabdolithus angustus	Lithastrinus floralis	Gartnerago obliquum	Gartnerago nanum	Eiffellithus turriseiffelii	Cretarhabdus surirellus	Cretarhabdus conicus	Chiastozygus litterarius	Broinsonia signata	Biscutum constans	Ahmuellerella octoradiata	Kamptnerius magnificus	Zygodiscus diplogrammus	Micula staurophora	Lithraphidites carniolensis	Cylindralithus sp.	Cyclagelosphaera margerelii	Biscutum magnum	Reinhardtites anthophorus	Seribiscutum primitivum	Lucianorhabdus cayeuxii	Eiffellithus trabeculatus	Eiffellithus eximius	Biscutum coronum	Arkhangelskiella cymbiformis	Broinsonia enormis	Broinsonia parca	Prediscosphaera spinosa	Reinhardtites levis	Zygodiscus spiralis	Nephrolithus frequens	Nephrolithus corystus	Cribrosphaerella ehrenbergii	Cribrosphaerella daniae	Markalius inversus (oval)	Thoracosphaera spp.	Microrhabdulus decoratus	Biscutum sp.	Crepidolithus sp.	Prediscosphaera stoveri	Toweius sp.	Markalius inversus	Cruciplacolithus tenuis	Zygodiscus sigmoides	Biantholithus sparsus	Prinsius dimorphosus	Markalius inversus (circular)	Cruciplacolithus primus	Hornibrookina teuriensis	Cruciplacolithus subrotundus	Cyclagelosphaera reinhardtii	Coccolithus pelagicus	Cruciplacolithus edwardsii	Chiasmolithus danicus	Neochiastozygus modestus	Toweius pertusus	Toweius craticulus	Prinsius martinii	Neochiastozygus concinnus	Lapideacassis sp.	Neochiastozygus sp.	Fasciculithus ulii	Prinsius bisulcus	Fasciculithus tympaniformis	Chiasmolithus bidens	Markalius apertus	Coccolithus subpertusus	Sphenolithus primus	Fasciculithus pileatus	Toweius eminens	Heliolithus sp.	Heliolithus kleinpellii	Discoaster mohleri	Zygrhablithus bijugatus	Toweius callosus	Neococcolithes dubius	Discoaster nobilis	Discoaster multiradiatus	Chiasmolithus solitus	Chiasmolithus consuetus	Discoaster diastypus	Tribrachiatus orthostylus	Sphenolithus moriformis	Ellipsolithus distichus	Discoaster barbadiensis	Sphenolithus radians	Discoaster kuepperi	Coccolithus formosus	Chiasmolithus expansus	Reticulofenestra samodurovii	Discoaster lodoensis	Discoaster spp.	Clausicoccus fenestratus	Helicosphaera sp.	Chiasmolithus grandis	Discoaster sublodoensis	Discoaster praebifax	Reticulofenestra daviesii	Nannotetrina cristata	Comment

  SR	Middle Eocene    	                 	CP12              	              	119	 738	C	  4	R	 1	  66.00	    216.5600	Wei      	Nannofossils                                 	A              	M                 	                    	                     	                        	                       	                     	                   	                	                           	                       	                    	                        	                  	                 	                         	                      	                       	                  	                           	                  	                           	               	                         	                       	                       	                         	                    	                	                            	                  	                	                       	                   	                   	                     	                     	                            	                       	                         	                   	                        	            	                 	                       	           	                  	                       	                    	                     	                    	                             	                       	                        	                            	                            	A                    	                          	                     	                        	                	                  	                 	                         	                 	                   	                  	                 	                           	                    	                 	                       	                   	                      	               	               	                       	                  	C                      	                	F                    	                  	                        	C                    	                       	                    	                         	                       	R                      	R                      	                    	                   	R                   	F                     	                            	R                   	F              	                        	                 	                     	                       	R                   	F                        	                     	from 119 SR Chapter 26 Table 5 fold-out back pocket.

  SR	Middle Eocene    	                 	CP12              	              	119	 738	C	  4	R	 2	  66.00	    218.0600	Wei      	Nannofossils                                 	A              	M                 	                    	                     	                        	                       	                     	                   	                	                           	                       	                    	                        	                  	                 	                         	                      	                       	                  	                           	                  	                           	               	                         	                       	                       	                         	                    	                	                            	                  	                	                       	                   	                   	                     	                     	                            	                       	                         	                   	                        	            	                 	                       	           	                  	                       	                    	                     	                    	                             	                       	                        	                            	                            	A                    	                          	                     	                        	                	                  	                 	                         	                 	                   	                  	                 	                           	                    	                 	                       	                   	                      	               	               	                       	                  	C                      	                	C                    	                  	                        	C                    	                       	                    	                         	                       	                       	R                      	                    	                   	R                   	F                     	R                           	R                   	               	                        	                 	                     	R                      	                    	F                        	                     	from 119 SR Chapter 26 Table 5 fold-out back pocket.

  SR	Middle Eocene    	                 	CP12              	              	119	 738	C	  4	R	 3	  66.00	    219.5600	Wei      	Nannofossils                                 	A              	M                 	                    	                     	                        	                       	                     	                   	                	                           	                       	                    	                        	                  	                 	                         	                      	                       	                  	                           	                  	                           	               	                         	                       	                       	                         	                    	                	                            	                  	                	                       	                   	                   	                     	                     	                            	                       	                         	                   	                        	            	                 	                       	           	                  	                       	                    	                     	                    	                             	                       	                        	                            	                            	A                    	                          	                     	                        	                	                  	                 	                         	                 	                   	                  	                 	                           	                    	                 	                       	                   	                      	               	               	                       	                  	C                      	                	R                    	                  	                        	C                    	                       	                    	                         	                       	                       	                       	                    	                   	R                   	F                     	                            	F                   	F              	                        	                 	                     	R                      	R                   	                         	                     	from 119 SR Chapter 26 Table 5 fold-out back pocket.

  SR	Middle Eocene    	                 	CP12              	              	119	 738	C	  4	R	CC	   0.00	    219.9800	Wei      	Nannofossils                                 	A              	M                 	                    	                     	                        	                       	                     	                   	                	                           	                       	                    	                        	                  	                 	                         	                      	                       	                  	                           	                  	                           	               	                         	                       	                       	                         	                    	                	                            	                  	                	                       	                   	                   	                     	                     	                            	                       	                         	                   	                        	            	                 	                       	           	                  	                       	                    	                     	                    	                             	                       	                        	                            	                            	A                    	                          	                     	                        	                	                  	                 	                         	                 	                   	                  	                 	                           	                    	                 	                       	                   	                      	               	               	                       	                  	A                      	                	C                    	                  	                        	A                    	                       	                    	                         	                       	                       	                       	R                   	                   	R                   	R                     	                            	R                   	               	                        	                 	R                    	                       	R                   	                         	                     	from 119 SR Chapter 26 Table 5 fold-out back pocket.

  SR	Middle Eocene    	                 	CP12              	              	119	 738	C	  5	R	 1	  69.00	    226.2900	Wei      	Nannofossils                                 	A              	M                 	                    	                     	                        	                       	                     	                   	                	                           	                       	                    	                        	                  	                 	                         	                      	                       	                  	                           	                  	                           	               	                         	                       	                       	                         	                    	                	                            	                  	                	                       	                   	                   	                     	                     	                            	                       	                         	                   	                        	            	                 	                       	           	                  	                       	                    	                     	                    	                             	                       	                        	                            	                            	A                    	                          	                     	                        	                	                  	                 	                         	                 	                   	                  	                 	                           	                    	                 	                       	                   	                      	               	               	                       	                  	C                      	R               	F                    	                  	                        	C                    	                       	                    	                         	                       	                       	R                      	                    	R                  	R                   	F                     	                            	C                   	F              	                        	                 	R                    	R                      	                    	                         	                     	from 119 SR Chapter 26 Table 5 fold-out back pocket.

  SR	Early Eocene     	                 	CP10              	CP11          	119	 738	C	  5	R	 2	  69.00	    227.7900	Wei      	Nannofossils                                 	A              	M                 	                    	                     	                        	                       	                     	                   	                	                           	                       	                    	                        	                  	                 	                         	                      	                       	                  	                           	                  	                           	               	                         	                       	                       	                         	                    	                	                            	                  	                	                       	                   	                   	                     	                     	                            	                       	                         	                   	                        	            	                 	                       	           	                  	                       	                    	                     	                    	                             	                       	                        	                            	                            	A                    	                          	                     	                        	                	                  	                 	                         	                 	                   	                  	                 	                           	                    	                 	                       	                   	                      	               	               	                       	                  	C                      	F               	R                    	                  	                        	C                    	                       	                    	R                        	R                      	R                      	                       	                    	R                  	R                   	                      	                            	R                   	F              	                        	                 	R                    	                       	                    	                         	                     	from 119 SR Chapter 26 Table 5 fold-out back pocket.

  SR	Early Eocene     	                 	CP10              	CP11          	119	 738	C	  5	R	CC	   0.00	    227.8800	Wei      	Nannofossils                                 	A              	M                 	                    	                     	                        	                       	                     	                   	                	                           	                       	                    	                        	                  	                 	                         	                      	                       	                  	                           	                  	                           	               	                         	                       	                       	                         	                    	                	                            	                  	                	                       	                   	                   	                     	                     	                            	                       	                         	                   	                        	            	                 	                       	           	                  	                       	                    	                     	                    	                             	                       	                        	                            	                            	A                    	                          	                     	                        	                	                  	                 	                         	                 	                   	                  	                 	                           	                    	                 	                       	                   	                      	               	               	                       	                  	A                      	C               	C                    	                  	                        	C                    	                       	                    	                         	R                      	                       	                       	R                   	R                  	R                   	                      	R                           	R                   	R              	                        	                 	R                    	                       	                    	                         	                     	from 119 SR Chapter 26 Table 5 fold-out back pocket.

  SR	Early Eocene     	                 	CP10              	CP11          	119	 738	C	  6	R	 1	  66.00	    235.8600	Wei      	Nannofossils                                 	A              	M                 	                    	                     	                        	                       	                     	                   	                	                           	                       	                    	                        	                  	                 	                         	                      	                       	                  	                           	                  	                           	               	                         	                       	                       	                         	                    	                	                            	                  	                	                       	                   	                   	                     	                     	                            	                       	                         	                   	                        	            	                 	                       	           	                  	                       	                    	                     	                    	R                            	                       	                        	                            	                            	C                    	                          	                     	                        	                	                  	                 	                         	                 	                   	                  	                 	                           	                    	                 	                       	                   	                      	               	               	                       	                  	C                      	F               	C                    	                  	                        	C                    	                       	                    	                         	R                      	                       	                       	                    	C                  	R                   	                      	                            	R                   	F              	                        	                 	R                    	                       	                    	                         	                     	from 119 SR Chapter 26 Table 5 fold-out back pocket.

  SR	Early Eocene     	                 	CP10              	CP11          	119	 738	C	  6	R	CC	   0.00	    236.3500	Wei      	Nannofossils                                 	A              	M                 	                    	                     	                        	                       	                     	                   	                	                           	                       	                    	                        	                  	                 	                         	                      	                       	                  	                           	                  	                           	               	                         	                       	                       	                         	                    	                	                            	                  	                	                       	                   	                   	                     	                     	                            	                       	                         	                   	                        	            	                 	                       	           	                  	                       	                    	                     	                    	                             	                       	                        	                            	                            	A                    	                          	                     	                        	                	                  	                 	                         	                 	                   	                  	                 	                           	                    	                 	                       	                   	                      	               	               	                       	                  	C                      	F               	C                    	                  	                        	A                    	                       	                    	                         	                       	                       	                       	                    	F                  	C                   	                      	                            	F                   	               	R                       	                 	                     	                       	                    	                         	                     	from 119 SR Chapter 26 Table 5 fold-out back pocket.

  SR	Early Eocene     	                 	CP10              	CP11          	119	 738	C	  7	R	 1	  67.00	    245.4700	Wei      	Nannofossils                                 	A              	P                 	                    	                     	                        	                       	                     	                   	                	                           	                       	                    	                        	                  	                 	                         	                      	                       	                  	                           	                  	                           	               	                         	                       	                       	                         	                    	                	                            	                  	                	                       	                   	                   	                     	                     	                            	                       	                         	                   	                        	            	                 	                       	           	                  	                       	                    	                     	                    	R                            	                       	                        	                            	                            	C                    	                          	                     	                        	                	                  	                 	                         	                 	                   	                  	                 	                           	                    	                 	                       	                   	                      	               	               	                       	                  	C                      	                	F                    	                  	                        	C                    	                       	                    	                         	R                      	                       	                       	R                   	F                  	                    	                      	                            	                    	F              	                        	R                	                     	                       	                    	                         	                     	from 119 SR Chapter 26 Table 5 fold-out back pocket.

  SR	Early Eocene     	                 	CP10              	CP11          	119	 738	C	  7	R	 2	  67.00	    246.9700	Wei      	Nannofossils                                 	A              	P                 	                    	                     	                        	                       	                     	                   	                	                           	                       	                    	                        	                  	                 	                         	                      	                       	                  	                           	                  	                           	               	                         	                       	                       	                         	                    	                	                            	                  	                	                       	                   	                   	                     	                     	                            	                       	                         	                   	                        	            	                 	                       	           	                  	                       	                    	                     	                    	R                            	                       	                        	                            	                            	C                    	                          	                     	                        	                	                  	                 	                         	                 	                   	                  	                 	                           	                    	                 	                       	                   	                      	               	               	                       	                  	C                      	                	F                    	                  	                        	C                    	                       	                    	                         	F                      	                       	                       	                    	F                  	                    	                      	                            	F                   	F              	R                       	                 	                     	                       	                    	                         	                     	from 119 SR Chapter 26 Table 5 fold-out back pocket.

  SR	Early Eocene     	                 	CP10              	CP11          	119	 738	C	  7	R	 3	  47.00	    248.2700	Wei      	Nannofossils                                 	A              	P                 	                    	                     	                        	                       	                     	                   	                	                           	                       	                    	                        	                  	                 	                         	                      	                       	                  	                           	                  	                           	               	                         	                       	                       	                         	                    	                	                            	                  	                	                       	                   	                   	                     	                     	                            	                       	                         	                   	                        	            	                 	                       	           	                  	                       	                    	                     	                    	R                            	                       	                        	                            	                            	A                    	                          	                     	                        	                	                  	                 	                         	                 	                   	                  	                 	                           	                    	                 	                       	                   	                      	               	               	                       	                  	A                      	R               	R                    	                  	                        	C                    	                       	                    	                         	                       	                       	                       	                    	F                  	                    	                      	                            	R                   	F              	                        	                 	                     	                       	                    	                         	                     	from 119 SR Chapter 26 Table 5 fold-out back pocket.

  SR	Early Eocene     	                 	CP10              	CP11          	119	 738	C	  7	R	CC	  11.00	    248.4000	Wei      	Nannofossils                                 	A              	M                 	                    	                     	                        	                       	                     	                   	                	                           	                       	                    	                        	                  	                 	                         	                      	                       	                  	                           	                  	                           	               	                         	                       	                       	                         	                    	                	                            	                  	                	                       	                   	                   	                     	                     	                            	                       	                         	                   	                        	            	                 	                       	           	                  	                       	                    	                     	                    	F                            	                       	                        	                            	                            	A                    	                          	                     	                        	                	                  	                 	                         	                 	                   	                  	                 	                           	                    	                 	                       	                   	                      	               	               	                       	                  	C                      	F               	F                    	                  	                        	A                    	                       	                    	                         	R                      	                       	R                      	R                   	F                  	F                   	                      	R                           	F                   	               	                        	                 	                     	                       	                    	                         	                     	from 119 SR Chapter 26 Table 5 fold-out back pocket.
