Exp,Site,Hole,"Core,    section",depth Top CSF-A (m),depth Bottom CSF-A (m),Abundance,Preservation,Actinocyclus curvatulus,Actinocyclus ochotensis,Actinocyclus oculatus,Actinocyclus sp. 1,Actinoptychus senarius,Asteromphalus brookei,Asteromphalus robustus,Aulacoseira spp.,Azpeitia nodulifera,Bacterosira fragilis,Chaetoceros spp. Spores,Cocconeis costata,Coscinodiscus marginatus,Coscinodiscus oculus-iridis,Coscinodiscus radiatus,Cyclotella sp.,Delphineis cf. angustata,Delphineis kippae,Delphineis surirella,Detonula confervacea,Diploneis spp.,Encyonema ventricosa,Eunotia praerupta,Eunotia spp.,Fragilaria sp.,Fragilariopsis cylindrus,Fragilariopsis oceanica,Fragilariopsis spp.,Gonphonema spp.,Melosira spp.,Navicula distans,Navicula spp.,Neodenticula koizumii,Neodenticula seminae,Neodenticula sp. A,Nitzschia spp.,Odontella aurita,Paralia sol,Paralia sulcata,Pinnularia spp.,Porosira glacialis,Proboscia curvirostris,Pyxidicula horridus,Pyxidicula pustulatus,Pyxidicula turris,Pyxidicula zabelinae,Pyxidicula spp.,Pyxilla americana,Raphoneis amphiceros,Rhizosolenia barboi,Rhizosolenia borealis,Rhizosolenia hebetata f. hebetata,Rhizosolenia hebetata f. hiemalis,Rhizosolenia hebetata f. semispina,Rhizosolenia styliformis,Rhizosolenia spp.,Stellarima microtrias,Tetracyclus lacustris,Thalassionema bacillaris,Thalassionema nitzschioides,Thalassiosira antarctica Spores,Thalassiosira decipiens,Thalassiosira eccentrica,Thalassiosira gravida,Thalassiosira hyalina,Thalassiosira jouseae,Thalassiosira lacustris,Thalassiosira latimarginata,Thalassiosira nordenskioeldii,Thalassiosira oestrupii,Thalassiosira spp.,Thalassiothrix longissima,Diatom Zone (NPD) in Yanagisawa and Akiba (1998),Core,Section,Type
323,U1343,E,45H-CC,388.26,388.36,C,M,A,F,,,,R,R,,,,,,R,R,R,,R,,F,,,,,,,,,,,,,,,C,,,,C,R,R,F,R,,,,,,,,R,,,,F,,,,,,,C,,,,,C,,R,,F,,R,Actinocyclus oculatus (NPD10),45,CC,H
323,U1343,E,50H-CC,428.5,428.6,A,M,C,,,,,,,,,R,,,F,,,,R,,,,,,,,,R,,,,,,,,A,,,R,,C,R,F,R,,,,,,,,R,,,,F,,,F,,,F,C,,,,,R,,R,,C,,R,Actinocyclus oculatus (NPD10),50,CC,H
323,U1343,E,52X-CC,446.16,446.21,A,M-G,R,,R,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,F,C,F,,C,C,,F,,,,,,,,,,,,,,R,,,,,F,C,,,,,C,,C,,F,R,F,Actinocyclus oculatus (NPD10),52,CC,X
323,U1343,E,53X-CC,455.88,455.98,A,M-G,C,,R,R,R,,,,,,,R,R,,,F,A,,R,,,,,,,,,,,,,,,C,,R,,A,R,,F,R,,,,,,,,F,,F,R,,,,,,,,C,,,,,F,,,,,,,Actinocyclus oculatus (NPD10),53,CC,X
323,U1343,E,54X-CC,463.39,463.49,A,M-G,C,R,,,,,,,,F,,,C,,,,,,,,,,,,,,,,,,,,,C,,,R,,F,,A,R,,,,,,R,,,R,,,,R,,,,,R,A,,,,,F,,F,,,,,Actinocyclus oculatus (NPD10),54,CC,X
323,U1343,E,55H-CC,475.6,475.7,C,M,A,,,,,,,,,,,,R,,,,,,R,,,,,,,,,,,,,,,C,,F,,C,C,,R,R,,,R,,,,,F,,R,,,,,,,,R,A,,,,,F,,F,,,,R,Actinocyclus oculatus (NPD10),55,CC,H
323,U1343,E,56X-CC,482.57,482.67,C,M-G,C,,C,,,,,,,F,,,F,,,,R,,F,R,,,,,,,,,,,,,F,F,C,,,C,R,,,R,,,,,R,,,F,,R,,R,R,,,,,F,C,,,,,C,,C,,,,R,Actinocyclus oculatus (NPD10),56,CC,X
323,U1343,E,58X-CC,502.88,502.98,C,M,F,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,R,,F,C,C,,,C,C,,C,,,,F,,R,,,R,,,,,R,,,,,R,C,,,,,C,,F,,,R,,Actinocyclus oculatus (NPD10),58,CC,X
323,U1343,E,59X-CC,512.52,512.62,C,M,R,,R,,,,,,,,,,R,,,,F,,F,,,,,,,,,,,,,,,C,,F,R,C,A,,C,,,,R,,,,,,,,,R,R,,,,,,C,,,,,R,,F,,,,R,Actinocyclus oculatus (NPD10),59,CC,X
323,U1343,E,60X-CC,521.9,522,C,M,,,,,,,,,,R,,,,,,,,,F,,,,,,,,,,,,,,F,A,C,R,,F,,,F,,,,F,,,,,,,R,,F,,,,,,,A,,,,,F,,F,,,F,,Actinocyclus oculatus (NPD10),60,CC,X
323,U1343,E,61X-CC,532.41,532.51,C,M,R,,,,,,,,,,,,F,,,,F,,,,,,,,,,,,,,,,,F,,,,A,C,,C,,C,,F,F,,,,,,,,,,,,,,,A,,,,,,,,,,,,Actinocyclus oculatus (NPD10),61,CC,X
323,U1343,E,62X-CC,541.78,541.88,A,M,C,C,R,,,,,,,,,,,F,,,R,,,,,,,,,,,,,,,,R,R,,,,F,C,R,F,,R,,,,,,,,,,,F,,,R,,,F,C,R,,,R,R,,F,,C,,F,Actinocyclus oculatus (NPD10),62,CC,X
323,U1343,E,63X-CC,550.54,550.64,A,M,F,C,,,,,,,,,C,,,,,,R,,,,,,,,,,,,R,,,,F,A,,,,R,R,R,R,,R,,,,,,,R,,,,R,,,R,,,,C,R,,,,C,,R,,A,F,R,Actinocyclus oculatus (NPD10),63,CC,X
323,U1343,E,64X-CC,561.05,561.15,A,M,R,,F,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,C,C,,R,,F,A,,,,A,,R,,,,,,,,,,R,,,,,C,F,,,,R,R,,R,R,,,R,Actinocyclus oculatus (NPD10),64,CC,X
323,U1343,E,65X-CC,568.77,568.87,A,M,,,F,,,,,,,,,,R,,,,F,,R,,,,,,,,,,,,,,R,C,,,,C,F,,,,A,,,,,,,,,,R,,,,,,,C,F,,,,R,R,,R,,,,F,Actinocyclus oculatus (NPD10),65,CC,X
323,U1343,E,66X-CC,581.04,581.14,A,M,C,A,F,,,,,,,,,,R,,,,F,,,,,,,,,,,,,,,,R,,,,,F,,,C,,C,,,,,,,,,,,,,,,,,,A,R,,,,F,,,,,,,Actinocyclus oculatus (NPD10),66,CC,X
323,U1343,E,67X-CC,588.5,588.6,A,M,R,,,,,,,,,R,,R,R,,,,,,,,,,,,,R,,,,,,,C,A,C,F,,,,,,,C,,F,,R,R,,,,,,,,,,,,,C,,,,,,,R,,R,C,F,Actinocyclus oculatus (NPD10),67,CC,X
323,U1343,E,68X-CC,599.26,599.36,F,M,,,F,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,C,C,,F,,,,,,,C,,,F,,,,,,,,,,,,,,,C,,,,,A,,C,,,F,C,Actinocyclus oculatus (NPD10),68,CC,X
323,U1343,E,69X-CC,606.84,606.94,F,M,R,,R,,,,R,,,,,,R,,,,,,,,,,,,,,,,,,,,C,C,F,R,,C,R,,C,,C,,C,,,,,,,,,,,R,,,,F,C,,,,,F,,R,,,F,C,Actinocyclus oculatus (NPD10),69,CC,X
323,U1343,E,70X-CC,617.9,618,F,M,,,F,,,,,,,R,C,,,,,,F,,R,,,,,,,R,F,R,,,,,,A,,C,,,F,,F,,C,F,,R,R,,,,,,,F,,,,,,R,F,,,,,R,,,,R,,R,Actinocyclus oculatus (NPD10),70,CC,X
323,U1343,E,71X-CC,628.16,628.26,F,M,R,,F,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,F,C,,,R,R,,,C,,A,,,,,,,,,,,,,,,,,R,C,,,,,C,,,,,,F,Actinocyclus oculatus (NPD10),71,CC,X
323,U1343,E,72X-CC,634.44,634.54,C,M,R,,,,,,R,,,F,,,R,,,,,,,,,,,,,F,,,,,R,,C,C,,F,,R,,,F,,C,,,,,,,R,,,,,,,,,,,A,,,,,F,,F,,R,,F,Actinocyclus oculatus (NPD10),72,CC,X
323,U1343,E,73X-CC,643.79,643.89,A,M-G,F,,,,,,,,,R,R,,,R,,,,,,,,,,,,,,R,,,,,C,C,,,,F,,,C,,F,,F,R,R,,,R,,,,F,,,,,,,A,,,,,R,,R,,F,C,R,Actinocyclus oculatus (NPD10),73,CC,X
323,U1343,E,74X-CC,657.41,657.51,C,M,F,R,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,F,C,C,,,,C,R,F,C,R,,,C,,,,,F,,,,F,,,,,,F,C,,,,,C,,,,F,C,,Actinocyclus oculatus (NPD10),74,CC,X
323,U1343,E,75X-CC,667.09,667.19,F,M,R,,R,,,,,,,R,C,R,,,,,C,,R,R,R,,,,,R,,,,,,,C,C,,,,R,R,R,R,,F,,,,,,,R,,,,C,,,,,,,C,,,,R,C,,,,C,,F,Actinocyclus oculatus (NPD10),75,CC,X
323,U1343,E,76X-CC,674.96,675.06,C,M,C,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,C,,,,,F,,,F,,A,,,,,,,F,,,,,,,,,,R,C,,,,,,,F,,C,,F,Actinocyclus oculatus (NPD10),76,CC,X
323,U1343,E,77X-CC,686.37,686.47,C,M,R,,R,,,,,,,,,,F,,,,R,,F,,,,,,,,,,,,,,C,,,R,,R,A,,,,A,,,C,,,,F,,,,,R,,,,,F,,,,,,C,,,,,,R,Neodenticula koizumii (NPD9),77,CC,X
323,U1343,E,78X-CC,695.2,695.3,A,M-G,F,F,R,,,,,,,F,F,,,,,,F,,F,,,,,,,,,,,,,R,C,A,,,,R,,,C,,R,,R,,,,,,,,,,,,,,,,C,,,,,C,,R,,F,C,F,Neodenticula koizumii (NPD9),78,CC,X
323,U1343,E,79X-CC,705.72,705.82,A,M-G,F,F,R,,,,,,,,F,,,R,,,,,F,,,,,,R,,,,,,,,C,A,,,,F,,R,C,R,R,,F,C,,,,R,,,,R,,,,,,,C,,,,,R,,,,F,R,,Neodenticula koizumii (NPD9),79,CC,X
323,U1343,E,80X-CC,713.8,713.9,A,M,R,R,,,,,,,,R,F,,R,F,,,R,,R,,,,,,,R,,,,,,,R,C,,R,,R,,R,F,,A,,F,,,,,,,,,R,,,,,,,C,,,,,C,,F,R,C,C,R,Neodenticula koizumii (NPD9),80,CC,X
323,U1343,E,81X-CC,724.96,725.06,C,M-G,R,R,R,,,,,,,F,,,F,,,,,,R,,,,,,,,,,,,,,C,F,,,,,,,R,,,,,,,,,F,,,,,,R,,,,R,C,R,,R,,C,,C,,A,,,Neodenticula koizumii (NPD9),81,CC,X
323,U1343,E,82X-CC,734.41,734.51,C,M,R,R,,,,,,,,,,,R,,,,F,,,,,,,,,,,,,,,,R,,,C,,C,,,,,A,,R,F,,,,F,,,,,,,,,,C,C,,,,,C,,F,,,,,Neodenticula koizumii (NPD9),82,CC,X
323,U1343,E,83X-CC,743.9,744,C,M,C,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,R,,,,,C,,,,R,D,,,,,,,,,,,,,,,,,,C,,,,,,,R,,,,F,Neodenticula koizumii (NPD9),83,CC,X
