Exp,Hole,Core,Type,Section,Top Depth [m],Foraminferal preservation,Foraminiferal abundance,Planktic foraminiferal %,Globigerina spp.,Globigerina bulloides,Globigerina eamesi,Globigerina falconensis,Globigerinella sp.,Globigerinella aequilateralis,Globigerinita glutinata,Globigerinoides ruber,Globigerinopsis obesa,Globoconella conomiozea,Globoconella explicationis,Globoconella inflata,Globoconella miotumida,Globoconella puncticulata,Globoconella puncticuloides,Globoconella sphericomiozea,Hirsutella scitula,Hirsutella panda,Neogloboquadrina incompta,Neogloboquadrina pachyderma,Neogloboquadrina dutertrei,Orbulina universa,Paragloborotalia mayeri s.l.,Tenuitella sp.,Truncorotalia crassaformis,Truncorotalia juanai,Turborotalita quinqueloba,Truncorotalia truncatulinoides,Zeaglobigerina sp.,Zeaglobierina druryi,Zeaglobierina woodi,Echinoid plate fragments,Echinoid spines,Fish teeth,Ostracods,Shell fragments,Micro-mollusks,Baranacle fragments,Bryozoan fragments,Remarks,Site,Top [cm],Bottom [cm],Bottom Depth [m],A/W,Sample,eodp_id
317,B,64,X,CC,556.27,G,A,1,,X,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,A,,,,,U1351,,,,,317-U1351B-64X-CC-nan,0365d3d4d5d571f2017684972e9856f3
317,B,65,H,CC,563.80,G,A,6,,X,,,,,,,,,,,,X,,,,,,,,,,,cf.,,,,,,,,,,,F,,,,,U1351,,,,,317-U1351B-65H-CC-nan,7d17fa4dcfcc714899a5a92479c87f3f
317,B,66,X,CC,564.07,G,A,2,X,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,F,,,,,U1351,,,,,317-U1351B-66X-CC-nan,45d7a30f27fea63c32a847d47e469b0d
317,B,67,X,CC,572.90,G,A,1,X,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,R,,,,,,,,U1351,,,,,317-U1351B-67X-CC-nan,f51e380e1d54e0811633b63c6a96d972
317,B,69,X,CC,591.90,G,A,11,X,X,,,,,,,,,,,,X,,,,,,X,,X,,,,,cf.,,,,,,,,,F,,,,,U1351,,,,,317-U1351B-69X-CC-nan,f1a2d6f164e53866490a6c84095f299d
317,B,70,X,CC,603.49,G,A,17,X,X,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,F,,,F,,,,,U1351,,,,,317-U1351B-70X-CC-nan,c0baed8f4df16ce5615fa6de0b642d30
317,B,71,X,CC,611.69,G,A,8,,X,,,,,,,,,,,,X,,,,,,,,,,,,,cf.,,,,X,,,,R,,,,,,U1351,,,,,317-U1351B-71X-CC-nan,70b67cbff9cbd6b0f6a7ee073bae60dc
317,B,72,X,CC,623.60,G,A,21,X,X,,,,,,,,,,,,X,,,,,,,,X,,,,,,,,,,,R,,R,,,,,,U1351,,,,,317-U1351B-72X-CC-nan,dd4c06b25f323ae91b474fa7aa68d8fa
317,B,73,X,CC,631.41,G,A,17,X,X,,,,,X,,,,,,,X,,,,,,X,,,,,,,,,,,,,F,,,A,,,,,U1351,,,,,317-U1351B-73X-CC-nan,a95d193db17545d24c382e71e188cee7
317,B,74,X,CC,640.12,G,A,15,X,X,,,,,,,,,,,,X,,,,,,X,,,,,X,,,,,,,,,,,F,,,,,U1351,,,,,317-U1351B-74X-CC-nan,ed2cb0464e1149437fee058b16ec5883
