Age,Nannofossil Zone,Sample,Top Depth [m],Preservation,Nannofossil abundance,Amaurolithus delicatus,Amaurolithus primus,Amaurolithus tricorniculatus,Calcidiscus leptoporus,Calcidiscus macintyrei,Calcidiscus premacintyrei,Calcidiscus tropicus,Catinaster coalitus,Ceratolithus acutus,Ceratolithus cristatus,Ceratolithus rugosus,Clausicoccus fenestratus,Coccolithus miopelagicus,Coccolithus pelagicus,Coronocyclus nitescens elliptical,Coronocyclus nitescens,Cyclicargolithus floridanus,Dictyococcites <3 µm,Dictyococcites antarcticus,Discoaster altus,Discoaster asymmetricus,Discoaster bellus,Discoaster berggrenii,Discoaster bollii,Discoaster braarudii,Discoaster brouweri,Discoaster challengeri,Discoaster deflandrei,Discoaster exilis,Discoaster hamatus,Discoaster kugleri,Discoaster loeblichii,Discoaster neorectus,Discoaster pentaradiatus,Discoaster petaliformis,Discoaster prepentaradiatus,Discoaster quinqueramus,Discoaster surculus,Discoaster tamalis,Discoaster triradiatus,Discoaster variabilis,Gephyrocapsa (>5.5 µm),Gephyrocapsa caribbeanica,Gephyrocapsa ericsonii,Gephyrocapsa oceanica,Gephyrocapsa omega,Hayella challengeri,Helicosphaera ampliaperta,Helicosphaera carteri,Helicosphaera euphratis,Helicosphaera granulata,Helicosphaera intermedia,Helicosphaera sellii,Nicklithus amplificus,Orthorhabdus serratus,Pontosphaera discopora,Pontosphaera japonica,Pontosphaera multipora,Pontosphaera syracusana,Pseudoemiliania lacunosa,Pseudoemiliania ovata,Reticulofenestra asanoi,Reticulofenestra daviesii,Reticulofenestra haqii,Reticulofenestra pseudoumbilicus,small reticlofenestrids,Scyphosphaera apsteinii,Scyphosphaera lagena,Solidopons petrae,Sphenolithus abies,Sphenolithus conicus,Sphenolithus heteromorphus,Sphenolithus moriformis,Syracosphaera pulchra,Triquetrorhabdulus milowii,Triquetrorhabdulus rioi,Triquetrorhabdulus rugosus,Umbilicosphaera jafari,Umbilicosphaera rotula,Umbilicosphaera sibogae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Top [cm],Bottom [cm],Bottom Depth [m],Exp,Site,Hole,Section,Core,A/W,Type,eodp_id
middle Pliocene,NN16,321-U1338A-5H-2,33.55,M,A,,,,C,C,,,,,,C,,,C,,,,A,,,,,,,,A,,,,,,,,R,,,,C,,,,,,,,,,,F,,,,,,,,,,,C,,,,A,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,,,,,,,,,,282bb873881b7d09e00a368a38247dba
middle Pliocene,NN16,"321-U1338A-5H-5,70",37.90,M,C,,,,F,C,,,,,,C,,,,,,,A,,,,,,,,F,,,,,,,,,,,,C,,,F,,,,,,,,F,,,,,,,R,,R,,F,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,eb37634e91676fca219af6d4699cc6b6
middle Pliocene,NN16,321-U1338A-5H-CC,41.25,M,A,,,,C,F,,,,,,F,,,,,,,A,,,C,,,,,C,,,,,,,,R,,,,F,C,,F,,,,,,,,F,,,,,,,R,R,,,F,,,,F,,A,,,,,,,,F,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2f6bade05fb2e2da0fc072cfcef8fb8d
middle Pliocene,NN16,321-U1338A-6H-2,42.60,M,C,,,,C,F,,,,,,F,,,,,,,A,,,,,,,,C,,,,,,,,F,,,,F,,,C,,,,,,,,F,,,,,,,R,,,,F,,,,C,,,,,,1,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,6bd4885e9d528dc48abeb3cf587398dc
early Pliocene,NN13-15,321-U1338A-6H-5,47.10,M,A,,,,F,F,,,,,,F,,,,,,,A,,,F,,,,,C,,,,,,,,,,,,R,,,C,,,,,,,,C,,,,,,,R,,,,F,,,,A,C,,,,,C,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,ab52e5c1d5d0efc78a9bd79acffec7e1
early Pliocene,NN13-15,321-U1338A-6H-CC,50.70,M,A,,,,C,R,,,,,,F,,,,,,,A,,,R,,,,,F,,,,,,,,,,,,F,,,F,,,,,,,,R,,,,,,,,,R,,F,,,,C,A,,,,,A,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06006d4156cc150a4f4c6cf2b6dcf01a
early Pliocene,NN13-15,321-U1338A-7H-2,51.90,M,A,,,,C,F,,,,,,F,,,,,,,A,,F,,,,,,C,,,,,,,,,,,,R,,,C,,,,,,,,F,,,,,,,F,,,,,,,,C,A,,,,,A,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,fb8484e86b7488f49ab1a93e076bdccd
early Pliocene,NN13-15,321-U1338A-7H-5,57.07,M,A,,,,C,F,,,,,,C,,,,,,,D,,F,F,,,,,C,,,,,,,,C,,,,,,,C,,,,,,,,C,,,,,,,R,,,,,,,,F,C,,,,,A,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87,,,,,,,,,,d8e8037c29dcac209371e6816fc63662
early Pliocene,NN13-15,321-U1338A-7H-CC,60.14,M,A,F,,,F,F,,,,,,F,,,,,,,D,,R,,,,,,C,,,,,,,,F,,,,C,,,C,,,,,,,,F,,,,,,,,,,,,,,,C,C,,,,,A,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1961090100856df57091a5f854c5e3fc
early Pliocene,NN13-15,321-U1338A-8H-2,61.65,M,A,,,,C,F,,,,,,F,,,,,,,D,F,F,,,,,,C,,,,,,,,F,,,,R,,,C,,,,,,,,C,,,,,,,,,,,,,,,A,A,,,,,C,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,,,,,,,,,,0c539c80f133ba9b80098ba6d7a6d043
early Pliocene,NN12,321-U1338A-8H-5,66.80,M,A,,,,C,F,,,,F,,R,,,R,,,,D,F,,F,,,,,F,,,,,,,,F,,,,F,,,C,,,,,,,,F,,,,,,,,,,,,,,,A,C,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110,,,,,,,,,,8a9c217691fdc7dfdeaae7be1175abaf
early Pliocene,NN12,321-U1338A-8H-CC,69.65,M,A,R,R,,F,F,,,,F,,,,,F,,,,A,C,,,,,,,C,,,,,,,,F,,,,C,,,C,,,,,,,,F,,,,,,,R,,,,,,,,D,,,R,,,A,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164b3e74bc152e06eedecbbb19f2c00b
early Pliocene,NN12,321-U1338A-9H-2,71.40,M,A,R,,,C,C,,,,F,,,,,F,,,,A,C,,,,,,,R,R,,,,,,,F,,,,C,,,C,,,,,,,,C,,,,,,,,,,,,,,,D,,,,,,C,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,,,,,,,,,,a11dbe51e7c8dd678c8efc8cb860d4a0
late Miocene,NN12,321-U1338A-9H-5,75.90,M,A,,,,C,C,,,,,,,,,,,,,A,C,,,,,,,F,,,,,,,,F,,,,C,,R,C,,,,,,,,C,,,,,,,R,,,,,,,,D,C,,R,,,C,,,,,,,R,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,,,,,,,,,,f7cd3b1b67cc6bfb5632e20b48ef66e3
late Miocene,NN12,321-U1338A-9H-CC,79.09,M,A,R,,,C,C,,,,,,,,,R,,,,A,C,,,,,,,C,,,,,,,,F,,,,C,,,C,,,,,,,,F,,,,,,,R,,,,,,,,D,C,,,,,A,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23f13e9303d8db883c859540e51c5f13
late Miocene,NN12,321-U1338A-10H-2,80.90,M,A,,,,C,F,,,,,,,,,,,,,A,A,,,,,,,,,,,,,,,C,,,,C,,,C,,,,,,,,C,,,,,,,,,,,,,,,A,C,,R,,,A,,,,,,,F,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,,,,,,,,,,b70f4b1e185d00b3d1b67649537f6aae
late Miocene,NN11,321-U1338A-10H-5,84.76,M,A,R,,,F,F,,,,,,,,,,,,,A,F,,,,,,,F,,,,,,,,F,,,,F,,,F,,,,,,,,R,,,,,,,R,,,,,,,,A,A,,,,,A,,,,,,,C,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,f59584cbbb7f57f325059cdc8218165b
late Miocene,NN11,321-U1338A-10H-CC,88.73,M,A,,,,F,F,,,,,,,,,F,,,,A,C,,,,,,,F,,,,,,,,F,,,C,C,,,C,,,,,,,,R,,,,,,,,,,,,,,,C,A,,,,,A,,,,,,,F,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fdc7d895918f3af710b93262dffd7673
late Miocene,NN11,321-U1338A-11H-2,90.90,M,A,,,,C,F,,,,,,,,,F,,,,A,C,,,,,,,F,,,,,,,R,R,,,F,F,,R,F,,,,,,,,F,,,,,,,,,,,,,,,C,A,,,,,A,,,,,,,F,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,,,,,,,,,,62ab98d2fa55d77204265a94860059b4
late Miocene,NN11,321-U1338A-11H-5,95.40,M,A,,,,C,F,,,,,,,,,F,,,,A,C,,,,,,,F,,,,,,,,R,,,F,C,,,F,,,,,,,,F,,,,,,,,,,,,,,,A,A,,,,,C,,,,,,,F,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,,,,,,,,,,79a1d77fc63607ec53ad4dc40458a1a4
late Miocene,NN11,321-U1338A-11H-CC,97.05,M,A,,F,,C,C,,,,,,,,,,,,,D,F,,,,,,,F,,,F,,,,,,,,F,F,,,F,,,,,,,,F,,R,R,,F,,,,,,,,,,A,C,,,,,A,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,897bb29580d69b2b34a19dfe8d787c7a
late Miocene,NN11,321-U1338A-12H-2,100.00,M,A,,,,C,F,,,,,,,,,,,,,D,F,,,,,,,F,,,,,,,R,,,,F,C,,,F,,,,,,,,F,,,,,R,,,,,,,,,,A,C,,,,,A,,,,,,,F,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,fe5a843b808abb0079afbc4403647228
late Miocene,NN11,321-U1338A-12H-5,104.50,M,A,,F,F,C,F,,,,,,,,,F,,,,D,R,,,,F,,,F,,,,,,,R,,,,C,C,,,C,,,,,,,,F,,,,,R,,,,,,,,,,C,C,,,,,C,,,,,,,F,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,d47d5db08022ba3cce128b278af48609
late Miocene,NN11,321-U1338A-12H-CC,107.64,M,A,,F,,C,F,,,,,,,,,F,,,,A,F,,,,R,,F,C,,,,,,,,F,,,,R,,,F,,,,,,,,F,,,,,,,,,,,,,,,A,C,,,,,A,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fa0c47650f6ee9422fb488c267012bfa
late Miocene,NN11,321-U1338A-13H-2,109.50,M,A,R,R,,C,,,,,,,,,,F,,,,A,,,,,,,,F,,,,,,,,,,,C,F,,R,F,,,,,,C,,,,,,,,,,,,,,,,,A,A,,,,,A,,,,,,,F,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,256612192a47bbccd80f7835bfb52d17
late Miocene,NN11,321-U1338A-13H-5,114.00,M,A,,R,,C,,,,,,,,,,F,,,,A,F,,,,C,,,F,,,,,,,,,,,C,F,,,C,,,,,,,,R,,,,,R,,,,,,,,,,A,A,,,,,A,,,,,,,F,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,ed374a322971bbe32a137db18807e279
late Miocene,NN11,321-U1338A-13H-CC,117.09,M,A,,F,,F,F,,,,,,,,,F,,,,A,C,,,,R,,F,C,,,,,,,,,,,R,F,,,C,,,,,,,,R,,,,,1,,,,,,,,,,C,F,,,,,C,,,,,,,F,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45bdaab9d5958cd28f73673bd7f609b5
late Miocene,NN11,321-U1338A-14H-2,119.00,M,A,,,,C,R,,,,,,,,,F,,,,A,C,,,,,,,R,,,,,,,,,,,F,F,,,C,,,,,,R,,F,,,,,R,,,,,,,,,,A,C,,,,,A,,,,,,,F,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,b7258fe8fff0542ffeb3381ec91b7bb1
late Miocene,NN11,321-U1338A-14H-5,123.50,M,A,,,,C,F,,,,,,,,,C,,,,A,C,,,,,,,,,,,,,,,,,,1,F,,,C,,,,,,,,F,,,,,,,,,,,,,,,A,C,,,,,C,,,,,,,F,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,d6ca875b6c49dd7c15c35ffc43a998a4
late Miocene,NN11,321-U1338A-14H-CC,126.80,M,A,,,,F,R,,,,,,,,,C,,,,D,C,,,,,,F,F,,,,,,,,,,,R,R,,,F,,,,,,,,F,,,,,,,R,,,,,,,,A,C,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2311d269d4ac34393d482eb66bdc3aac
late Miocene,NN11,321-U1338A-15H-2,128.50,M,A,,F,,C,F,,,,,,,,,F,,,,A,C,,,,,,,F,,,,,,,,,,,R,C,,,C,,,,,,R,,,,,,,,,R,,,,,,,,A,C,,,,,C,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,e9bd15728ccb878044fcf059bf27434a
late Miocene,NN11,321-U1338A-15H-5,133.00,M,A,R,F,,C,F,,,,,,,,,C,,,,A,A,,,,R,,,F,,,,,,,,,,,F,F,,,F,,,,,,F,,R,,R,,,,,,,,,,,,,A,C,,,,,A,,,,,,,F,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,fc93fb0216b64e6fb356790db665aa56
late Miocene,NN11,321-U1338A-15H-CC,135.68,M,A,,R,,C,F,,,,,,,,,C,,,,D,A,,,,R,,F,F,,,,,,,,,,,,F,,R,F,,,,,,,,F,,,,,,,,,,,,,,,A,C,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9db250d821c67bb7c2f619ff52a35c38
late Miocene,NN11,321-U1338A-16H-2,137.70,M,A,R,R,,F,F,,,,,,,,,C,,,,A,C,,,,,,,C,,,,,,,,R,,,,F,,,F,,,,,,,,F,,,,,,,,,,,,,,,A,C,,R,,,C,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,c36baf177ecf4e8a10336093f7f0bb6f
late Miocene,NN11,321-U1338A-16H-5,142.20,M,A,,,,C,F,,,,,,,,,C,,,,A,F,,,,,,,C,,,,,,,,,,,,F,,,C,,,,,,,,F,,,,,,,,,,,,,,,A,,,,,,C,,,,,,,F,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,c8740a795f29e6d94f8df74231e33bc2
late Miocene,NN11,321-U1338A-16H-CC,145.69,M,A,,F,,F,F,,,,,,,,,C,,,,A,C,,,,R,,F,F,,,,,,,,,,,,F,,R,F,,,,,,,,F,,,R,,,,,,,,,,,,A,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ba2a5b249316db4df6800c66f648c3b9
late Miocene,NN11,321-U1338A-17H-2,147.20,M,A,,,,C,F,,,,,,,,,C,,,,A,,,,,R,,,C,,,,,,,,,,,1,F,,,C,,,,,,,,C,,,,,,,,,,,,,,,A,,,,,,C,,,,,,,F,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,e4b8f4f0ff91e310f01edf6d1e905f45
late Miocene,NN11,321-U1338A-17H-5,151.70,M,A,,,,F,F,,,,,,,,,C,,,,A,,,1,,,,R,F,,,,,,1,,R,,,,F,,,F,,,,,,,,F,,,,,,,,,,,,,,,A,,,,,,C,,,,,,,F,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,06d9eeb25f8b48b2f9c7637a1a99892b
late Miocene,NN11,321-U1338A-17H-CC,155.26,M,A,,,,F,F,,F,,,,,,,C,,,,A,,,,,R,,,R,,,,,,,,R,,,,F,,,F,,,,,,,,F,,,,,,,,,,,,,,,A,,,,,,C,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f929de546c2cfb3104d7a2bd4ec747ed
late Miocene,NN11,321-U1338A-18H-2,157.10,M,A,,,,C,R,,,,,,,,,C,,,,A,,,,,R,,,C,,,,,,,,,,,,R,,,C,,,,,,,,F,,,,,,,,,,,,,,,A,,,,,,C,,,,,,,F,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,,,,,,,,,,3bd99e9ca678861f5eae899ff8169e6d
late Miocene,NN10,321-U1338A-18H-5,161.20,M,A,,,,C,R,,,,,,,,,C,,,,A,,,,,,,,C,,,,,,,F,,,,,,,,F,,,,,,,,F,,,R,,,,,,,,,,,,A,,,,,,A,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,c84f029bf91791fe858d0ccc6fec9ec6
late Miocene,NN10,321-U1338A-18H-CC,164.60,M,C,,,,C,F,,,,,,,,,C,,,,A,,,,,,,,F,,,,,,F,F,,,,,F,,,F,,,,,,,,F,,,,,,,R,,,,,,,,A,,,,,,A,,,F,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f9a4f0167117790dbb778672e7af31a1
late Miocene,NN10,321-U1338A-19H-2,166.10,M,A,,,,F,R,,,,,,,,,C,,,,D,,,,C,,,,C,,,,,,C,,,,F,,,,,C,,,,,,,,C,,,,,,,,,,,,,,,A,,,,,,A,,,,,,,F,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,f9222066cb9cf15b33753e25edbbae8c
late Miocene,NN10,321-U1338A-19H-5,170.90,M,A,,,,C,F,,,,,,,,,C,,,,A,,,,,,,,C,F,,,,,C,,,,,,,,,A,,,,,,,,C,,,,,,,,,,,,,,,A,,,,,,A,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,,,,,,,,,,05bcfcc17cc45ffbb624c8d6cb6feabd
late Miocene,NN10,321-U1338A-19H-CC,173.79,M,A,,,,C,F,,F,,,,,,,C,,,,D,,,,C,,,,,,,,,,R,,,,,,,,,F,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,A,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10dff40171aaecbfed30b3a905eb2e5f
late Miocene,NN10,321-U1338A-20H-2,176.00,G,A,,,,C,F,,,,,,,,,C,,,,D,,,,A,,,,R,,,F,,,R,,,,,,,,,F,,,,,,,,C,,,R,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,605768f0bb2e115187d7032c1dd5c3f4
late Miocene,NN10,321-U1338A-20H-4,179.00,M,C,,,,F,C,,F,,,,,,,C,,,,A,R,,,A,,,,F,,,F,,,F,,,,,,,,,F,,,,,,,,R,,,,,,,,,,,,,,,,R,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,f8bf14317afe7c9b36fd376ac4681673
late Miocene,NN10,321-U1338A-20H-CC,183.71,M,A,,,,C,F,,,,,,,,,C,,,,A,,,,A,,,F,,,,,,,,,,,,,,,,C,,,,,,,,F,,,,,,,,,,,,,,,A,C,,,,,A,,,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dde2495b81c72fee31604d5e589d8bc9
late Miocene,NN10,321-U1338A-21H-2,185.50,M,C,,,,C,F,,,,,,,,,C,,,,C,C,,,,,,R,F,,,,,,,,,,,,,,,F,,,,,,,,F,,,R,,,,,,,,,,,,A,C,,,,,C,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,2d5850417531670992b10f3090d94cce
late Miocene,NN10,321-U1338A-21H-4,188.50,M,A,,,,C,R,,,,,,,,,C,,,,,F,,,C,,,,C,,,R,,,,,F,,,,,,,C,,,,,,,,F,,,,,,,,,,,,,,,A,C,,,,,A,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,d02b63d9c19160ce06f95d4d9f5a71de
late Miocene,NN10,321-U1338A-21H-CC,192.95,M,A,,,,C,F,,,,,,,,,F,,,,,,,,F,,,,C,F,,,,,,,R,,,,F,,,C,,,,,,,,R,,,,,,,,,,,,,,,A,A,,,,,C,,,,,,,C,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1ca64caa9341aa803a4cbf6bf4323c86
