Exp,Hole,Core,Type,Section,Top Depth [m],Preservation,Group abundance,Bicolumnus ovatus,Blackites sp.,Braarudosphaera sp.,Calcidiscus leptoporus,Calcidiscus leptoporus (>10 μm),Calcidiscus macintyrei,Calcidiscus macintyrei (>11 μm),Calcidiscus premacintyrei,Calcidiscus tropicus,Calcidiscus tropicus (>10 µm),Catinaster coalitus,Ceratolithus acutus,Chiasmolithus altus,Chiasmolithus oamaruensis,Chiasmolithus sp.,Clausicoccus obrutus,Coccolithus miopelagicus,Coccolithus pelagicus,Coccolithus pelagicus f. braarudii,Coccolithus streckeri,Coronocyclus nitescens,Crenalithus doronicoides,Cricolithus jonesii,Cryptococcolithus cf. mediaperforatus,Cryptococcolithus mediaperforatus,Cyclicargolithus abisectus (10-11 μm),Cyclicargolithus abisectus (>11 μm),Cyclicargolithus floridanus,Dictyococcites antarcticus,Dictyococcites bisectus,Dictyococcites productellus (<3 μm),Dictyococcites productellus (3-5 μm),"Dictyococcites productellus (3-5 μm, circular)",Dictyococcites scrippsae,Dictyococcites stavensis (10-14 μm),Dictyococcites stavensis (>14 μm),Discoaster deflandrei,Discoaster sp.,Emiliania huxleyi,Emiliania pujosae,Gephyrocapsa aperta,Gephyrocapsa caribbeania (3-4 μm),Gephyrocapsa caribbeanica (4-5.5 μm),Gephyrocapsa caribbeanica (5.5-6.5 μm),Gephyrocapsa caribbeanica (>6.5 μm),Gephyrocapsa crassipons,Gephryocapsa ericsonii,Gephyrocapsa oceanica (3-4 μm),Gephyrocapsa oceanica (4-5.5 μm),Gephyrocapsa oceanica (5.5-6.5 μm),Gephyrocapsa omega,Helicosphaera carteri,Helicosphaera cf. euphratis,Helicosphaera elongata,Helicosphaera euphratis,Helicosphaera cf. intermedia,Helicosphaera intermedia,Helicosphaera omanica,Helicosphaera cf. sellii,Helicosphaera sellii,Helicosphaera sp.,Hughesius tasmaniae,Isthmolithus recurvus,Lanternithus minutus,Markalius inversus,Minyalitha convalis,Neococcolithus sp.,Pontosphaera discopora,Pontosphaera japonIca,Pontosphaera multipora,Pontosphaera sp.,Pseudoemiliania lacunosa,Pseudoemiliania ovata,Pseudoemiliania pacifica,Pseudoemiliania sp.,Pyrociclus orangensis,Pyrociclus sp.,Reticulofenestra amplus,Reticulofenestra asanoi (<6 um),Reticulofenestra asanoi (>6 um),Reticulofenestra daviesi,Reticulofenestra dictyoda,Reticulofenestra filewiczii,Reticulofenestra gelida (8-10 µm),Reticulofenestra gelida (>10 μm),Reticulofenestra haqii (<3 μm),Reticulofenestra haqii (3-5 μm),"Reticulofenestra haqii (3-5 μm, circular)",Reticulofenestra minuta (<3 μm),Reticulofenestra minutula,Reticulofenestra minutula (circular),Reticulofenestra pseudoumbilicus (8-10 μm),Reticulofenestra pseudoumbilicus (>10 μm),Reticulofenestra reticulata,Reticulofenestra rotaria (elliptical),Reticulofenestra umbilicus (10-14 µm),Reticulofenestra umbilicus (>14 µm),Rhabdosphaera procera,Scyphosphaera apsteinii,Scyphosphaera globulata,Scyphosphaera lagena,Scyphosphaera cf. pacifica,Scyphosphaera cf. queenslandensis,Scyphosphaera sp.,Schyphosphaera sp. 1,Scyphosphaera spp.,Sphenolithus abies,Sphenolithus aubryae,Sphenolithus cf. abies,Sphenolithus cf. belemnos,Sphenolithus belemnos,Sphenolithus compactus,Sphenolithus conicus,Sphenolithus cf. delphix,Sphenolithus delphix,Sphenolithus disbelemnos,Sphenolithus dissimilis,Sphenolithus distentus,Sphenolithus hetermorphus,Sphenolithus moriformis,Sphenolithus cf. neoabies,Sphenolithus neoabies,Sphenolithus orphanknollensis,Sphenolithus predistentus,Sphenolithus radians,Sphenolithus villae,Sphenolithus sp.,Syracosphaera pulchra,Syracosphaera spp.,Thoracosphaera spp.,Triquetrorhabdulus carinatus,Triquetrorhabdulus rugosus,Umbellosphaera sp.,Umbilicosphaera cricota,Umbilicosphaera jafari,Umbilicosphaera cf. rotula,Umbilicosphaera rotula,Umbilicosphaera sp.,Umbilicosphaera sibogae,Zygrhablithus bijugatus,Unnamed: 148,Site,Top [cm],Bottom [cm],Bottom Depth [m],A/W,Sample,eodp_id
317,B,11,H,CC,103.14,G,F,,,,R,,,,,,,,,,,,,R,F,P,R,,,P,,,,,,,,,P,,,,,R,,R,,C,A,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,P,,P,,,,,F,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,U1352,,,,,317-U1352B-11H-CC-nan,60e555ecc9d7aebb6a886e1dce6deb99
317,B,12,H,CC,112.82,G,C,,,,,,,,,,,,,,,,,,F,F,R,,,,,,,,,,,,,,,,,,,P,,A,F,,,,C,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,P,,C,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U1352,,,,,317-U1352B-12H-CC-nan,adc439a27ee052d391ede56aa0e7fe32
317,B,13,H,CC,121.10,P,C,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,R,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,U1352,,,,,317-U1352B-13H-CC-nan,eabe9925b13171c65656e1a80d6eed82
317,B,14,H,CC,130.26,M,C,,,,,,,,,,,,,,,,,,C,F,R,,,,,,,,,,,,,,,,,,,,,,C,,,,R,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,P,P,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U1352,,,,,317-U1352B-14H-CC-nan,313ee9f8377674301e1a1cea9632fde1
317,B,15,H,CC,141.14,G,C,,,,P,,,,,,,,,,,,,,C,F,R,,,,,,,,,P,,,,,,,,,,,,,A,,,,,,C,,,,P,,,,,,,,,,,,,,,,,,,,,P,P,,,,P,,,,,,P,P,,R,,C,F,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U1352,,,,,317-U1352B-15H-CC-nan,0aa195aaac838b25b2bfbc372d4ba598
317,B,16,H,CC,150.74,G,F,,,,,,,,,,,,,,,,,,C,F,,,,,,,,,P,P,P,,R,,,,,P,,,,R,F,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,P,,R,,C,R,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U1352,,,,,317-U1352B-16H-CC-nan,10321c87afa517cbe0bd8513d2d8839a
317,B,17,H,CC,155.99,G,C,,,,,,,,,,,,,P,,,,,C,C,P,,,P,,,,P,R,P,,R,,,,,,P,,,,,F,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,P,P,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U1352,,,,,317-U1352B-17H-CC-nan,7a9823b7ed53933c2b6d7b0851dbcbc3
317,B,18,H,CC,164.18,G,C,,,,R,,,,,P,,,,,,,,,F,F,P,,,,,,,P,P,,P,,,,,,,,,,,A,C,,,,,,A,?P,,,F,,,,,,,,,,,,,,,,,,,,P,R,P,,,,R,P,,,P,,,,R,R,,F,R,,P,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,U1352,,,,,317-U1352B-18H-CC-nan,8017f1fad4508e46288dd7c2c1a9f873
317,B,19,H,CC,173.71,M,F,,,,R,,,,,,,,,,,,,,F,F,,,,,,,,,P,,,,,,,,,R,,,,C,F,,,,,,C,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,P,,C,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U1352,,,,,317-U1352B-19H-CC-nan,a514a1e8aa9f23d8e5acf028d409382c
317,B,20,H,CC,180.38,M,F,,,,R,,,,,,,,,,,,,,F,F,P,,,P,,,,,,,P,,,,,,,,,,,C,F,,,,,,C,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,C,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,U1352,,,,,317-U1352B-20H-CC-nan,765e98842ebb1c39592e3012a9e429d0
317,B,21,H,CC,189.06,G,VA,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,A,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,U1352,,,,,317-U1352B-21H-CC-nan,835ab487cb3f46983274106e10d45e27
317,B,22,H,CC,198.87,G,VA,,,,C,,,,,,,,,,,,,,,A,,,,,,,,R,,R,,,,,,,,,,,,D,F,,,,A,,F,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U1352,,,,,317-U1352B-22H-CC-nan,f649ace34741231fa99ee5286f11f137
317,B,23,H,CC,208.46,G,C,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,R,,,,,,,,,,,,C,,,,A,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U1352,,,,,317-U1352B-23H-CC-nan,6f4ba8e73d8e155ccbe8d680558645bc
317,B,24,H,CC,217.96,G,C,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,R,F,,,,,,,,,,,F,,,,C,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U1352,,,,,317-U1352B-24H-CC-nan,31f10933505eb19c47429b09f4b6f8ac
317,B,25,H,CC,227.00,G,C,,,,,,,,,,,,,,,,,,,F,,,,,,,,,R,,,,C,,,,,,,,,C,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,R,,C,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U1352,,,,,317-U1352B-25H-CC-nan,ebfbc9f07823f136dd182c117efba78d
317,B,26,H,CC,235.48,G,C,,,,,,,,,P,,,,,,,,,F,F,,,,,,,,,,R,,R,,,,,,,,,,A,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,P,P,,,,R,,,,P,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,U1352,,,,,317-U1352B-26H-CC-nan,c942211e16f4e559d3d8abdcad0c6bf5
317,B,27,H,CC,246.08,G,VA,,,,F,,P,,,P,,,,,,,,,R,C,,,,,,,,,,,,C,,,,,,P,,,,D,F,,,,D,,,,,P,F,,,,,,,,,,,,,,,,R,,,,,F,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U1352,,,,,317-U1352B-27H-CC-nan,02f1a997ab79d635fe6087b7a7ca01db
317,B,28,H,CC,250.70,M,F,,,,R,,,,,,,,,,,,,,R,,,,,,,,,P,R,R,,F,,,,,,,,,,,,,,,C,,,,,,R,,,,P,,,,,,,,,,,,R,,R,,,P,,P,,,,,,,,,,,,,,C,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U1352,,,,,317-U1352B-28H-CC-nan,7e0270009f13c4330a476420d6c37489
317,B,29,H,CC,257.09,G,F,,,,R,,,,,R,,,,,,,,,F,F,,,,,,,,,F,R,R,,,,,,,,,,,C,,,,,C,,,,,,R,,,,,,,,,,,,,,,,P,,,,,F,,,,,R,,,,,,R,,,R,,C,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,P,,,,,,,,,,,,,,,,,,,,,,U1352,,,,,317-U1352B-29H-CC-nan,cb84c6f6c04120582a62f07df37b92d3
317,B,30,H,CC,266.92,M,C,,,,,,,,,P,,,,,,,,,F,,,,,,,,,,F,,,F,,,,,,,,,,,,,,,C,,,,,,R,,,R,,,,,,,,,,,,,,,R,,P,,,,,,R,,P,,,R,,,,F,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,U1352,,,,,317-U1352B-30H-CC-nan,36983355798696f7b3c8c697ba636795
317,B,31,H,CC,272.44,M,F,,,,,,,,,F,,,,R,,,,,F,C,,,,,,,,,F,,,,,,,R,,,,,,C,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,P,,,,,,F,F,,C,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U1352,,,,,317-U1352B-31H-CC-nan,6f0dea58f5718afc821872a05e0fea13
317,B,32,H,CC,280.84,M,VA,,,,F,,,,,F,,,,,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,,R,,,,D,,,,,,F,,,,,,,,,,,,,,,,R,,,,,F,,,,,,,P,,R,,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U1352,,,,,317-U1352B-32H-CC-nan,2e7b9cbbc3131c2aadd964bdfc0c0e11
317,B,33,H,CC,288.17,M,C,,,,F,,,,,F,,,,,,,,,F,F,,,,,,,,,,F,,,,,,,,,,,,C,,,,,C,,,,,,F,,,,,,,,,,,,,,,,F,,,,,F,,,,,R,,F,,,R,,,,F,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U1352,,,,,317-U1352B-33H-CC-nan,7f4048f04bacc68bcce6f0471e70220c
317,B,34,H,CC,292.54,M,C,,,,F,,,,,P,,,,,,,,,C,C,,,F,P,,,,,,,P,,,,,,,P,,,,A,,,,,,,,P,,,F,,,,,,,,,,,,,,,,R,,,,,C,R,P,,,,,F,,R,,R,P,,,,A,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U1352,,,,,317-U1352B-34H-CC-nan,82bb1e542bafd497c86e2f39345b6d95
317,B,35,H,CC,295.24,G,C,,,,F,,P,,,P,,,,,,,,,C,F,F,,R,P,,,,P,,,,,,,,,,P,,,,A,,,,,,,,,,,R,,,,,,,,,,,,,,,,F,,,,R,F,R,F,,,P,P,,,,,,,A,R,,C,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U1352,,,,,317-U1352B-35H-CC-nan,bd25c119e70f6b29ccfba7d26009b248
317,B,36,H,CC,297.01,M,F,,,,C,,,,,P,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,C,,,,,,,P,,,,F,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,F,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,U1352,,,,,317-U1352B-36H-CC-nan,2e1a37e17b04a389428e236ec53e9feb
317,B,37,H,CC,299.55,G,R,,,,R,,,,,,,,,,,,,,R,R,,,,,,,,,,,R,,R,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,P,,,F,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U1352,,,,,317-U1352B-37H-CC-nan,1064c02afff4e23fccca378198d9adb6
317,B,38,H,CC,310.85,G,R,,,,F,,,,,P,,,,,,,,,R,,,,,,,,,,,,,,R,,,,,,,,,A,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,P,P,P,,,,,P,,P,,,P,,P,R,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,U1352,,,,,317-U1352B-38H-CC-nan,94b1bfbc4b868afe1ca64f25205060ab
317,B,39,H,CC,321.55,M,R,,,,R,,,,,,,,,,,,,,F,,,,R,,,,,,,P,,,R,,,,,,,,,F,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,R,,F,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U1352,,,,,317-U1352B-39H-CC-nan,65a5a13a036d164350a4a24219da793a
