Exp,Site,Hole,Core,Section,interval (cm),Top Depth [m],Zone,Preservation,Abundance (%),Beella spp.,Catapsydrax dissimilis,Catapsydrax unicavus,Catapsydrax spp.,Clavatorella sturanii?,Clavatorella bermudezi,Dentoglobigerina altispira,Dentoglobigerina baroemoensis,Dentoglobigerina galavisi,Dentoglobigerina globularis,Dentoglobigerina pseudovenezuelana,Dentoglobigerina subdehiscens,Dentoglobigerina tripartita,Dentoglobigerina spp.,Globigerinella aequilateralis,Globigerinella obesa,Globigerinella praesiphonifera,Globigerina angulisuturalis,Globigerina apertura,Globigerina brazeri,Globigerina bulloides,Globigerina ciperoensis,Globigerina praebulloides,Globigerina woodi,Globigerina spp.,Globigerinatella insueta,Globigerinoides altiapertura,Globigerinoides bollii,Globigerinoides bulloideus,Globigerinoides conglobatus,Globigerinoides extremus,Globigerinoides fistulosus,Globigerinoides immaturus,Globigerinoides obliquus,Globigerinoides parawoodi,Globigerinoides praeprimordius,Globigerinoides primordius,Globigerinoides quadrilobatus,Globigerinoides sacculifer,Globigerinoides seiglei,Globigerinoides subquadratus,Globigerinoides triloba,Globigerinoides spp.,Globoquadrina binaiensis,Globoquadrina dehiscens,Globoquadrina euapertura,Globoquadrina praedehiscens,Globoquadrina rohri,Globoquadrina sellii,Globoquadrina tapuriensis,Globoquadrina venezuelana,Globoquadrina spp.,Globorotalia acrostoma,Globorotalia (Globoconella) panda,Globorotalia lenguaensis,Globorotalia merotumida,Globorotalia plesiotumida,Globorotalia pseudomiocenica,Globorotalia ungulata,Globorotalia tumida flexuosa,Globorotalia (Fohsella) fohsi fohsi,Globorotalia (Fohsella) fohsi lobata,Globorotalia (Fohsella) fohsi robusta,Globorotalia (Fohsella) peripheroacuta,Globorotalia (Fohsella) peripheroronda,"Globorotalia (Fohsella) ""praefohsi""",Globorotalia (Hirsutella) margaritae,Globorotalia (Menardella) archeomenardii,Globorotalia (Menardella) exilis-pertenuis,Globorotalia (Menardella) limbata,Globorotalia (Menardella) menardii,Globorotalia (Menardella) multicamerata,Globorotalia (Menardella) pertenuis,Globorotalia (Menardella) praemenardii,Globorotalia (Menardella) spp.,Globorotalia (Truncorotalia) tosaensis,Globorotalia (Truncorotalia) truncatulinoides,Globorotalia tumida,Globorotaloides hexagona,Globorotaloides variabilis,Globoturborotalita anguliofficinalis,Globoturborotalita decoraperta,Neogloboquadrina acostaensis,Neogloboquadrina deutertrei,Neogloboquadrina humerosa,Neogloboquadrina pachyderma,Orbulina bilobata,Orbulina suturalis,Orbulina universa,Paragloborotalia continuosa,Paragloborotalia griffinoides,Paragloborotalia kugleri,Paragloborotalia nana,Paragloborotalia pseudocontinuosa,Paragloborotalia pseudokugleri,Paragloborotalia semivera,Paragloborotalia siakensis/mayeri,Paragloborotalia spp.,Parasubbotina varianta,Parasubbotina griffinae,Praeorbulina sicana,Praeorbulina spp. fragments,Pulleniatina finalis,Pulleniatina praecursor,Pulleniatina primalis,Pulleniatina obliquiloculata,Pulleniatina spp.,Sphaeroidinella dehiscens s.l.,Sphaeroidinella excavata,Sphaeroidinellopsis disjuncta,Sphaeroidinellopsis kochi,Sphaeroidinellopsis paenedehiscens,Sphaeroidinellopsis seminulina,Tenuitellinata angustiumbilicata,Tenuitella munda,Tenuitella spp.,Top [cm],Bottom [cm],Type,Bottom Depth [m],A/W,Sample,eodp_id
320,U1335,A,4,5,120-122,35.10,PL1,G,90,,,,,,,P,P,,,,,,,,,P,,,,,,,,,,,,,P,,,,,,,,,P,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,P,P,,,P,,,,,,,,,,P,,,,,,P,,,,,,,,,,,,,,,,,P,,,,,,,P,,,,120,122,H,,,320-U1335A-4H-5-nan,a7887f6bdac93729e03f3d537e1c665d
320,U1335,A,4,CC,,37.80,M14,G,>90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,P,,,P,P,,,,,,,,,,,,,,,,P,,P,,,,,,,,,,,,,,,,,,,P,,,P,,P,,,,,,H,,,320-U1335A-4H-CC-nan,b8e3201bd33c655639a88af50d08bad7
320,U1335,A,5,2,80-82,39.70,M14,M,25,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,P,,,,,P,,,,,,,P,,,,P,,,P,P,,P,,,,,,,,,,,,,,,,,,,,,,,,P,,,,80,82,H,,,320-U1335A-5H-2-nan,072fd1f5116aaa0de7f56686bac2efca
320,U1335,A,5,5,80-82,44.20,M14,G,30,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,P,P,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,80,82,H,,,320-U1335A-5H-5-nan,59981ee73f140a31ff9ca080393d2b4c
320,U1335,A,5,CC,,46.45,M13b,G,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,P,,,P,,,P,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,H,,,320-U1335A-5H-CC-nan,5b4e3f89b0a01eed936fdbc3e1588dd1
320,U1335,A,6,2,38-40,48.78,M13b,M,30,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,P,,,P,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,40,H,,,320-U1335A-6H-2-nan,621af24196bd8d794df7b1bff0f542a6
320,U1335,A,6,4,38-40,51.78,M13b,G,60,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,38,40,H,,,320-U1335A-6H-4-nan,022c75760052199eac9c4364b2748c62
320,U1335,A,6,CC,,56.45,M13a,G,20,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,P,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,P,,P,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,H,,,320-U1335A-6H-CC-nan,7f099093d913aeb2cdf2848c9559d1a7
320,U1335,A,7,2,20-22,58.10,M12,M,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,P,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,P,P,,,,,,,,,,,,,,,,,,,,,,P,,P,,,,20,22,H,,,320-U1335A-7H-2-nan,06230a590b3bff2d08ba0d60813f5eaa
320,U1335,A,7,6,95-97,64.85,M11,P,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,95,97,H,,,320-U1335A-7H-6-nan,cc697644bde552562479ea02b3a77f2a
320,U1335,A,7,CC,,66.24,M11,G,25,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,P,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,P,,,,,,,,,,P,,,,,,,,,,,,,P,,,,,,,,,H,,,320-U1335A-7H-CC-nan,e0312c7cb0b3e5d26b4deb6ba1632be9
320,U1335,A,8,CC,,75.86,M11,G,50,,,,,,,P,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,P,,,,P,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,P,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,H,,,320-U1335A-8H-CC-nan,3d0c523bf2c4c640197d57216b6cf902
320,U1335,A,9,2,38-40,77.28,M10/N13,M,10,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,P,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,P,,,,,,,P,,,,,,,,,,,,,P,,,,,,,38,40,H,,,320-U1335A-9H-2-nan,7cfeb38cb52be8b31acdd15367eaed57
320,U1335,A,9,4,38-40,80.28,M9b/N12,M,10,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,P,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,38,40,H,,,320-U1335A-9H-4-nan,7dc3ff42e5dd08b979d0033da582ebb2
320,U1335,A,9,CC,,85.02,M9b/N12,G,70,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,P,,,,,,,,,P,,,,,,,,,,,P,P,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,H,,,320-U1335A-9H-CC-nan,a93b0625327647257c6990d50f4ab04e
320,U1335,A,10,CC,,94.94,M9b/N12,M,15,,,,,,,,,,,,,,,,,,,,,P,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,P,P,,,,,,,,,,P,P,P,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,P,,,,,,,,,,,,,P,,,,,,,,,H,,,320-U1335A-10H-CC-nan,63f6bada735f0552a3f47f5d44f0943d
320,U1335,A,11,CC,,104.16,M9b/N12,G,30,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,P,,,,,,,,,,,,,P,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,P,,,,,,,,,,,,,P,,,,,,,,,H,,,320-U1335A-11H-CC-nan,c00695bafd3ebe7e3008fb57d950cc51
320,U1335,A,12,2,38-40,105.78,M8–M9a/N12,M,90,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,P,,,,P,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,P,,,,,,,38,40,H,,,320-U1335A-12H-2-nan,53a360e8c36a0b45651d5f74c3914d85
320,U1335,A,12,4,38-40,108.78,M7/N11,G,95,,,,,,,P,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,P,,,,,P,,,,,P,,,,,,,,,P,P,P,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,P,,,,,,,38,40,H,,,320-U1335A-12H-4-nan,3ada833dcb4f348db909b366e32ca0c4
320,U1335,A,12,CC,,113.84,M7/N11,G,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,P,,P,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,P,,,,,,,,,H,,,320-U1335A-12H-CC-nan,7afb414a76742123c8b6cb15ee61d746
320,U1335,A,13,3,149-150,117.89,M7/N10,G,90,,,,,,,,,P,,,,,,,,,,,P,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,149,150,H,,,320-U1335A-13H-3-nan,6b172ac2d9d4f915607d11bbc9966703
320,U1335,A,13,4,38-40,118.28,M7/N10,M,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,40,H,,,320-U1335A-13H-4-nan,05ab574063331f8b427c96d15e379ab5
320,U1335,A,13,CC,,123.39,M7/N10,G,30,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,P,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H,,,320-U1335A-13H-CC-nan,8713590b97596f1844c3e210e7e3aaac
320,U1335,A,14,2,38-40,124.78,M7/N10,M,>90,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,P,,,,,,,38,40,H,,,320-U1335A-14H-2-nan,d97f0de453e6c9fb78301f8f166d090a
320,U1335,A,14,4,38-40,127.78,M5–M6,P,40,,,,,,,P,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,P,,,,,P,,,P,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,40,H,,,320-U1335A-14H-4-nan,ba900a74479ddc83a883d9a029ec1630
320,U1335,A,14,CC,,132.99,M5–M6,P,2,,,,,,,P,,,,,,,,,,,,,,,,P,,,,,,,,,,,P,,,,,,,,P,,,P,,,P,,P,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,H,,,320-U1335A-14H-CC-nan,16889ed49fdded1605854b3b713aa72c
320,U1335,A,15,2,50-52,134.28,M5–M6,P,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,P,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,50,52,H,,,320-U1335A-15H-2-nan,8a063612e74f36d77ca0190f8f16bdb2
320,U1335,A,15,CC,,142.08,M5–M6,M,15,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,P,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,P,,,,,,,,,,,,,,,,,,H,,,320-U1335A-15H-CC-nan,cc75a2f2f5cf5cee68bd256223cf18c7
320,U1335,A,16,CC,,151.48,M5–M6,M,>90,,,,,P,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,P,,,P,,,,,,,,,,,P,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,P,,,,,,,,,,,,,,,,,,H,,,320-U1335A-16H-CC-nan,d3a17fc058bd84ae2d397809d141e672
320,U1335,A,17,3,105-107,155.45,M5–M6,P,40,,,,,,,,P,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,P,,,,P,,,,,,,,,,,,,,,,105,107,H,,,320-U1335A-17H-3-nan,4575a0bfb6b7a36a74f41bfd2c9e37d0
320,U1335,A,17,5,105-107,158.45,M5–M6,M,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,105,107,H,,,320-U1335A-17H-5-nan,2a4c5244aaf538e6948f023d32c25bba
320,U1335,A,17,CC,,161.19,M5–M6,M,90,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,P,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,P,,,,,,,,,,,,,,,,,,H,,,320-U1335A-17H-CC-nan,daf8eb9999f0203e6d3e72668fc2601d
320,U1335,A,18,CC,,169.72,M5–M6,G,95,,,P,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,P,,,P,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,H,,,320-U1335A-18H-CC-nan,0324a7fb09435bd2c872997808badffb
320,U1335,A,19,2,38-40,172.28,M4,M,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,38,40,H,,,320-U1335A-19H-2-nan,de1c2dbdafc881fa79bd4fab2b4048d3
320,U1335,A,19,5,38-38,176.78,M4,P,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,P,P,,,,,,,,,,,,,,,P,,,,,38,38,H,,,320-U1335A-19H-5-nan,a327ea8f594250f5c1ccb7ef5b98aef5
320,U1335,A,19,CC,,180.41,M4,M,10,,,P,,,,,,,,,,P,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,H,,,320-U1335A-19H-CC-nan,85e2e3565e37b9f201bdadb35bada63e
320,U1335,A,20,2,38-40,181.78,M2,M,90,,P,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,P,P,,,,,,,,,,,,,,,,,,,,38,40,H,,,320-U1335A-20H-2-nan,f3a7b6a2967af88998806c6ad0f09d0a
320,U1335,A,20,CC,,189.87,M2,G,90,,,P,P,,,,P,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,P,P,,P,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,H,,,320-U1335A-20H-CC-nan,8d6fd781d7955d22d5c1b4b74a673676
320,U1335,A,21,CC,,198.95,M2,G,95,,,P,,,,,,,,,,,P,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,P,P,,P,P,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,H,,,320-U1335A-21H-CC-nan,6c036d37067cd25864f675ec0fb7b6ae
320,U1335,A,22,CC,,208.65,M2,M,90,,,,,,,,P,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,P,,P,P,,P,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,H,,,320-U1335A-22H-CC-nan,cd4f6c85c7296b93a633bb86a8f86fd0
320,U1335,A,23,CC,,218.11,M2,G,95,,,P,P,,,,P,,P,,,,,,,,,,,,,P,,,,P,,,,,,,,,,P,,,,,,,,,,P,P,,P,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,P,,,,,,,,,,,,,,,,,,,,,,H,,,320-U1335A-23H-CC-nan,11a033de935af33998589e8201c62c34
320,U1335,A,24,2,38-40,219.78,M2,M,30,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,40,H,,,320-U1335A-24H-2-nan,3f73a23d6ba2e2afad886d84a1c2d4e6
320,U1335,A,24,4,38-40,222.78,M2,M,80,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,40,H,,,320-U1335A-24H-4-nan,cac85e0f2343a49485b4fa34626b969b
320,U1335,A,24,CC,,227.84,M2,G,>95,,,,,,,,P,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,P,,,,,,,P,P,,P,P,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,H,,,320-U1335A-24H-CC-nan,ab957e37cdf16b233ec795517603c586
