Exp,Site,Hole,"Core, Type, Section",Top Depth [m],Bottom Depth [m],Abundance,Preservation,Dictyocha cf. mandrai,Dictyocha subarctios,Dictyocha spp.,Distephanus crux,Distephanus medianoctisol,Distephanus medianoctisol with short radial spines,Distephanus octangulatus,Distephanus octonarius,Distephanus slavincii,Distephanus speculum,Distephanus speculum with short radial spines,Aberrant Silicoflagellates,Ammodochium rectangulare (Ebridian),Silicoflagellate Zone in Ling (1992),,,Core,Type,Section,Top [cm],Bottom [cm],A/W,Sample,eodp_id
323,U1343,D,9H-CC,84.05,84.15,R,M-G,,,,,,,R,,,R,,,,Ds. octonarius,,,9,H,CC,,,,323-U1343D-9H-CC,940fc33524a3bf6d211852a78b3b801a
323,U1343,D,10H-CC,90.90,91.00,F,M-G,,,,,F,,,,,R,R,,,,,,10,H,CC,,,,323-U1343D-10H-CC,34a0f8e08d67d73b6f8ce0839877c0dd
323,U1343,D,21H-CC,175.07,175.17,C,M-G,,,,,R,,,,,C,F,,,,,,21,H,CC,,,,323-U1343D-21H-CC,b2e8a978e7fd0bd7e5ada3c9c1a0455f
323,U1343,D,22H-CC,183.76,183.86,F,M,,,,,R,R,,,,R,,,,,,,22,H,CC,,,,323-U1343D-22H-CC,41e00e263c345b82192b07e28dabad91
323,U1343,D,23H-CC,193.31,193.41,C,M,,T,,,F,R,T,T,R,T,,,,,,,23,H,CC,,,,323-U1343D-23H-CC,91622bae50451cee6365d2958e041d1a
323,U1343,D,24H-CC,197.47,197.57,R,M-G,,,,,,,,,,R,,,,Dc. subarctios,,,24,H,CC,,,,323-U1343D-24H-CC,24d7ac62949c43e8f54f7344a5ad262d
323,U1343,D,25H-CC,207.99,208.09,F,G,,,,,T,,R,R,,T,T,,,,,,25,H,CC,,,,323-U1343D-25H-CC,d782444156d728dded1ad5b18436dd6a
323,U1343,D,26H-CC,217.04,217.14,C,G,F,R,T,,F,R,,F,,R,T,,,,,,26,H,CC,,,,323-U1343D-26H-CC,9c971eb1af6e54d91a4a2028bf14bbf0
323,U1343,D,27H-CC,226.01,226.11,A,G,F,F,F,T,F,R,,F,R,,,T,,,,,27,H,CC,,,,323-U1343D-27H-CC,e05b01800b801351e6be0fb009521ed9
323,U1343,D,28H-CC,234.72,234.82,C,G,,R,T,,F,,,,,F,R,,,,,,28,H,CC,,,,323-U1343D-28H-CC,3d5612ba6b7f0a463d1b6aeb5be1e29d
323,U1343,D,55X-CC,475.60,475.70,B,,,,,,,,,,,,,,,,,,55,X,CC,,,,323-U1343D-55X-CC,864db7159cdc8167565f491033b54de8
323,U1343,D,56X-CC,482.57,482.67,R,M,,,,,R,,,,,T,,,,,,,56,X,CC,,,,323-U1343D-56X-CC,1bf28f4d83758d1cd67f5e5a6ca4eb9a
323,U1343,D,57X-CC,493.97,494.07,R,M,,,,,T,,,,,T,,,,,,,57,X,CC,,,,323-U1343D-57X-CC,69faeac7358272b56b9cf3c03ff7ebcd
323,U1343,D,63X-CC,550.54,550.64,F,P-M,,,,,,,,,,T,R,,,,,,63,X,CC,,,,323-U1343D-63X-CC,97d903a2ab7c47e76e4b76324ba65493
323,U1343,D,64X-CC,561.05,561.15,X,P,,,,,,,,,,,,,T,,,,64,X,CC,,,,323-U1343D-64X-CC,fb67b136ba12b29ff16a6ecefe26b2e8
323,U1343,D,65X-CC,568.77,568.87,R,P,,,,,,,,,,,T,,T,Am. rectangulare,,,65,X,CC,,,,323-U1343D-65X-CC,ac44910bb9803a1b01ee912ddd792a74
323,U1343,D,70X-CC,617.90,618.00,X,P,,,,,,,,,,,,,T,,,,70,X,CC,,,,323-U1343D-70X-CC,fe7471b98d401127dcbef4206cb4e6bb
323,U1343,D,71X-CC,628.16,628.26,X,P,,,,,,,,,,,T,,,,,,71,X,CC,,,,323-U1343D-71X-CC,f54bc3dc378c7ce802e43d19d84cae5c
323,U1343,D,72X-CC,634.44,634.54,F,P-M,,,,,,,,,,T,F,,R,,,,72,X,CC,,,,323-U1343D-72X-CC,99cfa20f4d430dacf84998ac833dc9b2
323,U1343,D,73X-CC,643.79,643.89,F,P-M,,,,,,,,,,R,F,,,,,,73,X,CC,,,,323-U1343D-73X-CC,d3209cd157bc9c5f2d84a529b9e5cbe1
323,U1343,D,74X-CC,657.41,657.51,R,P-M,,,,,,,,,,,,,R,,,,74,X,CC,,,,323-U1343D-74X-CC,b18892d4d481d6a7ed66167ba3ddf30a
323,U1343,D,75X-CC,667.09,667.19,X,P,,,,,,,,,,,,,T,,,,75,X,CC,,,,323-U1343D-75X-CC,b12bfcb4e2273e3db8e0734c1086a290
323,U1343,D,76X-CC,674.96,675.06,R,P,,,,,,,,,,,,,R,,,,76,X,CC,,,,323-U1343D-76X-CC,5c46358a23f77b229b9381a6aff3e218
