Sample,Exp,Site,Hole,Core,Type,Section,Section Half,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],mean depth (mbsf),Abundance,Preservation,C. floridanus,R. bisecta,R. pseudoumbilicus gr.,R. minuta + R.minutula gr.,C. pelagicus,C. abisectus,R. umbilicus,Ch. altus,I. recurvus,Ch. oamaruensis,R. oamaruensis,D.deflandrei,C.nitescens,A/W,eodp_id
318-U1356A-47R-CC-PAL,318,U1356,A,47,R,CC,,0,5,445.99,446.04,446.015,B,,,,,,,,,,,,,,,,6972b1f3bc2e4aaf1618fd3c18f6c0e8
318-U1356A-48R-1-W 6/7-NANNO,318,U1356,A,48,R,1,W,6,7,449.96,449.97,449.965,C,M,,F,F,F,,,,R,,,,,,,6c9054955204f19734e6c20b7526af77
318-U1356A-48R-1-W 16/17-NANNO,318,U1356,A,48,R,1,W,16,17,450.06,450.07,450.065,C,M,,F,F,F,,,?,R,,,,,,,d1ce28fd0de49a9d64b7119994606f97
318-U1356A-48R-1-W 83/84-NANNO,318,U1356,A,48,R,1,W,83,84,450.73,450.74,450.735,C,M,F,R,F,F,,,,R,,,,,,,ebd40c05af615f47facbf41c3c5efc18
318-U1356A-48R-CC-PAL,318,U1356,A,48,R,CC,,15,20,453.98,454.03,454.005,B,,,,,,,,,,,,,,,,f78c536c18d188de103ef85fd73a2a52
318-U1356A-49R-CC-PAL,318,U1356,A,49,R,CC,,14,19,460.05,460.1,460.075,B,,,,,,,,,,,,,,,,6ffefc6812a3e24f6f70cd8de4badc68
318-U1356A-50R-CC-PAL,318,U1356,A,50,R,CC,,22,27,469.86,469.92,469.89,A,M,F,F,C,C,,,,R,,,,,,,c5891b60aa72d2ebb05c5a957612db3c
318-U1356A-51R-1-W 129/131-NANNO,318,U1356,A,51,R,1,W,129,131,479.89,479.91,479.9,B,,,,,,,,,,,,,,,,7a6e362d7abe5a37b100beed12838816
318-U1356A-51R-2-W 35/36-NANNO,318,U1356,A,51,R,2,W,35,36,480.45,480.46,480.455,A,P,F,F,C,C,,,,,,,,,,,3789db06bb61eca745df12dc2ee98cae
318-U1356A-51R-CC-PAL,318,U1356,A,51,R,CC,,17,22,481.05,481.1,481.075,B,,,,,,,,,,,,,,,,752ff36e186316b26158c1ea450f6a23
318-U1356A-52R-CC-PAL,318,U1356,A,52,R,CC,,16,18,488.36,488.38,488.37,B,,,,,,,,,,,,,,,,110f6e50ded91037b6c02ae10a877f5e
318-U1356A-53R-2-W 34/35-NANNO,318,U1356,A,53,R,2,W,34,35,499.58,499.6,499.59,B,,,,,,,,,,,,,,,,7b30bc59240b45d355b4557f0caab363
318-U1356A-53R-CC-PAL,318,U1356,A,53,R,CC,,3,10,500.2,500.28,500.24,B,,,,,,,,,,,,,,,,e44516eba4aea5670fc3046a186a2699
318-U1356A-54R-CC-PAL,318,U1356,A,54,R,CC,,2,5,511.33,511.36,511.345,B,,,,,,,,,,,,,,,,e89052c30a501ad6254f80f94ffa49e4
318-U1356A-55R-CC-PAL,318,U1356,A,55,R,CC,,15,16,519,519.01,519.005,F,P,F,cf.,F,,,,,,,,,,,,800a07caa237de5ca62104a05f81dddc
318-U1356A-55R-CC-PAL,318,U1356,A,55,R,CC,,26,33,519.11,519.18,519.145,B,,,,,,,,,,,,,,,,9f2cdfe8a89ecfe7548c8237c7b0b7cd
318-U1356A-56R-CC-PAL,318,U1356,A,56,R,CC,,0,3,526.84,526.87,526.855,B,,,,,,,,,,,,,,,,09ad1856ae4fa43bab81a4f647aa396d
318-U1356A-57R-CC-PAL,318,U1356,A,57,R,CC,,17,22,538.13,538.18,538.155,B,,,,,,,,,,,,,,,,68a095f5dbbe0109402c67833e6792fb
318-U1356A-58R-CC-W 23/24-NANNO,318,U1356,A,58,R,CC,W,23,24,546.22,546.23,546.225,,,,,,,,,,,,,,,,,cc10b2658bac59001adc2ffc345286a8
318-U1356A-58R-CC-PAL,318,U1356,A,58,R,CC,,25,30,546.24,546.29,546.265,F,M,,,F,F,,,,,,,,,,,1dee496013236c9fd336f5b050631126
318-U1356A-59R-CC-PAL,318,U1356,A,59,R,CC,,29,33,556.69,556.73,556.71,B,,,,,,,,,,,,,,,,8a2e28fa081792332bff4e31789887ae
318-U1356A-60R-CC-PAL,318,U1356,A,60,R,CC,,17,21,566.38,566.42,566.4,B,,,,,,,,,,,,,,,,cb3f6578b8dea4c0340331a54872b85d
318-U1356A-61R-CC-PAL,318,U1356,A,61,R,CC,,13,19,574.33,574.39,574.36,B,,,,,,,,,,,,,,,,386a6dde77da9a951323e115b6e0012c
318-U1356A-62R-CC-PAL,318,U1356,A,62,R,CC,,32,37,584.12,584.17,584.145,B,,,,,,,,,,,,,,,,74faccd3d3e023fa571c471c500b8b66
318-U1356A-63R-2-W 28/29-NANNO,318,U1356,A,63,R,2,W,28,29,595.06,595.07,595.065,C,M,F,,C,C,,,,,,,,,,,c078ccf4d4f71f810d381443abdc2425
318-U1356A-63R-4-W 37/38-NANNO,318,U1356,A,63,R,4,W,37,38,597.72,597.72,597.72,C,M,F,,C,C,F,cf.,,,,,,,,,4ad89ac4300823eca298227fd1ab8c01
318-U1356A-63R-CC-PAL,318,U1356,A,63,R,CC,,17,22,598.06,598.1,598.08,B,,,,,,,,,,,,,,,,5bdf307616c746e9d57b933fecee0163
318-U1356A-64R-CC-PAL,318,U1356,A,64,R,CC,,36,41,607.06,607.1,607.08,B,,,,,,,,,,,,,,,,e2e141a185dbdbed5343b0bb7a3b6744
318-U1356A-65R-CC-PAL,318,U1356,A,65,R,CC,,8,10,612.68,612.7,612.69,B,,,,,,,,,,,,,,,,cda0c27eace99a0295688b20b7277960
318-U1356A-66R-CC-PAL,318,U1356,A,66,R,CC,,27,29,625.33,625.35,625.34,B,,,,,,,,,,,,,,,,7c9b7200b8f9b3822f97c24be990132c
318-U1356A-67R-CC-PAL,318,U1356,A,67,R,CC,,14,19,634.23,634.28,634.255,C,M,F,F,C,C,R,,,,,,,,,,d7cfce41a3688dcbbc411420f5c8a249
318-U1356A-68R-1-W 29/30-NANNO,318,U1356,A,68,R,1,W,29,30,641.69,641.7,641.695,F,P,R,R,F,F,R,,,,,,,,,,830e0c3258ad76decfc05aedfc1eaf01
318-U1356A-68R-5-W 4/5-nanno,318,U1356,A,68,R,5,W,4,5,647.07,647.08,647.075,B,,,,,,,,,,,,,,,,7753a4a484df67c089d5bc64a423f9df
318-U1356A-68R-CC-PAL,318,U1356,A,68,R,CC,,24,29,649.14,649.19,649.165,B,,,,,,,,,,,,,,,,82f967db1d46445de076649e73e01601
318-U1356A-69R-6-W 14/15-NANNO,318,U1356,A,69,R,6,W,14,15,658.22,658.22,658.22,C,P,F,R,F,F,R,,,,,,,,,,340a8dac15504f9960ebf99b4c1302de
318-U1356A-70R-CC-PAL,318,U1356,A,70,R,CC,,11,16,666.03,666.08,666.055,B,,,,,,,,,,,,,,,,f6d56ec6ec47aa4209c78249b0af0447
318-U1356A-71R-CC-PAL,318,U1356,A,71,R,CC,,19,24,678.3,678.35,678.325,B,,,,,,,,,,,,,,,,d1f87ee8eb697214ad461c483a995f3f
318-U1356A-72R-1-W 20/20-NANNO,318,U1356,A,72,R,1,W,20,20,680,680,680,B,,,,,,,,,,,,,,,,25aac1407e119409e854088377634fdc
318-U1356A-72R-4-W 119/119-NANNO,318,U1356,A,72,R,4,W,118.5,118.5,685.02,685.02,685.02,B,,,,,,,,,,,,,,,,b91327c7e708b7c04366410a30b3c87a
318-U1356A-72R-CC-PAL,318,U1356,A,72,R,CC,,19,24,687.8,687.85,687.825,B,,,,,,,,,,,,,,,,6cc1e660a4fbda6e5f348fdf3bc3ef8c
318-U1356A-73R-3-W 16/17-NANNO,318,U1356,A,73,R,3,W,16,17,692.47,692.48,692.475,C,M,F,F,C,C,,,,R,,,,,,,72e25e47e263deafd02ea00add1eaa0e
318-U1356A-73R-CC-PAL,318,U1356,A,73,R,CC,,40,45,695.76,695.81,695.785,C,M,F,F,C,C,R,R,,R,,,,,,,201f6ce839a84b74b28d93b614b183ab
318-U1356A-74R-CC-PAL,318,U1356,A,74,R,CC,,14,15,699.14,699.15,699.145,B,,,,,,,,,,,,,,,,f0273a78efe075190ea4c6273aa1c323
318-U1356A-75R-1-W 17/17-NANNO,318,U1356,A,75,R,1,W,17,17,708.77,708.77,708.77,C,M,F,F,,,R,R,,,,,,,,,d68a36073074aaf5a3617a9940b937ba
318-U1356A-75R-CC-PAL,318,U1356,A,75,R,CC,,24,29,713.91,713.96,713.935,B,,,,,,,,,,,,,,,,cb5eadc0f241c1b43a9b7a4a42970e0a
318-U1356A-76R-6-W 52/52-NANNO,318,U1356,A,76,R,6,W,52,52,725.23,725.23,725.23,F,P,R,,F,F,F,,,,,,,R,,,529c8d95e216cf2c6d18b92cfeee75ad
318-U1356A-76R-CC-PAL,318,U1356,A,76,R,CC,,18,23,725.6,725.65,725.625,B,,,,,,,,,,,,,,,,ee85cd4fb134f3b4764c837774e73889
318-U1356A-77R-CC-PAL,318,U1356,A,77,R,CC,,27,32,728.3,728.36,728.33,C,M,C,F,C,C,,R,,,,,,,,,e14e666d0501d715a251909251edadb8
318-U1356A-78R-1-W 78/79-NANNO,318,U1356,A,78,R,1,W,78,78.5,738.18,738.18,738.18,A,M,C,F,C,C,,,,R,,,,,,,7cb1399f8dc13d61c7f6b6e7404c8bcd
318-U1356A-78R-CC-PAL,318,U1356,A,78,R,CC,,11,16,744.08,744.13,744.105,B,,,,,,,,,,,,,,,,efd17ad9107816ee35f42275c6a5c550
318-U1356A-79R-1-W 12/13-NANNO,318,U1356,A,79,R,1,W,12,13,747.12,747.13,747.125,C,M,F,F,C,C,,F,,R,,,,,F,,5e4a4a29d866ddb1ced00fdd246194cb
318-U1356A-79R-2-W 89/90-NANNO,318,U1356,A,79,R,2,W,89,90,749.35,749.36,749.355,C,M,F,F,C,C,,F,,R,,,,,F,,24fdc910994738dab68a9a02f7a73653
318-U1356A-79R-3-W 97/98-NANNO,318,U1356,A,79,R,3,W,96.5,97.5,750.86,750.88,750.87,C,M,F,F,C,C,,F,,R,,,,,F,,0ded8f81abc61c5c980b1ea24bda7616
318-U1356A-79R-5-W 82/83-NANNO,318,U1356,A,79,R,5,W,81.5,82.5,753.66,753.68,753.67,C,M,F,F,C,C,,F,,R,,,,,F,,1342ce96f41b1d7759258be0da7195fb
318-U1356A-79R-CC-PAL,318,U1356,A,79,R,CC,,8,12,755.42,755.46,755.44,B,,,,,,,,,,,,,,,,005fcf3c16ab91b8e7bc6f83930c7bb3
318-U1356A-80R-CC-PAL,318,U1356,A,80,R,CC,,21,23,756.81,756.83,756.82,B,,,,,,,,,,,,,,,,7fd269cf11228f42da9a669299f46913
318-U1356A-80R-CC-PAL-NANNO,318,U1356,A,80,R,CC,,21,23,756.81,756.83,756.82,B,,,,,,,,,,,,,,,,1910cc4d764c0408908f314f18d18e5a
318-U1356A-82R-2-W 74/75-NANNO,318,U1356,A,82,R,2,W,74,75,777.94,777.95,777.945,B,,,,,,,,,,,,,,,,afeb21cf37dc546368d4a2751b8ab3fd
318-U1356A-82R-6-W 6/6-NANNO,318,U1356,A,82,R,6,W,6,6,782.36,782.36,782.36,B,,,,,,,,,,,,,,,,26c8d74575add6e1134095e63d6d10b7
318-U1356A-82R-CC-PAL,318,U1356,A,82,R,CC,,23,28,783.37,783.42,783.395,B,,,,,,,,,,,,,,,,0db05fb8e0ce7082e852930961bcc3ba
318-U1356A-83R-CC-PAL,318,U1356,A,83,R,CC,,0,5,785.95,786,785.975,B,,,,,,,,,,,,,,,,e12c64ce6c66be4417fc17d1f3c0e777
318-U1356A-84R-2-W 74/75-NANNO,318,U1356,A,84,R,2,W,74,75,797.23,797.24,797.235,B,,,,,,,,,,,,,,,,9751af92d967224a17eed424e0056ff5
318-U1356A-84R-6-W 31/32-NANNO,318,U1356,A,84,R,6,W,31,32,802.78,802.79,802.785,B,,,,,,,,,,,,,,,,a3e68bdec512f1d9379fd6a0e337b83f
318-U1356A-84R-CC-PAL,318,U1356,A,84,R,CC,,10,15,804.38,804.43,804.405,B,,,,,,,,,,,,,,,,1dc86716a8f16faa0ace65641c3264ab
318-U1356A-85R-3-W 66/67-NANNO,318,U1356,A,85,R,3,W,66,67,807.65,807.66,807.655,A,M,F,F,C,C,F,F,,,,,,,,,d8d8be7786cd1e429cdeb35db92f5d57
318-U1356A-85R-4-W 72/73-NANNO,318,U1356,A,85,R,4,W,72,73,809.21,809.22,809.215,A,M,F,F,C,C,F,F,,,,,,,,,612713104d0c0be6bd80f480cb2e218c
318-U1356A-85R-CC-PAL,318,U1356,A,85,R,CC,,17,22,811.29,811.34,811.315,B,,,,,,,,,,,,,,,,e22a5f7e100cd26736f642f865bfc250
318-U1356A-86R-CC-PAL,318,U1356,A,86,R,CC,,9,14,822.49,822.54,822.515,B,,,,,,,,,,,,,,,,2580514ab65654433cc4a31574233b87
318-U1356A-87R-2-W 85/86-NANNO,318,U1356,A,87,R,2,W,85,86,826.26,826.27,826.265,F,P,R,R,F,F,,,,,,,,,,,2160b6f4f1ec086d340dda0e343508ee
318-U1356A-87R-CC-PAL,318,U1356,A,87,R,CC,,25,30,833.15,833.2,833.175,B,,,,,,,,,,,,,,,,16527ec9b2f4dbdd8e33d9f62a34cf71
318-U1356A-88R-1-W 117/118-NANNO,318,U1356,A,88,R,1,W,117,118,834.67,834.68,834.675,F,P,F,F,F,F,R,,,R,,,,,,,1f978a6b78a52b87fffb437bc1a06a04
318-U1356A-88R-2-W 35/37-NANNO,318,U1356,A,88,R,2,W,35,37,835.21,835.23,835.22,F,M,F,F,F,F,R,,,R,,,,,,,97933c8c41f2125bd4491c7e5681457c
318-U1356A-88R-CC-PAL,318,U1356,A,88,R,CC,,0,5,836.06,836.11,836.085,F,M,F,F,F,F,R,,,R,,,,,,,49ec32e4fa3de4136eec854e1f4ccafb
318-U1356A-89R-3-W 110/111-NANNO,318,U1356,A,89,R,3,W,110,111,846.81,846.82,846.815,B,,,,,,,,,,,,,,,,71a06e43187da45b3ef3f235e6c0ecbc
318-U1356A-89R-5-W 24/25-NANNO,318,U1356,A,89,R,5,W,24,25,848.49,848.5,848.495,R,M,,,R,R,,,,R,,,,,,,d1869e5a0d27111d7ba3b24983c2c9b6
318-U1356A-89R-CC-PAL,318,U1356,A,89,R,CC,,0,3,849.41,849.44,849.425,B,,,,,,,,,,,,,,,,8502c7767a56f59faf23aa0c46f20fa5
318-U1356A-90R-CC-PAL,318,U1356,A,90,R,CC,,18,20,852.88,852.9,852.89,B,,,,,,,,,,,,,,,,0adc1d3cdacedbb74f2dfd2dd13accbd
318-U1356A-91R-CC-PAL,318,U1356,A,91,R,CC,,24,29,870.02,870.07,870.045,B,,,,,,,,,,,,,,,,fb0be971d7f94fd35db1e2326e18e768
318-U1356A-91R-CC-PAL-NANNO,318,U1356,A,91,R,CC,,24,29,870.02,870.07,870.045,B,,,,,,,,,,,,,,,,762096a46f80cc16abd5a2a4bc8afdb0
318-U1356A-92R-CC-PAL,318,U1356,A,92,R,CC,,20,25,874.97,875.02,874.995,B,,,,,,,,,,,,,,,,774c30cab224b68ae5953f0352c8a51a
318-U1356A-93R-CC-PAL,318,U1356,A,93,R,CC,,17,22,880.69,880.74,880.715,B,,,,,,,,,,,,,,,,15bd4b5640367c028b9c249bbcfc78c0
318-U1356A-94R-4-W 29/30-NANNO,318,U1356,A,94,R,4,W,29,30,885.92,885.93,885.925,A,M,,F,C,C,,cf.,R,F,F,cf.,cf.,,,,152a26b80d8483751a2643301f629fd5
318-U1356A-94R-CC-PAL,318,U1356,A,94,R,CC,,13,18,886.89,886.94,886.915,B,M,,F,C,C,,,R,F,F,,,,,,161d41f5cc0f726014a0c0f4837ed629
318-U1356A-95R-CC-PAL,318,U1356,A,95,R,CC,,17,22,895.66,895.72,895.69,B,,,,,,,,,,,,,,,,7fc039ccfa0fb63dae7431a24251aba6
318-U1356A-96R-CC-PAL,318,U1356,A,96,RR,CC,,35,40,900.95,901,900.975,B,,,,,,,,,,,,,,,,9eb6fd1ef558e32dc941545343e99c22
318-U1356A-97R-CC-PAL,318,U1356,A,97,R,CC,,15,20,911.68,911.73,911.705,B,,,,,,,,,,,,,,,,5c18c7691407161d657c5063d4bc6e97
318-U1356A-98R-CC-PAL,318,U1356,A,98,R,CC,,18,23,925.5,925.55,925.525,B,,,,,,,,,,,,,,,,734a08a193a6933a47580e9d807c1c32
318-U1356A-99R-3-W 52/53-NANNO,318,U1356,A,99,R,3,W,52,53,932.6,932.62,932.61,B,,,,,,,,,,,,,,,,827c3e78903237709bc8c9e5faa9bf58
318-U1356A-99R-CC-PAL,318,U1356,A,99,R,CC,,30,35,933.48,933.52,933.5,B,,,,,,,,,,,,,,,,4592fdd48044effa78e67ce022eb6283
318-U1356A-100R-CC-PAL,318,U1356,A,100,R,CC,,22,27,940.38,940.42,940.4,B,,,,,,,,,,,,,,,,4b2d7b2421cbd4e9f57ea426185e03b2
318-U1356A-101R-CC-PAL,318,U1356,A,101,R,CC,,27,32,951.92,951.97,951.945,B,,,,,,,,,,,,,,,,55e6c1425befc6246d049be0383b642f
318-U1356A-102R-CC-PAL,318,U1356,A,102,R,CC,,0,5,959.15,959.2,959.175,B,,,,,,,,,,,,,,,,5fbf2930e3cebb7182938a68621d2421
318-U1356A-103R-CC-PAL,318,U1356,A,103,R,CC,,0,5,973.8,973.85,973.825,B,,,,,,,,,,,,,,,,23ce6490f848ff39cede5fabc9770798
318-U1356A-104R-CC-PAL,318,U1356,A,104,R,CC,,16,22,985.58,985.64,985.61,B,,,,,,,,,,,,,,,,6fd4922ecf711cac7b7e31f2583c3769
318-U1356A-105R-CC-PAL,318,U1356,A,105,R,CC,,22,27,995.27,995.32,995.295,B,,,,,,,,,,,,,,,,fdaf1e2913a54ddb848e11a706e1aa94
318-U1356A-106R-CC-PAL,318,U1356,A,106,R,CC,,16,21,1000.03,1000.08,1000.055,B,,,,,,,,,,,,,,,,a65676db6277e5e4c8a2ba75df9b7168
