Exp,Hole,Core,Type,Section,Top Depth [m],Bottom Depth [m],Preservation,Total radiolarians,Actinomma boreale,Actinomma medianum,Amphimelissa setosa,Axoprunum acquilonium,Botryostrobus aquilonaris,Ceratospyris borealis,Collosphaera pyloma,Cycladophora cornutoides,Cycladophora cosma,Cycladophora davisiana,Cycladophora sakaii,Cyrtocapsella japonica,Dendrospyris sakaii,Dictyophimus bullatus,Dictyophimus hirundo,Eucyrtidium asanoi,Eucyrtidium inflatum,Eucyrtidium matuyamai,Lamprocyrtis heteroporos,Larcopyle buetschlii,Lipmanella redondoensis,Lithelius barbatus,Lychnocanomma magnacornuta,Lychnocanomma nipponica sakaii,Lychnocanomma parallelipes,Phormostichoartus fistula,Porodiscus circularis,Sphaeropyle langii/robusta group,Spongodiscus sp.,Spongopyle osculosa,Spongotrochus glacialis,Spongurus pylomaticus,Stichocorys delmontensis,Stichocorys peregrina,Stylatractus universus,Stylochlamydium venustum,Stylodictya validispina,Thecosphaera akitaensis,Unnamed: 47,Unnamed: 48,Site,Top [cm],Bottom [cm],A/W,Sample,eodp_id
323,B,2,H,CC,16.77,16.87,M,F,,,,,,F,,,,F,,,,,,,,,,,,,,F,,,,,,,F,,,,,,F,,,,U1343,,,,323-U1343B-2H-CC-nan,b8bc596bb613452a7113a1c89bad1231
323,B,3,H,CC,24.98,25.08,M,C,F,,,,,F,,,,C,,,,,,,,,,,,,,F,,,,,,,F,,,,,F,F,,,,U1343,,,,323-U1343B-3H-CC-nan,61ab65060fd2db9a8dd718771e91cca1
323,B,4,H,CC,35.16,35.26,M,C,F,,,,F,C,,,,C,,,,,,,,,,F,,,,C,,,,,,,F,,,,,F,F,,,,U1343,,,,323-U1343B-4H-CC-nan,3b2435366db6282c1aebee94368d4b08
323,C,1,H,CC,7.14,7.24,M,F,F,,,,,F,,F,,C,,,,,,,,,,,,,,,,,,F,,,F,,,,,F,F,,,,U1343,,,,323-U1343C-1H-CC-nan,cd4e201f6c6bda1ede4b3eb985354fdb
323,C,2,H,CC,16.57,16.67,M,F,F,,,,,F,,F,,C,,,,,,,,,,,,,,F,,,,F,,,,,,,,,F,,,,U1343,,,,323-U1343C-2H-CC-nan,5a266373678abe1ba65e7e9dbc663cb5
323,C,3,H,CC,26.5,26.6,M,C,F,,,,,F,,F,,C,,,,,F,,,,,F,,,,F,,,,F,,,F,,,,,F,F,,,,U1343,,,,323-U1343C-3H-CC-nan,a28c86b5bf173c622b8d0a1677c73858
323,C,4,H,CC,36.3,36.4,M,C,F,,,,,F,,F,,C,,,,,F,,,,,,,,,C,,,,F,,,F,,,,,,F,,,,U1343,,,,323-U1343C-4H-CC-nan,ff4b813514f2fd24932dd186e3fa95bf
323,C,5,H,CC,44.65,44.75,M,C,F,,,,,C,,F,,C,,,,,,,,,,F,,,,F,,,,,,,F,,,,,F,C,,,,U1343,,,,323-U1343C-5H-CC-nan,ad417417c979a2c66664c7eb2b2c56d4
323,C,6,H,CC,55.41,55.51,M,C,F,,,,,F,,F,,C,,,,,,,,,,F,,,,F,,,,F,F,,,,,,,F,C,,,,U1343,,,,323-U1343C-6H-CC-nan,1425381b4f3091e963cec034496d1a43
323,C,7,H,CC,63.81,63.91,G,F,,,F,,,,,,,F,,,,,,,,,,,,,,F,,,,,,,,,,,,F,F,,,,U1343,,,,323-U1343C-7H-CC-nan,822f233facd9706d3922fd55d84465b3
323,C,8,H,CC,70.58,70.68,M,C,C,,,,,,,,,C,,,,,,,,,,,,,,C,,,,F,,,,,,,,F,F,,,,U1343,,,,323-U1343C-8H-CC-nan,71ff649ae5e5eb21b3b6215a335ac5bc
323,C,9,H,CC,78.25,78.35,M,F,,,,,,C,,,,F,,,,,,,,,,F,,,,F,,,,F,,,F,,,,,F,F,,,,U1343,,,,323-U1343C-9H-CC-nan,d9f76be8344a76dd2fb18e52f1ba7c2b
323,C,10,H,CC,87.58,87.68,M,C,F,,,,F,F,,,,C,,,,,,,,,,F,,,,F,,,,F,C,,F,,,,,C,C,,,,U1343,,,,323-U1343C-10H-CC-nan,3800ad1cd1af45c107c4f2234257803b
323,C,11,H,CC,97.44,97.54,M,F,F,,,,,F,,F,,F,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,U1343,,,,323-U1343C-11H-CC-nan,2820a7f030c91ef4122ee937e0cdca62
323,C,12,H,CC,106.58,106.68,M,F,F,,,,,,,,,F,,,,,,,,,,F,,,,,,,,,C,,F,,,,,F,F,,,,U1343,,,,323-U1343C-12H-CC-nan,6d78234f31afd7ff5cfa9a66ed00f0d5
323,C,13,H,CC,116,116.1,M,F,F,,,F,,F,,,,F,,,,,,,,,,,,,,,,,,F,C,,,,,,,,,,,,U1343,,,,323-U1343C-13H-CC-nan,c8cc5396d2abfc05302d1523ce7a4eed
323,C,14,H,CC,124.55,124.65,M,C,F,,,F,,F,,F,,C,,,,,F,,,,,F,,,,,,,,F,F,F,F,F,,,,,F,,,,U1343,,,,323-U1343C-14H-CC-nan,0ca64f1164c0c56d767c46a979504c1e
323,C,15,H,CC,134.94,135.04,M,F,,,,F,,F,,,,,,,,,,,,,,,,,,,,,,F,C,,F,,,,F,,,,,,U1343,,,,323-U1343C-15H-CC-nan,b6262c82c487122dd8210d2b2628fb3d
323,C,17,H,CC,153.3,153.4,M,F,F,,,F,,F,,,,F,,,,,,,,,,,,,,,,,,F,C,,C,F,,,,,F,,,,U1343,,,,323-U1343C-17H-CC-nan,848022cf98ee29e62da554de295a78bc
323,C,18,H,CC,163.05,163.15,M,C,F,,,F,F,F,,,,F,,,,,F,,,,,,,,,,,,,F,C,,F,,,,,,,,,,U1343,,,,323-U1343C-18H-CC-nan,44a52b1652d411fd29db7eef5b2b59d4
323,C,19,H,CC,171.89,171.99,M,F,F,,,F,,,,,,C,,,,,F,,,,,,,,,,,,,F,F,,F,,,,,,,,,,U1343,,,,323-U1343C-19H-CC-nan,9391f5c9a8c60bb8d19be1578415199d
323,C,20,H,CC,182.11,182.21,M,F,F,,,F,,F,,F,,,,,,,F,,,,,,,,,,,,,F,C,,F,,,,,,,,,,U1343,,,,323-U1343C-20H-CC-nan,52471af48b277db368926423b1a71ab0
323,C,21,H,CC,192.05,192.15,M,F,F,,,F,,F,,,,,,,,,F,,,,,,,,,,,,,F,F,,F,,,,,,F,,,,U1343,,,,323-U1343C-21H-CC-nan,482bc572b27e891f0a4e2eeb7b474d5c
323,C,22,H,CC,196.06,196.16,M,F,F,,,F,,F,,,,F,,,,,F,,,,,,,,,,,,,F,F,F,F,F,,,F,,F,,,,U1343,,,,323-U1343C-22H-CC-nan,1f90f5a7ff7fec5540cbebe6a4c4eb33
323,C,23,H,CC,205.35,205.45,M,F,F,,,F,,F,,,,F,,,,,,,,,,,,,,,,,,F,F,,F,F,,,,,F,,,,U1343,,,,323-U1343C-23H-CC-nan,07648405b86fe875b7c4bbee6ed11b1d
323,C,24,H,CC,215.44,215.54,M,F,F,,,F,,F,,F,,C,,,,,F,,,,,F,,,,,,,,,F,,F,F,,,,,F,,,,U1343,,,,323-U1343C-24H-CC-nan,8875d7007e40b2b9006b8689011dab45
323,C,25,H,CC,224.67,224.77,P,F,F,,,F,,,,,,,,,,,,,,,,,,,,,,,,,F,,F,F,,,F,,,,,,U1343,,,,323-U1343C-25H-CC-nan,f58bb5610018eb378cb4d4f6e0471cc5
323,C,26,H,CC,234.62,234.72,M,F,,,,,,F,,F,,C,,,,,F,,,,,,,,,,,,,,F,,F,,,,,,F,,,,U1343,,,,323-U1343C-26H-CC-nan,14bab5edcec9b90b0b1d963fbb5a3d2f
323,D,1,H,CC,8.43,8.53,G,F,F,,,,,F,,,,F,,,,,,,,,,,,,,,,,,F,,,F,F,,,,F,F,,,,U1343,,,,323-U1343D-1H-CC-nan,9aa60857304d8d7b46d97848ff81daa2
323,E,1,H,CC,8.12,8.22,M,C,F,F,,,,F,,F,,C,,,,,,,,,,F,,,,,,,,F,,,,,,,,F,F,,,,U1343,,,,323-U1343E-1H-CC-nan,c9c2c9f5ebc3922540e16963f5b50814
323,E,2,H,CC,17.7,17.8,M,C,F,,,,,F,,,,C,,,,,F,,,,,F,,,,C,,,,F,,,F,,,,,F,C,,,,U1343,,,,323-U1343E-2H-CC-nan,504f003eaf99c58ca44907eebc6956c5
323,E,3,H,CC,26.3,26.4,M,F,,F,,,,F,,,,C,,,,,,,,,,F,,,,F,,,,F,,,F,,,,,F,F,,,,U1343,,,,323-U1343E-3H-CC-nan,541e8b9a65f71cb68e2c49f907227e1f
323,E,4,H,CC,37.07,37.17,M,F,F,,,,,F,,,,C,,,,,,,,,,,,,,F,,,,F,,F,F,,,,,F,F,,,,U1343,,,,323-U1343E-4H-CC-nan,dc8bd4895cb48c5ba15e0772b717595d
323,E,5,H,CC,42.96,43.06,M,F,,,,,,C,,,,F,,,,,,,,,,F,,,,F,,,,,,,,,,,,F,F,,,,U1343,,,,323-U1343E-5H-CC-nan,dc6741e95113dd3e26bb4a4027975ce8
323,E,6,H,CC,55.45,55.55,M,C,,,F,,,C,,F,,C,,,,,,,,,,C,,,,F,,,,F,F,,,F,,,,F,F,,,,U1343,,,,323-U1343E-6H-CC-nan,a4bb18eb61d058eeedc47e799d7d137e
323,E,7,H,CC,63.9,64,M,C,F,,,,F,F,,,,C,,,,,,,,,,,,,,F,,,,F,F,,F,F,,,,F,F,,,,U1343,,,,323-U1343E-7H-CC-nan,31ab7142feed0a4f6f1cfdd3320fd9a0
323,E,8,H,CC,74.79,74.89,M,F,F,,,,,F,,F,,,,,,,,,,,,,,,,F,,,,,,,F,,,,,F,F,,,,U1343,,,,323-U1343E-8H-CC-nan,aa962846f90e8c143a4e2a573f4c00ef
323,E,9,H,CC,84.05,84.15,M,C,C,,,,,F,,F,,C,,,,,F,,,,,,,,,,,,,F,C,,F,F,,,,,F,,,,U1343,,,,323-U1343E-9H-CC-nan,d8e998e6f66d2e8e2ec9ff6b562cc7ae
323,E,10,H,CC,90.9,91,G,C,F,,,F,,C,,F,,F,,,,,,,,,,,,,,,,,,F,C,,F,,,,,,C,,,,U1343,,,,323-U1343E-10H-CC-nan,c8a7c968d179d0d9a7596242d0909108
323,E,11,H,CC,101.67,101.77,M,C,C,,F,,F,F,,F,,,,,,,,,,,,F,,,,F,,,,,C,,F,F,,,,C,F,,,,U1343,,,,323-U1343E-11H-CC-nan,0ef368b19599d592e19c4ab9f2554e1f
323,E,12,H,CC,106.59,106.69,M,C,F,,,F,F,C,,,,F,,,,,,,,,,,,,,,,,,F,C,,,,,,F,,,,,,U1343,,,,323-U1343E-12H-CC-nan,42146fd06dc3c39ffe8dee071c91348a
323,E,14,H,CC,115.95,116.05,M,C,F,,,F,,C,,F,,A,,,,,F,,,,,F,,,,F,,,,F,C,,F,,,,F,,F,,,,U1343,,,,323-U1343E-14H-CC-nan,c584c84f8642c657ac212f224bd1bb73
323,E,15,H,CC,123.35,123.45,M,F,F,,,F,,F,,F,,C,,,,,F,,,,,,,,,,,,,F,F,,F,,,,F,,,,,,U1343,,,,323-U1343E-15H-CC-nan,8d31c1b254c6fc230390d4eb010c0c01
323,E,16,H,CC,129.46,129.56,M,C,F,,,F,,C,,F,,F,,,,,C,,,,,F,,,,,,,,F,C,,F,F,,,,,,,,,U1343,,,,323-U1343E-16H-CC-nan,168c58300ba0540c94d780de5595444b
323,E,17,H,CC,138.34,138.44,M,F,F,,,,,,,,,C,,,,,F,,,,,,,,,,,,,,F,,,,,,,,,,,,U1343,,,,323-U1343E-17H-CC-nan,94a3da0c5ca0356817b112bc019d3c9d
323,E,18,H,CC,148.21,148.31,P,F,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,F,,F,,,,,,,,,,U1343,,,,323-U1343E-18H-CC-nan,91b468f80061e5125047c181ec5692f7
323,E,19,H,CC,155.87,155.97,M,F,,,,,,F,,,,F,,,,,F,,,,,F,,,,,,,,,F,,,,,,,,,,,,U1343,,,,323-U1343E-19H-CC-nan,f8c97ce04013d1ebd416f0841afdb935
323,E,20,H,CC,164.89,164.99,M,A,C,,,F,,C,,,,A,,,,,C,,,,,F,,,,,,,,C,A,,F,F,,,,,F,,,,U1343,,,,323-U1343E-20H-CC-nan,7d44656fac6c1bec621755c7dec20dcc
323,E,21,H,CC,175.07,175.17,M,C,F,,,,,C,,,,C,,,,,F,,,,,,,,,,,,,F,,,,,,,,,F,,,,U1343,,,,323-U1343E-21H-CC-nan,792f706d7634bd9ac47e0e504ca35e2b
323,E,22,H,CC,183.76,183.86,M,F,,,,F,,F,,F,,F,,,,,F,,,,,,,,,,,,,,F,,F,F,,,,,,,,,U1343,,,,323-U1343E-22H-CC-nan,a9672af30c16c7f5508dba7b8bc26a06
323,E,23,H,CC,193.31,193.41,M,C,F,,,F,,F,,F,,A,,,,,F,,,,,,,,,,,,,F,C,,F,F,,,,,,,,,U1343,,,,323-U1343E-23H-CC-nan,c2512f66da4c294f39392ea2e8bf5629
323,E,24,H,CC,197.47,197.57,M,F,F,,,F,,,,,,C,,,,,F,,,,,,,,,,,,,F,F,,F,,,,,,F,,,,U1343,,,,323-U1343E-24H-CC-nan,d5b268dbe681ec65b9197f3335f388d9
323,E,25,H,CC,207.99,208.09,M,F,F,,,,,,,,,F,,,,,F,,,,,,,,,,,,,,F,,,,,,,,,,,,U1343,,,,323-U1343E-25H-CC-nan,c95db46972ec115057bb16c2777ed776
323,E,26,H,CC,217.04,217.14,G,C,,,,F,,F,,,,A,,,,,,,,,,F,,,,,,,,,F,,F,,,,,,F,,,,U1343,,,,323-U1343E-26H-CC-nan,3ff66d1336bff48eb5e4615257eeb3a3
323,E,27,H,CC,226.01,226.11,G,C,F,,,F,,C,,,,A,,,,,,,,,,,,,,,,,,,F,,F,F,,,,,,,,,U1343,,,,323-U1343E-27H-CC-nan,30f2bce0a19160999b3f522ece9b3163
323,E,28,H,CC,234.72,234.82,M,F,F,,,,,F,,F,,C,,,,,,,,,,,,,,,,,,,F,,F,F,,,,,,,,,U1343,,,,323-U1343E-28H-CC-nan,bbe744b5d5c9e04acff5c343685f818a
323,E,29,H,CC,245.49,245.59,M,F,,,,,,,,,,C,,,,,F,,,,,,,,,,,,,,F,,F,,,,,,F,,,,U1343,,,,323-U1343E-29H-CC-nan,47d38c68cd4502a5bf263230e797907c
323,E,30,H,CC,254.21,254.31,M,F,F,,,,,F,,,,F,F,,,,,,,,,,,,,,,,,F,F,,F,F,,,,,,,,,U1343,,,,323-U1343E-30H-CC-nan,6ddcf6c55b8dd5b767a440148f763c98
323,E,31,H,CC,263.75,263.85,M,C,F,,,,,F,,F,,,,,,,,,,,,F,,,,,,,,,,F,F,,,,F,,F,,,,U1343,,,,323-U1343E-31H-CC-nan,0d03a72007995403d4fa1b2816ac139c
323,E,32,H,CC,272.49,272.59,M,F,F,,,,,,,,,F,F,,,,,,,,,,,,,,,,,F,,,F,,,,,,F,,,,U1343,,,,323-U1343E-32H-CC-nan,35764e4d837d66f75e98be8eb9eed423
323,E,33,H,CC,282.2,282.3,M,F,F,,,,,,,,,F,,,,,,,,,,,,,,,,,,F,F,,,,,,,,,,,,U1343,,,,323-U1343E-33H-CC-nan,d1202c548f9fdc33b81d654e55f9e3b0
323,E,34,H,CC,291.18,291.28,M,F,F,,,,,F,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,,,,,,,,,U1343,,,,323-U1343E-34H-CC-nan,069e4e3e4dbd73839617dbeb3c608bf1
323,E,35,H,CC,301.39,301.49,M,F,F,,,,,,,F,,F,,,,,,,,F,,F,,,,,,,,F,,F,F,F,,,,,,,,,U1343,,,,323-U1343E-35H-CC-nan,1633e2781c7c710b3c691afea50877d6
323,E,36,H,CC,311.1,311.2,P,F,F,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,U1343,,,,323-U1343E-36H-CC-nan,722dd586a394900b8e65ed0220ffaba3
323,E,37,H,CC,320.19,320.29,M,F,F,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,U1343,,,,323-U1343E-37H-CC-nan,d97850ade0a78ec63808e8a44a793dbd
323,E,38,H,CC,329.74,329.84,P,F,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,U1343,,,,323-U1343E-38H-CC-nan,47aebd6bfc99a563d520c6e3e289460e
323,E,39,H,CC,338.41,338.51,P,F,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,,,,,,,U1343,,,,323-U1343E-39H-CC-nan,a150edbb2f0ec69e35e3249e5c44cf20
323,E,40,H,CC,346.74,346.84,M,F,,,,F,,F,,,,C,F,,,,F,,,,,,,,,,,,,F,,,F,,,,,,,,,,U1343,,,,323-U1343E-40H-CC-nan,b0b868eac0e91449a44f7945e79f8334
323,E,41,H,CC,354.32,354.42,P,F,,,,,,F,,,,,,,,,F,,,,,,,,,,,,,,,,F,,,,,,,,,,U1343,,,,323-U1343E-41H-CC-nan,be5115c188fc5ca789a71dbf0a32d7a8
323,E,42,X,CC,359.57,359.67,M,F,F,,,F,,F,,,,C,F,,,,F,,,F,,,,,,,,,,F,,F,F,F,,,,F,F,,,,U1343,,,,323-U1343E-42X-CC-nan,c31d2db015c6683fef4cfde3c311d634
323,E,43,X,CC,367.32,367.42,P,F,,,,F,,F,,,,F,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,U1343,,,,323-U1343E-43X-CC-nan,69b63ec6995b24e5126062b84eb86549
323,E,44,X,CC,376.59,376.69,M,F,,,,F,,F,,F,,F,,,,,F,,,,,,,,,,,,,,,,F,F,,,,,,,,,U1343,,,,323-U1343E-44X-CC-nan,1990c03d9b6751e27355d3dedebfb755
323,E,45,X,CC,388.26,388.36,P,F,,,,F,,F,,,,,,,,,F,,,,,,,,,,,,,,,,F,F,,,,,,,,,U1343,,,,323-U1343E-45X-CC-nan,df0a0bc8de88bdac24c927f6bc1ce39c
323,E,46,H,CC,398.57,398.67,M,C,F,,,F,,F,,F,,C,F,,,,F,,,,,F,,,,,,,,F,,F,C,F,,,,,F,,,,U1343,,,,323-U1343E-46H-CC-nan,c4f224e2ec85a72723460143d343d6a3
323,E,47,H,CC,405.99,406.09,M,F,,,,,,F,,F,,F,F,,,,F,,,,,,,,,,,,,,,F,F,F,,,,,,,,,U1343,,,,323-U1343E-47H-CC-nan,30a8aef25bdee4ea3352ee42d15c24b1
323,E,48,H,CC,412.33,412.43,M,F,,,,F,,F,,F,,F,,,,,,,,,,,,,,,,,,,,F,,,,,,,F,,,,U1343,,,,323-U1343E-48H-CC-nan,c51182003a4d104152dd89cdf927550c
323,E,49,H,CC,418.44,418.54,P,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,U1343,,,,323-U1343E-49H-CC-nan,14a67dc7f7ee7e4a9071db23457d44d3
323,E,50,X,CC,428.5,428.6,P,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,U1343,,,,323-U1343E-50X-CC-nan,2fee681621fb17b871b91a83b5ff7ba5
323,E,51,X,CC,435.85,435.95,M,F,,,,,,,,,,F,,,,,,,,,,F,,,,,,,,,,F,F,,,,F,F,F,,,,U1343,,,,323-U1343E-51X-CC-nan,5395d4b605d0a9f5cb130083d491952d
323,E,52,X,CC,446.16,446.21,M,F,,,,F,,F,,F,,C,,,,,,,,,,,,,,,,,,,,F,F,,,,,F,,,,,U1343,,,,323-U1343E-52X-CC-nan,f5bdb5f3563a184510bac734e7fbda85
323,E,53,X,CC,455.88,455.98,-,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U1343,,,,323-U1343E-53X-CC-nan,7794e331334463154a5f7bc9b5105808
323,E,54,X,CC,463.39,463.49,P,F,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,U1343,,,,323-U1343E-54X-CC-nan,cebf87841a47be00d05372b1d393a44d
323,E,55,X,CC,475.6,475.7,P,F,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U1343,,,,323-U1343E-55X-CC-nan,795318822ede9bdf0fcb888ed33ec60c
323,E,56,X,CC,482.57,482.67,P,F,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,U1343,,,,323-U1343E-56X-CC-nan,e42fb33edea8585e4ec5976c25839f96
323,E,57,X,CC,493.97,494.07,M,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,F,,F,,,,U1343,,,,323-U1343E-57X-CC-nan,6ac4c9a36a5622622dcb81aa27445c65
