Exp,Site,Hole,Core,Type,Section,Top Depth [m],Bottom Depth [m],Preservation,Pollen (trees),Pollen (shrubs),Pollen (herbs),Spores (moss&fern),Pediastrum + Botryococcus,Reworked palynomorphs,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Top [cm],Bottom [cm],A/W,Sample,eodp_id
323,U1341,A,21,H,CC,193.25,193.35,P,R,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,323-U1341A-21H-CC,64083f612dc0215b4e2a5c9715364386
323,U1341,A,23,H,CC,212.53,212.63,M,,,,R,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,323-U1341A-23H-CC,ba5f9a11f9705db0fe0be5a468922b86
323,U1341,A,25,H,CC,231.33,231.43,M,,,,R,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,323-U1341A-25H-CC,572e2093220b6fbafe864205de8d9235
323,U1341,A,27,H,CC,241.4,241.5,P,R,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,323-U1341A-27H-CC,3405b45e4c4597aafc7af689c1dbbd5b
323,U1341,A,29,H,CC,262.14,262.24,M,F,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,323-U1341A-29H-CC,f45ad6ca9557c63b4f0e2973239ecb39
323,U1341,A,31,H,CC,281.2,281.3,P,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,323-U1341A-31H-CC,4087a1289f0073c28c03c4008c8c23be
323,U1341,A,33,H,CC,300.09,300.19,M,R,R,,R,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,323-U1341A-33H-CC,2ad81d21be1f05363ecb78e32684a8a4
323,U1341,A,35,H,CC,318.92,319.02,P,R,R,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,323-U1341A-35H-CC,63a6fe1b302744bc5b95bcf891d09d7f
323,U1341,A,37,H,CC,332.71,332.81,P,,,,R,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,323-U1341A-37H-CC,6c5fff108694f5d0b266593e77f6b226
323,U1341,A,39,H,CC,351.93,352.03,M,F,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,323-U1341A-39H-CC,5a279e19048a8d737d8bea7304e39cf2
323,U1341,A,40,H,CC,356.68,356.78,P,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,323-U1341A-40H-CC,ca1d7c087521b198466a1d756a06bd27
323,U1341,A,41,H,CC,359.02,359.12,P,F,R,,F,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,323-U1341A-41H-CC,a05a24cf61de2c1a2a0b875e1a40af45
323,U1341,B,42,H,CC,375.58,375.68,P,F,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,323-U1341B-42H-CC,64f5453ede233e6b40c74c61732f1d13
323,U1341,B,43,H,CC,385.38,385.48,P,R,,R,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,323-U1341B-43H-CC,4fe7b21468846b6cc01f4f7f465c9cd5
323,U1341,B,44,H,CC,395.02,395.12,M,C,F,R,F,R,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,323-U1341B-44H-CC,04011556d5424f912d28c4e4bf1bc42a
323,U1341,B,45,H,CC,403.49,403.59,M,C,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,323-U1341B-45H-CC,c4ad5dd666987be85af506e862671e12
323,U1341,B,46,H,CC,413.6,413.7,M,R,R,,F,R,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,323-U1341B-46H-CC,f92468b4c3154d798e9eb93257bcc5e8
323,U1341,B,47,H,CC,414.43,414.53,P,F,,,F,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,323-U1341B-47H-CC,cc8c156efb1353014b2d9b0a06555322
323,U1341,B,48,H,CC,422.74,422.84,P,F,F,,F,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,323-U1341B-48H-CC,0523ec9f67b8486ac2cfd92529da1a1e
323,U1341,B,49,H,CC,423.19,423.29,M,F,F,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,323-U1341B-49H-CC,353a163b8a6ca41ae5a23ec711d3a071
323,U1341,B,50,H,CC,431.08,431.18,M,F,F,,F,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,323-U1341B-50H-CC,bc2c61f5252f7c7c9e0150d3467f13af
323,U1341,B,51,H,CC,438.94,439.04,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,323-U1341B-51H-CC,cbad0d48aa585f143eeb153ce29c8986
323,U1341,B,53,H,CC,457.7,457.8,P,F,F,,R,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,323-U1341B-53H-CC,246141b6b60ddfc76a9966a1a687eb98
323,U1341,B,55,H,CC,458.3,458.36,,R,R,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,323-U1341B-55H-CC,94259fb9b151698b764b23144a1dccdf
323,U1341,B,57,X,CC,467.23,467.33,M,,F,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,323-U1341B-57X-CC,d52f8c0933b0a4bb716a8b596f5186f7
323,U1341,B,59,X,CC,486.67,486.77,M,,R,,R,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,323-U1341B-59X-CC,9d542507e801849e022c6caef39d0b67
323,U1341,B,61,X,CC,504.24,504.34,M,F,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,323-U1341B-61X-CC,ca74b86d15b92d2bbfb1811ec20852d8
323,U1341,B,63,X,CC,525.36,525.46,M,R,F,,R,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,323-U1341B-63X-CC,90108b32153f980ba2a2ebaef73680df
323,U1341,B,65,X,CC,542.92,543.02,P,R,R,,F,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,323-U1341B-65X-CC,6dc572ba14d9b471a0bb5ef184cac030
323,U1341,B,67,X,CC,563.58,563.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,323-U1341B-67X-CC,c5c04cc97e2b9e57c43c825b13a7f74e
323,U1341,B,68,X,CC,573.38,573.48,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,323-U1341B-68X-CC,2eca3fe6a9b7526e03d47424391dd5d3
323,U1341,B,69,X,CC,573.52,573.62,,F,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,323-U1341B-69X-CC,2a3538b41a13cbbedcf16d629b84299f
323,U1341,B,70,X,CC,592.15,592.25,P,F,R,,F,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,323-U1341B-70X-CC,075a9f3582c751df9c7d677723b62341
323,U1341,B,71,X,CC,601.77,601.87,P,F,R,,R,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,323-U1341B-71X-CC,dfdd78c0f6f36a89017c164ed5e5752d
