Exp,Hole,"Core, section, interval (cm)",Top Depth [m],Presevation,Bathymetry,Abyssamina poagi,Abyssamina quadrata,Alabammina sp.,Anomalinoides sp.,Astrononion sp.,Bigenerina sp.,Bolivina sp.,Bulimina midwayensis,Buliminella parvula,Buliminella sp.,Cibicidoides eocanus,Cibicidoides grimusdalei,Cibicidoides havannsis,Cibicidoides mundulus,Cibicidoides premundulus,Cibicidoides sp. A,Cibicidoides sp. B,Cibicidoides sp. C,Cibicidoides sp. indet.,Dentalina spp.,Gaudryina pyramidata,Globocassidulina subglobosa,Glomospira goldialis,Glomospira irregularis,Gyroidinoides soldanii,Gyroidinoides sp. A,Gyroidinoides sp. B,Gyroidinoides sp. indet.,Haplophragmoides walteri,Karreriella chapapotensis,Lenticulina spp.,Nodosalia spp.,Nonion affine,Nonion havanensis,Nuttallides truempyi,Nuttallides umbonifer,Oridorsalis umbonatus,Paratrochamminoides sp.,Pleurostomella sp.,Pyrulina spp.,Pullenia bulloides,Pullenia osloensis,Pullenia quinqueloba,Pullenia salisburyi,Pullenia subcarinata,Pullenia sp. A,Quadrimorphina profunda,Recurvoides spp.,Reticulophragmium amplectens,Reophax sp.,Siphonodosaria antillea,Siphonodosaria sp. indet.,Spheroidina bulloids,Spiroplectammina spectablis,Spirosigmoilinella compressa,Tube-shaped agglutinated form.,Unilocular species,Valvalammina sp.,Valvulina spinosa,Agglutinated Foram. gen. et sp. indet.,Calc. Hyaline Foram. gen. et sp. indet.,Unnamed: 67,Unnamed: 68,Section,Core,Type,Top [cm],Bottom [cm],Site,Bottom Depth [m],A/W,Sample,eodp_id
320,A,"10H-7, 47-49 cm",90.18,M,LB-A,R,R,R,R,,,,,,,R,F,,R,,,,,F,,,R,P,,R,F,R,R,,P,,,,,A,F,A,,R,,P,P,R,,,P,,P,,,,,,,,,,,F,P,P,,,7,10,H,47,49,U1331,,,320-U1331A-10H-7,0ba4451953cafa1d7ad8eb881658012e
320,A,"10H-cc, 21-26 cm",90.51,M,LB-A,-,,,,,,,,,,R,R,,,,,R,,,,,R,,,,,,,,,,,,,,,R,R,,,,,,,,,,,,,-,,,,,-,,,,,R,,,cc,10,H,21,26,U1331,,,320-U1331A-10H-cc,df6eaa5eea21f13dfeb39c72284bb5fc
320,A,"11H-cc, 17-22 cm",99.50,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cc,11,H,17,22,U1331,,,320-U1331A-11H-cc,a64b8c6a5bd429cd3bd6841577195097
320,A,"12H-cc, 18-23 cm",110.18,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,cc,12,H,18,23,U1331,,,320-U1331A-12H-cc,a9b6d37b6042a56f115236ee8ce0756d
320,A,"13H-cc, 22-27 cm",119.61,P,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,cc,13,H,22,27,U1331,,,320-U1331A-13H-cc,eb8a95a71e728a651a8a10ef5b0ac741
320,A,"14H-cc, 17-22 cm",128.76,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cc,14,H,17,22,U1331,,,320-U1331A-14H-cc,f38dbf3a09e3ecd6aa08a4e61962b3a2
320,A,"15H-cc, 0-5 cm",138.48,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,cc,15,H,0,5,U1331,,,320-U1331A-15H-cc,5e9b8f19ca97d4581b54a0015f505798
320,A,"16X-cc, 32-37 cm",139.60,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cc,16,X,32,37,U1331,,,320-U1331A-16X-cc,30e06da9ad4a27c62a628ec251dae9b0
320,A,"19X-cc, 28-33 cm",162.39,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cc,19,X,28,33,U1331,,,320-U1331A-19X-cc,80d175407d2b7e3aae9e376151e96e7a
320,A,"22X-cc, 38-43 cm",187.18,P,LB-A,,,R,,,,R,,,,,,,,,,,R,,,,,,,,,,R,,,,,,,A,,A,,-,,R,,,,,,,,,,,,,,,,R,R,,,F,,,cc,22,X,38,43,U1331,,,320-U1331A-22X-cc,8403cd921fc35b270f5e8c151df83a0a
320,B,"1H-cc, 30-32 cm",10.08,M,LB-A,,,,,,,,,,,R,R,,F,,,,,,R,,F,,,R,,,,,F,,,,,,,,,R,,,,,,,,,,,,R,,,,F,A,R,,,F,F,,,cc,1,H,30,32,U1331,,,320-U1331B-1H-cc,941ca79d7c6852bc5cdb6c64c4c7068f
320,B,"2H-cc, 37-39 cm",20.12,M,LB-A,,,,,,,,,R,,,,A,F,,,,,F,,,F,,,R,,,R,,,,R,,R,,,A,,,R,R,,,,,,,,,,,,,R,,A,,,R,R,F,,,cc,2,H,37,39,U1331,,,320-U1331B-2H-cc,844e714da4fd0a5dac0ccf45d4722547
320,B,"3H-cc, 34-36 cm",29.53,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,P,,,,,,,,cc,3,H,34,36,U1331,,,320-U1331B-3H-cc,daaeff0fb6135d2d32e5296ecddd0a41
320,B,"4H-cc, 21-23 cm",39.16,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,cc,4,H,21,23,U1331,,,320-U1331B-4H-cc,52524f51fce6220346837e3cbfc2d1b6
320,B,"5H-cc, 28-30 cm",48.09,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,P,,,,,,,,cc,5,H,28,30,U1331,,,320-U1331B-5H-cc,c5b6f118b236672d3d0a466f4a9a629a
320,B,"6H-cc, 32-33 cm",58.24,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,P,,,,cc,6,H,32,33,U1331,,,320-U1331B-6H-cc,6d05cb1370d3cefcf0938913d08666e3
320,B,"7H-cc, 17-19 cm",67.20,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cc,7,H,17,19,U1331,,,320-U1331B-7H-cc,bf14a4e701cf8b7d06ecff40be24ad59
320,B,"8H-cc, 26-28 cm",77.18,M,LB-A,,R,,,,,,,,,,A,R,R,,,,,F,,,R,,,,,,R,,,,,,,A,,A,,,,,R,,,,,,F,R,,,,,A,,R,,,,,F,,,cc,8,H,26,28,U1331,,,320-U1331B-8H-cc,2e752ae09aee611d2cb8da444489a104
320,B,"9H-cc, 0-2 cm",86.64,M,LB-A,,,,,,,,,,,,,,,,,,,P,,,P,,,,,,P,,,,,,,,,P,,,,,P,,,,,,,,,,,,,,,,,,,,,,cc,9,H,0,2,U1331,,,320-U1331B-9H-cc,cf2de80761868b1ac81d2ce4c4e0bcfd
320,B,"10H-cc, 23-25 cm",96.13,P,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cc,10,H,23,25,U1331,,,320-U1331B-10H-cc,4a6a211e959fcdab99a001bcd49cb6e3
320,B,"11H-cc, 28-30 cm",102.55,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,cc,11,H,28,30,U1331,,,320-U1331B-11H-cc,0fc4f59a69323c14c0567e6126eb3708
320,B,"12H-cc, 7-9 cm",114.99,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cc,12,H,7,9,U1331,,,320-U1331B-12H-cc,362d82463325cd553d30b1a88eb83342
320,B,"13H-cc, 22-24 cm",124.40,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cc,13,H,22,24,U1331,,,320-U1331B-13H-cc,ef07d7abc8077e08579154ba510141a5
320,B,"14H-cc, 21-23 cm",134.02,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cc,14,H,21,23,U1331,,,320-U1331B-14H-cc,23d53f480f961a5132eb29eaf11f5647
320,B,"15H-cc, 16-18 cm",143.61,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,P,,,,cc,15,H,16,18,U1331,,,320-U1331B-15H-cc,da116d21361558d041ec389043e7de58
320,B,"16H-cc, 30-32 cm",152.49,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cc,16,H,30,32,U1331,,,320-U1331B-16H-cc,dcba17d4c02e695b77ca6b78ef66b03e
320,B,"17H-cc, 38-40 cm",156.87,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,cc,17,H,38,40,U1331,,,320-U1331B-17H-cc,3b7b79bf13075e3a8527ce250fb67165
320,C,"1H-cc, 24-26 cm",9.45,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cc,1,H,24,26,U1331,,,320-U1331C-1H-cc,0a3df58863942ae1585b4a5184791c5b
320,C,"2H-cc, 21-23 cm",19.51,M,LB-A,,,,,,,,,,,,,,A,,,,,,,,,R,,,,,R,,,,,,,,R,R,R,,R,,,,,,,,,,,,,,,,,,,,,R,,,cc,2,H,21,23,U1331,,,320-U1331C-2H-cc,6bb57453cd8ea0949306269bea1aa707
320,C,"3H-cc, 14-16 cm",28.74,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,P,,,,,,,,cc,3,H,14,16,U1331,,,320-U1331C-3H-cc,5596ebc650fbf5b1715e5f800b131fe6
320,C,"4H-cc, 14-16 cm",38.48,P,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,cc,4,H,14,16,U1331,,,320-U1331C-4H-cc,b1454108c3bf806b33eceaa4b6c5fab5
320,C,"6H-cc, 23-25 cm",68.53,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cc,6,H,23,25,U1331,,,320-U1331C-6H-cc,eeee3c02f7095a08eed429d85e229659
320,C,"8H-cc, 25-27 cm",101.78,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,cc,8,H,25,27,U1331,,,320-U1331C-8H-cc,50c98e8a1c004764f10a345e71f2c3ec
320,C,"10H-cc, 20-22 cm",110.92,M,LB-A,,,R,,,,,,,,,F,,,,,,,,,,,,R,,F,,,,,,,R,R,A,,A,,,R,,,,,,,,,,,,F,,,,F,,,,R,,,,cc,10,H,20,22,U1331,,,320-U1331C-10H-cc,41b42f5a9812ab3c467f3125e74b16ab
320,C,"12H-cc, 20-22 cm",139.04,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cc,12,H,20,22,U1331,,,320-U1331C-12H-cc,855dbf09119f25b031749628d290a2dc
320,C,"13H-cc, 24-26 cm",148.58,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cc,13,H,24,26,U1331,,,320-U1331C-13H-cc,3649612825c7dc247d38735525e6b733
320,C,"14H-cc, 20-22 cm",156.86,P,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cc,14,H,20,22,U1331,,,320-U1331C-14H-cc,11baa6673e5cdbce3792b916e9090e4e
320,C,"16H-cc, 8-10 cm",185.35,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cc,16,H,8,10,U1331,,,320-U1331C-16H-cc,a486886cdf2f22db62b6c8437b812b53
320,C,"17H-cc, 8-13 cm",189.51,P,LB-A,,R,,,,,,R,,R,,R,,,R,,,,,,,F,R,R,,A,,,R,,,,,R,D,,F,,,,,,,R,,,,,,,,,,,,,R,,,,F,,,cc,17,H,8,13,U1331,,,320-U1331C-17H-cc,b28a3f05e75d0398fc015b6aa849a37c
