Exp,Hole,Core,Type,Section,Top Depth [m],Bottom Depth [m],Preservation,Dinoflagellate cysts,Organic lining of foraminifers,Brigantedinium cariacoense,Brigantedinium simplex,Brigantedinium spp.,Filisphaera filifera,I.mpagidinium pallidum,Impagidinium aculeatum,impagidinium japonicum,Islandinium imnutum,Impagidinium spp.,Operculodinium centrocarpum,O. centrocarpum var. short processes,Polykrikos - Arctic morphotype,Protoperidinium americanum,Quinquecuspis concreta,Selenopemphix nephroides,Spiniferites belerius,Unnamed: 26,Site,Top [cm],Bottom [cm],A/W,Sample,eodp_id
323,A,33,H,CC,291.66,291.76,M,C,F,R,F,D,,,,,,,,,,,,,,,U1340,,,,323-U1340A-33H-CC-nan,97bdb1c41c13a05a697835a22590ee46
323,A,35,H,CC,310.58,310.68,M,C,C,,F,D,,,R,R,,,,,,,,,,,U1340,,,,323-U1340A-35H-CC-nan,0033e52fb7924024e193086ab8ce5497
323,A,37,H,CC,327.26,327.36,M,C,F,,F,D,,,,,,,,,,,,,,,U1340,,,,323-U1340A-37H-CC-nan,725fab2a5db987a807e51162362d358f
323,A,39,H,CC,343.55,343.65,M,C,F,,R,D,R,,,,,,,,,,,,,,U1340,,,,323-U1340A-39H-CC-nan,ae0722f120ef73a9fd134b4051772186
323,A,41,H,CC,354.63,354.73,G,A,C,,A,D,,,,,,,,,,,,,,,U1340,,,,323-U1340A-41H-CC-nan,efbc503442b35fe00a714b969ee5921f
323,A,42,H,CC,358.58,358.7,G,C,C,,F,D,R,,,R,,,R,,,,,,,,U1340,,,,323-U1340A-42H-CC-nan,4e2cb7f4c29a3f35c2cae43bda1005b6
323,A,43,H,CC,358.7,358.77,M,C,F,,R,F,D,,,,,,,,,,,,,,U1340,,,,323-U1340A-43H-CC-nan,b5b11e7b57a5f11ec5cacd7140ca4b33
323,A,44,X,CC,365.09,365.19,P,F,C,,,P,,,,,,,,,,,,,,,U1340,,,,323-U1340A-44X-CC-nan,232b1695c636081f72e99d3b2b831ad5
323,A,47,X,CC,399.41,399.51,P,C,C,,P,P,,,,,,,,,,,,,,,U1340,,,,323-U1340A-47X-CC-nan,d000291d3f7da6118a307aeb5d987323
323,A,49,X,CC,417.96,418.06,M,C,C,,F,D,A,,,,,,,,,,,,,,U1340,,,,323-U1340A-49X-CC-nan,4411380c0aec4bbf0135ea0ab38ff080
323,A,51,X,CC,435.51,435.61,P,F,,,,P,,,,,,,,,,,,,,,U1340,,,,323-U1340A-51X-CC-nan,2e5b722b37b1c8dedcd9cdd7cddf6941
323,A,53,X,CC,457.62,457.72,M,C,C,,P,P,P,,,,,,,,,,,,,,U1340,,,,323-U1340A-53X-CC-nan,e93e2ec3baa2eb3cd9f867f0045a8e56
323,A,55,X,CC,476.23,476.33,G,C,C,R,F,D,,,,,,,,,,,,,,,U1340,,,,323-U1340A-55X-CC-nan,04f449fdefd04238fbda9ead5cc1afd5
323,A,57,X,CC,492.82,492.92,P,F,F,,,P,,,,,,,,,,,,,,,U1340,,,,323-U1340A-57X-CC-nan,0af27def917c6c1c066dcd3f21e00955
323,A,59,X,CC,515.11,515.21,M,C,C,,,P,P,P,,,,,,,,,,,,,U1340,,,,323-U1340A-59X-CC-nan,0197e07bee3cc44b2c08101fbeab127e
323,A,63,H,CC,546.74,546.77,M,F,R,,,P,P,,,P,,P,,,,,,,,,U1340,,,,323-U1340A-63H-CC-nan,2199316bfa1e26418548f41261964bb3
323,A,65,H,CC,557.37,557.43,P,C,C,,,P,,,,,,,,,,,,,,,U1340,,,,323-U1340A-65H-CC-nan,542c1ddb472ad1f6b00624ede2e74802
323,A,67,H,CC,565.8,565.9,G,C,C,,F,D,,,,,,,,,,,,,P,,U1340,,,,323-U1340A-67H-CC-nan,077d4fe31d9f96dfc4ff45ca01e73b67
323,A,69,H,CC,585.18,585.28,M,C,,,,P,,,,,,,,,,,,,,,U1340,,,,323-U1340A-69H-CC-nan,c1c678dd5deefdc2c969e9bce1596831
323,A,71,X,CC,604.51,604.61,M,C,C,,R,D,,,,,,,,,,,,,,,U1340,,,,323-U1340A-71X-CC-nan,fd9ac53b8e58caa558a3b73f4d7ee504
