Expedition,Hole,Core,Core type,Section,Half,Top [cm],Bottom [cm],Top depth [CSF m],Preservation,Group abundance,REMARKS,Braarudosphaera bigelowiI,Braarudosphaera sp.,Calcidiscus leptoporus,Calcidiscus leptoporus (10-11 µm),Calcidiscus tropicus,Calcidiscus tropicus (>10 µm),Catinaster mexicanus,Ceratolithus cristatus,Chiasmolithus altus,Coccolithus formosus,Coccolithus miopelagicus,Coccolithus pelagicus,Coccolithus pelagicus f. braarudii,Coccolithus streckeri,Crenalithus doronicoides,Cricolithus jonesii,Cyclicargolithus abisectus (10-11 μm),Cyclicargolithus abisectus (>11 μm),Cyclicargolithus floridanus,Dictyococcites antarcticus,Dictyococcites bisectus,Dictyococcites productellus (<3 μm),Dictyococcites productellus (3-5 μm),Dictyococcites scripsae,Dictyococcites stavensis (10-14 μm),Discoaster deflandrei,Discoaster sp.,Emiliania huxleyi,Emiliania pujosae,Gephyrocapsa aperta,Gephyrocapsa caribbeanica (3-4 μm),Gephyrocapsa caribbeanica (4-5.5 μm),Gephyrocapsa caribbeanica (5.5-6.5 μm),Gephyrocapsa crassipons,Gephryocapsa ericsonii,Gephyrocapsa oceanica (3-4 μm),Gephyrocapsa oceanica (4-5.5 μm),Gephyrocapsa oceanica (5.5--6.5 μm),Gephyrocapsa omega,Helicosphaera carteri,Helicosphaera euphratis,Helicosphaera inversa,Helicosphaera omanica,Helicosphaera cf. sellii,Helicosphaera sellii,Helicosphaera vedderi,Helicosphaera wallichii,Minylitha convalis,Pontosphaera discopora,Pontosphaera japonIca,Pontosphaera multipora,Pseudoemiliania lacunosa,Pseudoemiliania ovata,Pseudoemiliania pacifica,Pseudoemiliania sp.,Pyrociclus sp.,Rhabdosphaera procera,Reticulofenestra ampla,Reticulofenestra daviesi,Reticulofenestra dictyoda,Reticulofenestra filewiczii,Reticulofenestra gelida (8-10 µm),Reticulofenestra gelida (>10 μm),Reticulofenestra haqii (<3 μm),Reticulofenestra haqii (3-5 μm),Reticulofenestra minuta (<3 μm),Reticulofenestra minutula,Reticulofenestra minutula (circular),Reticulofenestra pseudoumbilicus (8-10 μm),Reticulofenestra pseudoumbilicus (>10 μm),Reticulofenestra reticulata,Reticulofenestra umbilicus (10-14 µm),Reticulofenestra umbilicus (>14 µm),Scyphosphaera apsteinii.,Scyphosphaera spp.,Sphenolithus abies,Sphenolithus moriformis,Syracosphaera spp.,Thoracosphaera spp.,Umbilicosphaera cricota,Umbilicosphaera jafari,Umbilicosphaera sibogae,Umbilicosphaera sp.,
317,U1354A,12,H,6,W,65,65,64.45 ,G,R,,,,,,,,,,,,,P,,,,,,,,,,P,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
317,U1354A,12,H,CC,,,,64.90 ,M,F,NN19,,,,,,,,,,,,F,F,R,,,,,R,,,,P,,,,,,,,,,,F,,,,,,F,,,,,,,,,,,,P,F,F,,,,,,R,,P,,,,C,,,,,,,,,,,P,,,,     ,,P,
317,U1354A,13,H,CC,,,,73.44 ,G,F,NN19,P,,R,,,,,,,,,,,,,,,,,P,,,,,,P,,,,,,,,C,,,,,,R,,,,,,,,,,R,,R,C,,,P,,,,P,,P,,C,,C,F,,,,,,,,,,,,,,,,,
317,U1354A,14,H,CC,,,,75.41 ,G,C,NN19,,,R,,,,,,,,,R,,,,,,,,,,,,P,P,,,,,,,,,C,,,,,,F,,,,,,,,,,R,,P,,,,,,,,R,,P,,,F,C,F,,,,,,,,,P,,,F,,,P,,
317,U1354A,15,H,CC,,,,76.20 ,G,F,NN19,,,R,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,F,,,,,,,R,,,,,F,,F,,,,,,,,,,,,F,,,,,
317,U1354A,17,H,CC,,,,80.16 ,P,F,NN19,,,,,,,,,,,,,,,,,,,,P,,,P,,,,,,,,,R,F,C,,,R,F,,R,,,,,,,,,,R,,,F,,,,,,,,,P,,,,C,F,,,,,,,,,,,P,R,,,,,
317,U1354A,18,H,CC,,,,80.33 ,P,F,NN19,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,F,,F,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,
317,U1354A,19,H,CC,,,,85.38 ,G,C,NN19,,,,,,,,,,P,,F,P,,,,,,,,P,,,,,,,,,,C,,F,C,,F,F,F,,F,,,,F,,,,,P,,,,R,,,F,,,P,P,,,,,F,C,F,,P,,P,,,,,,,,,,,,,
317,U1354B,1,H,CC,,,,4.06 ,G,F,NN21b,,,P,,,,,,,,,R,,,,,,,,,,,P,,,,,F,P,F,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,P,F,,,,,,,,,,,,,P,,,,,
317,U1354B,2,H,3,W,0,1,7.10 ,G,C,NN21a,,,R,,P,,,,,,,R,R,,,R,,,,,,,,,,,,C,,C,,,,,,A,R,,R,F,,,,,,,,,,,,,,,,,,,, , , ,,,F,C,F,P,,,,,,,,,,,,,,,,
