Exp,Site,Hole,Core,Type,Section,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone,Abundance,Preservation,E. huxleyi,P. lacunosa,Gephyrocapsa (medium),Gephyrocapsa (large),Gephyrocapsa (small),C. pelagicus,Dictyococcites spp. (small),Dictyococcites spp. (medium),R. minutula,R. minuta,C. leptoporus,C. leptoporus (small),Comments,A/W,Sample,eodp_id
323,U1344,D,18,H,CC,31,41,164.29,164.39,,B,,,,,,,,,,,,,,,,323-U1344D-18H-CC,9cdc7e32360aa1a4f75966481557bbd8
323,U1344,D,19,H,CC,33,43,174.31,174.41,,R,M,,,,,,R,,,,,,,,,323-U1344D-19H-CC,398026a7bdcd1f668a59830c9994e4b3
323,U1344,D,20,H,CC,38,48,182.98,183.08,,R,M,,,R,,R,R,,,,,,,,,323-U1344D-20H-CC,b0a83344427288b43d7f18655cb6836c
323,U1344,D,21,H,CC,23,33,192.83,192.93,,B,,,,,,,,,,,,,,"Authigenic minerals, acicular shape, low birrefringence",,323-U1344D-21H-CC,7c950c429a78890349d8566e50e97f2d
323,U1344,D,22,H,CC,11,21,201.79,201.89,,F,M-G,,,R,,R,,,,,,,,Gephyrocapsids are G. caribbeanica type,,323-U1344D-22H-CC,a2aa322e983781d5ed8d271165e0282c
323,U1344,D,23,H,CC,19,29,211.14,211.24,,R,M,,,,,R,,,,,,,,,,323-U1344D-23H-CC,36d52164d00a9f0c059b5036e7887557
323,U1344,D,24,H,CC,0,10,221.05,221.15,,B,,,,,,,,,,,,,,,,323-U1344D-24H-CC,7962a90ddeb85a6496bbd3df50b97c3c
323,U1344,D,25,H,CC,36,46,224.41,224.51,,R,P,,,,,R,,,,,,,,,,323-U1344D-25H-CC,76236c698e6e8697f0be5926ce636a49
323,U1344,D,26,H,CC,43,53,233.99,234.09,,B,,,,,,,,,,,,,,,,323-U1344D-26H-CC,9169f687f284902347d66911cb25e74c
323,U1344,D,27,H,CC,22,32,240.62,240.72,,B,,,,,,,,,,,,,,"Authigenic minerals, acicular shape, low birrefringence",,323-U1344D-27H-CC,c1141bef18f02bf2066aeb524100dd6c
323,U1344,D,28,H,CC,54,64,248.28,248.38,,R,M-G,,,,,R,,,,,,,,,,323-U1344D-28H-CC,4e274059d569b6e17eca7feb209558a8
323,U1344,D,29,H,CC,39,49,258.31,258.41,,B,,,,,,,,,,,,,,,,323-U1344D-29H-CC,7c6658855caeb579de51e8a696850f46
323,U1344,D,30,H,CC,34,44,267.3,267.4,,B,,,,,,,,,,,,,,,,323-U1344D-30H-CC,3767b58e2d220e029f3ec9a7689e8f04
323,U1344,D,31,H,CC,17,27,277.86,277.96,,B,,,,,,,,,,,,,,,,323-U1344D-31H-CC,983b9f036bbdef01c534f9e58a99adee
323,U1344,D,32,H,CC,7,17,286.17,286.27,,R,M-G,,,,,,,R,,,,,,,,323-U1344D-32H-CC,7948c5ea3158ffdfe87620031d2701eb
