Exp,Site,Hole,Core,Type,Section,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Preservation,Abundance,Globigerina bulloides,Globigerina umbilicata,Neogloboquadrina pachyderma (dex),Neogloboquadrina pachyderma (sin),Comments,A/W
323,U1344,A,47,X,CC,26,36,442.92,443.02,P,R,P,,P,,"dominant IRD, pyrite, mica",
323,U1344,A,48,X,CC,0,10,451.59,451.69,,B,,,,,"dominant IRD, pyrite, mica",
323,U1344,A,49,X,CC,65,75,461.75,461.85,M,P,,,P,P,"dominant IRD, pyrite, mica",
323,U1344,A,50,X,CC,11,21,473.39,473.49,,B,,,,,"dominant IRD, pyrite, mica",
323,U1344,A,51,X,CC,32,42,482.57,482.67,,B,,,,,"dominant IRD, pyrite, mica",
323,U1344,A,52,X,CC,38,48,493.1,493.2,M,P,P,,P,,"dominant IRD, pyrite, mica",
323,U1344,A,53,X,CC,33,43,502.03,502.13,,B,,,,,"dominant IRD, pyrite, mica",
323,U1344,A,54,X,CC,29,39,511.86,511.96,M,P,P,,,P,"dominant IRD, pyrite, mica",
323,U1344,A,55,X,CC,36,46,521.7,521.8,P,R,R,,,,"dominant IRD, pyrite, mica",
323,U1344,A,56,X,CC,25,35,530.21,530.31,M,F,F,,P,,"dominant IRD, pyrite, mica",
323,U1344,A,57,X,CC,25,35,540.18,540.28,M,R,P,,P,,"dominant IRD, pyrite, mica",
323,U1344,A,58,X,CC,37,47,549.47,549.57,M,R,R,,R,,"few IRD, pyrite, mica",
323,U1344,A,59,X,CC,31,41,558.69,558.79,,B,,,,,"few IRD, pyrite, mica",
323,U1344,A,60,X,CC,15,25,567.32,567.42,M,P,,,P,,"dominant IRD, pyrite, mica",
323,U1344,A,61,X,CC,19,29,578.8,578.9,,B,,,,,"dominant IRD, pyrite, mica",
323,U1344,A,62,X,CC,30,40,587.51,587.61,G,F,F,,F,,"abundant IRD, pyrite, mica",
323,U1344,A,63,X,CC,26,36,596.19,596.29,P,P,P,,,P,"dominant IRD, pyrite, yellow foraminiferal tests",
323,U1344,A,64,X,CC,29,39,607.63,607.73,G,R,R,,R,P,"dominant IRD, pyrite, mica",
323,U1344,A,65,X,CC,32,42,617.98,618.08,,B,,,,,"dominant IRD, pyrite, mica",
323,U1344,A,68,X,CC,37,47,645.9,646,M,R,P,,,R,"dominant IRD, pyrite, mica",
323,U1344,A,69,X,CC,26,36,647.16,647.26,M,P,,,,P,"dominant IRD, pyrite, yellow foraminiferal tests",
323,U1344,A,70,X,CC,28,38,666.35,666.45,,B,,,,,"dominant IRD, pyrite, yellow foraminiferal tests",
323,U1344,A,71,X,CC,27,37,675.08,675.18,,B,,,,,"dominant IRD, pyrite, mica",
323,U1344,A,72,X,CC,23,33,683.45,683.55,,B,,,,,"dominant IRD, pyrite, mica",
323,U1344,A,73,X,CC,45,55,694.6,694.7,,B,,,,,"dominant IRD, pyrite, yellow foraminiferal tests, very lithified sediment lumps",
323,U1344,A,74,X,CC,23,33,703.59,703.69,,B,,,,,"dominant IRD, pyrite, mica",
323,U1344,A,75,X,CC,32,42,713.25,713.35,P,P,,,,P,"dominant IRD, pyrite, mica, very lithified sediment lumps",
323,U1344,A,76,X,CC,23,33,723.01,723.11,M,P,P,,,,"dominant IRD, pyrite, mica, very lithified sediment lumps",
323,U1344,A,77,X,CC,36,46,733.03,733.13,,B,,,,,"dominant IRD, pyrite, mica",
323,U1344,A,78,X,CC,10,20,739.65,739.75,,B,,,,,"dominant IRD, pyrite",
323,U1344,A,79,X,CC,21,31,746.49,746.59,M,,R,,,,"dominant IRD, pyrite, yellow foraminiferal tests, very lithified sediment lumps",
