Exp,Site,Hole,Core,Type,Section,Secton Half,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Krithe sp.,Pseudocythere caudata,A/W,Sample,eodp_id
323,U1343,E,45,X,CC,,30,40,388.26,388.36,,,,323-U1343E-45X-CC,0a19fa43a023b088d69c64b046deff4d
323,U1343,E,46,X,CC,,13,23,398.57,398.67,,,,323-U1343E-46X-CC,c8328de63ee7a73ce45c3d4f59a29b28
323,U1343,E,47,X,CC,,27,37,405.99,406.09,,,,323-U1343E-47X-CC,6401f43e523c0c1824726f5be9face09
323,U1343,E,48,X,CC,,23,33,412.33,412.43,,,,323-U1343E-48X-CC,0a236635947e0b36a41d6907264a1159
323,U1343,E,49,X,CC,,24,34,418.44,418.54,,,,323-U1343E-49X-CC,eeeef876d16322ca94e7cb1af834697b
323,U1343,E,50,X,CC,,22,32,428.5,428.6,,,,323-U1343E-50X-CC,fb9b0129b1b98c8f50ed6bf3ab235f6b
323,U1343,E,51,X,CC,,14,24,435.85,435.95,,,,323-U1343E-51X-CC,42541a828c195a57c0a03b9033bcfdef
323,U1343,E,52,X,CC,,7,12,446.16,446.21,,,,323-U1343E-52X-CC,dd38d4b1519cc426f294ae8cfecc4169
323,U1343,E,53,X,CC,,11,21,455.88,455.98,,,,323-U1343E-53X-CC,083d528075c713194778043657e19a3d
323,U1343,E,54,X,CC,,34,44,463.39,463.49,,,,323-U1343E-54X-CC,dc95aa6df3e82e7f2e4261cabd41f369
323,U1343,E,55,X,CC,,32,42,475.6,475.7,,,,323-U1343E-55X-CC,4a7588bc227225f4b2d775720c45365b
323,U1343,E,56,X,CC,,78,88,482.57,482.67,,,,323-U1343E-56X-CC,4bfcb62e9619a5e83343432650f2680d
323,U1343,E,57,X,CC,,30,40,493.97,494.07,,,,323-U1343E-57X-CC,7696f9954dcf4a6bb3a9505d38540720
323,U1343,E,58,X,CC,,29,39,502.88,502.98,,,,323-U1343E-58X-CC,db340e4e07f48d959f21aa56adf2dba9
323,U1343,E,59,X,CC,,24,34,512.52,512.62,,,,323-U1343E-59X-CC,0ac75db9230a80df740e11006dd013c5
323,U1343,E,60,X,CC,,24,34,521.9,522,,,,323-U1343E-60X-CC,d5834607a740f4067771fc37373a407b
323,U1343,E,61,X,CC,,59,69,532.41,532.51,,,,323-U1343E-61X-CC,ebc68c234947ff3e88194ad34a38afa5
323,U1343,E,62,X,CC,,48,58,541.78,541.88,,,,323-U1343E-62X-CC,aabfac8829055a5033ab49cbd4865776
323,U1343,E,63,X,CC,,35,45,550.54,550.64,,,,323-U1343E-63X-CC,2706b8108ad940b4512fc3b1c9ed0b9d
323,U1343,E,64,X,CC,,30,40,561.05,561.15,,,,323-U1343E-64X-CC,ba2049424aaab947e84a0a62001f1523
323,U1343,E,65,X,CC,,36,46,568.77,568.87,,,,323-U1343E-65X-CC,e97aa7f58d413c3fe4eae6197b5e9a79
323,U1343,E,66,X,CC,,20,30,581.04,581.14,,,,323-U1343E-66X-CC,493d180c9e7f52e4b71b6d8ba227d387
323,U1343,E,67,X,CC,,23,33,588.5,588.6,,,,323-U1343E-67X-CC,d0258f8858e22726c525852888212ad6
323,U1343,E,68,X,CC,,56,66,599.26,599.36,,,,323-U1343E-68X-CC,18f770d099cb842c278779c4fb2ea1ca
323,U1343,E,69,X,CC,,42,52,606.84,606.94,,,,323-U1343E-69X-CC,6cc32d54368a3ab5e91f1802c8312eed
323,U1343,E,70,X,CC,,29,39,617.9,618,,,,323-U1343E-70X-CC,bb3bd994d8cda92fb15a180ca3be3b5a
323,U1343,E,71,X,CC,,31,41,628.16,628.26,,,,323-U1343E-71X-CC,acbc2922e6f9aa398ad2dc30702e7190
323,U1343,E,72,X,CC,,17,27,634.44,634.54,,,,323-U1343E-72X-CC,d24f004aa9d11eee6dd2a4d05bcf8c88
323,U1343,E,73,X,CC,,45,55,643.79,643.89,,,,323-U1343E-73X-CC,cb83e9f66c4a264001dd1f7982c1b212
323,U1343,E,74,X,CC,,35,45,657.41,657.51,,,,323-U1343E-74X-CC,e19b23e9dfe1c7b679b597a906a01d57
323,U1343,E,75,X,CC,,54,64,667.09,667.19,,,,323-U1343E-75X-CC,2d77301969fff513900e3631aafd7087
323,U1343,E,76,X,CC,,32,42,674.96,675.06,,,,323-U1343E-76X-CC,0265208e8f2a60fd1fad36852baf5b5a
323,U1343,E,77,X,CC,,11,21,686.37,686.47,,,,323-U1343E-77X-CC,468ff81c3c514389034fd880d45324e4
323,U1343,E,78,X,CC,,17,27,695.2,695.3,,,,323-U1343E-78X-CC,2139e58d7edcd265f84ac3ae20e9e837
323,U1343,E,79,X,CC,,19,29,705.72,705.82,,,,323-U1343E-79X-CC,9bb049c23ddcfd36489e3b03753b740f
323,U1343,E,80,X,CC,,14,24,713.8,713.9,,,,323-U1343E-80X-CC,fc16302d755e7278599b0be565f695a6
323,U1343,E,81,X,CC,,36,46,724.96,725.06,,,,323-U1343E-81X-CC,3282d5fabc3a60d12851ecfc2382f6f1
323,U1343,E,82,X,CC,,23,33,734.41,734.51,,,,323-U1343E-82X-CC,a1971b82aae68a28b8d2dacf29101e2f
323,U1343,E,82,X,6,W,0,100,732.5,733.5,,,,323-U1343E-82X-6,c810576c6451d0d637fc40561557bb56
323,U1343,E,83,X,CC,,30,40,743.9,744,,,,323-U1343E-83X-CC,75c4c32bca61ae3cd51493f576ffefaa
