Exp,Hole,Core,Type,Section,Top Depth [m],Foraminiferal preservation,Foraminiferal abundance,Planktic foraminiferal %,Globigerina spp.,Globigerina bulloides,Globigerina falconensis,Globigerinella aequilateralis,Globigerinita glutinata,Globigerinopsis obesa,Globoconella inflata,Globoconella puncticuloides,Hirsutella scitula,Neogloboquadrina dutertrei,Neogloboquadrina incompta,Neogloboquadrina pachyderma,Orbulina universa,Turborotalita sp.,Turborotalita quinqueloba,Truncorotalia truncatulinoides,Zeaglobierina woodi,Bryozoa fragments,Echinoid plate fragments,Echinoid spines,Fish teeth,Ostracods,Otoliths,Radiolarians,Sponge spicules,Shell fragments,Micro mollusks,Comments,Site,Top [cm],Bottom [cm],Bottom Depth [m],A/W,Sample,eodp_id
317,B,31,X,CC,161.67,G,C,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,No planktics,U1353,,,,,317-U1353B-31X-CC-nan,663d29a9dc031bca680a67afe64f16db
317,B,32,X,CC,164.10,G,A,<1,X,,,,,,,,,,,,,,,,,,F,,,F,,,,A,,,U1353,,,,,317-U1353B-32X-CC-nan,81313a75b0cb61d98ea82800e5cb2af0
317,B,33,H,CC,177.00,G,C,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,No planktics,U1353,,,,,317-U1353B-33H-CC-nan,4d4bebfe017079a9db7055ac28ef7b3b
317,B,34,H,CC,181.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Caved,U1353,,,,,317-U1353B-34H-CC-nan,38fe6f2b6912880716761ae70c4a2c62
317,B,35,H,CC,182.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Caved,U1353,,,,,317-U1353B-35H-CC-nan,22f2e964b4a65416386b72d08372306c
317,B,36,H,CC,187.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Caved,U1353,,,,,317-U1353B-36H-CC-nan,a6bc6120db606595808284fc37b05f7b
317,B,37,H,CC,190.06,G,C,,,,,,,,,,,,,,,,,,,,F,,,F,,,,,,No planktics,U1353,,,,,317-U1353B-37H-CC-nan,c03d548c8478ecefb77851fc1335bd3d
317,B,38,H,CC,192.96,G,A,,,,,,,,,,,,,,,,,,,R,,,R,F,R,,,F,,No planktics,U1353,,,,,317-U1353B-38H-CC-nan,35ed3c5ccfaca7f8bc55496f4ef8c5c0
317,B,39,H,CC,196.38,G,A,,,,,,,,,,,,,,,,,,,,,,,F,,,,A,,No planktics,U1353,,,,,317-U1353B-39H-CC-nan,0d19b85fd3d8b9a5bb66f482466df21c
317,B,40,H,CC,201.40,G,C,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,No planktics,U1353,,,,,317-U1353B-40H-CC-nan,a4819b2091fae646d120708487a1bf16
