"Expedition, site, hole, core, section, interval (cm):",Bottom Depth [m],Top Depth [m],Age:,Globoconella inflata,Globoconella puncticuloides,Globoconella puncticuloides (compressed),Globoconella triangula,Globoconella triangula (cf.),Truncorotalia crassacarina (S),Truncorotalia crassacarina (D),Truncorotalia crassula (S),Truncorotalia crassula (D),Truncorotalia viola (S),Truncorotalia viola (D),Truncorotalia truncatulinoides (S),Truncorotalia truncatulinoides (D),Hirsutella hirsuta (D),Hirsutella scitula,Hirsutella theyeri,Globigerina bulloides,Globigerina falconensis,Globigerina sp.,Turborotalita quinqueloba,Globigerinella aequilateralis,Globigerinella calida,Globigerinopsis obesa,Globigerinita glutinata,Neogloboquadrina dutertrei (S),Neogloboquadrina dutertrei (D),Neogloboquadrina incompta,Neogloboquadrina pachyderma,Globigerinoides conglobatus,Globigerinoides pyramidalis,Globigerinoides quadrilobatus,Globigerinoides ruber,Globigerinoides rubescens,Globigerinoides sacculifer,Globigerinoides trilobus,Orbulina bilobata,Orbulina universa,Globorotalia tumida,Pulleniatina obliquiloculata,Pulleniatina praecursor,Pulleniatina primalis,Globoconella miotumida,Globoquadrina dehiscens,Hirsutella panda,Paragloborotalia mayeri s.l.,Paragloborotalia partimlabiata,Truncorotalia crassaformis (S),Truncorotalia crassaformis (D),Zeaglobigerina apertura,Zeaglobigerina woodi,Zeaglobigerina sp.,Sample,Top [cm],Bottom [cm],Exp,Site,Hole,Core,Type,Section,A/W,eodp_id
"372-U1517C-24F-CC, 47-52",136.51,136.46,,A,,,,,1,,1,,,,57,2,,R,,A,F,C,F,,,,F,,R,A,,,,,R,,,,R,C,,,,,,,,,,,,,,,372-U1517C-24F-CC,47,52,372,U1517,C,24,F,CC,,f58366a799fa3eda3a552e979b8c4cc7
"372-U1517C-25F-CC, 38-43",140.76,140.71,,A,,,,R,?,,,,15,,26,19,,F,,A,F,C,F,R,,,F,,F,C,R,,,F,C,F,,,R,F,,R,,,,,,,,,,,,,372-U1517C-25F-CC,38,43,372,U1517,C,25,F,CC,,624acdd7d9d523ec76a6478c82176b3a
"372-U1517C-26F-CC, 12-17",144.96,144.91,,A,,,,,,,,,,,48,1,,F,,A,F,C,F,R,,,F,R,F,A,,,,,R,,,,,F,,,,,(R),,,,,,,,,,372-U1517C-26F-CC,12,17,372,U1517,C,26,F,CC,,833446b3d41f2b4e8edacfb4d275bd89
"372-U1517C-27F-CC, 37-42",150.1,150.05,,A,,,,,,?,,,,,28,,,R,,A,F,F,F,,,,F,,F,A,F,,,,F,,,,,F,,,,,,,,,,,,,(R),(F),372-U1517C-27F-CC,37,42,372,U1517,C,27,F,CC,,5a8c5f77663f118b47aea0ae047563b8
"372-U1517C-28F-CC, 29-34",154.8,154.75,,A,,,,,,,,,,,58,2,,F,,A,F,F,F,R,,?,F,R,F,A,,,R,,F,,,,R,C,,,,,(R),,,,,,,,,,372-U1517C-28F-CC,29,34,372,U1517,C,28,F,CC,,4bbf24eb8d36eee2529d342da17f002f
"372-U1517C-29F-CC, 16-21",159.3,159.25,,A,,,,,,,,,,,44,6,,F,,A,F,F,C,R,,R,F,,F,A,R,,,,F,,,,F,C,,,,,,,,,,,,,,,372-U1517C-29F-CC,16,21,372,U1517,C,29,F,CC,,60ff749a6d52c9463929b9607ea23be5
"372-U1517C-30F-CC, 7-12",159.97,159.92,,R,,,,,,,,,,,3,,,,,,R,,,,,,,,,,,,,,,,,,R,R,,,,,,,,,,,,,,,372-U1517C-30F-CC,7,12,372,U1517,C,30,F,CC,,7433c0b9a99c0755e608bf44e4b64da3
"372-U1517C-31F-CC, 12-17",163.78,163.73,,A,,,,,,,,,,,32,,,F,,C,A,C,R,,,,R,,R,A,R,,,,R,,,,,F,,,,,,,,,,,,,,(R),372-U1517C-31F-CC,12,17,372,U1517,C,31,F,CC,,8769372b3442b1143afafa1437b89a23
"372-U1517C-32F-CC, 6-11",167.18,167.13,,A,R,,,,22,,3,,2,,36,3,,F,,C,F,C,F,,,,C,,R,A,R,,,,F,,,,R,C,,,,,,,,,,,,,,(R),372-U1517C-32F-CC,6,11,372,U1517,C,32,F,CC,,41e36c8ab27cd6ad6c7be7d4e5abdcd0
"372-U1517C-33F-CC, 11-16",173.04,172.99,,C,,,,,2,,,,,,3,,,,,F,,C,,,,,C,,,C,F,,,,,,,,,R,,,,,(R),,,,,,(R),,(F),(F),372-U1517C-33F-CC,11,16,372,U1517,C,33,F,CC,,d1f8e461a89f6ed4b118bc3f6f97ee46
"372-U1517C-34F-CC, 25-30",174.7,174.65,,A,,,,,10,1,,,,,49,5,,F,,A,C,C,F,R,,,F,R,,A,,,,,F,,,,,F,,,,,,,,,,,,,,,372-U1517C-34F-CC,25,30,372,U1517,C,34,F,CC,,5160cab95a0ed2fae84e0e3fa920fd50
"372-U1517C-36F-CC, 15-20",187.58,187.53,,C,,,,,,,,,,,,,,,,F,R,F,,,,,,,,C,,,,,,?,,,,,,,,,,,,,,,,,,,372-U1517C-36F-CC,15,20,372,U1517,C,36,F,CC,,7e61b893e4c82adf9c7f1b3a6f1d71d4
