Exp,Site,Hole,"Core, Section",Top Depth [m],Bottom Depth [m],Abundance,Preservation,Bachmannocena apiculata,Corbisema cf. hastata cunicula,Dictyocha subarctios,Distephanus boliviensis,Distephanus jimlingii,Distephanus medianoctisol,Distephanus medianoctisol with short radial spines,Distephanus octangulatus,Distephanus octonarius,Distephanus quinquangellus,Distephanus speculum,Distephanus speculum with short radial spine,Aberrant silicoflagellates,Unnamed: 21,Core,Section,Type,Top [cm],Bottom [cm],A/W,Sample,eodp_id
323,U1341,A,17H-CC,155.53,155.63,A,G,,,,,,R,,,C,,C,C,T,Dc. subarctios,17,CC,H,,,,323-U1341A-17H-CC,d137c7bc066308cad9694599456987db
323,U1341,A,18H-CC,164.92,165.02,T,P,,,,,,,,,,,T,,,Dc. subarctios,18,CC,H,,,,323-U1341A-18H-CC,584a355520403f0a0e3d8c826099f681
323,U1341,A,19H-CC,174.39,174.49,C,G,,,,,,F,F,,R,,F,F,R,Dc. subarctios,19,CC,H,,,,323-U1341A-19H-CC,94ad669acb7adce772b37a246987d583
323,U1341,A,20H-CC,183.82,183.92,F,G,,,,T,,,R,,,,,R,,Dc. subarctios,20,CC,H,,,,323-U1341A-20H-CC,727518c3973f3731647ba5e613f8bfc4
323,U1341,A,25H-CC,231.33,231.43,R,M,,,,,,,,,,,R,,,Dc. subarctios,25,CC,H,,,,323-U1341A-25H-CC,683f33be98177f7b0c264b50dfc77bce
323,U1341,A,26H-CC,233.11,233.21,F,G,,,,,,,,,,,R,R,,Dc. subarctios,26,CC,H,,,,323-U1341A-26H-CC,7c101870c0ab079c3afcebc225ff7c61
323,U1341,A,27H-CC,241.40,241.50,A,G,,,,,,,,,,,A,C,T,Am. rectangulare,27,CC,H,,,,323-U1341A-27H-CC,ce02167c0ce0692ebc0a885b4dee0391
323,U1341,A,28H-CC,252.44,252.54,C,G,,,,,,,,,,,C,T,T,Am. rectangulare,28,CC,H,,,,323-U1341A-28H-CC,21245393e6b4e845f72e8994de7a6010
323,U1341,A,29H-CC,262.14,262.24,C,G,,,,,,R,,,,T,F,R,T,Am. rectangulare,29,CC,H,,,,323-U1341A-29H-CC,2a505d7147d3a0a347810aa689defed6
323,U1341,A,30H-CC,271.72,271.82,A,G,,,,,,R,R,,F,,F,C,T,Am. rectangulare,30,CC,H,,,,323-U1341A-30H-CC,97607c8ee87dca9eaaa9fc0a18f7a83b
323,U1341,A,34H-CC,309.42,309.52,C,G,,,,,,,,,,,F,C,,Am. rectangulare,34,CC,H,,,,323-U1341A-34H-CC,c98ca5120fbbf8488c715a88cda9600f
323,U1341,A,35H-CC,318.92,319.02,F,G,,,,,,R,,,,,F,T,,Am. rectangulare,35,CC,H,,,,323-U1341A-35H-CC,bb2e8e8c75355e67ba935842a5317bf9
323,U1341,A,36H-CC,328.09,328.19,A,G,,,,,,A,C,,R,,R,,R,Am. rectangulare,36,CC,H,,,,323-U1341A-36H-CC,2369c8cb42e37fe391a7c0aba75ff6f2
323,U1341,A,37H-CC,332.71,332.81,A,G,,,,,,A,R,,R,,F,T,T,Ebr. antiqua antiqua,37,CC,H,,,,323-U1341A-37H-CC,45789b060da64020adbc0ad471e94110
323,U1341,A,38H-CC,342.16,342.26,F,G,,,,,T,R,,,T,,R,R,T,Ds. jimlingii,38,CC,H,,,,323-U1341A-38H-CC,762e9e7ab3850f26d426c41d47749797
323,U1341,A,39H-CC,351.93,352.03,C,G,,,,,T,F,,,,,F,R,T,Ds. jimlingii,39,CC,H,,,,323-U1341A-39H-CC,688aef4adc228a44e1ef292d849c327c
323,U1341,A,40H-CC,356.68,356.78,A,G,,,,T,F,A,,,R,,C,R,R,Ds. jimlingii,40,CC,H,,,,323-U1341A-40H-CC,f55eeb5e95a74d13394519fed96f6351
323,U1341,A,41H-CC,359.02,359.12,A,G,,,,,F,C,T,,,,C,,,Ds. jimlingii,41,CC,H,,,,323-U1341A-41H-CC,a3e5d98a07beaf5a99141848aae320b0
