Exp,Site,Hole,Core,Section,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Preservation,Abundance,Alabaminella weddellensis,Brizalina earlandi,Brizalina cf. spathula,Bulimina aff. exilis,Bulimina sp.,Cassidulinoides tenuis,Cibicidoides sp.,Cibicidoides cf. subhaidingerii,Dentalina sp.,Eggerella bradyi,Elphidium cf. batialis,Epistominella pulchella,Fissurina sp,Fursenkoina sp.,Glandulina sp.,Globobulimina auriculata,Globobulimina pacifica,Globocassidulina sp.,Gyroidinoides soldanii,Hormosinella guttifera,Islandiella norcrossi,Lagena spp.,Lenticulina sp.,Martinotiella communis,Melonis barleanum,Melonis pompilioides,Nodosaria spp.,Nodosaria aff. pyrula,Nonionella labradorica,Nonionella turgida,Nonionella turgida digitata,Nothia robusta,Oridorsalis umbonatus,Procerolagena cf. gracillima,Pullenia sp.,Pullenia bulloides,Pygmaeseistron cf. hispida,Pyrgo sp.,Rhabdammina sp.,Robertina sp.,Saccammina sp.,Sphaeroidina bulloides,Stainforthia aff. fusiformis,Triloculina sp.,Triloculina cf. trihedra,Uvigerina cf. peregrina,Uvigerina auberiana,Valvulineria sp.,IRD,Other observations,,,,,,Type,A/W,Sample
323,U1341,A,18,CC,,,164.92,165.02,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,Wood fragments,,,,,,H,,323-U1341A-18H-CC-nan
323,U1341,A,19,CC,,,174.39,174.49,G,F,,P,,F,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,A,Few sponge spicules,,,,,,H,,323-U1341A-19H-CC-nan
323,U1341,A,20,CC,,,183.82,183.92,M,R,,P,,,,,,,,R,,,,,R,,R,P,,,P,,,,,,,,,,,,,,,R,,,,,,,,,,,,,A,Few sponge spicules,,,,,,H,,323-U1341A-20H-CC-nan
323,U1341,A,21,CC,,,193.25,193.35,G,F,,P,,,,,,P,,F,,,,,,,,,P,,,P,,,P,,,,,,,,,,,,,,,,,,,,,,,,A,Few sponge spicules,,,,,,H,,323-U1341A-21H-CC-nan
323,U1341,A,22,CC,,,203.03,203.13,M,R,,,,,R,,,,,R,,,,,,,,,P,,,,,,,,,,,P,,,,,,P,,,,,,,,,,,,,A,Few sponge spicules,,,,,,H,,323-U1341A-22H-CC-nan
323,U1341,A,23,CC,,,212.53,212.63,M,P,,,,,,P,,,,,,,,P,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,A,Few sponge spicules,,,,,,H,,323-U1341A-23H-CC-nan
323,U1341,A,24,CC,,,221.34,221.44,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,Abundnat sponge spicules,,,,,,H,,323-U1341A-24H-CC-nan
323,U1341,A,25,CC,,,231.33,231.43,M,F,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,R,Abundnat sponge spicules,,,,,,H,,323-U1341A-25H-CC-nan
323,U1341,A,26,CC,,,233.11,233.21,M,P,,,,,,,,,,P,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,M,Few sponge spicules,,,,,,H,,323-U1341A-26H-CC-nan
323,U1341,A,27,CC,,,241.4,241.5,G,R,F,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,P,,,,,,,,,,,,,R,Few sponge spicules,,,,,,H,,323-U1341A-27H-CC-nan
323,U1341,A,28,CC,,,252.44,252.54,G,F,,,,,,,,,P,P,,,,,P,P,P,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,F,,M,,,,,,,H,,323-U1341A-28H-CC-nan
323,U1341,A,29,CC,,,262.14,262.24,G,R,,,,,,,,,,,,,,,,,,,,,P,,,,,,R,P,,,,,,,,,,,,,,,,,,,,,M,,,,,,,H,,323-U1341A-29H-CC-nan
323,U1341,A,30,CC,,,271.72,271.82,G,F,,,,,F,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,M,Few sponge spicules,,,,,,H,,323-U1341A-30H-CC-nan
323,U1341,A,31,CC,,,281.2,281.3,G,P,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,Clumped spicules,,,,,,H,,323-U1341A-31H-CC-nan
323,U1341,A,32,CC,,,290.51,290.61,G,P,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,Pyrite,,,,,,H,,323-U1341A-32H-CC-nan
323,U1341,A,33,CC,,,300.09,300.19,G,R,,,,,,,,,,P,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,R,Clumped spicules,,,,,,H,,323-U1341A-33H-CC-nan
323,U1341,A,34,CC,,,309.42,309.52,M,P,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,"Sponge spicules, pyrite",,,,,,H,,323-U1341A-34H-CC-nan
323,U1341,A,35,CC,,,318.92,319.02,G,F,,,,,,,,,,P,,,,,,,P,,P,,,,,,R,,P,,,,,,,P,,R,,R,,,,,,R,,,,,H,"Dolomite, pyrite",,,,,,H,,323-U1341A-35H-CC-nan
323,U1341,A,36,CC,,,328.09,328.19,G,R,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,D,"Few sponge spicules, rare pyrite",,,,,,H,,323-U1341A-36H-CC-nan
323,U1341,A,37,CC,,,332.71,332.81,M,F,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,F,,R,,,,,,,,F,Pumice,,,,,,H,,323-U1341A-37H-CC-nan
323,U1341,A,38,CC,,,342.16,342.26,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,Rare pyrite,,,,,,H,,323-U1341A-38H-CC-nan
323,U1341,A,39,CC,,,351.93,352.03,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,Large IRD,,,,,,H,,323-U1341A-39H-CC-nan
323,U1341,A,40,CC,,,356.68,356.78,M,P,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,Clumped sponge spicules,,,,,,H,,323-U1341A-40H-CC-nan
323,U1341,A,41,CC,,,359.02,359.12,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,Clumped sponge spicules,,,,,,H,,323-U1341A-41H-CC-nan
