Exp,Site,Hole,Core,Type,Section,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Preservation,Abundance,Brizalina earlandi,Brizalina cf. spathula,Bulimina aff. exilis,Cassidulina sp.,Cassidulina laevigata var. carinata,Cassidulinoides tenuis,Cibicidoides sp.,Cibicidoides cf. subhaidingerii,Cribrostomoides subglobosus,Eggerella bradyi,Elphidium cf. batialis,Epistominella pulchella,Fissurina sp,Glandulina sp.,Globobulimina auriculata,Globobulimina pacifica,Globocassidulina sp.,Gyroidinoides soldanii,Islandiella norcrossi,Lagena spp.,Lenticulina sp.,Nodosaria spp.,Nonionella labradorica,Nonionella turgida digitata,Procerolagena cf. gracillima,Pullenia sp.,Pyrgo sp.,Rhabdammina sp.,Triloculina sp.,Triloculina cf. trihedra,Uvigerina cf. peregrina,Uvigerina auberiana,Valvulineria sp.,Comments,A/W,Sample,eodp_id
323,U1343,C,10,H,CC,30,40,87.58,87.68,G,F,,,R,,,P,,,,,F,,,,,R,,,,,,,,,,,,,,,P,F,,MICA,,323-U1343C-10H-CC-nan,1c87081939a2214b549614c2a40ebcb7
323,U1343,C,11,H,CC,26,36,97.44,97.54,G,A,,,F,,,P,,,,,F,,,,,R,,P,P,,,,,,,,,,,,,A,P,"PYRITE TUBES, MICA",,323-U1343C-11H-CC-nan,8bf5e5ebfc833a9b338ec413ca75118f
323,U1343,C,12,H,CC,27,37,106.58,106.68,M,A,,,F,,,,,,,,A,,P,,,P,,P,R,,,,,,,,,,,,R,P,P,"MICA, PYRITE",,323-U1343C-12H-CC-nan,765f1a9a6bceddfe490256bbc9d285cf
323,U1343,C,13,H,CC,38,48,116,116.1,M,F,,,R,,,R,,,,,,,,,,P,,,P,,,,,,,P,,,,,,,,"PYRITE TUBES, MICA",,323-U1343C-13H-CC-nan,0e23666f43e952dafa98f7f1a96eac86
323,U1343,C,14,H,CC,33,43,124.55,124.65,G,A,,,R,,,R,,,,,A,,P,,,,,,R,,,,,,,,,,,,R,,,PYRITE,,323-U1343C-14H-CC-nan,a36bbc8baba4df3178979a6ec8ad91c3
323,U1343,C,15,H,CC,29,39,134.94,135.04,G,D,,,A,,,F,,,,,,P,,,,F,,,,,,P,A,,,,,,,,,,,ORANGE PLANK,,323-U1343C-15H-CC-nan,669e06d80dffa8f261ea158ab32327b0
323,U1343,C,17,H,CC,27,37,153.3,153.4,G,R,,,,,,,,,,,,,,,,P,,,,,,,P,,,,,,P,,R,,,"PYRITE TUBES, MICA",,323-U1343C-17H-CC-nan,cfa3512d0eb1e745f1d96c2adcfc6935
323,U1343,C,18,H,CC,63,73,163.05,163.15,G,A,,,R,R,,,,,,,A,,,P,,,,,A,,,,R,,,,,,,,,,,"MICA, PYRITE, DIATOMS",,323-U1343C-18H-CC-nan,d879948acbafe89e3f0bfdfe037d8dfb
323,U1343,C,19,H,CC,32,42,171.89,171.99,G,F,,,F,,R,,,,,,R,,,,,,,,P,,P,P,R,,,,,,,,,,,"PYRITE TUBES, MICA",,323-U1343C-19H-CC-nan,b0ad1e540f167f68bdee845d4381e53e
323,U1343,C,20,H,CC,74,84,182.11,182.21,G,A,,,A,,,,,P,,,,P,,,,R,,,A,,,,R,,,,,,,,F,,,"MICA, PYRITE",,323-U1343C-20H-CC-nan,275136a6448af2265d6a9bf17b6aa05e
323,U1343,C,21,H,CC,18,28,192.05,192.15,G,F,,,F,,,,,,,,F,P,,,,,,,,,,,R,,,,,,,,,,,"MICA, PYRITE",,323-U1343C-21H-CC-nan,b15d18c2ec02e3cb816ddeb743874bd6
323,U1343,C,22,H,CC,33,43,196.06,196.16,M,F,,,P,,,P,P,,,,F,,,,,P,,,R,,,,,,,,,,,,,,,"MICA, WOOD, PYRITE",,323-U1343C-22H-CC-nan,bbb4b6f1595be4d9b28fc23d15798ea2
323,U1343,C,23,H,CC,16,26,205.35,205.45,M,D,,,R,,,A,,,,,D,,,,,A,,,P,,P,,F,,,,,,,,,,,PYRITE TUBES,,323-U1343C-23H-CC-nan,6945505fce6b373508302a8892d8f10f
323,U1343,C,24,H,CC,33,43,215.44,215.54,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"PYRITE, MICA",,323-U1343C-24H-CC-nan,e4dab7633e9f1b867b3c60a4d6ab887e
323,U1343,C,25,H,CC,31,41,224.67,224.77,M,F,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,P,,,pyrite,,323-U1343C-25H-CC-nan,5745ee1c7f1b05ac6ee761006687b440
323,U1343,C,26,H,CC,21,31,234.62,234.72,M,R,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,pyrite tubes,,323-U1343C-26H-CC-nan,80eb33b9f2e816ee84e2cebb376a2042
323,U1343,D,1,H,1,0,0,0,0,G,A,F,P,A,,,,,,,,,,,,P,,,,,P,,,R,A,R,,,P,,,,,,,,323-U1343D-1H-1-nan,2f2d51ec42839ae000a3ca61c426a0a6
323,U1343,D,1,H,CC,4,14,8.43,8.53,G,F,P,,R,,,,,,,,F,,,,,F,,,F,P,,,,,P,,P,,,,,F,R,Large pumice fragment 1 cm.,,323-U1343D-1H-CC-nan,72848a1c345bde3dc8e9aadb86a3b7e6
