Exp,Hole,"Core, section, interval (cm)",Top Depth [m],Preservation,Abundance,Amaurolithus delicatus,Amaurolithus primus,Amaurolithus tricorniculatus,Calcidiscus leptoporus,Calcidiscus macintyrei,Calcidiscus premacintyrei,Calcidiscus tropicus,Catinaster coalitus,Ceratolithus acutus,Ceratolithus cristatus,Ceratolithus rugosus,Ceratolithus telesmus,Clausicoccus fenestratus,Coccolithus miopelagicus,Coccolithus pelagicus,Coronocyclus nitescens,Coronocyclus nitescens (ellipical),Cyclicargolithus abisectus,Cyclicargolithus floridanus,Dictyococcites antarcticus,Dictyococcites (<3 µm),Discoaster altus,Discoaster asymmetricus,Discoaster bellus,Discoaster berggrenii,Discoaster bollii,Discoaster braarudii,Discoaster brouweri,Discoaster calcaris,Discoaster challengeri,Discoaster deflandrei,Discoaster druggii,Discoaster exilis,Discoaster hamatus,Discoaster kugleri,Discoaster neohamatus,Discoaster pentaradiatus,Discoaster petaliformis,Discoaster prepentaradiatus,Discoaster quinqueramus,Discoaster signus,Discoaster surculus,Discoaster tamalis,Discoaster triradiatus,Discoaster variabilis,Emiliania huxleyi,Gephyrocapsa caribbeanica,Gephyrocapsa ericsonii,Gephyrocapsa oceanica,Gephyrocapsa omega,Gephyrocapsa (>5.5 µm),Hayella challengeri,Helicosphaera ampliaperta,Helicosphaera carteri,Helicosphaera euphratis,Helicosphaera granulata,Helicosphaera intermedia,Helicosphaera inversa,Helicosphaera obliqua,Helicosphaera sellii,Neosphaera coccolithomorpha,Nicklithus amplificus,Orthorhabdus spp.,Pontosphaera discopora,Pontosphaera japonica,Pontosphaera multipora,Pseudoemiliania lacunosa,Pseudoemiliania ovata,Reticulofenestra asanoi,Reticulofenestra daviesii,Reticulofenestra haqii,Reticulofenestra pseudoumbilicus,Scyphosphaera pulcherrima,Sphenolithus abies,Sphenolithus belemnos,Sphenolithus conicus,Sphenolithus delphix,Sphenolithus disbelemnos,Sphenolithus dissimilis,Sphenolithus grandis,Sphenolithus heteromorphus,Sphenolithus moriformis,Syracosphaera pulchra,Triquetrorhabdulus carinatus,Triquetrorhabdulus milowii,Triquetrorhabdulus rugosus,Umbilicosphaera jafari,Umbilicosphaera rotula,Umbilicosphaera sibogae,Section,Core,Type,Top [cm],Bottom [cm],Site,Bottom Depth [m],A/W,Sample,eodp_id
321,A,"9H-5, 75",78.75,P,C,,,,C,F,,,,,,C,,,,,,,,,C,A,F,,,,,,C,,,,,,,,,C,,,,,C,,,C,,,,,,,,,R,,,,,,,,,,,,,,,,,A,A,,C,,,,,,,,,,,,,,,,5,9,H,75,,U1337,,,321-U1337A-9H-5,768b245319e464762ad6f41883825370
321,A,9H-CC,81.94,M,C,,,,F,F,,,,,,F,,,,,,,,,R,A,,,,,,,F,,,,,,,,,F,,,,,C,,,F,,,,,,,,,R,,,,,,,,,,,,,,,,,A,F,,C,,,,,,,,,,,,,,F,,CC,9,H,,,U1337,,,321-U1337A-9H-CC,56407b7f193b8cfd767fb0abb1f2a020
321,A,"10H-2, 100",84,P,C,,R,R,F,C,,,,,,C,,,,,,,,,A,A,,,,,,,C,,,,,,,,,F,,,,,C,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,C,,,,,,,,,,,,,,,,2,10,H,100,,U1337,,,321-U1337A-10H-2,6ec2f0991920a3e80cb96ca8c96749a2
321,A,"10H-3, 90",85.4,P-M,C,,,,C,F,,,,C,,,,,,R,,,,,A,C,,,,,,,C,,,,,,,,,F,,,,,C,,,F,,,,,,,,,F,,,,,,,,,,,,,,,,,A,,R,C,,,,,,,,,,,,,,,,3,10,H,90,,U1337,,,321-U1337A-10H-3,7f485c33c46bc1ae89ad207f073871d5
321,A,10H-CC,91.53,P,F,,,,F,R,,,,,,,,,,,,,,,C,C,,,,,,,F,,,,,,,,,R,,,,,F,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,C,C,,F,,,,,,,,,,,,R,,R,,CC,10,H,,,U1337,,,321-U1337A-10H-CC,23598f1c2c60996638a59b5a5bbf28b7
321,A,"11H-2, 43-45",92.93,P,C,R,F,,C,F,,,,F,,,,,,R,,,,,C,C,,,,,,,F,,,,,,,,,F,,,,,F,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,A,C,,C,,,,,,,,,,,,R,,R,,2,11,H,43,45,U1337,,,321-U1337A-11H-2,b06a5a824b72002efca9b8ccee976902
321,A,"11H-3, 65",94.65,M,C,F,F,,C,,,,,,,,,,,R,,,,,F,A,,,,,,,,,,,,,,,,R,,,,,C,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,C,C,,C,,,,,,,,,,,,F,,,,3,11,H,65,,U1337,,,321-U1337A-11H-3,13c88dbc1fd5a3f10c3968c61bcddf35
321,A,"11H-5, 65",97.65,P-M,C,R,,,C,,,,,,,,,,,R,,,,,F,A,,,,,,,F,,R,,,,,,,R,,,R,,C,,,C,,,,,,,,,,,R,,,,,,,,,,,,,,,C,A,,C,,,,,,,,,,,,F,,,,5,11,H,65,,U1337,,,321-U1337A-11H-5,4b22ce84fd2bca69b6006742cd9d3df0
321,A,"11H-6, 147",99.2,P,C,,,,C,,,,,,,,,,,,,,,,C,C,,,,,,,F,,R,,,,,,,R,,,C,,C,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,C,C,,A,,,,,,,,,,,,F,,,,6,11,H,147,,U1337,,,321-U1337A-11H-6,3367e6729261fe19ed2b8ef76d595529
321,A,11H-CC,101,P,R,,,,F,R,,,,,,,,,,,,,,,F,F,,,,,,,R,,,,,,,,,R,,,1,,R,,,R,,,,,,,,,R,,,,,,,,,,,,,,,,,C,R,,F,,,,,,,,,,,,,,,,CC,11,H,,,U1337,,,321-U1337A-11H-CC,6f945e9bf577b63784930deac2cf73c2
321,A,"12H-4, 40",105.4,P-M,C,R,R,,C,,,,,,,,,,,,,,,,F,A,,,,,,,F,,,,,,,,,R,,,R,,C,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,,A,,,,,,,,,,,,F,,,,4,12,H,40,,U1337,,,321-U1337A-12H-4,95be2e291a0bade6fcf0fb074d005864
321,A,"12H-5, 60",107.4,M,A,,,,C,,,,,,,,,,,,,,,,,C,,,,F,,,,,,,,,,,,,,,F,,C,,,C,,,,,,,R,,,,,,,,,,F,,,,,,,,,A,A,,A,,,,,,,,,R,,,F,,,,5,12,H,60,,U1337,,,321-U1337A-12H-5,31f954d027bacc8645845374812ecdfd
321,A,12H-CC,110.4,P,C,R,1,,R,F,,,,,,,,,,R,,,,,,A,,,,,,,F,,,,,,,,,R,,,R,,C,,,F,,,,,,,,,,,,,,,,,F,,,,,,,,,C,F,,F,,,,,,,,,,,,,,,,CC,12,H,,,U1337,,,321-U1337A-12H-CC,5400caaba234c9b5c1e8ea199708cbeb
321,A,13H-CC,119.84,M,C,,R,,C,F,,,,,,,,,,R,,,,,R,C,,,,F,,,F,,,,,,,,,,,,C,,F,,,C,,,,,,,,,,,R,,,,,,F,,,,,,,,,A,,,F,,,,,,,,,,,,,,,,CC,13,H,,,U1337,,,321-U1337A-13H-CC,e89618cd82d4c9a5d5221032e78ce916
321,A,"14H-2, 43",121.43,M,C,,,,F,,,F,,,,,,,,F,,,,,C,A,,,,,,,C,,,,,,,,,,,,F,,C,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,A,F,,C,,,,,,,,,,,,F,,F,,2,14,H,43,,U1337,,,321-U1337A-14H-2,5e5c30696071b03e23e4ed7c5a66a378
321,A,"14H-4, 63",124.63,P,C,,R,,C,R,,F,,,,,,,,F,,,,,F,A,,,,,,,F,,,,,,,,,,,,R,,R,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,A,C,,C,,,,,,,,,,,,F,,F,,4,14,H,63,,U1337,,,321-U1337A-14H-4,229e358906798cd1da08b68cd17ec052
321,A,14H-CC,129.37,M,C,F,,,C,F,,,,,,,,,,C,,,,,,A,,,,F,,,C,,,,,,,,,,,,,,F,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,A,C,,A,,,,,,,,,,,,,,,,CC,14,H,,,U1337,,,321-U1337A-14H-CC,fef57ba30c6d96b282998e5b7095d5fd
321,A,"15H-2, 27",130.77,M,C,,R,,C,,,C,,,,,,,,C,,,,,F,A,,,,R,,,C,,,,,,,,,R,,,R,,F,,R,C,,,,,,,,,F,,,,,,,,,,,,,,,,,A,,,A,,,,,,,,,,,,,,R,,2,15,H,27,,U1337,,,321-U1337A-15H-2,32ee639d42cf3e6c1a9ce45916b7a9a6
321,A,"15H-4, 10",133.6,P,C,,,,F,,,F,,,,,,,,F,,,,,,C,,,,,,,C,,,,,,,,,,,,R,,C,,,C,,,,,,,,,R,,,,,,,,,,,,,,,,,A,,,C,,,,,,,,,,,,,,,,4,15,H,10,,U1337,,,321-U1337A-15H-4,108270aabd9320c745bd096a0a3e3738
321,A,15H-CC,138.82,M-P,C,,,,F,F,,,,,,,,,,F,,,,,,C,,,,R,,,F,,,,,,,,,,,,,,F,,R,C,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,C,,,,,,,,,,,,F,,,,CC,15,H,,,U1337,,,321-U1337A-15H-CC,f458e3b9a0d4602b5af4476d7c90900c
321,A,16H-CC,148.52,P,C,,,,F,F,,,,,,,,,,C,,,,,,A,,,,F,,,F,,,,,,,,,,,,,,,,,C,,,,,,,,,,,F,,,,,,,,,,,,,,,D,,,A,,,,,,,,,,,,,,,,CC,16,H,,,U1337,,,321-U1337A-16H-CC,7c26d6d98db62d75d2c03ad7beffe311
321,A,"17H-3, 69-70",151.7,M,C,,,,C,,,F,,,,,,,,C,,,,,C,A,,,F,R,,,C,,R,,,,,,,,,,,,F,,,C,,,,,,,,,F,,R,,,,,,,,,,,,,,,A,,,A,,,,,,,,,,,,,,,,3,17,H,69,70,U1337,,,321-U1337A-17H-3,fea3ded880bd0f26b426141faeed159a
321,A,"17H-5, 85-86",154.86,M,C,,,,C,,,F,,,,,,,,C,,,,,,A,,,R,,,,C,,,,,,,,,,,,,,,,,A,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,F,,,,5,17,H,85,86,U1337,,,321-U1337A-17H-5,b418f83b62fd24fb13b83f1b74983874
321,A,17H-CC,157.99,M,A,,,,C,,,C,,,,,,,,C,,,,,,D,,,A,,,,C,,,,,,,,,,,,,,,,,C,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,F,,,,CC,17,H,,,U1337,,,321-U1337A-17H-CC,c8c972eb5b1cab0cc95fa133391aadd3
321,A,"18H-3, 82",162.64,P,C,,,,F,C,,C,,,,,,,,F,1,,,,F,A,,,A,,,,C,,R,,,,,,,,,,,,F,,,C,,,,,,,,,F,,,,,,,,,,,,,,,,,A,C,,A,,,,,,,,,,,,F,,,,3,18,H,82,,U1337,,,321-U1337A-18H-3,63e88240ae02be6053a1c893a0b04f1e
321,A,"18H-5, 75",164.29,P,C,,,,C,,,C,,,,,,,,C,,,,,F,A,,,A,,,,C,,,,,,,,,,,,,,,,R,C,,,,,,,,,R,,,,,,,,,,,,,,,,,C,C,,A,,,,,,,,,,,,C,,,,5,18,H,75,,U1337,,,321-U1337A-18H-5,849f02ff820c31cd5bcd18330a0ba188
321,A,18H-CC,167.5,P,C,,,,R,F,,,,,,,,,,1,,,,,,,,,R,,,,C,F,,,,,,,R,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,C,A,,A,,,,,,,,,,,,F,,,,CC,18,H,,,U1337,,,321-U1337A-18H-CC,291dd0c16340eae2c47473ff6937f4dc
321,A,"19H-2, 70",169.2,P,C,,,,F,,,F,,,,,,,,,,,,,F,A,,,R,,,,C,,R,,,,,,,,,R,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,,C,,,,,,,,,,,,F,,,,2,19,H,70,,U1337,,,321-U1337A-19H-2,5863a2f6a7db90916883cc6732025c22
321,A,"19H-4, 70",172.2,P,C,,,,,,,F,,,,,,,,F,,,,,C,C,,,,,,,C,,,,,,,,F,,,R,,,,,,C,,,,,,,,,R,,,,,,,,,,,,,,,,,A,A,,C,,,,,,,,,,,,R,,R,,4,19,H,70,,U1337,,,321-U1337A-19H-4,c8a192c13d81ae38b188dd266e143898
321,A,19H-CC,177,P,C,,,,,F,,R,,,,,,,,F,,,,,,,,,F,,,,C,F,,,,,R,,R,,,,,R,F,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,C,C,,F,,,,,,,,,,,,R,,,,CC,19,H,,,U1337,,,321-U1337A-19H-CC,e46e759123e459f3970268a4a7ca1ccb
321,A,"20H-3, 5",179.55,P,C,,,,F,F,,,,,,,,,,,,,,,C,F,,,F,,,,R,,,,,F,F,,R,R,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,C,C,,F,,,,,,,,,,,,,,,,3,20,H,5,,U1337,,,321-U1337A-20H-3,f517fa8a3c7d0f6fe4414b983cf07b09
321,A,"20H-5, 60",183.1,P,C,,,,F,F,,,R,,,,,,,,,,,,C,F,,,,,,,,,,,,F,F,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,A,C,,F,,,,,,,,,,,,,,,,5,20,H,60,,U1337,,,321-U1337A-20H-5,9e4b19cfb5a83d58090858a23202bba4
321,A,20H-CC,186.38,P,R,,,,,R,,,,,,,,,,,,,,,,,,,F,,,,F,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,C,C,,,,,,,,,,,,,,,,,,CC,20,H,,,U1337,,,321-U1337A-20H-CC,842d6297c7a5430609d7b86b7731cc4c
321,A,"21H-3, 80",189.8,P,C,,,,,F,,F,R,,,,,,,F,,,,,A,C,,,,,,,,,,,,F,F,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,A,C,,C,,,,,,,,,,,,,,,,3,21,H,80,,U1337,,,321-U1337A-21H-3,c00458329c8a79fd4f8e4ba5bfc9bdae
321,A,"21H-5, 90",192.91,P,C,,,,,F,,R,,,,,,,,R,,,,,A,,,,,,,,,,,,,F,F,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,A,F,,C,,,,,,,,,,,,,,,,5,21,H,90,,U1337,,,321-U1337A-21H-5,ba2e27c9ca7f58c5f343d88471fbdb7d
321,A,21H-CC,195.62,M,A,,,,R,F,,,1,,,,,,,R,,,,,C,C,,,F,,,,,,,,,,F,,,,,,,,,,,C,,,,,,,,,R,,,,,,,,,,,,,,,,,A,C,,C,,,,,,,,,,,,,R,,,CC,21,H,,,U1337,,,321-U1337A-21H-CC,0fa8462dc734f2bafaadd69a83617eb9
321,A,"22X-1, 53",196.03,M,A,,,,F,F,,R,R,,,,,,,F,,,,,A,,,,,,,,,,,,,F,F,,R,,R,,,,,,,F,,,,,,,,,F,,,,,,,,,,,,,,,,,C,C,,C,,,,,,,,,,,,,,,,1,22,X,53,,U1337,,,321-U1337A-22X-1,3bd59d6dcd81b6d545c2b992b0999374
321,A,22X-CC,198.04,P,R,,,,,F,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,CC,22,X,,,U1337,,,321-U1337A-22X-CC,f820da8c847323f422549866ff172227
321,A,"23X-2, 40",206.2,P,C,,,,,F,,,,,,,,,F,F,,,,,A,,,,,,,,,,,,,F,,?F,,,R,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,A,C,,C,,,,,,,,,,,,,,,,2,23,X,40,,U1337,,,321-U1337A-23X-2,fde9349b7fae85baced33e8e40f16270
321,A,"23X-4, 40",209.2,P,A,,,,,,,,,,,,,,F,F,,,,,C,,,,,,,,,,,,,F,,,,,R,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,A,C,,C,,,,,,,,,,,,,,,,4,23,X,40,,U1337,,,321-U1337A-23X-4,81175359a9251fb8fbb8b8eb8f9b355d
321,A,23X-CC,213.87,M,A,,,,R,F,,,,,,,,,C,F,,,,,A,,,,,,,,,,,,,F,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,A,C,,,,,,,,,,,,,,F,,,,CC,23,X,,,U1337,,,321-U1337A-23X-CC,ddedcca70ba88955303489c95f8cd25a
321,A,"24X-2, 80",216.2,M,D,,,,,C,,F,,,,,,,C,F,,,,,A,A,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,A,C,,C,,,,,,,,,,,,,,,,2,24,X,80,,U1337,,,321-U1337A-24X-2,83d87fd50526fdaaca8ec777ac40272c
321,A,24X-CC,218.98,M,A,,,,,F,,R,,,,,,,F,R,,,,,A,A,,,,,R,,,,,F,,F,,1,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,F,C,,C,,,,,,,,,,,,R,,R,,CC,24,X,,,U1337,,,321-U1337A-24X-CC,5687b789774bd14ced137daef6da9ea5
321,A,"25X-3, 40",226.8,M,D,,,,R,F,,R,,,,,,,F,C,,,,,A,A,,,,,,,,,,,,,,F,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,A,C,,A,,,,,,,,,,,,,,,,3,25,X,40,,U1337,,,321-U1337A-25X-3,21546529b64c234eff9220afcec222ab
321,A,"25X-5, 37",226.77,M,A,,,,R,F,,R,,,,,,,F,A,,,,,A,A,,,,,,,,,,,,R,,C,,,,,,,,,,C,,,,,,,,,F,,R,R,,,,,,,,,,,,,,A,A,,A,,,,,,,,,,,,,,,,5,25,X,37,,U1337,,,321-U1337A-25X-5,94d09cf238b7a325ce14c13b86bec4a4
