Exp,Site,Hole,Core,Type,Section,Top Depth [m],Bottom Depth [m],Preservation,Picea,Pinus,Trees,Shrubs,Herbs,Total pollen,Spores of Sphagnum,Spores of Pteridophytes,Botryococcus + Pediastrum,Hallodinium,Tintinids,Reworked palynomorphs,Top [cm],Bottom [cm],A/W,Sample,eodp_id
323,U1343,E,32,H,CC,272.5,272.6,M,C,,C,,,C,F,F,F,,,F,,,,323-U1343E-32H-CC-nan,da91175003ee22c13eef3245d769df24
323,U1343,E,34,H,CC,291.2,291.3,M,R,,R,R,,F,,R,,,,R,,,,323-U1343E-34H-CC-nan,f5fc4dee8a76a5dc92613f3f3205416a
323,U1343,E,36,H,CC,311.1,311.2,M,R,R,F,,,F,,,R,,,R,,,,323-U1343E-36H-CC-nan,79a88282550071e83ba207787bb022b7
323,U1343,E,38,H,CC,329.7,329.8,G,C,F,C,R,,C,C,R,F,,,F,,,,323-U1343E-38H-CC-nan,1f82a956bf469ae1789118e3324e7bad
323,U1343,E,40,H,CC,346.7,346.8,G,C,C,C,F,,C,F,R,R,,,R,,,,323-U1343E-40H-CC-nan,bf1a5de373438eca8c0beb5f79eff4d2
323,U1343,E,42,X,CC,359.6,359.7,G,C,C,C,R,,C,C,F,C,,R,R,,,,323-U1343E-42X-CC-nan,3fc4bf64ffc24ba7a0f77c0db6ae563c
323,U1343,E,44,X,CC,376.6,376.7,M,C,R,C,,,C,C,C,,,,R,,,,323-U1343E-44X-CC-nan,b105fe4a62b3cdaca2fd80f606b09a91
323,U1343,E,46,H,CC,398.6,398.7,G,C,C,C,,R,C,C,C,F,,,R,,,,323-U1343E-46H-CC-nan,80b6cf473cb7ef09b7b7bf726c84d0bf
323,U1343,E,48,H,CC,412.3,412.4,M,C,,C,,,C,R,F,,,,,,,,323-U1343E-48H-CC-nan,9568be4e0115c1c5232a9a25765d8875
323,U1343,E,50,X,CC,428.5,428.6,M,C,,C,C,,C,,F,,,,F,,,,323-U1343E-50X-CC-nan,db2297246c2bcab5a2f2d8d63fb2a95e
323,U1343,E,52,X,CC,446.2,446.2,P,C,F,C,F,R,C,C,R,R,,,R,,,,323-U1343E-52X-CC-nan,98760f56920991efda1fdea152cda45f
323,U1343,E,54,X,CC,463.4,463.5,G,C,,C,F,,C,F,F,C,,,R,,,,323-U1343E-54X-CC-nan,1b36c06ccb893900ddfd33798a2578bf
323,U1343,E,56,X,CC,482.6,482.7,M,R,,R,R,,F,F,,R,,,,,,,323-U1343E-56X-CC-nan,340f0e9553296b2b98a356b14053b21f
323,U1343,E,58,X,CC,502.9,503.0,M,C,,C,,,C,,F,F,,,R,,,,323-U1343E-58X-CC-nan,219a8ecb726747d134ff8bc39a3b4718
323,U1343,E,60,X,CC,521.9,522.0,P,F,,F,,,F,,,,,,,,,,323-U1343E-60X-CC-nan,1515ecb8981aba5586c9d5ccd5eaf4a3
323,U1343,E,62,X,CC,541.8,541.9,M,C,,C,R,,C,,R,F,,,,,,,323-U1343E-62X-CC-nan,0154f2fa4832dc251f776217278860e8
323,U1343,E,63,X,CC,550.5,550.6,M,C,,C,,R,C,,F,,,,F,,,,323-U1343E-63X-CC-nan,e759855089c389f625025d8c2b973c91
323,U1343,E,64,X,CC,561.1,561.2,M,C,,C,,,C,F,C,,,,C,,,,323-U1343E-64X-CC-nan,380b1e77546b5ab4c74ba3bb66c736ee
323,U1343,E,66,X,CC,581.0,581.1,P,C,R,C,,,C,R,C,R,,,C,,,,323-U1343E-66X-CC-nan,f22bba3c2a6fda10ad69fe44017b7458
323,U1343,E,68,X,CC,599.3,599.4,G,F,,F,,,F,,,,,,,,,,323-U1343E-68X-CC-nan,9f867b9750e363b62d07fc8970a592f0
323,U1343,E,70,X,CC,617.9,618.0,M,C,,C,R,,C,,R,R,,,,,,,323-U1343E-70X-CC-nan,1c4b3a73c694ceb187a91f4ae5c78389
323,U1343,E,72,X,CC,634.4,634.5,P,C,,C,R,,C,R,R,,,,C,,,,323-U1343E-72X-CC-nan,e7726822d6c711714d89f88002119362
323,U1343,E,74,X,CC,657.4,657.5,M,C,,C,,F,C,C,F,,,,C,,,,323-U1343E-74X-CC-nan,021d200d1c5f36924071f80545aa251c
323,U1343,E,76,X,CC,675.0,675.1,M,C,F,C,F,,C,C,,F,,,C,,,,323-U1343E-76X-CC-nan,6506e234634e08f272bf49972211244e
323,U1343,E,78,X,CC,695.2,695.3,G,F,,F,,,F,F,R,R,,,R,,,,323-U1343E-78X-CC-nan,ae2c4736280f1567dee1cc96f3e13bc1
323,U1343,E,80,X,CC,713.8,713.9,M,C,,C,R,R,C,,,F,,,F,,,,323-U1343E-80X-CC-nan,fa03eaa5691d4432388cd645517868d9
323,U1343,E,82,X,CC,734.4,734.5,M,R,,R,F,,C,R,R,,,,F,,,,323-U1343E-82X-CC-nan,b6ef81f46b7a6faa361e5b68b6be9a43
323,U1343,E,84,X,CC,743.9,744.0,P,F,,F,F,,C,,F,,,,F,,,,323-U1343E-84X-CC-nan,a7d3a9c91a2cb9a7839b8343b15297a8
