Exp,Hole,"Core, section, interval (cm)",Top Depth [m],Presevation,Bathymetry,Abyssamina poagi,Abyssamina quadrata,Alabammina dissonata,Alabamminella weddelensis,Amphicoryna sp.,Anomalinoides cf. globulosus,Anomalinoides sp.A,Anomalinoides? sp.,Astacolus spp.,Astrononion echolsi,Astrononion sp.,Bigenerina sp.,Bolivina huneri,Bolivina sp.,Bulimina alazanensis,Bulimina sp.  A,Bulimina sp. B,Bulimina sp. C,Bulimina sp. indet.,Buliminella parvula,Cassidulina sp. A,Caudamina sp.,Chrysalogonium crassitestum,Chrysalogonium sp. indet.,Cibicidoides eocanus,Cibicidoides grimusdalei,Cibicidoides havanensis,Cibicidoides mundulus,Cibicidoides wuellerstorfi,Cibicidoides sp. A,Cibicidoides sp. B,Cibicidoides sp. indet.,Dentalina spp.,Eggerella bradyi,Eggerella sp. A,Evolvecassidulina cf. howei,Favocassidulina spinifer,Favocassidulina subfavus,Fursenkoina bradyi,Gaudryina spp.,Glandulina spp.,Globocassidulina subglobosa,Globocassidulina sp. A,Glomospira challoides,Glomospira goldialis,Glomospira irregularis,Gyroidinoides soldanii,Gyroidinoides sp. A,Gyroidinoides sp. B,Gyroidinoides sp. C,Gyroidinoides sp. D,Gyroidinoides sp. indet.,Haplophragmoides walteri,Haplophragmoides spp.,Heronallenia sp.,Karreriella chapapotensis,Karrerulina coniformis,Laticarinina pauperata,Lenticulina spp.,Mattinotiella cummunis,Myllostonella spp.,Nodosaria spp.,Nonion affine,Nonion havanensis,Nuttallides truempyi,Nuttallides umbonifer,Oridorsalis umbonatus,Orthomorphina spp.,Osangularia plummerae,Paratrochamminoides spp.,Pleurostomella spp.,Pseudoparrella exigua,Pseudopleurostomella spp.,Pullenia bulloides,Pullenia eocenica,Pullenia osloensis,Pullenia quinqueloba,Pullenia salisburyi,Pullenia subcarinata,Pullenia sp. A,Pyrulina spp.,Quinqueloculina sp.,Recurvoides spp.,Reticulophragmium amplectens,Siphonodosaria antillea,Siphonodosaria spinata,Siphonodosaria sp. indet.,Spheroidina bulloides,Spiroplectammina spectabilis,Spiroplectammina sp. A,Textularia spp.,Turrilina robertsi,Tube-shaped agglutinated form.,Unilocular species,Valvulina spinosa,Agglutinated Foram. gen. et sp. indet.,Calc. Hyaline Foram. gen. et sp. indet.,,,Section,Core,Type,Top [cm],Bottom [cm],Site,Bottom Depth [m],A/W,Sample,eodp_id
320,A,"11H-cc, 27-32 cm",101.20,M,LB-A,,,,,,,R,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,R,,,,,R,F,R,,F,R,,,,R,,,,,R,,,R,,,A,,,,A,,,,,,,,,,R,,,,,,R,R,,,,,R,R,,,F,,,cc,11,H,27,32,U1333,,,320-U1333A-11H-cc,7768da52521b4c40695ac6b48d439267
320,A,"12H-cc, 21-26 cm",107.99,M,LB-A,,,,,,,R,,,R,,,,,,,,,,,,,,,,R,R,F,,F,R,,,,R,,,,,,P,F,,,,,R,F,R,P,,R,,,R,,P,,P,,,R,P,F,,R,A,,,,R,,,,,P,,,,R,R,,,,P,,P,R,P,,,,P,R,R,R,R,,,cc,12,H,21,26,U1333,,,320-U1333A-12H-cc,9c68bfcfb16c23f0e3bd12aa88731159
320,A,"13H-cc, 20-25 cm",119.96,P,LB-A,,,,,,,R,,,,,,,,,,,,,,,,,,,F,,,,,,R,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,R,,A,,,,,,,,,,,,,,,,,,R,,,,F,,,,,,,,F,,,cc,13,H,20,25,U1333,,,320-U1333A-13H-cc,c28d7b8fd65bffc5f608d1d892dbe11a
320,A,"14H-cc, 25-30 cm",129.83,P,LB-A,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,R,,,,,,,,,,R,,,,,,,,,,R,,,,,,,,,,,,,A,,,,,,R,,,,,,,,,,,,,,R,,,,R,,,,,,,,R,,,cc,14,H,25,30,U1333,,,320-U1333A-14H-cc,e4fa019efdc9c6a9a7c339c3f49b8118
320,A,"15X-cc, 13-18 cm",139.17,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cc,15,X,13,18,U1333,,,320-U1333A-15X-cc,e090b95d62efb8c01f4ce5fc860821d2
320,A,"16X-cc, 43-48 cm",149.12,P,LB-A,R,F,,,,,,,,,,,,,,R,R,R,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,F,R,R,R,,R,,,R,R,,,,,,,,R,F,,A,,,,,,,,,,,,,,R,,,,F,,,R,R,,,,,R,R,,F,,,cc,16,X,43,48,U1333,,,320-U1333A-16X-cc,8e8c56085b8a3a4be7934ae0cd276877
320,A,"17X-cc, 17-22 cm",158.49,P,LB-A,,,R,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,R,,,,,,,,,,,,,,,,,,R,,,R,A,,R,,,,,,,,,cc,17,X,17,22,U1333,,,320-U1333A-17X-cc,01e42d754bc1449f86a0cacf7eabab60
320,A,"18X-cc, 17-22 cm",163.89,P,LB-A,,,R,,,,,,,,,,,,,,,,,,,,,,R,A,,R,,,,,,,,,,,,,,,,,,,,R,,,,R,,,,,,,,,,,,R,R,,R,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,R,,,cc,18,X,17,22,U1333,,,320-U1333A-18X-cc,a2bfe5dfa682d1257dcca6330c3a0f2b
320,A,"19X-cc, 22-27 cm",174.73,P,LB-A,A,P,R,,,,,,,,,,,P,,,,,P,R,,,,R,F,R,,R,,P,,,,,,,,,,,,R,,,,,,R,R,,,P,,,,,,,,,,P,,F,A,,F,,,,R,,,,P,,,,,,,,,,,,R,,,,,,,R,,,R,,,cc,19,X,22,27,U1333,,,320-U1333A-19X-cc,ed4ef3d2d4e69ce6a4678b99d5dcef6b
320,B,"1H-cc, 15-20 cm",7.69,G,LB-A,,,,,,,,,,R,,,,R,,,,,,R,,,,R,,,,,,,,,,,,,,,,,,A,,,,,R,R,R,R,,F,,,,,,,R,,,,,,,F,R,,,R,F,,,R,,R,,,,R,,,,,R,R,R,R,,,,,,F,,,R,,,cc,1,H,15,20,U1333,,,320-U1333B-1H-cc,45caabc9b23711db8be8127d5db1ebe4
320,B,"2H-cc, 35-40 cm",17.61,G,LB-A,,,,,,,,,,,,,,,,,,,,,,,,R,,,R,R,,,,R,R,,,,R,R,,,,,,,,,R,F,,R,,F,,,,R,,R,,,,,,,,A,R,,,,,F,,,,,,,,,R,,,,R,R,R,F,,,,,R,F,R,,R,,,cc,2,H,35,40,U1333,,,320-U1333B-2H-cc,940c8c018cf878e8ee55cc7499d81c4d
320,B,"3H-cc, 38-43 cm",27.19,G,LB-A,,,,,,,,,,R,,,,,,,,,,,,,,,,R,,F,,,,F,,,,R,R,R,,,,A,,,,,R,R,R,R,,R,,,,,,R,,,,R,,,,F,A,,,R,R,,,F,,,R,R,R,,,,R,,R,,R,,,,,,F,,R,,R,,,cc,3,H,38,43,U1333,,,320-U1333B-3H-cc,a926ab8b76191d377e74e5fa0a8a54ae
320,B,"4H-cc, 23-28 cm",36.62,G,LB-A,,,,,,,,,,R,,R,,R,,,,,,,R,,,,,,,F,R,F,,,,,,,R,R,,,,F,,,,,R,R,R,,,R,,,,,,,,,,,R,R,,F,R,,,,,,,F,,R,R,,,R,R,,,,,R,F,,,,,,R,R,R,R,R,,,cc,4,H,23,28,U1333,,,320-U1333B-4H-cc,4c55ecbdf75f045aae9b48f56df80f80
320,B,"5H-cc, 21-26 cm",45.86,G,LB-A,,,,,,,R,,,,,R,,,,,,,,,,,,R,,,,,,R,,,R,R,,,,R,,,,R,,,,,F,R,,R,R,F,,,,R,,,,,,,,,,A,F,R,,,F,,,,,,,,,R,R,R,,R,R,R,F,F,,,,,R,R,,,F,,,cc,5,H,21,26,U1333,,,320-U1333B-5H-cc,26208355bddf679e2f18aa0100babace
320,B,"6H-cc, 9-14 cm",55.56,G,LB-A,,,,,,,,,,,,R,,,,,,,,,,,,,,,R,F,,R,,,,,,,,,,,,A,,,,,,,,,,R,,R,,R,,,,,,R,,R,,,A,F,,,,,,,,,,,,F,,,,,,R,,R,,,,,R,R,,,R,,,cc,6,H,9,14,U1333,,,320-U1333B-6H-cc,325bad3e1de2f18f2d47d97f77b1170b
320,B,"7H-cc, 23-26 cm",65.12,G,LB-A,,,,,,,,,,,,,,,,,,,,,,R,,,,R,F,A,,A,,R,R,,,,,,,,,R,,,,,R,R,,R,R,,,,,R,,,,,,,,,,R,F,R,,,R,,,R,,,,,R,R,R,,,,R,R,,R,,,,R,R,R,R,,,,,cc,7,H,23,26,U1333,,,320-U1333B-7H-cc,e2f223699b3e5eee616239179edc0072
320,B,"8H-cc, 33-36 cm",74.51,G,LB-A,,,,,,,,,,,,,,,,,,,,,,,R,R,,,,R,,F,,,R,,,,,,,,,F,,,,,F,R,R,,,,,,R,,R,,,,R,,R,R,,,A,R,,,,,,,,,,,R,R,,,R,,,,R,F,,,,,R,R,R,,F,,,cc,8,H,33,36,U1333,,,320-U1333B-8H-cc,e5f2b37eb7f06d62424ac711dbfc83b5
320,B,"9H-cc, 33-36 cm",83.22,G,LB-A,,,,,,,R,,,,,R,,,,,,,,R,,,,,,R,R,A,,F,,R,,,,,,,,,,R,,,,,R,R,,,,,,,,,,,,,,,R,R,,R,A,,,R,R,,,,,,,R,R,,R,,,,,R,R,R,R,,,,R,R,,,F,,,cc,9,H,33,36,U1333,,,320-U1333B-9H-cc,1a2393ce628590abe38b2a11c79f1ee9
320,B,"10H-cc, 21-24 cm",93.44,G,LB-A,,,,,,,R,,,R,,,,,,,,,,,,,,,,R,,A,,R,R,,,R,,,,,,,,F,,,,,F,R,F,R,R,R,,,,,,,,,,,,R,,R,F,,,,R,,,R,,,,,R,R,R,,,,R,R,R,R,R,,R,,,R,,,F,,,cc,10,H,21,24,U1333,,,320-U1333B-10H-cc,92e04fb0296eff76d6243f8b149d0a87
320,B,"11H-cc, 24-27 cm",103.26,G,LB-A,,,,,,,R,,,F,,,,,,,,,,,,,,,,R,,A,,,,,,,,,,,,,,R,,,,R,,R,R,R,F,,,,,,,,,,R,R,R,,,,A,,,,R,,,R,,,,,,R,R,,R,,R,R,,F,R,,R,,,R,R,,F,,,cc,11,H,24,27,U1333,,,320-U1333B-11H-cc,dc81b49c918cc2a3323b62d136d0333d
320,B,"12H-cc, 32-35 cm",112.32,G,LB-A,,,,,,,R,,,R,,,,P,,,,,,,,,,,R,R,P,A,,,R,R,P,R,,,,,,,,F,,,,,R,R,R,R,,,,,,P,,,,,,,,P,,R,A,P,,,,,,,,,,,R,R,P,,,,R,,,R,P,,,,,F,R,,,,,cc,12,H,32,35,U1333,,,320-U1333B-12H-cc,6ec0022e2fa817f4aa8c7e9423acafa9
320,B,"13H-cc, 31-36 cm",122.15,P,LB-A,,,,,,,,,,,,,,,,,,,,,,,,,F,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,A,,F,,,,,,,,,,,,,,,,,R,A,,,,,,,,A,,,,R,,,cc,13,H,31,36,U1333,,,320-U1333B-13H-cc,d47b89f1d436af5d1b0dbd7d385f7996
320,B,"14H-cc, 16-21 cm",131.51,P,LB-A,R,,,,,,F,,,F,,,,,,,,,,F,,,,,,F,,R,,,,R,,,,,,,,,,R,,,,,,R,,,,,,,,,,,,,,,,R,A,F,F,,,,,,,R,,R,,,R,R,,,,,,R,,,R,,,,,,,,F,,,cc,14,H,16,21,U1333,,,320-U1333B-14H-cc,d4870a262d4be053f785e5ea494a3d3e
320,B,"15X-cc, 37-42 cm",139.78,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cc,15,X,37,42,U1333,,,320-U1333B-15X-cc,b57a480bf0d76892eb6d5745a85061b0
320,B,"16X-cc, 29-34 cm",149.78,P,LB-A,,R,R,,,,R,,,,,,,,,,,,,,,,,,F,F,,,,,,,R,,,,,,F,,,R,,,,,F,F,R,,,,,,,R,,,,,R,,,,R,,A,,,,R,,R,,,,,,,R,R,,,,,,,,R,,,,R,R,R,,A,,,cc,16,X,29,34,U1333,,,320-U1333B-16X-cc,c30ae692e467ba428aa86074eeb88422
320,B,"17X-cc, 38-43 cm",158.54,P,LB-A,F,A,,,,,,,,,,F,,,,,,,,,,,,,A,,,,,,A,,,,,,,,,,,,,,,,,,F,,,F,,,,F,,,,,,,,F,A,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,cc,17,X,38,43,U1333,,,320-U1333B-17X-cc,26be0142911ee2c24dd411822e365a35
320,B,"18X-cc, 22-27 cm",162.97,P,LB-A,,,R,,,,,,P,P,,,,,,,,,,,,,,,R,A,,R,,,,R,,,P,,,,,P,,P,,,,,R,R,,P,,P,,,,P,,,P,R,,,P,P,A,,A,,P,,,,,P,,,,,,,,,,,,,,R,R,,,,,,P,,F,,,cc,18,X,22,27,U1333,,,320-U1333B-18X-cc,831226a5b92e5a9b13acc54230a372dc
320,B,"19X-cc, 37-42 cm",169.85,P,LB-A,,F,R,,,R,,,R,,,,,,,,,,P,,,,,,F,F,,,,,,R,P,P,,,,,,P,,P,,,,,R,R,,P,,R,,,,R,,,,,,,,R,A,P,F,,R,,R,,,,R,,,,,,P,,,,P,,,P,,,,,,R,,,F,,,cc,19,X,37,42,U1333,,,320-U1333B-19X-cc,45cc1432b5d7a16f7b61f3b758e4634c
320,C,"1H-cc, 19-22 cm",1.61,P,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,R,A,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,cc,1,H,19,22,U1333,,,320-U1333C-1H-cc,02cf569cb4179f2978e727a62f9394c6
320,C,"2H-cc, 14-17 cm",11.59,G,LB-A,,,,,,,,,,,R,,,,,,,,R,,,,,R,,,,,,,,,,,R,,,R,,,,A,,,,,,R,R,R,R,R,,,,,,,R,R,,,R,,,A,A,,,,R,R,,,,,,,,R,R,R,,,R,R,F,R,R,,,,,R,,,,,,cc,2,H,14,17,U1333,,,320-U1333C-2H-cc,a478e556ddba550ae2ba7c11731b134a
320,C,"3H-cc, 18-21 cm",21.16,G,LB-A,,,,,,,,,,F,,,,,,,,,,,,,,,,R,,,,R,,R,,,,,R,,,,,F,,,,,R,R,,R,,R,,,,F,,R,,,,R,,,,R,A,,,,F,,,R,,,,,R,,,,,R,R,F,F,R,,,,,R,F,F,,R,,,cc,3,H,18,21,U1333,,,320-U1333C-3H-cc,2590f8adb10a2968b9cae0f171776c61
320,C,"4H-cc, 28-31 cm",30.60,G,LB-A,,,,R,,,,,,,,,,,,,,,,,,,,,,R,,R,,R,,R,,,,,R,,,,,A,,,,,,R,R,R,,F,,,,,,,,,,,,,,A,F,,,,,R,,,,R,R,,,R,R,,,,,,R,R,R,,R,,R,R,R,,F,,,cc,4,H,28,31,U1333,,,320-U1333C-4H-cc,625c1a44837af987ddcea9aca90c4afb
320,C,"6H-cc, 22-25 cm",49.64,G,LB-A,,,,,,,R,,,R,,,,,,,,,,,,,,,,,,,R,R,,R,,,,,F,R,,,,F,,R,,,,R,,F,,R,,,,R,,,,,,,,,,R,A,,,,,,,,,F,R,,,R,R,,R,,,F,,,,,,,F,R,,,A,,,cc,6,H,22,25,U1333,,,320-U1333C-6H-cc,4c448f0ee121a423e0efdd57e9f647a0
320,C,"8H-cc, 22-25 cm",49.64,G,LB-A,,,,,,,,,,R,,,,,,,,,,,,,,R,,R,R,F,,,,R,,,,,,,,,,F,,,,,,,,R,R,R,,,,,,,,,,,,,,F,A,,,,R,,,R,,R,R,,,F,R,,,,R,R,F,R,,,,,R,,R,,R,,,cc,8,H,22,25,U1333,,,320-U1333C-8H-cc,544679fc0a9f5f27027749105296fdb2
320,C,"7H-cc, 17-20 cm",57.30,G,LB-A,,,,,,,,,,R,,,,,,,,,,,R,,,,,F,R,F,,,R,R,,,,,,,,,,R,,,,R,R,R,R,,,,,,,,,,,,,,,,,A,A,,,,,,,R,,,,,R,,R,,R,,,R,F,R,,,,,R,F,R,,F,,,cc,7,H,17,20,U1333,,,320-U1333C-7H-cc,6cf30edb79395b89b9e016e433a4de06
320,C,"8H-cc, 32-35 cm",68.59,G,LB-A,,,,R,,,R,,,,,,,R,,,,,,,,,,,,R,,F,,R,R,R,,,,,,,,,,R,,,,R,,,R,R,R,,,,,,,,R,,,,R,,,F,A,,,,R,,,,,,,,,,R,R,R,,,,R,F,,,,,,R,R,R,R,,,cc,8,H,32,35,U1333,,,320-U1333C-8H-cc,ab501150a2f35a73cb7702662aeacb69
320,C,"9H-cc, 32-37 cm",77.89,G,LB-A,,,,,,,,R,,,,,R,,,,,,,R,,,,,,R,R,F,,R,,R,,,R,,,,,,,F,,,,,R,R,R,R,R,,,,,,,,,,,,,,,F,A,,,,,,,R,,R,,,,,R,,R,,R,,R,F,,R,,,R,F,R,,F,,,cc,9,H,32,37,U1333,,,320-U1333C-9H-cc,b7abc5be771a8f4c5b4c6e7593062239
320,C,"10H-cc, 29-34 cm",87.65,G,LB-A,,,,,,,R,,,,,R,,,R,,,,,R,,,,,,R,R,F,,,,,,,,,,,,,,F,,,,,R,R,R,,R,,,,,R,,,,,R,,,F,,R,A,,,,,,,R,,,R,,,,R,,,,,R,R,R,R,,,,R,F,,,R,,,cc,10,H,29,34,U1333,,,320-U1333C-10H-cc,267c26c2807b9bcd5bb297c0f0599e0d
320,C,"11H-cc, 31-36 cm",96.22,G,LB-A,,,,,,,R,,,,,,,,,,,,R,,,,,,,F,,A,,,R,F,,,,,,,,,,F,,,,,F,R,R,R,R,,,,R,,,,,,,,R,R,,,A,,,,,,,,,,,,R,R,,,,,R,,,,R,,,R,,R,F,,R,,,cc,11,H,31,36,U1333,,,320-U1333C-11H-cc,82ac4cbcb67bb2e2b693397f912bca31
320,C,"12H-cc, 7-12 cm",99.80,G,LB-A,,,,,,,F,,,,R,,,,,,,,,,,,,,,F,,A,,,,R,,,,,,,,,,R,,,,,R,,,,,,,,,R,,,,,,,,,,,A,R,,,R,,,,,F,,,,,R,,,,,,,F,R,,,,,,R,,A,,,cc,12,H,7,12,U1333,,,320-U1333C-12H-cc,c4e98717886372acf1378944524bd1cc
320,C,"13H-cc, 31-36 cm",108.02,G,LB-A,,,,,,,F,,,F,,,,,,,,,,,,,,,,,R,A,,,R,,,,,,,,,,,A,,,,,R,R,R,F,R,,,,,,,,,,R,,,F,,,F,,,,,,,R,,,,,R,R,F,,,R,,,,R,R,,,,R,,R,,R,,,cc,13,H,31,36,U1333,,,320-U1333C-13H-cc,4088a31d103f66d9b3b5891573484234
320,C,"14H-cc, 0-3 cm",117.59,M,LB-A,,,F,,,,,,,,R,,,,,,,,,,,,,,,A,R,,,,R,F,,,,,,,,,,A,R,,,,R,R,,,R,,,,,,,,,,R,,,R,R,,A,,,,R,,,,,,,,,,,,,,R,,,,,,,,R,,R,,A,,,cc,14,H,0,3,U1333,,,320-U1333C-14H-cc,545e2f40cce323eae974b883704babcf
320,C,"15X-cc, 0-5 cm",127.12,P,LB-A,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,cc,15,X,0,5,U1333,,,320-U1333C-15X-cc,4d7cd4cfcd313426ada6efd52f24ba13
320,C,"16X-cc, 23-26 cm",132.14,M,LB-A,,R,,,,,A,,,,,,,,,,,,,,,,,,F,F,,,,,,,,,,,,,,,,R,,,,,,,F,,,,,,,,,,,,,,,F,A,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,F,,,cc,16,X,23,26,U1333,,,320-U1333C-16X-cc,8fc8cd0a799bce168f7e0a56d2023b9a
320,C,"17X-cc, 8-11 cm",141.07,P,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,cc,17,X,8,11,U1333,,,320-U1333C-17X-cc,cd2b4966f665977bc4cd4572dfd145ad
320,C,"18X-cc, 8-11 cm",141.07,P,LB-A,,,R,,,,,,,,,,,,,,,,,,,,,,F,A,,R,,,,,,,,,,,,,,R,,,,,,F,F,,,,,,,,,,,,,,,,D,,A,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,cc,18,X,8,11,U1333,,,320-U1333C-18X-cc,f3e1099fbd384105126be06698ba05e1
320,C,"19X-cc, 8-11 cm",150.70,P,LB-A,,R,,,,,,,,,,,,,,,,,,,,,,,R,A,,,,,,F,,,,,,,,,,R,,,,,R,R,A,,,R,,,,R,,,,,,,,R,F,,A,,R,,,,,,R,,,,,R,F,,,,R,,R,,,,,,,,R,,R,,,cc,19,X,8,11,U1333,,,320-U1333C-19X-cc,e20d096ea1017722f40d347ed74edd31
