Exp,"Hole, Core, Section",Top Depth [m],Bottom Depth [m],Preservation,Total radiolarians,Actinomma boreale,Amphimelissa setosa,Axoprunum acquilonium,Botryostrobus aquilonaris,Ceratospyris borealis,Cycladophora cornutoides,Cycladophora davisiana,Dictyophimus hirundo,Larcopyle buetschlii,Lychnocanomma nipponica sakaii,Sphaeropyle langii/robusta group,Spongodiscus sp. (Ling 1973),Spongopyle osculosa,Spongotrochus glacialis,Spongurus pylomaticus,Stylatractus universus,Stylochlamydium venustum,Stylodictya validispina,Unnamed: 24,Unnamed: 25,Unnamed: 26,Hole,Core,Section,Type,Site,Top [cm],Bottom [cm],A/W,Sample,eodp_id
323,U1339C 16H-CC,146.52,146.62,G,C,F,,F,,F,,F,,,,,C,,,,,,,,,,C,16,CC,H,U1339,,,,323-U1339C-16H-CC,baa810bc706907728d80f1537f98024b
323,U1339C 17H-CC,157.02,157.12,G,C,F,,F,,F,F,A,F,,,F,F,,,,,,,,,,C,17,CC,H,U1339,,,,323-U1339C-17H-CC,dfeb2b167ce248748c43dec18c9bdb1c
323,U1339C 18H-CC,165.92,166.02,G,F,F,,F,,F,,F,F,F,,,,,,,,,,,,,C,18,CC,H,U1339,,,,323-U1339C-18H-CC,e5613781602caee0009e70f732faa263
323,U1339C 19H-CC,176.38,176.48,G,F,,,F,,,F,,,,,,,,,,,,,,,,C,19,CC,H,U1339,,,,323-U1339C-19H-CC,4e899ec76bd32f15a0e4185e33db485b
323,U1339C 20H-CC,185.75,185.85,G,C,F,,F,,C,F,C,F,C,,F,F,F,F,,F,,F,,,,C,20,CC,H,U1339,,,,323-U1339C-20H-CC,db952a835f05e90a4161b6c181a54b2a
323,U1339C 21H-CC,195.24,195.34,G,C,,,,,F,F,C,,,,F,C,,,,,,,,,,C,21,CC,H,U1339,,,,323-U1339C-21H-CC,b0b007e4671d0d0eb8cc787982f2e993
323,U1339D 1H-CC,6.52,6.62,G,F,F,,,,F,,C,,,,,,,,,,F,F,,,,D,1,CC,H,U1339,,,,323-U1339D-1H-CC,df2d82b0a7c0185a0748851e48b5a9ea
323,U1339D 2H-CC,16.04,16.14,G,C,,,,,C,,C,F,,F,,,,,,,C,,,,,D,2,CC,H,U1339,,,,323-U1339D-2H-CC,bda77f402547792058112b9320e6d4d0
323,U1339D 3H-CC,25.59,25.69,G,C,,,,,F,F,A,F,F,F,,,,,,,F,C,,,,D,3,CC,H,U1339,,,,323-U1339D-3H-CC,144aea91830e1e205b5a7f6ee0e98c87
323,U1339D 4H-CC,33.38,33.48,G,F,,F,,,C,,,,F,F,,,,F,,,F,F,,,,D,4,CC,H,U1339,,,,323-U1339D-4H-CC,ff9fc7733ba8e67bd87cb13a39308566
323,U1339D 5H-CC,43.24,43.34,G,F,,,,,F,,C,F,,F,F,,,,,,,,,,,D,5,CC,H,U1339,,,,323-U1339D-5H-CC,dbd97c13a41f5ad97ee65cbb8be70e47
323,U1339D 6H-CC,52.97,53.07,G,C,,F,,,C,F,A,F,F,F,F,,,F,,,F,C,,,,D,6,CC,H,U1339,,,,323-U1339D-6H-CC,e7e74655e526b5cd609f996386b59bf1
323,U1339D 7H-CC,62.48,62.58,G,F,,,,,,F,F,,,,F,,,F,,F,F,F,,,,D,7,CC,H,U1339,,,,323-U1339D-7H-CC,d408701669e94d83f82ec73702aed6fe
323,U1339D 8H-CC,71.20,71.30,G,F,F,,,,F,F,C,,F,F,,,,F,,,,F,,,,D,8,CC,H,U1339,,,,323-U1339D-8H-CC,42367e9b320bf51255eb9bb38fa6397d
323,U1339D 9H-CC,80.15,80.25,G,C,F,,.,F,C,F,C,F,F,F,,C,,,,,F,F,,,,D,9,CC,H,U1339,,,,323-U1339D-9H-CC,40c9251ca09d17f0d712e43dcc11c851
323,U1339D 10H-CC,90.43,90.53,G,F,,,,,F,,F,,,,,F,,,,,,,,,,D,10,CC,H,U1339,,,,323-U1339D-10H-CC,0c87f3e3d5f38fe013fc7e5a3bd2f961
323,U1339D 11H-CC,100.38,100.48,G,F,F,,,,F,,,,,,,F,,,,,,,,,,D,11,CC,H,U1339,,,,323-U1339D-11H-CC,d1fc9e6a078d955c3fa95ca5535150c4
323,U1339D 12H-CC,110.15,110.25,G,F,F,,,,F,,F,,F,,,F,,F,,,,,,,,D,12,CC,H,U1339,,,,323-U1339D-12H-CC,f5c853bf24956978191edd27682da833
323,U1339D 13H-CC,119.89,119.99,G,C,,.,F,,F,,F,,F,,F,F,,F,,,,,,,,D,13,CC,H,U1339,,,,323-U1339D-13H-CC,38f1159ea27fe78a410008c4563b11ab
323,U1339D 14H-CC,128.83,128.93,G,C,,,F,,F,,C,,,,F,F,,,,,,,,,,D,14,CC,H,U1339,,,,323-U1339D-14H-CC,c3763418ac2ad54821858a5b63db7cc8
323,U1339D 15H-CC,137.14,137.24,G,A,F,,C,C,C,F,,,F,,C,C,,F,,F,C,,,,,D,15,CC,H,U1339,,,,323-U1339D-15H-CC,58d0d657583ad70876b97975a65ad3ac
323,U1339D 16H-CC,147.16,147.26,G,C,F,,F,F,F,F,,,,,F,C,,F,,F,,,,,,D,16,CC,H,U1339,,,,323-U1339D-16H-CC,03b8d2f3f385da0818fb93df97becf3b
323,U1339D 17H-CC,157.88,157.98,G,C,F,,F,,F,F,C,,,,F,C,,,,F,,F,,,,D,17,CC,H,U1339,,,,323-U1339D-17H-CC,e45410bc4da36fe174284378c862fd14
323,U1339D 18H-CC,167.18,167.28,G,F,F,,F,,,,F,,,,F,F,,F,,F,,,,,,D,18,CC,H,U1339,,,,323-U1339D-18H-CC,3bcc75c1eecc323411ea92e5128fb7f5
323,U1339D 19H-CC,176.77,176.87,G,C,F,,F,,F,F,C,,F,,,F,,,,,,,,,,D,19,CC,H,U1339,,,,323-U1339D-19H-CC,9cd8975b2a361d0d6066b19ae6856678
323,U1339D 20H-CC,185.99,186.09,G,F,,,F,,F,,C,,,,,F,,F,,,,,,,,D,20,CC,H,U1339,,,,323-U1339D-20H-CC,6ad15bb7078204ec26398cfd3dc2f17e
323,U1339D 21H-CC,194.11,194.21,G,F,,,F,,F,,,,F,,F,F,,,,,,F,,,,D,21,CC,H,U1339,,,,323-U1339D-21H-CC,fcc4ba31b1b1f053d12bedd2ae785ce0
323,U1339D 22H-CC,200.77,200.83,G,F,,,F,,F,F,,F,,,,F,,,,,,F,,,,D,22,CC,H,U1339,,,,323-U1339D-22H-CC,8aefcfc8fb5e4aa7141f9c7b446423c5
