Sample,Top [cm],Bottom [cm],Datum name,Datum type,Datum age average (Ma),Biozone name (short),Biozone name,Preservation,Group abundance,Emiliania huxleyi,Gephyrocapsa caribbeanica,Gephyrocapsa oceanica,Gephyrocapsa sp. (<4 microns),Gephyrocapsa sp. (closed >4 microns),Gephyrocapsa sp. (4-5.5 microns),Gephyrocapsa sp. (>5.5 microns),Pseudoemiliania lacunosa,Reticulofenestra sp. (>7 microns),Reticulofenestra sp. (5-7 microns),Reticulofenestra sp. (3-5 microns),Reticulofenestra sp. (<3 microns),Reticulofenestra asanoi,Reticulofenestra pseudoumbilicus,Cyclicargolithus floridanus,Coccolithus pelagicus,Calcidiscus leptoporus,Calcidiscus macintyrei,Helicosphaera carteri,Helicosphaera sellii,Helicosphaera spp.,Pontosphaera japonica,Pontosphaera multipora,Pontosphaera sp.,Scyphosphaera spp.,Rhabdosphaera clavigera,Syracosphaera pulchra,Syracosphaera spp.,Braarudosphaera bigelowii,Discosphaera tubifera,Umbellosphaera irregularis,Umbellosphaera tenuis,Calciosolenia murrayi,Discoaster brouweri,Discoaster asymmetricus,Discoaster tamalis,Discoaster triradiatus,Discoaster surculus,Discoaster variabilis,Discoaster pentaradiatus,Discoaster quinqueramus,Discoaster challengeri,Discoaster spp.,Sphenolithus abies,Sphenolithus spp.,Ceratolithus cristatus,Ceratolithus armatus,Ceratolithus acutus,Ceratolithus rugosus,Ceratolithus spp.,Amaurolithus delicatus,Amaurolithus tricorniculatus,Amaurolithus primus,Amaurolithus spp.,Nicklithus amplificus,Triquetrorhabdulus rugosus,Florisphaera profunda,Reworked species,Nannofossil comment,Top Depth [m],Bottom Depth [m],Exp,Site,Hole,Core,Type,Section,A/W
361-U1479B-4H-3-W 75/75-NANNO,28.95,28.95,,,,NN19,"NN19 - Pseudoemiliania lacunosa (Gradstein et al., 2012)",G,A,,,,A,,C,,C,,,,,F,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,361,U1479,B,4,H,3,W
361-U1479B-4H-4-W 75/75-NANNO,30.45,30.45,"Tc Reticulofenestra asanoi (Gradstein et al., 2012)",Tc,0.91,NN19,"NN19 - Pseudoemiliania lacunosa (Gradstein et al., 2012)",G,A,,,,C,,C,,C,,,,,C,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,361,U1479,B,4,H,4,W
361-U1479B-4H-5-W 75/75-NANNO,31.95,31.95,,,,NN19,"NN19 - Pseudoemiliania lacunosa (Gradstein et al., 2012)",G,A,,,,A,,C,,F,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,361,U1479,B,4,H,5,W
361-U1479B-4H-CC-PAL-NANNO,33.87,33.92,,,,NN19,"NN19 - Pseudoemiliania lacunosa (Gradstein et al., 2012)",G,A,,C,,A,,C,C,C,P,,,A,,P,,C,C,,C,,,F,P,F,,,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,361,U1479,B,4,H,CC,PAL
361-U1479B-5H-2-W 75/75-NANNO,36.95,36.95,"Br Gephyrocapsa (>4 µm) (Gradstein et al., 2012)",Br,1.04,NN19,"NN19 - Pseudoemiliania lacunosa (Gradstein et al., 2012)",G,A,,,,C,,F,,C,,,,,C,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,361,U1479,B,5,H,2,W
361-U1479B-5H-3-W 75/75-NANNO,38.45,38.45,,,,NN19,"NN19 - Pseudoemiliania lacunosa (Gradstein et al., 2012)",G,A,,,,C,,,,C,,,,,A,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,361,U1479,B,5,H,3,W
361-U1479B-5H-4-W 75/75-NANNO,39.95,39.95,,,,NN19,"NN19 - Pseudoemiliania lacunosa (Gradstein et al., 2012)",G,A,,,,C,,,,F,,,,,A,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,361,U1479,B,5,H,4,W
361-U1479B-5H-5-W 75/75-NANNO,41.45,41.45,,,,NN19,"NN19 - Pseudoemiliania lacunosa (Gradstein et al., 2012)",M,A,,,,C,,,,C,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,361,U1479,B,5,H,5,W
361-U1479B-5H-CC-PAL-NANNO,44.36,44.41,,,,NN19,"NN19 - Pseudoemiliania lacunosa (Gradstein et al., 2012)",G,A,,,,C,,C,,C,C,C,C,A,,C,,C,C,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,361,U1479,B,5,H,CC,PAL
361-U1479B-6H-2-W 26/26-NANNO,45.47,45.47,,,,NN19,"NN19 - Pseudoemiliania lacunosa (Gradstein et al., 2012)",M,A,,,,,,,R,C,,,,,C,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,361,U1479,B,6,H,2,W
361-U1479B-6H-4-W 75/75-NANNO,47.27,47.27,,,,NN19,"NN19 - Pseudoemiliania lacunosa (Gradstein et al., 2012)",M,A,,,,,,,R,C,,,,,C,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,361,U1479,B,6,H,4,W
361-U1479B-6H-5-W 75/75-NANNO,48.75,48.75,,,,NN19,"NN19 - Pseudoemiliania lacunosa (Gradstein et al., 2012)",G,A,,,,,,,,C,,,,,C,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,361,U1479,B,6,H,5,W
361-U1479B-6H-7-W 75/75-NANNO,51.18,51.18,,,,NN19,"NN19 - Pseudoemiliania lacunosa (Gradstein et al., 2012)",G,A,,,,,,,,C,,,,,A,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,361,U1479,B,6,H,7,W
361-U1479B-6H-CC-PAL-NANNO,53.11,53.16,,,,NN19,"NN19 - Pseudoemiliania lacunosa (Gradstein et al., 2012)",G,A,,,,,,,,A,,,A,A,,,,C,C,,C,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,361,U1479,B,6,H,CC,PAL
361-U1479B-7H-2-W 75/75-NANNO,55.95,55.95,"T Helicosphaera sellii (Gradstein et al., 2012)",T,1.26,NN19,"NN19 - Pseudoemiliania lacunosa (Gradstein et al., 2012)",G,A,,,,,,,A,C,,,,,,,,C,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,361,U1479,B,7,H,2,W
361-U1479B-7H-3-W 75/75-NANNO,57.45,57.45,,,,NN19,"NN19 - Pseudoemiliania lacunosa (Gradstein et al., 2012)",G,A,,,,,,,A,,,,,,,,,C,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,361,U1479,B,7,H,3,W
361-U1479B-7H-4-W 75/75-NANNO,58.95,58.95,,,,NN19,"NN19 - Pseudoemiliania lacunosa (Gradstein et al., 2012)",G,A,,,,,,C,A,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,361,U1479,B,7,H,4,W
361-U1479B-7H-CC-PAL-NANNO,60.51,60.56,,,,NN19,"NN19 - Pseudoemiliania lacunosa (Gradstein et al., 2012)",G,A,,A,,,,A,C,C,F,C,A,A,,F,,C,C,,,F,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,361,U1479,B,7,H,CC,PAL
361-U1479B-8H-1-W 75/75-NANNO,63.95,63.95,,,,NN19,"NN19 - Pseudoemiliania lacunosa (Gradstein et al., 2012)",M,A,,,,,,A,A,,,,,,,,,F,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,361,U1479,B,8,H,1,W
361-U1479B-8H-2-W 75/75-NANNO,65.45,65.45,,,,NN19,"NN19 - Pseudoemiliania lacunosa (Gradstein et al., 2012)",G,A,,,,,,C,C,,,,,,,,,A,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,361,U1479,B,8,H,2,W
361-U1479B-8H-3-W 35/35-NANNO,66.55,66.55,,,,NN19,"NN19 - Pseudoemiliania lacunosa (Gradstein et al., 2012)",G,A,,,,,,A,A,,,,,,,,,C,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,361,U1479,B,8,H,3,W
361-U1479B-8H-CC-PAL-NANNO,68.04,68.09,,,,NN16,"NN16 - Discoaster surculus (Gradstein et al., 2012)",G,A,,A,,C,,A,F,C,,P,,C,,P,P,F,,,,,,,,C,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,361,U1479,B,8,H,CC,PAL
361-U1479B-9H-1-W 75/75-NANNO,73.45,73.45,"T Calcidiscus macintyrei (Gradstein et al., 2012)",T,1.6,NN19,"NN19 - Pseudoemiliania lacunosa (Gradstein et al., 2012)",G,A,,,,,,C,R,C,F,,,,,,,F,,C,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,361,U1479,B,9,H,1,W
361-U1479B-9H-2-W 75/75-NANNO,74.95,74.95,"B Gephyrocapsa (>5.5 µm) (Gradstein et al., 2012)",B,1.62,NN19,"NN19 - Pseudoemiliania lacunosa (Gradstein et al., 2012)",G,A,,,,,,C,R,C,F,,,,,,,F,,C,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,361,U1479,B,9,H,2,W
361-U1479B-9H-3-W 75/75-NANNO,76.45,76.45,,,,NN19,"NN19 - Pseudoemiliania lacunosa (Gradstein et al., 2012)",G,A,,,,,,C,,C,F,,,,,,,F,,F,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,361,U1479,B,9,H,3,W
361-U1479B-9H-4-W 75/75-NANNO,77.95,77.95,,,,NN19,"NN19 - Pseudoemiliania lacunosa (Gradstein et al., 2012)",G,A,,,,,,C,,C,F,,,,,,,F,,F,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,361,U1479,B,9,H,4,W
361-U1479B-9H-5-W 75/75-NANNO,79.45,79.45,,,,NN19,"NN19 - Pseudoemiliania lacunosa (Gradstein et al., 2012)",G,A,,,,,,F,,C,R,,,,,,,F,,F,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,361,U1479,B,9,H,5,W
361-U1479B-9H-6-W 75/75-NANNO,80.95,80.95,,,,NN19,"NN19 - Pseudoemiliania lacunosa (Gradstein et al., 2012)",G,A,,,,,,C,,C,R,,,,,,,F,,F,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,361,U1479,B,9,H,6,W
361-U1479B-9H-CC-PAL-NANNO,81.59,81.64,,,,NN19,"NN19 - Pseudoemiliania lacunosa (Gradstein et al., 2012)",G,A,,,,,,C,,C,P,,C,C,,,P,C,C,C,C,F,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,F,,,,361,U1479,B,9,H,CC,PAL
361-U1479B-10H-2-W 75/75-NANNO,84.45,84.45,"B Gephyrocapsa (>4 µm) (Gradstein et al., 2012)",B,1.73,NN19,"NN19 - Pseudoemiliania lacunosa (Gradstein et al., 2012)",G,A,,,,C,,F,,C,F,,,,,,,F,,C,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,361,U1479,B,10,H,2,W
361-U1479B-10H-4-W 75/75-NANNO,87.45,87.45,,,,NN19,"NN19 - Pseudoemiliania lacunosa (Gradstein et al., 2012)",G,A,,,,,,,,C,F,,,,,,,C,,F,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,361,U1479,B,10,H,4,W
361-U1479B-10H-6-W 75/75-NANNO,90.45,90.45,,,,NN19,"NN19 - Pseudoemiliania lacunosa (Gradstein et al., 2012)",G,A,,,,,,,,C,F,,,,,,,F,,C,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,361,U1479,B,10,H,6,W
361-U1479B-10H-CC-PAL-NANNO,92.06,92.11,,,,NN19,"NN19 - Pseudoemiliania lacunosa (Gradstein et al., 2012)",G,A,,,,,,,,C,P,F,C,A,,,,C,F,C,,C,,,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,large leptoporus,,,361,U1479,B,10,H,CC,PAL
361-U1479B-11H-2-W 75/75-NANNO,93.95,93.95,,,,NN19,"NN19 - Pseudoemiliania lacunosa (Gradstein et al., 2012)",G,A,,,,,,,,C,C,C,A,A,,C,,C,,C,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,361,U1479,B,11,H,2,W
361-U1479B-11H-4-W 75/75-NANNO,96.95,96.95,,,,NN19,"NN19 - Pseudoemiliania lacunosa (Gradstein et al., 2012)",G,A,,,,,,,,C,F,F,A,A,,C,,C,,F,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,361,U1479,B,11,H,4,W
361-U1479B-11H-6-W 75/75-NANNO,99.95,99.95,"T Discoaster brouweri (Gradstein et al., 2012)",T,1.93,NN18 - NN19,"NN18 - Discoaster brouweri - NN19 - Pseudoemiliania lacunosa (Gradstein et al., 2012)",M,A,,,,,,,,C,,F,C,A,,,,A,,F,,F,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,F,,,,361,U1479,B,11,H,6,W
361-U1479B-11H-CC-PAL-NANNO,101.46,101.51,,,,NN18,"NN18 - Discoaster brouweri (Gradstein et al., 2012)",G,A,,,,,,,,C,P,,A,,,P,,A,F,F,,R,,,,F,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,R,Abundant large pelagicus,,,361,U1479,B,11,H,CC,PAL
361-U1479B-12H-1-W 75/75-NANNO,101.95,101.95,,,,NN18,"NN18 - Discoaster brouweri (Gradstein et al., 2012)",M,A,,,,,,,,F,,F,C,A,,,,A,,F,,F,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,F,,,,361,U1479,B,12,H,1,W
361-U1479B-12H-3-W 75/75-NANNO,104.95,104.95,,,,NN18,"NN18 - Discoaster brouweri (Gradstein et al., 2012)",M,A,,,,,,,,C,,,C,A,,,,A,,F,,C,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,F,,,,361,U1479,B,12,H,3,W
361-U1479B-12H-6-W 75/75-NANNO,109.45,109.45,"T Discoaster pentaradiatus (Gradstein et al., 2012)",T,2.39,NN18,"NN18 - Discoaster brouweri (Gradstein et al., 2012)",G,A,,,,,,,,F,,,C,A,,,,A,,F,,F,,,,,,,,,,,,,,C,,,,,,F,,,,,,,,,,,,,,,,,,R,,,,361,U1479,B,12,H,6,W
361-U1479B-12H-CC-PAL-NANNO,111.01,111.06,,,,NN18,"NN18 - Discoaster brouweri (Gradstein et al., 2012)",G,A,,,,,,,,C,,F,A,C,,,,C,C,F,F,F,F,,,,,,,,,,,,,F,,,,,,F,,,,,,P,,,,,,,,,,,,,,,,361,U1479,B,12,H,CC,PAL
361-U1479B-13H-3-W 75/75-NANNO,114.45,114.45,"T Discoaster surculus (Gradstein et al., 2012)",T,2.49,NN16,"NN16 - Discoaster surculus (Gradstein et al., 2012)",G,A,,,,,,,,F,,R,,A,,F,,A,,F,,C,,,,,,,,,,,,,,F,,,,C,,F,,,,,,,,,,,,,,,,,,F,,,,361,U1479,B,13,H,3,W
361-U1479B-13H-6-W 75/75-NANNO,118.95,118.95,,,,NN16,"NN16 - Discoaster surculus (Gradstein et al., 2012)",G,A,,,,,,,,F,,F,F,A,,F,,A,,F,,F,,,,,,,,,,,,,,F,,,,F,,F,,,,,,,,,,,,,,,,,,,,,,361,U1479,B,13,H,6,W
361-U1479B-13H-CC-PAL-NANNO,120.5,120.55,,,,NN16,"NN16 - Discoaster surculus (Gradstein et al., 2012)",G,A,,F,,,,,,F,R,,A,A,,,,C,F,C,F,F,,,,,,,F,,,,,,,F,,,P,,,R,,,,,R,,,,,,,,,,,,,,,,,361,U1479,B,13,H,CC,PAL
361-U1479B-14H-2-W 75/75-NANNO,122.45,122.45,,,,NN16,"NN16 - Discoaster surculus (Gradstein et al., 2012)",M,A,,,,,,,,,,,A,A,,,,A,,C,,F,,,,,,,,,,,,,,F,,R,,F,,R,,,,,,,,,,,,,,,,,,C,,,,361,U1479,B,14,H,2,W
361-U1479B-14H-4-W 75/75-NANNO,125.45,125.45,,,,NN16,"NN16 - Discoaster surculus (Gradstein et al., 2012)",M,A,,,,,,,,,,,A,A,,,,C,,C,,F,,,,,,,,,,,,,,F,F,R,,F,,F,,,,,,,,,,,,,,,,,,,,,,361,U1479,B,14,H,4,W
361-U1479B-14H-6-W 75/75-NANNO,128.45,128.45,,,,NN16,"NN16 - Discoaster surculus (Gradstein et al., 2012)",G,A,,,,,,,,C,,,A,A,,,,A,,C,,C,,,,,,,,,,,,,,R,R,,,F,,F,,,,,,,,,,,,,,,,,,,,,,361,U1479,B,14,H,6,W
361-U1479B-14H-CC-PAL-NANNO,129.81,129.86,,,,NN16,"NN16 - Discoaster surculus (Gradstein et al., 2012)",G,A,,,,,,,,F,,C,A,A,,,,A,F,C,,C,F,,,,,,,R,,,,,,R,,P,,R,,F,,,,,,,,,,,,,,,,,,,pieces of discoasters,,,361,U1479,B,14,H,CC,PAL
361-U1479B-15H-2-W 75/75-NANNO,131.95,131.95,"T Discoaster tamalis (Gradstein et al., 2012)",T,2.8,NN16,"NN16 - Discoaster surculus (Gradstein et al., 2012)",G,A,,,,,,,,F,,C,A,A,,,,A,,F,,R,,,,,,,,,,,,,,F,,F,,F,,F,,,,,,,,,,,,,,,,,,R,,,,361,U1479,B,15,H,2,W
361-U1479B-15H-5-W 75/75-NANNO,136.45,136.45,,,,NN16,"NN16 - Discoaster surculus (Gradstein et al., 2012)",M,A,,,,,,,,C,F,C,A,A,,,,A,,C,,C,,,,,,,,,,,,,,F,P,F,,F,,R,,,,,,,,,,,,,,,,,,,,,,361,U1479,B,15,H,5,W
361-U1479B-15H-CC-PAL-NANNO,139.57,139.62,,T,2.8,NN16,"NN16 - Discoaster surculus (Gradstein et al., 2012)",G,A,,,,,,,,F,,,A,A,,,,A,C,C,,C,C,,,,,R,,,,,,,R,F,F,F,,F,,F,,,,,,,,,,,,,,,,,,,,,,361,U1479,B,15,H,CC,PAL
361-U1479B-16H-2-W 75/75-NANNO,141.45,141.45,,,,NN16,"NN16 - Discoaster surculus (Gradstein et al., 2012)",G,A,,,,,,,,F,F,,A,A,,,,A,,C,,F,,,,,,,,,,,,,,F,F,F,,F,,F,,,,,,,,,,,,,,,,,,F,,,,361,U1479,B,16,H,2,W
361-U1479B-16H-4-W 75/75-NANNO,144.45,144.45,,,,NN16,"NN16 - Discoaster surculus (Gradstein et al., 2012)",G,A,,,,,,,,C,,C,A,A,,,,C,,C,,C,,,,,,,,,,,,,,P,P,P,,F,,F,,,,,,,,,,,,,,,,,,C,,,,361,U1479,B,16,H,4,W
361-U1479B-16H-6-W 75/75-NANNO,147.45,147.45,,,,NN16,"NN16 - Discoaster surculus (Gradstein et al., 2012)",M,A,,,,,,,,F,,,A,A,,,,A,,C,,F,,,,,,,,,,,,,,F,F,P,,F,,F,,,,,,,,,,,,,,,,,,F,,,,361,U1479,B,16,H,6,W
361-U1479B-16H-CC-PAL-NANNO,148.97,149.02,,,,NN16,"NN16 - Discoaster surculus (Gradstein et al., 2012)",G,A,,,,,,,,C,,C,A,A,,F,,C,C,C,,F,C,,,F,,,,,,,,,,F,R,F,,F,,F,,,R,,,,,,,,,,,,,,F,R,,,,361,U1479,B,16,H,CC,PAL
