Exp,Site,Hole,Core,Type,Section,Top Depth [m],Bottom Depth [m],Preservation,Dinocysts,Org .linnings of foraminifers,Bitectatodinium tepikiense,Brigantedinium cariacoense,Brigantedinium simplex,Brigantedinium spp.,Filisphaera filifera,Impagidinium spp.,Islandinium imnutum,Islandinium Morphtype Cesare,Islandinium ium cf. brevispinosum,Lejeunecysta spp.,Operculodinium centrocarpum,O. centrocarpum-Arctic morphotype,O. centrocarpum var. short processes,Pentapharsodinium dalei,Polykrikos - Arctic morphotype,Polykrikos schwartzii,Protoperidinium americanum,Quinquecuspis concreta,Selenopemphix nephroides,Spiniferites ramosus,Spiniferites elongatus,Spiniferites frigidus,Trinovantedinium variabile,Top [cm],Bottom [cm],A/W,Sample,eodp_id
323,U1344,A,30,X,CC,280.2,280.3,M,C,C,,,R,D,,,D,,,,,,,,,,,,,,,,,,,,323-U1344A-30X-CC-nan,309f5abc98b5513501ea8c222ad33971
323,U1344,A,32,X,CC,299.1,299.2,G,A,R,,R,F,D,,,A,R,,,F,,,,,,,,,R,R,,,,,,323-U1344A-32X-CC-nan,b2c841726b813f4a30935f9a7f4bd103
323,U1344,A,34,X,CC,318.3,318.4,M,A,R,,R,A,D,,,A,R,,,,,,,,,,,,,,,,,,,323-U1344A-34X-CC-nan,a2a202acb57e985d78bda61b3cd4b4fa
323,U1344,A,36,X,CC,338.8,338.9,M,A,R,,R,A,D,,,,,,,,,,,,,,,,,,,,,,,323-U1344A-36X-CC-nan,b7c823ce8ffcdc2d5f254c0120f60f3a
323,U1344,A,38,X,CC,357.0,357.1,M,A,R,,,F,D,,,D,,,,,,R,,,,,,,,,,,,,,323-U1344A-38X-CC-nan,6e239fe3906438a376ce3527865d179c
323,U1344,A,40,X,CC,373.1,373.2,M,F,R,,,P,P,,,,,,,,,,,,,,,,,,,,,,,323-U1344A-40X-CC-nan,b53aeb0635f5cfc609edd183c5b9de91
323,U1344,A,42,X,CC,397.4,397.5,P,C,R,,A,A,D,,,,,,,,,,,,,,,,,,,,,,,323-U1344A-42X-CC-nan,e455340ded4999bd84f5fb431b2c31d0
323,U1344,A,44,X,CC,414.9,415.0,M,C,C,,,A,D,,,R,,,,A,,R,,,,,,,,,,,,,,323-U1344A-44X-CC-nan,b38800c1f3df3b5b6885af7242d60692
323,U1344,A,46,X,CC,434.0,434.1,M,C,R,,,A,D,,,,,R,,,,,,,,,,,,,,,,,,323-U1344A-46X-CC-nan,ea7e53fb3644f99a4c81f7e905c21eb5
323,U1344,A,48,X,CC,451.6,451.7,M,C,R,,A,A,D,,,F,,,,,,,,,,,R,,,,,,,,,323-U1344A-48X-CC-nan,5ad00fdc9195e17f31f953a1f15b7c33
323,U1344,A,49,X,CC,461.8,461.9,M,C,R,,F,A,D,,,,,,,R,,,,,,,,,,,,,,,,323-U1344A-49X-CC-nan,891cc239b515316a8173adb8409824f1
323,U1344,A,50,X,CC,473.4,473.5,G,C,R,,F,A,D,F,,F,,,,,,,,,,,,,,,,,,,,323-U1344A-50X-CC-nan,baa10cafcad25459905024dc94858062
323,U1344,A,51,X,CC,482.6,482.7,M,C,R,,,,D,F,,,,,,,,,,,,,R,,,,,,,,,323-U1344A-51X-CC-nan,6c36afd008efd61b8236e20a47b7bff1
323,U1344,A,52,X,CC,493.1,493.2,G,A,F,,R,R,F,D,,R,,,,,,,,,,,,,,,,,,,,323-U1344A-52X-CC-nan,29b9366da17406cab05a1ca55138812e
323,U1344,A,53,X,CC,502.0,502.1,M,C,F,R,,F,D,D,,R,,,,,,,,,,,,,,,,,,,,323-U1344A-53X-CC-nan,f43d1a0637a8fed46450cbeb7cb32697
323,U1344,A,54,X,CC,511.9,512.0,M,C,C,,F,F,D,F,,F,,,,,,,,,,,R,,,,,R,,,,323-U1344A-54X-CC-nan,db475ab05e5971a4fc1c01b2cc6fc5d4
323,U1344,A,56,X,CC,530.2,530.3,P,C,R,,,A,D,D,,,,,,,,,,,,,,,,,,,,,,323-U1344A-56X-CC-nan,302e87a983a948d5d91a96025d76748d
323,U1344,A,58,X,CC,549.5,549.6,G,A,R,,R,R,F,D,,R,,,,,,,,,,,,,,,,,,,,323-U1344A-58X-CC-nan,ca454b1343f57d02f428d0bd0abc35e5
323,U1344,A,60,X,CC,567.3,567.4,M,A,R,,,,F,D,,,,,,,,,,,,,,,,,,,,,,323-U1344A-60X-CC-nan,75b212f7aa4645efea8be908b35f0bc7
323,U1344,A,62,X,CC,587.5,587.6,M,C,,,R,A,D,A,,R,,,,,,,,,,,,,,,,,,,,323-U1344A-62X-CC-nan,67794674e198e343280dbfa7b13c9abc
323,U1344,A,64,X,CC,607.6,607.7,P,F,C,,,P,P,P,,,,,P,,,,,,,,,,,,,,,,,323-U1344A-64X-CC-nan,48e5997496aa78a7eaa9c52f954346fb
323,U1344,A,65,X,CC,618.0,618.1,P,F,R,,,,P,,,,,,,,,,,,,,,,,,,,,,,323-U1344A-65X-CC-nan,aeeb0529baaab53f0aadef3013bedac7
323,U1344,A,68,X,CC,645.9,646.0,M,F,,,,F,D,A,,,,,,,,,,,,,,,,,,,,,,323-U1344A-68X-CC-nan,ebdb5f80032eb4c0b019bd277d33c3c1
323,U1344,A,70,X,CC,666.4,666.5,P,R,,,,,P,,,,,,,,,,,,,,,,,,,,,,,323-U1344A-70X-CC-nan,2720ed638ff40c572e7b5dd2b466d8d4
323,U1344,A,72,X,CC,683.5,683.6,M,F,R,,,P,P,,,,,,,,,,,,,,,,,,,,,,,323-U1344A-72X-CC-nan,6a7d884793d34dfd25955cf423133087
323,U1344,A,74,X,CC,703.6,703.7,M,C,R,,R,A,D,R,,R,,,,,,,,,,,,,,,,,,,,323-U1344A-74X-CC-nan,88a89a96630c19859c18d8dd9a264e7e
323,U1344,A,76,X,CC,723.0,723.1,M,C,F,,,A,D,,,,,,,,,,,,,,,,,,,,,,,323-U1344A-76X-CC-nan,61cadee9629bb0173d511b4899e022b5
323,U1344,A,78,X,CC,739.7,739.8,M,C,R,,,A,D,A,,,,,,,,,,,,,,,,,,R,,,,323-U1344A-78X-CC-nan,be42cb6cc59e5a6b11d85643bff86ec8
323,U1344,A,79,X,CC,746.5,746.6,M,F,R,,,,P,P,,,,,,,,,,,,,,,,,,P,,,,323-U1344A-79X-CC-nan,f6a87cc386ca3d9f36945d70c3acd105
323,U1344,E,1,H,CC,5.2,5.3,G,C,F,,R,A,A,,R,A,,,,A,,R,,,,R,,,,R,R,,,,,323-U1344E-1H-CC-nan,5dcf40c225810333ddb7d994f5894d98
323,U1344,E,2,H,CC,14.9,15.0,G,C,R,,R,A,D,,,A,,,,R,,,,,,,R,,,,,,,,,323-U1344E-2H-CC-nan,1e95f03f9b477b41c8cfb9106f2bfd7d
323,U1344,E,3,H,CC,24.8,24.9,G,A,F,,R,A,D,,,A,,,,R,,R,,,,,R,,,,,,,,,323-U1344E-3H-CC-nan,e20ea4471836bb2b52214fbee9bb3bda
323,U1344,E,4,H,CC,34.6,34.7,G,C,R,R,R,A,D,,,A,,,,,,,,,,,,,,,,,,,,323-U1344E-4H-CC-nan,7f15783aafe13bd6a87b44f975ef5878
323,U1344,E,5,H,CC,43.7,43.8,G,C,R,R,R,A,D,,,A,,,,R,,R,,,,,,,,,,,,,,323-U1344E-5H-CC-nan,24af80c0ced43751d7f18d02c2ac4bd5
323,U1344,E,6,H,CC,53.3,53.4,G,A,R,,F,A,D,,,A,,,,R,,,,,,,R,,,R,,,,,,323-U1344E-6H-CC-nan,8b093acdf59acc50c827a5cfa3ffd6dc
323,U1344,E,7,H,CC,62.0,62.1,G,C,R,,R,A,D,,,D,,,,,,,,,,,,,,,,,,,,323-U1344E-7H-CC-nan,eb45c50f896cba4bc89a66d67a476020
323,U1344,E,8,H,CC,72.0,72.1,M,A,C,,R,A,D,,,A,,,,A,,F,,,,,R,,,F,,,,,,323-U1344E-8H-CC-nan,93af349067c1b67345add7896ff22ca9
323,U1344,E,9,H,CC,81.3,81.4,M,C,,,,A,D,,,A,,,,,,F,,,,,,,,,,,,,,323-U1344E-9H-CC-nan,00902c1e7c4247f0ea898f6c8009542c
323,U1344,E,10,H,CC,90.8,90.9,G,A,F,,R,A,D,,,A,,,,F,,F,,,,,,,,R,,,,,,323-U1344E-10H-CC-nan,abb3d25d8698cbebce5246492c2286eb
323,U1344,E,12,H,CC,103.0,103.1,G,C,F,R,,F,D,,,D,,,,,,R,R,,,,R,,,F,,,,,,323-U1344E-12H-CC-nan,549bd4264e7542f303b19c7f65c3d19f
323,U1344,E,13,H,CC,112.8,112.9,M,F,R,,,P,P,,,,,,,A,,,,,,,,,,,,,,,,323-U1344E-13H-CC-nan,2f98ce0dcdc2e902e0ba6df77d44c236
323,U1344,E,14,H,CC,122.4,122.5,M,C,,,R,A,D,,,A,,,,,,,,,,,,,,,,,,,,323-U1344E-14H-CC-nan,d6174183d27773d2971ca663c9e449d5
323,U1344,E,15,H,CC,127.0,127.1,M,C,R,R,,A,D,,,F,,,,,,,,,,,R,,,,,,,,,323-U1344E-15H-CC-nan,3a5cdca8f40ec32b5ab87c8b47a3864f
323,U1344,E,16,H,CC,136.4,136.5,M,C,R,,,F,D,,,D,,,,,,,,,,,,,,,,,,,,323-U1344E-16H-CC-nan,1a57f61352be9e9de709541f66763574
323,U1344,E,17,H,CC,144.9,145.0,G,A,F,,F,A,D,,,R,,,,,,,,,,,,,,,,,,,,323-U1344E-17H-CC-nan,15ddb07031fdc731cc25230d7f3a4ef3
323,U1344,E,18,H,CC,155.4,155.5,G,A,F,,R,D,D,,,R,,,,,,,,,,,,,,,,,,,,323-U1344E-18H-CC-nan,7029f0635b8bad50b07f7379c7e2afe8
323,U1344,E,19,H,CC,165.3,165.4,G,A,,,R,A,D,,,R,,,,R,,,,,,,,,,,,,,,,323-U1344E-19H-CC-nan,e6418ccffc5f2ac0192c309a3d9610f0
323,U1344,E,20,H,CC,174.2,174.3,M,C,,,,A,D,,,,,,,A,,,,,,,,,,,,,,,,323-U1344E-20H-CC-nan,7d399e7194612c9b455d8dfadb4cffa5
323,U1344,E,21,H,CC,182.5,182.6,G,C,R,,,A,D,,,A,,,,R,,,,,,,,,,,,,,,,323-U1344E-21H-CC-nan,5ca53ff928ed257d0416d04ad3f9cf59
323,U1344,E,22,H,CC,193.8,193.9,G,C,R,,F,A,D,,,F,,,,,,R,,,,,,,,,,,,,,323-U1344E-22H-CC-nan,1472bbd25c83c38d3c4ac5dcb45e7b6b
323,U1344,E,23,H,CC,202.7,202.8,G,C,R,,,A,D,,,F,,,,,,,,,,,,,,,,,,,,323-U1344E-23H-CC-nan,271b8267b44ee668e031eae8f5a2fb3f
