Exp,Site,Hole,Core,Section,interval (cm),Top Depth [m],Zone,Preservation,Abundance (%),Acarinina bullbrooki,Acarinina praetopilensis,Acarinina subsphaerica,Acarinina wilcoxensis,Acarinina spp.,Catapsydrax dissimilis,Catapsydrax unicavus,Chiloguembelina cubensis,Clavigerinella eocenica,Clavigerinella spp. (fragments),Dentoglobigerina galavisi,Dentoglobigerina globularis,Dentoglobigerina tripartita,Dentoglobigerina pseudovenezuelana,Dentoglobigerina spp.,Globigerina anguliofficinalis,Globigerina angulisuturalis,Globigerina bulloides,Globigerina ciperoensis,Globigerina officinalis,Globigerinoides primordius,Globoquadrina euapertura,Globoquadrina praedehiscens,Globoquardina rohri,Globoquadrina sellii,Globoquadrina spp.,Globoquadrina tapuriensis,Globoquadrina venezuelana,Paragloborotalia continuosa,Parasubbotina griffinae,Paragloborotalia griffinoides,Paragloborotalia kugleri,Paragloborotalia nana,Paragloborotalia opima,Paragloborotalia pseudocontinuosa,Paragloborotalia pseudokugleri,Paragloborotalia semivera,Paragloborotalia siakensis/mayeri,Parasubbotina varianta,Paragloborotalia spp.,Subbotina angiporoides,Subbotina corpulenta,Subbotina eoceana,Subbotina hagni,Subbotina linaperta,Subbotina patagonica,Subbotina senni,Subbotina utilisindex,Subbotina spp.,Turborotalia ampliapertura,Turborotalia increbescens,Tenuitellinata angustiumbilicata,Tenuitutella spp.,Top [cm],Bottom [cm],Type,Bottom Depth [m],A/W,Sample,eodp_id
320,U1333,B,18,CC,,162.94,Eocene,P,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,P,,,,,,,H,,,320-U1333B-18H-CC,aa259bf54e86fd6d7a23ec6c97fc7b9b
320,U1333,B,19,CC,,169.82,Eocene,P,<1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,P,,,,,,,,,,P,,,,,,,X,,,320-U1333B-19X-CC,8a27b11ef1df83f24e90b962049baffe
320,U1333,C,1,CC,,1.60,B,B,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H,,,320-U1333C-1H-CC,3ea04b76e4eea233a3323c08a756da18
320,U1333,C,2,CC,,11.58,O6,M,2,,,,,,,P,,,,,,P,,,,,,,,,P,P,,,,,P,,,,,,,,P,,,,,,,,,,,,,,,,,,,,H,,,320-U1333C-2H-CC,708275d5ed9e780b1b7856e8d3cda5b4
320,U1333,C,3,CC,,21.05,O6,M,20,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,P,,,,P,,,P,P,P,,P,,,,,,,,,,,,,,,,H,,,320-U1333C-3H-CC,bc47f6ca37608630575bc3830628ee0a
320,U1333,C,4,CC,,30.59,O6,M,30,,,,,,,P,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,H,,,320-U1333C-4H-CC,b8abaec3b0516928b8d492daae347b87
320,U1333,C,5,CC,,39.86,O6,G,70,,,,,,P,P,,,,,,P,,,,,,,,,P,,,,,,P,,,,,,,,,,,,P,,,,,,,,,,,,,,,,H,,,320-U1333C-5H-CC,09405c751ebccd62b1c60c3e47e3a941
320,U1333,C,6,CC,,49.63,O2–O5,G,70,,,,,,P,P,,,,,,,,P,,,,,,,P,,,,,,,,,,,P,P,P,,P,P,,,,,,,,,,,,P,,,,,,H,,,320-U1333C-6H-CC,48b9a35175801441dfabaa13952ea8b2
320,U1333,C,7,CC,,57.29,O2–O5,G,80,,,,,,,P,,,,P,P,,,,,,,,,,P,,,P,,,P,,,,,P,P,P,,,,,,,,,,,,,,,,P,,,,,H,,,320-U1333C-7H-CC,937141b6d9ff8b5ce61b4e84b1fb4061
320,U1333,C,8,CC,,68.58,O2–O5,G,70,,,,,,,P,,,,,P,,,P,,,,,,,P,,,,,,P,P,,,,,P,,,,,,,,,,,,,,,,,,,,,,H,,,320-U1333C-8H-CC,753105bd0e62c6c3d27b3cd99cf5a86e
320,U1333,C,9,CC,,77.79,E14–O2,M,30,,,,,,P,P,P,,,,,,,,,,,,,,P,,,,,,,,,,,,P,,,,,,,P,,,,,,,,,P,P,,,,,H,,,320-U1333C-9H-CC,82cf977b85d823372ac945a45b1ab1a9
320,U1333,C,10,CC,,87.67,E14–O2,M,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,P,,,,,,,,,,,,,,,H,,,320-U1333C-10H-CC,af85eb73711aa967d75c7248b7e38a77
320,U1333,C,11,CC,,96.21,O1–O2,M,30,,,,,,P,P,,,,P,,P,P,,,,,,P,,P,,,,,P,P,,,,,,,,,,,,,P,,P,,,,,,,,,,,,,H,,,320-U1333C-11H-CC,be4a9b4dbee6597ca45c82a5c0fb7b0f
320,U1333,C,12,CC,,99.72,E14–O2,M,20,,,,,,P,P,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,H,,,320-U1333C-12H-CC,5cc908c65c399c4665df795292f027db
320,U1333,C,13,CC,,108.01,E14–O1,M,20,,,,,,P,,,,,P,,,,,,,,,,,P,,,,,,,,,,,P,,,,,,,,,,P,,,,,P,,,,,,,,H,,,320-U1333C-13H-CC,984cfdf92d0b3945bf778909150314a8
320,U1333,C,14,CC,,117.58,E11–E16,P,<1,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,P,,,,,,,,,,,H,,,320-U1333C-14H-CC,a2de34570437f23563d477dbe47b230c
320,U1333,C,15,CC,,127.11,,B,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H,,,320-U1333C-15H-CC,26daa067016c2f0e1b5577afb4582a45
320,U1333,C,16,CC,,132.13,,B,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H,,,320-U1333C-16H-CC,fbaec63067b67b85b053425fa94b49f5
320,U1333,C,17,CC,,141.06,,B,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H,,,320-U1333C-17H-CC,0cf62d79bd5b86b0c7f659295b92b324
320,U1333,C,18,CC,,150.69,E7–E16,,0,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H,,,320-U1333C-18H-CC,fb9e7d427f3d030c2ba54785cbfc3af8
320,U1333,C,19,CC,,155.09,,B,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H,,,320-U1333C-19H-CC,298f1676f4087ce8342480a9558bf092
320,U1333,C,20,CC,,163.19,E5–E16,P,<1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,H,,,320-U1333C-20H-CC,5024a77d5fa052835dd97bea5143ef39
