Exp,Hole,"Core, section, interval (cm)",Top Depth [m],Presevation,Bathymetry,Abyssamina poagi,Abyssamina quadrata,Alabammina dissonata,Amphicoryna sp.,Anomalinoides sp.,Astacolus sp.,Astrononion echolsi,Bigenerina sp.,Buliminella parvula,Chrysalogonium crassitestum,Chrysalogonium sp. indet.,Cibicidoides eocanus,Cibicidoides grimusdalei,Cibicidoides havannsis,Cibicidoides mundulus,Cibicidoides premundulus,Cibicidoides sp. A,Cibicidoides sp. indet.,Cystammina pauciloculata,Dentalina spp.,Eggerella bradyi,Eggerella sp.,Favocassidulina spinifer,Gaudryina sp. indet,Glandulina sp.,Globocassidulina subglobosa,Globocassidulina sp.,Glomospira goldialis,Glomospira irregularis,Gyroidinoides soldanii,Gyroidinoides sp. A,Gyroidinoides sp. B,Gyroidinoides sp. C,Gyroidinoides sp. D,Gyroidinoides sp. indet.,Haplophragmoides walteri,Haplophragmoides sp. indet.,Karreriella chapapotensis,Karrerulina coniformis,Lenticulina spp.,Mattinotiella cummunis,Myllostonella spp.,Nodosaria spp.,Nonion affine,Nonion havanensis,Nuttallides truempyi,Nuttallides umbonifer,Oridorsalis umbonatus,Paratrochamminoides spp.,Pleurostomella sp.,Pullenia sp. A,Pyrulina spp.,Pseudoparrella exigua,Pseudopleurostomella spp.,Pullenia bulloides,Pullenia eocenica,Pullenia osloensis,Pullenia quinqueloba,Pullenia salisburyi,Pullenia subcarinata,Quadrimorphina profunda,Quinqueloculina sp.,Recurvoides spp.,Reticulophragmium amplectens,Reophax sp.,Siphonodosaria antillea,Siphonodosaria spinata,Siphonodosaria sp. indet.,Spheroidina bulloides,Spiroplectammina spectabilis,Textularia sp.,Trochamminoides? sp.,Tube-shaped agglutinated form.,Unilocular species,Valvulina spinosa,Agglutinated Foram. gen. et sp. indet.,Calc. Hyaline Foram. gen. et sp. indet.,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Section,Core,Type,Top [cm],Bottom [cm],Site,Bottom Depth [m],A/W,Sample,eodp_id
320,B,"5H-cc, 21-26 cm",37.63,G,LB-A,,,,,R,,R,,,,R,,F,A,A,,R,F,,,,,,,,,,,,R,,R,,,,,,R,,,R,,,,R,,R,A,,R,,R,,,,,,,,,,,,,,F,,F,R,R,,,R,R,R,,R,,,,,cc,5,H,21,26,U1332,,,320-U1332B-5H-cc,2474e7c17b7c6b05bfa838a92ed504c1
320,B,"6H-cc, 9-14 cm",48.50,G,LB-A,,,,,R,,,,,,,,,R,R,,R,F,,R,,,,,R,F,,,R,R,R,,R,,F,,,,,,,,R,,,,,F,,R,,R,,,,,R,,,,,,R,,,,R,F,F,R,,,R,F,R,R,F,,,,,cc,6,H,9,14,U1332,,,320-U1332B-6H-cc,ce747ca56d9fee9c1e7c0ff2791e8538
320,B,"7H-cc, 23-26 cm",58.07,G,LB-A,,,,,R,,,,,,,,,R,R,,R,A,,,,,,,,R,,,,R,F,,,,R,,,,,,,R,R,,R,,,A,,,,,,,R,,,R,,,,,R,,,F,,R,F,,,,,,,R,F,,,,,cc,7,H,23,26,U1332,,,320-U1332B-7H-cc,51165a68c60681b8dd088f6a058d023f
320,B,"8H-cc, 33-36 cm",67.47,G,LB-A,,,,,,,,,,,,,A,,R,,,F,,,,,,,,F,,,,,F,,,,,R,,,,,,,,R,,,,A,,,R,F,,,,,,,,,,,,,,,,F,,,,,A,,R,,R,,,,,cc,8,H,33,36,U1332,,,320-U1332B-8H-cc,a42e6e23f9f0fdea20430754d41780f2
320,B,"9H-cc, 33-36 cm",77.09,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,cc,9,H,33,36,U1332,,,320-U1332B-9H-cc,da81ec6cc91597e4ada4faff471c3190
320,B,"10H-cc, 21-24 cm",86.66,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,P,,,,,,,,,cc,10,H,21,24,U1332,,,320-U1332B-10H-cc,2ac47351abd30106341f84d26a434bdc
320,B,"11H-cc, 24-27 cm",93.84,P,,P,,,,,,,,,,,,P,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,P,,P,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,cc,11,H,24,27,U1332,,,320-U1332B-11H-cc,c8d610e5d201f2b535d9b0c647c2d69b
320,B,"12H-cc, 32-35 cm",101.03,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,cc,12,H,32,35,U1332,,,320-U1332B-12H-cc,94d0486924761cc992487f49c33a6900
320,B,"13H-cc, 31-36 cm",110.76,P,LB-A,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,D,,F,,F,,,,,,F,,,,,A,,,,,F,,,,,,,,,,,A,,,,,cc,13,H,31,36,U1332,,,320-U1332B-13H-cc,194ac4f31a5f83b213ea16ab48310d19
320,B,"14H-cc, 16-21 cm",119.78,P,,P,,,,,,,,,,,,P,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,cc,14,H,16,21,U1332,,,320-U1332B-14H-cc,9d2c2d34a8072fcce31c82a2061fc84c
320,B,"15X-cc, 37-42 cm",125.77,P,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cc,15,X,37,42,U1332,,,320-U1332B-15X-cc,89c58c9c10ccd2684b4e475e5ba7e4a9
320,B,"16X-cc, 29-34 cm",125.34,P,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,cc,16,X,29,34,U1332,,,320-U1332B-16X-cc,0fbb6037f05f5d52beb601d184e549cc
320,B,"17X-cc, 38-43 cm",135.06,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cc,17,X,38,43,U1332,,,320-U1332B-17X-cc,2635f5621ed59bfdf2cdb1139da31aef
320,C,"1H-cc, 19-22 cm",7.46,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cc,1,H,19,22,U1332,,,320-U1332C-1H-cc,734f79d21fa399b1805e2f813802b995
320,C,"2H-cc, 14-17 cm",17.45,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,P,,,,,,,,,cc,2,H,14,17,U1332,,,320-U1332C-2H-cc,3d5c7e91c3029079b9b2de628c4655af
320,C,"3H-cc, 18-21 cm",26.93,P,,,,,,,,,,,,,,,,,,,,,,,,A,,,R,,,R,R,,,R,,,,R,,,,,,,,,,A,A,,,,,,,,,,,,,,,,,,,,,,R,,,F,R,,,A,,,,,cc,3,H,18,21,U1332,,,320-U1332C-3H-cc,4f895d8049faa4d662ce3862ba91790d
320,C,"4H-cc, 28-31 cm",36.52,G,LB-A,,,,,,,,,R,,,,,,F,,R,F,,,,,,,,R,,,,R,R,R,R,R,,,,,,,,,R,,,,F,R,,,,,,,,,R,,,,,,R,,,F,R,R,,,,,A,,,R,F,,,,,cc,4,H,28,31,U1332,,,320-U1332C-4H-cc,95bca6346e4a97cb6f11beeecdbe0d4c
320,C,"6H-cc, 22-25 cm",45.76,G,LB-A,,,,,,,,,,,,,R,R,A,,A,R,,,,,,,,R,,,,F,R,R,,,R,,,,,,,,R,,,,,,,,R,R,,,,,,,,R,,R,,,,R,R,R,F,,,,A,R,,,A,,,,,cc,6,H,22,25,U1332,,,320-U1332C-6H-cc,9466574e28e8c2b38d9b1c4433d43263
320,C,"8H-cc, 22-25 cm",53.04,G,LB-A,,,,,,,,,,,,,F,,F,R,R,,,,R,,,,,F,R,,,R,,R,F,,R,,,R,,,,R,R,,,,F,A,,,,R,,,R,,,,,,,,,R,,R,R,R,,R,,,R,R,,,R,,,,,cc,8,H,22,25,U1332,,,320-U1332C-8H-cc,f426b35ca2dd7e00a9a0aac2d79f38b8
320,C,"7H-cc, 17-20 cm",59.43,G,LB-A,,,,,R,,,,,,,,,,R,,R,F,,,,,,,,F,,,R,R,R,A,,,,,,R,,,,,,,R,,,A,,,,R,,R,,,,,R,,,,,,,R,R,R,R,,,,,F,,R,R,,,,,cc,7,H,17,20,U1332,,,320-U1332C-7H-cc,6639559403d64b291d78290f4dae2432
320,C,"8H-cc, 32-35 cm",68.27,G,LB-A,,,,,,,R,,,,,,R,R,F,,,R,,,,,,,,A,,,,,F,,,,R,,,,,,,,,,,,R,A,,R,R,F,,,,,,,,,R,,R,,,R,,R,R,R,,,,R,,R,F,,,,,cc,8,H,32,35,U1332,,,320-U1332C-8H-cc,592e4b199d9364a31caac37dac32c596
320,C,"9H-cc, 32-37 cm",75.91,G,LB-A,,,,R,F,,F,,,,,,R,,R,,R,R,,P,,,,,R,F,R,,P,R,F,,R,,P,,P,P,,,,R,,,R,,R,A,,R,R,R,,,,,,P,,,R,,P,,,P,,R,P,P,R,,P,R,P,,F,,,,,cc,9,H,32,37,U1332,,,320-U1332C-9H-cc,dfdcf6cceb5062c7c57744122c178a81
320,C,"10H-cc, 29-34 cm",85.53,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,P,,,,,,cc,10,H,29,34,U1332,,,320-U1332C-10H-cc,bb0b5e978d542b71fdf19de0257899ef
320,C,"11H-cc, 31-36 cm",94.05,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,cc,11,H,31,36,U1332,,,320-U1332C-11H-cc,6e079f19fcef494cd64f59e76fd1920c
320,C,"12H-cc, 7-12 cm",103.21,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,P,,,,,,,,,cc,12,H,7,12,U1332,,,320-U1332C-12H-cc,804929e58a1766eeab2f68f90168d26f
320,C,"13H-cc, 31-36 cm",114.08,P,LB-A,,F,,,F,,,,,,,,F,,,,,F,,,,,,,,F,,,,,,,,,,,,,,,,,,,,A,,A,,,,F,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,cc,13,H,31,36,U1332,,,320-U1332C-13H-cc,535ebcb61a2afeb8d9fd0ba89c20a6f2
320,C,"14H-cc, 0-3 cm",119.69,P,LB-A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,R,,,,,R,,,F,,R,,,,,,,,,,,,,R,,,,,R,,,,,,,,,,,,,,,,cc,14,H,0,3,U1332,,,320-U1332C-14H-cc,f71ea91e7b5ff580ca4b2408c7818ff0
320,C,"15X-cc, 0-5 cm",127.38,P,LB-A,,P,P,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,cc,15,X,0,5,U1332,,,320-U1332C-15X-cc,91e64c76e07696051f29936017fa2f36
320,C,"16X-cc, 23-26 cm",134.64,P,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,cc,16,X,23,26,U1332,,,320-U1332C-16X-cc,9673347c31166564ac2eae97231cda77
320,C,"17X-cc, 8-11 cm",139.91,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cc,17,X,8,11,U1332,,,320-U1332C-17X-cc,442db704fa7c1526cc3d5744380da28e
