Sample,Top Depth [m],Bottom Depth [m],Radiolarian zone/subzone,Abundance,Preservation,Mixing,Acrobotrys tritubus,Amphirhopalum ypsilon,Anthocyrtidium angulare,Anthocyrtidum pliocenica,Botryostrobus miralestensis,Calocycletta caepa,Carpocanopsis cristata,Cycladophora davisiana,Cyrtocapsella cornuta,Cyrtocapsella japonica,Cyrtocapsella tetrapera,Diartus hughesi,Diartus petterssoni,Didymocyrtis antipenultima,Didymocyrtis avita,Didymocyrtis laticonus,Didymocyrtis penultima,Didymocyrtis tetratharamus,Lamaprocyrtis heteroporos,Lamaprocyrtis neoheteroporos,Lamaprocyrtis nigriniae,Lithopera neotera,Lychnodictyum audax,Nephrospyris renila,Phormostichoartus doliolum,Phormostichoartus fistula,Pterocanium prismatium,Solenosphaera omnitubus,Spongaster berminghami,Spongaster tetras tetras,Stichocorys delmontensis,Stichocorys johnsoni,Stichocorys pergrina,Stichocorys wolffii,Stylatractus universus,Theocorythium trachelium,Theocorythium vetulum,Top [cm],Bottom [cm],Exp,Site,Hole,Core,Type,Section,A/W,eodp_id
321-U1337B-11H-CC,105.99,106.04,RN9,A,M,,,,,R,,,,,,,,,,,R,,R,R,,,,,R,,R,,,R,R,,,,C,,,,R,,,321,U1337,B,11,H,CC,,f5951697388f223417e09a02a9eadfe5
321-U1337B-12H-CC,115.52,115.57,RN9,C,M,,,,,R,,,,,,,,,,,R,,R,R,,,,,R,,R,,,,,,,,F,,,,,,,321,U1337,B,12,H,CC,,927632f50a6f51ec6676eb3cea76e902
321-U1337B-13H-CC,125.06,125.11,RN8,C,M,,R,,,R,,R,,,,,,,,R,,,R,,,,,,R,,,R,,,R,,R,,R,,,,R,,,321,U1337,B,13,H,CC,,6120632198aaa1b675c583b853da57aa
321-U1337B-14H-CC,134.36,134.41,RN8,A,M,,,,,,,R,,,,,,,,R,,,R,,,,,,R,,R,R,,,R,,C,,,,,,,,,321,U1337,B,14,H,CC,,b30736a639f2dc1134b7a943f9160051
321-U1337B-15H-CC,144.19,144.24,RN8,A,M,,R,,,R,,R,,,,,,,,R,,,R,,,,,,R,,R,,,,R,,C,,,,,,R,,,321,U1337,B,15,H,CC,,47f662f71d9eb9f96e295481c8376605
321-U1337B-16H-CC,153.32,153.37,RN7,A,M,,,,,R,,R,,,,,,R,,R,,,R,,,,,,,,F,R,,,R,,C,R,,,,,,,,321,U1337,B,16,H,CC,,4c88f8f85ce7b241cb6e9a82fe1b5813
321-U1337B-17H-CC,163.11,163.16,RN7,A,M,,,,,,R,R,,,,,,R,,R,,R,,,,,,,,,R,R,,,R,,C,,,,,,,,,321,U1337,B,17,H,CC,,d4fe2a4bcf9036217b40e3731b225288
321-U1337B-18H-CC,172.36,172.41,RN7,A,M,,,,,R,R,R,,,,,,R,,R,,R,,,,,,,,,R,R,,,R,,C,,,,,,,,,321,U1337,B,18,H,CC,,fd0c99e69ead2fd0946888c54d6bd8bb
321-U1337B-19H-CC,181.92,181.97,RN6,C,M,,,,,R,R,,,,,,,,R,R,,R,,,,,,,,,,R,,,,,C,,,R,,,,,,321,U1337,B,19,H,CC,,0c3c5b218438dd094b10da55d600233e
321-U1337B-20H-CC,191.03,191.08,RN6,C,M,,,,,,R,R,,,,R,,,R,,,R,,,,,,,R,,R,,,,,,C,,,,,,,,,321,U1337,B,20,H,CC,,1039f590211a99be38205a5139c91fa1
321-U1337B-21H-CC,198.25,198.3,RN6,R,G,,,,,,,,,,,R,,,R,,,R,,,,,,,,,,,,,,,R,,,R,,,,,,321,U1337,B,21,H,CC,,216513490c2fbb3f3aa0d63748cb1b4b
321-U1337B-22H-CC,209.95,210,RN6,R,G,,,,,,R,R,R,,,R,,,R,,,R,,,,,,,,,,,,,,,R,,,,,,,,,321,U1337,B,22,H,CC,,59cd0f86410f0e717762b70da0039fdb
321-U1337B-23H-CC,216.22,216.27,RN6,C,G,,,,,,R,R,R,,,C,,,R,,,R,,,,,,,R,,R,R,,,,,C,,,R,,,,,,321,U1337,B,23,H,CC,,2196be867d851e722bb3cca95b64e27d
321-U1337B-24H-CC,226.33,226.38,RN6,A,G,,,,,,R,R,R,,,C,,,R,,,R,,,,,,R,,,R,R,,,,,C,,,R,,,,,,321,U1337,B,24,H,CC,,d8c7635e2ddb6ff9732c64f1bca3902c
321-U1337B-25H-CC,234.28,234.33,RN6,A,G,,,,,R,R,R,R,,R,,R,,R,,,R,,,,,,R,,,R,R,,,,,C,,,R,,,,,,321,U1337,B,25,H,CC,,76391fa9d74e1a6645cbb809a581d525
321-U1337B-26H-CC,243.28,243.33,RN6,C,G,,,,,R,R,,,,R,,R,,R,,,R,,,,,,R,,,R,,,,,,R,,,R,,,,,,321,U1337,B,26,H,CC,,71a97f464bf60e17d4fdb713fd037ef3
321-U1337B-27H-CC,245.14,245.19,RN6,R,G,,,,,,R,,,,,,R,,R,,,R,,,,,,R,,,R,R,,,,,R,,,R,,,,,,321,U1337,B,27,H,CC,,782a0ba4a573ed1a000a77a75ec24737
