Sample,Top Depth [m],Zone name (short),Preservation,Group abundance,Acarinina cf. medizzi,Catapsydrax dissimilis,Catapsydrax unicavus,Catapsydrax spp.,Chiloguembelina cubensis,Chiloguembelina otara,Clavigerinella spp. (fragments),Dentoglobigerina altispira,Dentoglobigerina baroemoensis,Dentoglobigerina galavisi,Dentoglobigerina globularis,Dentoglobigerina tripartita,Dentoglobigerina pseudovenezuelana,Dentoglobigerina spp.,Globigerina angulisuturalis,Globigerina ciperoensis,Globigerina officianilis,Globigerina praebulloides,Globigerina spp.,Globigerinoides altiapertura,Globigerinoides immaturus,Globigerinoides primordius,Globigerinoides spp.,Globoquadrina binaiensis,Globoquadrina dehiscens,Globoquadrina euapertura,Globoquadrina praedehiscens,Globoquadrina rohri,Globoquadrina sellii,Globoquadrina spp.,Globoquadrina tapuriensis,Globoquadrina venezuelana,Globorotalia (Fohsella) fohsi lobata,Globorotalia (Fohsella) fohsi robusta,Globorotalia (Hirsutella) scitula,Globoturborotalita anguliofficinalis,Globoturborotalita brazeri,Globoturborotalita ouachitaensis,Globoturborotalita woodi,Paragloborotalia bella,Paragloborotalia continuosa,Paragloborotalia nana,Paragloborotalia griffinoides,Paragloborotalia kugleri,Paragloborotalia opima,Paragloborotalia opima-nana transition,Paragloborotalia pseudocontinuosa,Paragloborotalia pseudokugleri,Paragloborotalia semivera,Paragloborotalia siakensis/mayeri,"Parasubbotina varianta
Paragloborotalia spp.",Parasubbotina griffinae,Praeorbulina sicana,Spharoidinellopsis disjuncta,Subbotina angiporoides,Subbotina eoceana,Subbotina linaperta,Subbotina utilisindex,Subbotina spp.,Turborotalia ampliapertura,Turborotalia increbescans,Turborotalia pomeroli,Turborotalia spp.,Tenuitellinata angustiumbilicata,Tenuitella munda,Tenuitutella spp.,Unnamed: 71,Top [cm],Bottom [cm],Bottom Depth [m],Exp,Site,Hole,Core,Type,Section,A/W,eodp_id
320-U1334A-4H-CC,37.18,B,B,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320,U1334,A,4,H,CC,,94007e21a7ef75a146a59501bfa01dcc
"320-U1334A-5H-4, 39–41",41.59,B,B,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320,U1334,A,5,H,4,,b629e4a1c85d99aad84d77244876678f
"320-U1334A-5H-6, 39–41",44.59,M1b,M,2,,P,P,,,,,,,,P,,,,,,,,,,,,,,P,,,,,,P,P,,,,,,,,,,,,P,,,,P,P,P,,,,,,,,,,,,,,,,,,,,,320,U1334,A,5,H,6,,79716042c43e68ea13f7b96ff47bcc0c
320-U1334A-5H-CC,46.78,M1b,G,50,,,,,,,,P,,,,,,,,,,,,,,,,,P,,,,,,,P,,,,,,,,,,P,,P,,,,P,,,,,,,,,,,,,,,,,,,,,,,320,U1334,A,5,H,CC,,a3a5e49571e258e94ebe5ed600f4c961
"320-U1334A-6H-2, 38–40",48.08,M1b,M,15,,P,P,,,,,,,,,P,,,,,,P,,,,,,,P,,,P,,,P,P,,,,,,,,,,P,,,,,,P,P,P,,,,,,,,,,,,,,,,,,,,,320,U1334,A,6,H,2,,d1bc7bd8eafba638a8ec6e510c2bc747
"320-U1334A-6H-4, 38–40",51.08,M1b,G,20,,P,P,,,,,,,,P,,,P,,,,,,,,,,P,,,,P,,,P,P,,,,,,,,,P,P,,,,,,P,P,P,,,,,,,,,,,,,,,,,,,,,320,U1334,A,6,H,4,,f02591953779b36dab17d8d5622ebf1c
320-U1334A-6H-CC,56.20,M1b,M,30,,,P,,,,,,,,P,P,,,,P,,,,,,P,,,,P,,,,,P,P,,,,,,,,,,,,P,,,,P,P,,,,,,,,,,,,,,,,,,,,,,320,U1334,A,6,H,CC,,f800d5f6f0a257ce27140d9838a15fd3
"320-U1334A-7H-3, 39–41",59.09,M1b,G,20,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,P,,,,,,,,,,,,,,,,,,,,,,,320,U1334,A,7,H,3,,c66926766dd8a7d7331030b2d0476504
"320-U1334A-7H-5, 38–40",62.08,M1b,G,20,,,P,,,,,,,,,P,,,,,,,,,,,,,P,,,P,P,,P,,,,,,,,,,P,,,,,,,P,P,P,,,,,,,,,,,,,,,,,,,,,320,U1334,A,7,H,5,,174ceb30a80a1ded8906ebe06b00568f
320-U1334A-7H-CC,65.66,M1b,M,20,,,,,,,,,,,,,,P,,,,,,P,,P,,,P,,,,,,,P,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,320,U1334,A,7,H,CC,,559042cb79cae0ccfb205fe5a24e69b1
"320-U1334A-8H-2, 38–40",67.08,M1b,M,15,,P,,,,,,,,,,P,,,P,,,P,,,,,,,,R,,,,,,P,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,P,P,,,,,,320,U1334,A,8,H,2,,c28dbccfbfd66c3c27aa7416068eb8ea
"320-U1334A-8H-5, 38–39",71.58,M1b,M,5,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,320,U1334,A,8,H,5,,cad9f364ca25170f81a61f26be1420d7
320-U1334A-8H-CC,75.06,M1b,M,20,,P,P,,,,,,,,P,P,,,P,,,,,,,,,,P,,,,P,,,,,,,,,,,,,,,P,,,,,P,,,,,,,,,,,,,,,,,,,,,,320,U1334,A,8,H,CC,,24e3143674009369f5a9f6d4d0ed5c7a
"320-U1334A-9H-2, 38–40",76.58,M1,P,<1,,,,,,,,,,,P,,,,,,,,,,,P,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320,U1334,A,9,H,2,,0206dea7951dec59f81529921679582e
"320-U1334A-9H-4, 38–40",79.58,B,B,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320,U1334,A,9,H,4,,0633beaad02ec217daab2fa7d2d50c35
320-U1334A-9H-CC,84.74,M1a,P,<1,,P,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320,U1334,A,9,H,CC,,4675df1f1ef766a4990494b6570dd0bc
"320-U1334A-10H-2, 38–39",86.08,M1a,G,5,,P,,,,,,,,,,,,P,,,,,,,,,,,,P,,,,,P,P,,,,,,,,,,,,P,,,,P,P,,,,,,,,,,,,,,,,,,,,,,320,U1334,A,10,H,2,,b72c9ce07d4aec8a7560eb890d760aa8
"320-U1334A-10H-5, 38–40",90.58,O6,M,<5,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,P,P,,,,,,P,P,P,,,,,,,,,,,,,,,,,,,,,320,U1334,A,10,H,5,,c303e1b3efcc1ddcef732507f3093850
320-U1334A-10H-CC,93.95,O6,G,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,P,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,320,U1334,A,10,H,CC,,630cdd386012cdd5a54f30614a14b880
320-U1334A-11H-CC,103.75,O6,M,<1,,P,P,,,,,,,,,P,,P,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,320,U1334,A,11,H,CC,,38a8925446edc377de13282e1067701f
"320-U1334A-12H-4, 105–107",108.75,B,B,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320,U1334,A,12,H,4,,e98f5e34c1521fc250d3bf581dfd491e
320-U1334A-12H-CC,112.58,O6,M,10,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,320,U1334,A,12,H,CC,,8487bdba35b87a0340cb8e442a9e4c06
"320-U1334A-13H-2, 38–40",113.58,O6,M,5,,,P,,,,,,,,,,P,P,P,,,,,,,,,,,,,,,,P,,,,,,,,,,,P,,,,,,P,,P,,,,,,,,,,,,,,,,,,,,,320,U1334,A,13,H,2,,bbc5e31188eeb99ed14a3b89c5a961d8
"320-U1334A-13H-4, 38–40",116.58,O6,P,<1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320,U1334,A,13,H,4,,4f7d935cdb5e074a7a6d62ace99ea894
320-U1334A-13H-CC,122.55,O6,M,15,,,,,,,,,P,,,,,,P,P,,,,,,,,,,,,,,,,,,,,,,,,,P,P,,,,,,,P,,P,,,,,,,,,,,,,,,P,,,,,320,U1334,A,13,H,CC,,b34df18460e0b7f1968f206bdf75990b
320-U1334A-14H-CC,131.96,O6,P,2,,P,,,,,,,,,,P,,,,,,,,,,,,,,P,,,,P,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320,U1334,A,14,H,CC,,121e06cc422c0df72ee45548cd0aff90
320-U1334A-15H-CC,141.20,O6,M,15,,P,P,,,,,,,,,P,P,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320,U1334,A,15,H,CC,,8b210d0ad6a7dca22cb6083f1dc9f91a
320-U1334A-16H-CC,149.57,O6,M,20,,P,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320,U1334,A,16,H,CC,,00ff3607513fe78052d21fd42fc3045b
"320-U1334A-17H-2, 38–40",152.58,O4–O5,M,40,,P,P,,,,,,,P,,,,,,,,,P,,,,,,,P,,,,,,P,,,,,,,,,,P,,,P,,P,,P,,P,,,,,,,,,,,,,P,,,,,,,320,U1334,A,17,H,2,,e36fa5e5e04661e43d985509cd5c964f
"320-U1334A-17H-4, 38–40",155.58,O4–O5,M,1,,P,P,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,P,,,,,,,,,,,,,P,,,,,,P,,,,,,,,,,,,,,,,,,,,320,U1334,A,17,H,4,,61547f69b707e54232fb75fce310768f
320-U1334A-17H-CC,159.42,O4–O5,G,80,,,P,,,,,,,,,P,,,,,,,,,,,,P,,,,,P,,,,,,,,,,,,,P,,,P,,P,,,P,,,,,,,,,,,P,,,,,,,,,,320,U1334,A,17,H,CC,,712a66cdf9932035a56d57ea84e8f3d3
"320-U1334A-18H-2, 38–40",162.08,O4–O5,M,10,,P,,,,,,,,,,,,,,P,,,,,,,,,,,,,P,,,,,,,,,,,,,P,,,P,,,,P,,,,,,,,,,,,,,,,,,,,,,320,U1334,A,18,H,2,,a1b030716ac25b4bd93b89fe14c3aca4
"320-U1334A-18H-4, 38–40",165.08,O4–O5,M,10,,,,,,,,,,,,P,,,P,,,,,,,,,,,P,,P,P,,,P,,,,,,,,,,P,,,P,,,,P,,,,,,,,,,,,,,,,P,,,,,,320,U1334,A,18,H,4,,6e2df2629a3f0a7f197b1d9a81076178
320-U1334A-18H-CC,170.17,O4–O5,G,>80,,P,P,,,,,,,,,P,,P,P,,,,,,,,,,,P,,,P,,,P,,,,,,P,,,,P,,,P,,P,,,,,,,,,,,,,,P,,,,,,,,,,320,U1334,A,18,H,CC,,c35a23eab2d57cf13575da1aa631ca76
"320-U1334A-19H-2, 38–40",172.18,O4–O5,G,70,,,P,,,,,,,,,P,,,P,,,P,,,,,,,,P,,,,,,,,,,,,,,,,P,,,P,,R,,,,,,,,P,,,,,,P,,,,P,,,,,,320,U1334,A,19,H,2,,0752d36d43e2b8a45c8b62c33c634baf
"320-U1334A-19H-4, 38–40",175.18,O3,M,50,,R,,,,,,,,,P,P,,,,,,,,,,,,,,P,,,,,P,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,320,U1334,A,19,H,4,,df7ae3cc83d8da1977c75f83efbc8b67
320-U1334A-19H-CC,178.49,O3,G,>90,,P,P,,,,,,P,,,P,,,,,,,,,,,,,,P,,,,,,P,,,,,,,,,,P,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,320,U1334,A,19,H,CC,,bfa673556122c954c1dbd21e551f93ad
"320-U1334A-20H-2, 38–40",181.08,O3,M,10,,,,,,,,,,P,P,P,,,,,,,,,,,,,,P,,,,,,P,,,,,,,,,P,P,,,P,,P,,P,P,P,,,,,,,,,,P,,,,,,,,,,320,U1334,A,20,H,2,,e992ea7830c7efcc2662a22f718969d7
"320-U1334A-20H-4, 38–40",184.08,O3,M,20,,P,P,,,,,,,P,,P,P,,,,,,,,,,,,,P,,,,,,P,,,,,,,,,,P,,,P,,,,,P,,,,,,,,,,,,,,,,,,,,,320,U1334,A,20,H,4,,254dc8936a7729817f43e2ed34347364
320-U1334A-20H-CC,188.63,O3,M,50,,,P,,,,,,,P,P,P,,,,,,,,,,,,,,P,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,320,U1334,A,20,H,CC,,e83bbf31ea360ccc0c1d8292af7c50df
"320-U1334A-21H-2, 38–40",190.58,O3,M,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,P,,,,,,,,,,320,U1334,A,21,H,2,,bd1b47182b15187bf866e0789ff003b1
"320-U1334A-21H-4, 38–40",193.58,O3,M,15,,P,P,,,,,,,P,,P,,,,,,,,,,,,,,P,,,,P,P,P,,,,,,,,,,,,,,,P,,,,P,,,,P,,,P,,,,,,,,,,,,,320,U1334,A,21,H,4,,575609c5bb8aad1465a000f8b2cda6db
320-U1334A-21H-CC,198.48,O2–O4,M,30,,P,P,,,,,,,P,P,P,,,,,,P,,,,,,,,P,,,,,,P,,,,,,,,,,P,,,,,,,,,P,,,,,,,,,,,,,,P,,,,,,320,U1334,A,21,H,CC,,b0da1602e87977bbc4c2464eecd1ebc3
"320-U1334A-22H-2, 93–95",200.63,O3,P,<1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320,U1334,A,22,H,2,,49c8a75929332573985138e2669daf4f
"320-U1334A-22H-4, 38–40",203.08,O3,M,20,,P,P,P,,,,,,P,,P,P,,,,P,P,,,,,,,,P,,,,,,P,,,,,,,,,,P,,,P,,,,,,,,,,,P,,,,,,,,,,,,,,,320,U1334,A,22,H,4,,0342ca4e6a30e4281767ad0a0cb5a80c
320-U1334A-22H-CC,206.86,O3 or younger,M,15,,P,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,P,,,,,,,,P,,,,,,,,P,,,,,,,,320,U1334,A,22,H,CC,,64587ceb2322d2c944ac623d536f46cc
"320-U1334A-23X-2, 38–40",208.78,O1–O2,P,<1,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,P,P,,,,,,,,,,,,,,,,320,U1334,A,23,X,2,,cdeb165a6c4bdf007c14a466d2555d53
"320-U1334A-23X-4, 98–100",212.38,O1–O2,P,<1,,P,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320,U1334,A,23,X,4,,27351f8ddcecb81d2373e03cf9f0acbc
320-U1334A-23X-CC,216.17,O1–O2,M,35,,,P,,,,,,,,P,P,,P,,,P,,,,,,,,,P,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,P,,,,,,,,,,320,U1334,A,23,X,CC,,d191f909b1a49f2ed1981bff71e07104
320-U1334A-24X-CC,224.22,O1–O2,M,15,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,P,,,,,,,,,,,320,U1334,A,24,X,CC,,116a35027e1bc5ce03366be393422ea5
320-U1334A-25X-CC,233.79,O1–O2,M,5,,,P,,,,,,,P,,P,P,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320,U1334,A,25,X,CC,,64c0f578361add4a5f8888538535144d
320-U1334A-26X-CC,243.36,E15–O2,M,5,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,P,P,P,P,,,,,,,,,,,320,U1334,A,26,X,CC,,67b343b41bfa6c45e220bd29b35a2daf
320-U1334A-27X-CC,250.74,E11–O2,P,<1,,,P,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,320,U1334,A,27,X,CC,,537054e1d589faacf8363a0906bf0c60
"320-U1334A-28X-5, 37–39",259.17,E13–O4,P,<1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,320,U1334,A,28,X,5,,8bfeabac50fd08a6ccf192a1b97ec2d4
320-U1334A-28X-CC,262.62,E10–E16,P,1,,,P,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,320,U1334,A,28,X,CC,,cb55daaad7913a3790050eee23b68d78
"320-U1334A-29X-2, 27–29",263.62,B,B,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320,U1334,A,29,X,2,,58464be0ad05d9fc36434979f8020505
"320-U1334A-29X-4, 39–41",265.80,B,B,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320,U1334,A,29,X,4,,6987685e7db914ed57f1d2d99e960552
320-U1334A-29X-CC,272.00,Eocene,P,1,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,P,,,,,,,,,,,,320,U1334,A,29,X,CC,,f1816c9bb430e7dbedbdc686001c0990
"320-U1334A-30X-2, 24–25",273.84,E13–E14,P,2,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,P,P,P,,P,,P,P,,,,,,,,,320,U1334,A,30,X,2,,104b76f912addd8e6afd4b108a1660dd
"320-U1334A-30X-6, 48–50",280.08,E13–E14,M,25,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,P,,,,,,,,P,P,,,P,P,P,,P,,P,P,,,,,,,,,320,U1334,A,30,X,6,,3e194d24603f1251d0e94531f7920f32
320-U1334A-30X-CC,281.50,E13–E14,M,2,P,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,P,,,,,,,,P,,,,,P,P,,,,,,,,,,,,,,320,U1334,A,30,X,CC,,04f63e8bc3b9589fd888d98e5717a328
"320-U1334A-31X-1, 25–27",282.05,E13–E15,P,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,320,U1334,A,31,X,1,,919c6cf73c0d39a3dc5ee8fdd9b5a46e
320-U1334A-31X-CC,283.89,E7 or younger,P,<10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,320,U1334,A,31,X,CC,,6e843689cbb08f6540efb5bade1c2614
