Sample,Top Depth [m],Zone name (short),Preservation,Group abundance,Acarinina cf. medizzi,Catapsydrax dissimilis,Catapsydrax unicavus,Catapsydrax spp.,Chiloguembelina cubensis,Chiloguembelina otara,Clavigerinella spp. (fragments),Dentoglobigerina altispira,Dentoglobigerina baroemoensis,Dentoglobigerina galavisi,Dentoglobigerina globularis,Dentoglobigerina tripartita,Dentoglobigerina pseudovenezuelana,Dentoglobigerina spp.,Globigerina angulisuturalis,Globigerina ciperoensis,Globigerina officianilis,Globigerina praebulloides,Globigerina spp.,Globigerinoides altiapertura,Globigerinoides immaturus,Globigerinoides primordius,Globigerinoides spp.,Globoquadrina binaiensis,Globoquadrina dehiscens,Globoquadrina euapertura,Globoquadrina praedehiscens,Globoquadrina rohri,Globoquadrina sellii,Globoquadrina spp.,Globoquadrina tapuriensis,Globoquadrina venezuelana,Globorotalia (Fohsella) fohsi lobata,Globorotalia (Fohsella) fohsi robusta,Globorotalia (Hirsutella) scitula,Globoturborotalita anguliofficinalis,Globoturborotalita brazeri,Globoturborotalita ouachitaensis,Globoturborotalita woodi,Paragloborotalia bella,Paragloborotalia continuosa,Paragloborotalia nana,Paragloborotalia griffinoides,Paragloborotalia kugleri,Paragloborotalia opima,Paragloborotalia opima-nana transition,Paragloborotalia pseudocontinuosa,Paragloborotalia pseudokugleri,Paragloborotalia semivera,Paragloborotalia siakensis/mayeri,"Parasubbotina varianta
Paragloborotalia spp.",Parasubbotina griffinae,Praeorbulina sicana,Spharoidinellopsis disjuncta,Subbotina angiporoides,Subbotina eoceana,Subbotina linaperta,Subbotina utilisindex,Subbotina spp.,Turborotalia ampliapertura,Turborotalia increbescans,Turborotalia pomeroli,Turborotalia spp.,Tenuitellinata angustiumbilicata,Tenuitella munda,Tenuitutella spp.,Top [cm],Bottom [cm],Bottom Depth [m],Exp,Site,Hole,Core,Type,Section,A/W,eodp_id
320-U1334C-11H-CC,104.59,O6,M,10,,P,P,,,,,,,,,P,P,,,P,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,P,,,P,,,,,,,,,,,,,,,,,,,320,U1334,C,11,H,CC,,23b3210aab4dcceecec59131aa12e1c9
320-U1334C-12H-CC,114.25,O6,G,50,,P,P,,,,,,,P,P,,,P,P,,,P,,,,,,,,P,,,,,P,P,,,,,,,,,,,,,,,,P,P,,,,,,,,,,,,,,,P,,,,,,320,U1334,C,12,H,CC,,bd126f363b28ccd7e55e7c5e3e0cd59b
320-U1334C-13H-CC,123.72,O6,M,20,,P,P,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320,U1334,C,13,H,CC,,db63bf7a7f666a18e13199f42a2665d0
320-U1334C-14H-CC,133,O6,M,15,,P,P,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320,U1334,C,14,H,CC,,3eb89ee2c8482acd9e8c1474b081c72c
320-U1334C-15H-CC,142.39,O4–O5,M,10,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,320,U1334,C,15,H,CC,,e22efc9425d5cb44fa4bdc1c17d272cc
320-U1334C-16H-CC,151.89,O4–O5,M,10,,P,P,,,,,,,,,P,,,P,,,,,,,,,,,P,,,P,,P,P,,,,,,,,,P,P,,,P,,,,,,,,,,,,,,,,,,,,,,,,,320,U1334,C,16,H,CC,,d31c6dab772d8350d91f51945707cd09
320-U1334C-17H-CC,161.47,O3,M,20,,P,,,P,,,,,,,,,,,,,,,,,,,,,P,,,,,,P,,,,P,,,,,,P,,,P,,,,,,,,,,,,,,,,,,,,P,,,,,320,U1334,C,17,H,CC,,84b4df0905b0cdcffba1bbd74483a839
320-U1334C-18H-CC,171.11,O3,M,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,P,,,P,,,,,,,,,,,,,,,,,,,,,,,,,320,U1334,C,18,H,CC,,d14a1c9f3d10c4b7cb8d28b452b47fd2
320-U1334C-19H-CC,180.68,O3,M,40,,P,P,,,,,,P,P,,P,,P,,P,,,,,,,,,,P,,,,,,P,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,P,,,,,,320,U1334,C,19,H,CC,,84d1847477c142893e37b2f7203e34df
320-U1334C-20H-CC,189.97,O3,M,<30,,,,,,,,,P,,P,P,,,,,,,,P,,,,,,,,,,,,P,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,320,U1334,C,20,H,CC,,918d92049ee146da18ae2e1bad1661a9
320-U1334C-21H-CC,199.92,O3,M,50,,P,P,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,P,,,,,,,,,P,,,,,,320,U1334,C,21,H,CC,,110792aae415df4d70b4f3bae8b4deed
320-U1334C-22H-CC,209.36,O2,M,50,,P,P,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,P,,,,,P,P,,,,,,,,,320,U1334,C,22,H,CC,,f24b7a07bc34d02fddec4fe73ee483e0
320-U1334C-23X-CC,213.56,O2,P,<1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,P,,,,,,,,,,320,U1334,C,23,X,CC,,c0ae353478e529adb9ea258cfa779e15
320-U1334C-24X-CC,223.86,O1–O2,P,20,,P,P,,,,,,,,P,P,P,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,P,,,,,,,,,320,U1334,C,24,X,CC,,7be6f00c2f3cba8f1d92b1039f6833cb
320-U1334C-25X-CC,233.32,O1,P,>50,,P,P,,,,,,P,,P,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,P,,,P,P,P,,,,,,,,,320,U1334,C,25,X,CC,,34496a8f173b4467d92e0dabb679fbec
320-U1334C-26X-CC,240.51,E15–E16,P,65,,,P,,,,,,P,,P,P,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,P,,,,,,,,,,320,U1334,C,26,X,CC,,49f523a67fc1fa36f011fae691be1151
320-U1334C-27X-CC,248.13,B,B,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320,U1334,C,27,X,CC,,b46f76593d969adcd4788b46277408d6
320-U1334C-28X-CC,258.59,B,B,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320,U1334,C,28,X,CC,,c01da659ef0aafa8974bd73669863928
320-U1334C-29X-CC,268.26,E11–E16,M,<1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,P,,,,,,,,,,,,,,320,U1334,C,29,X,CC,,a6db059e5f5471cc8b019df9f7df5026
320-U1334C-30X-CC,277.93,E9–E14,P,<30,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,320,U1334,C,30,X,CC,,caf97f697ff1e7fbd29fc5c41795c02a
