Exp,Hole,"Core, section, interval (cm)",Top Depth [m],Presevation,Bathymetry,Abyssamina poagi,Abyssamina quadrata,Alabammina dissonata,Ammodiscus latus,Amphicoryna sp.,Anomalinoides cf. globulosus,Anomalinoides sp. A,Astacolus sp.,Astrononion echolsi,Astrononion sp.,Bolivina spp.,Bulimina alazanensis,Bulimina sp.,Buliminella parvula,Cassidulina sp. A,Chrysalogonium crassitestum,Chrysalogonium sp. indet.,Cibicidoides eocanus,Cibicidoides grimusdalei,Cibicidoides havanensis,Cibicidoides micrus,Cibicidoides mundulus,Cibicidoides wuellerstorfi,Cibicidoides sp. A,Cibicidoides sp. B,Cibicidoides sp. indet.,Cystammina pauciloculata,Dentalina spp.,Eggerella bradyi,Eggerella sp.,Ehrenbergina histrix,Evolvecassidulina cf. howei,Favocassidulina favus,Favocassidulina spinifer,Favocassidulina subfavus,Fursenkoina bradyi,Gaudryina sp.,Glandulina sp.,Globocassidulina subglobosa,Globocassidulina sp. A,Globocassidulina sp. B,Glomospira challoides,Glomospira goldialis,Glomospira irregularis,Guttulina sp.,Gyroidinoides soldanii,Gyroidinoides sp. A,Gyroidinoides sp. B,Gyroidinoides sp. C,Gyroidinoides sp. D,Gyroidinoides sp. indet.,Haplophragmoides walteri,Haplophragmoides sp. indet.,Heronallenia sp.,Karreriella chapapotensis,Karrerulina coniformis,Laticarinina pauperata,Lenticulina spp.,Mattinotiella cummunis,Melonis baeleanuum,Melonis pomplioides,Myllostonella spp.,Nodosaria spp.,Nonion affine,Nonion havanensis,Nuttallides truempyi,Nuttallides umbonifer,Oridorsalis umbonatus,Orthomorphina spp.,Osangularia plummerae,Paracassidulina sp.,Paratrochamminoides spp.,Planulina? sp.,Pleurostomella spp.,Pseudoparrella exigua,Pseudopleurostomella spp.,Pullenia bulloides,Pullenia eocenica,Pullenia osloensis,Pullenia quinqueloba,Pullenia salisburyi,Pullenia subcarinata,Pullenia sp. A,Pyrgo sp.,Pyrulina spp.,Quadrimorphina profunda,Quinqueloculina sp.,Recurvoides spp.,Reophax spp.,Reticulophragmium amplectens,Siphonodosaria antillea,Siphonodosaria spinata,Siphonodosaria sp. indet.,Spheroidina bulloides,Spiroloculina sp.,Spiroplectammina spectabilis,Spiroplectammina sp. A,Stilostomella spp.,Spirosigmoillina compressa,Textularia spp.,Trochamminoides? sp.,Turrilina robertsi,Tube-shaped agglutinated form.,Unilocular species,Uvigerina peregrina pradyiana,Valvulina spinosa,Agglutinated Foram. gen. et sp. indet.,Calc. Hyaline Foram. gen. et sp. indet.,Section,Core,Type,Top [cm],Bottom [cm],Site,Bottom Depth [m],A/W,Sample,eodp_id
320,A,"11H-cc, 25-30 cm",103.78,M,LB-A,,,,,,,R,,,,,,,,,,,,,R,,,,,,R,,,,,,,,F,,,,,R,,,,,,,R,,F,R,,,,,,,,R,,,,,,,R,,,A,,,,,,,,R,,,,,,,,R,,,,,R,,,,F,A,R,,,,,,,,R,R,,,,,F,cc,11,H,25,30,U1334,,,320-U1334A-11H-cc-nan,2f89420331914c97895729fa6fe4c17a
320,A,"12H-cc, 19-24 cm",112.61,G,LB-A,,,,,,,,,R,,,,,,,,,,R,,,,,,,R,,,,,,,,,,,,,A,,,,R,,,,R,,R,,,,,,,,R,,,,,,,,,,R,A,,,,,,R,R,,,,R,R,,,R,,R,,,,,R,R,,R,R,,,,,,R,,,R,F,,,,F,cc,12,H,19,24,U1334,,,320-U1334A-12H-cc-nan,c50ff2062f1d8a49e8d4ea002560a284
320,A,"13H-cc, 25-30 cm",122.58,G,LB-A,,,,,,,R,,,,,R,,,,,,,R,,,A,R,R,,R,,,,,,,,R,R,,,,F,,,,,,,F,,F,R,,,,,,R,,R,,,,,,,,,,R,F,,,,R,,R,R,R,R,,,R,,R,,,,,,,,,R,,,R,,,,,,,,,,F,R,R,R,F,cc,13,H,25,30,U1334,,,320-U1334A-13H-cc-nan,66567af326f4098e7768b9f8a60bc7ce
320,A,"14H-cc, 27-32 cm",131.99,G,LB-A,,,,,,,,R,,,,,,,R,,,,A,,,F,,,,R,,,,,,,,,R,,,,R,,,,,,,,R,R,R,R,,,,,,,R,,,,,,,,,,R,A,,,,,,R,R,,R,,,F,,,,,R,,,,,,R,R,F,F,,,,,,,,,A,,,,,F,cc,14,H,27,32,U1334,,,320-U1334A-14H-cc-nan,2fd19a9dbae028260c0b8ee5523220a6
320,A,"15H-cc, 33-38 cm",141.23,G,LB-A,,,,,,,R,,,,,R,,,,,R,,,,,R,,,,,,,,,,,,,,,,,A,,,,,,,R,R,F,F,,,,R,,R,,R,,,,,,,,R,,R,F,,,,,,R,,,R,,,,R,,,,R,,,,,,R,,F,R,,,,,,,,,R,R,,,,R,cc,15,H,33,38,U1334,,,320-U1334A-15H-cc-nan,eaf95fedaa3d8b0bc2f234bc39fbf388
320,A,"16H-cc, 25-30 cm",149.60,G,LB-A,,,,,R,,R,,R,,,,,R,R,,,,F,R,,R,,R,,R,,,,,,,,,,,,,F,R,,,,,,,R,R,R,R,,,,,,,,,,,,,,,R,,A,A,,,,,,R,,,R,,,,R,,R,,R,,,,,,R,,R,,,,,,,,,R,R,F,,,,R,cc,16,H,25,30,U1334,,,320-U1334A-16H-cc-nan,5cfb0f835721c27dfb982139fc709f3e
320,A,"17H-cc, 37-42 cm",159.99,G,LB-A,,,,,,,,,F,,,,,,R,,,,R,,,R,,R,,,,,,,,,,,,,,,R,,,,,,,R,R,,R,R,,,,,,,,,,,,,R,,,,,A,,,,,,,,,R,,,,,,R,,R,,,,,,,R,F,,,,,,,,,,,R,,,,A,cc,17,H,37,42,U1334,,,320-U1334A-17H-cc-nan,9ef687531550c3a19e2a95e72e5b5ab7
320,A,"18H-cc, 28-33 cm",170.20,G,LB-A,,,,,F,,,,F,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,A,R,,,,,R,,,,,,,,,,,R,,,,,,R,R,R,R,,R,,,,,,,,R,,R,,A,cc,18,H,28,33,U1334,,,320-U1334A-18H-cc-nan,70b6959c453e068ea250e4797b66c6d8
320,A,"19H-cc, 33-38 cm",178.52,G,LB-A,,,,,,,,,R,,,,,R,,,,,R,R,,A,,R,,,,R,,,,,,,,,,,A,,,,,,,,R,R,,R,,,,,R,,,,,,,R,,,,,,A,,,,R,,R,,,F,,R,R,,,,,,,,R,,,R,,F,R,,R,,,,,,,R,R,,R,,F,cc,19,H,33,38,U1334,,,320-U1334A-19H-cc-nan,c9b280b331a58ce410af1be9ca884d39
320,A,"20H-cc, 16-21 cm",188.66,G,LB-A,,,,,R,,,,R,,,,,R,,,,,R,,,R,,R,,R,,,,,,,,,,,,R,R,,,,,,,F,R,,R,R,R,,,,R,,,,,,,,,,,,,A,,,,,,R,,,,,,,,,,,,,,R,,,,R,R,R,,R,,,,R,,,,F,,,,A,cc,20,H,16,21,U1334,,,320-U1334A-20H-cc-nan,2e1f5bfaf197330f9d396dd44b080b9d
320,A,"21H-cc, 12-17 cm",198.51,G,LB-A,,,,,,,,,,,R,,,,,,,,F,R,,A,,R,,R,,,,,,,,,,,,,F,,,,,,,R,,F,R,F,,,,,,,,,,,,,,,R,,,A,,,,,,,,,R,,R,,,,,,,,,,,,R,,R,,,R,,,,,,,,R,,R,,R,cc,21,H,12,17,U1334,,,320-U1334A-21H-cc-nan,330acc266afb6afba8d321f6241f9558
320,A,"22H-cc, 20-25 cm",206.89,G,LB-A,,,,,,,R,,,,,,,,,,,,R,R,,F,,R,,,,,,,,,,,,,,,R,,,,,,,,R,R,R,R,,,R,,,,,R,,,,,,,R,,R,A,,,,,,R,,,R,,R,R,R,,R,,R,,,R,R,R,R,R,R,,,,,,,R,,,R,R,,,,R,cc,22,H,20,25,U1334,,,320-U1334A-22H-cc-nan,776b376c9273f0885d016a044b899cba
320,A,"23H-cc, 31-36 cm",216.20,G,LB-A,,,,,,,,,,,,,,,,,,,R,,,F,,,,,,,,,,,,,,,,,F,,,,,,,F,,F,,A,,,,,,,,,,,,,,,,,,A,,,,,,R,,,R,,,R,,R,,,R,,,,,,,,,R,,R,,,,,,,,A,,R,,R,cc,23,H,31,36,U1334,,,320-U1334A-23H-cc-nan,86857a9d9d56546ad121f17f08714a18
320,A,"24X-cc, 32-37 cm",224.25,G,LB-A,,,,,,,F,,,,,,,R,,,R,,A,R,,A,,,,R,,,,,,,,,,,,,R,,,,,,,R,R,R,,,,,,,R,,,,,,,,,R,,,R,A,,,,,,R,,,,,,,,,,,R,,,R,,,R,R,R,,,R,,,,,,,,R,,,,R,cc,24,X,32,37,U1334,,,320-U1334A-24X-cc-nan,fad1ed1df8672e0cf0aeeb9107ca1314
320,A,"25X-cc, 42-47 cm",233.98,G,LB-A,,,,,,,R,,,,,,,,,,,,R,,,R,,,,R,,,,,,,,,,,,,R,,,,,,,R,F,,,R,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,R,,,R,,,,,,,,,,R,,,,,cc,25,X,42,47,U1334,,,320-U1334A-25X-cc-nan,8b8fa09acea756fe39a363a752e231e1
320,A,"26X-cc, 30-35 cm",243.39,G,LB-A,,,,,,,,,F,,,,,,,,,,R,R,,R,,,,R,,,,,,,,,,,,,R,,,,,,,R,R,R,,,,,,,,,,,,,,,,,,,,A,,,,,,A,,,R,,,,,,,,R,,R,,,,R,,R,R,,,,,,,,,,F,,,,R,cc,26,X,30,35,U1334,,,320-U1334A-26X-cc-nan,95a0acd839f16eb584f84ac3d7890d4b
320,A,"27X-cc, 44-49 cm",250.79,P,LB-A,,,,,,,R,,,,,,,,,R,,,F,R,,R,,,,R,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,A,,,,,,R,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,F,cc,27,X,44,49,U1334,,,320-U1334A-27X-cc-nan,e6f97ad6da8163e91224b1b96a725de0
320,A,"28X-cc, 35-40 cm",262.65,P,LB-A,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,P,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,cc,28,X,35,40,U1334,,,320-U1334A-28X-cc-nan,7fae0c84a5683a94830571313a3e6448
320,A,"30X-cc, 27-32 cm",281.53,P,LB-A,,,,,,,R,,,,,,,,,,,,R,,,,,,,R,,,,,,,,,,,R,,R,,,,,,,F,R,F,R,R,,,,,,,,,,,,,,,,R,,F,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,cc,30,X,27,32,U1334,,,320-U1334A-30X-cc-nan,6541bb8091ac876efe029f2a5836b431
320,A,"31X-cc, 27-32 cm",283.92,P,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,cc,31,X,27,32,U1334,,,320-U1334A-31X-cc-nan,a75b9867bad27c8dba15342517c09f95
320,B,"1H-cc, 21-24 cm",13.71,M,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,P,,,,,,,,,P,cc,1,H,21,24,U1334,,,320-U1334B-1H-cc-nan,988f02c6b91e230a468482f556a484c2
320,B,"2H-cc, 14-17 cm",23.07,M,LB-A,,,,,,R,R,,,,,,,,,,,,R,,,A,,,,R,,,,,R,,,,,,,,,,,,,,,R,,R,F,R,R,,,,R,,,,,,,,,,,,,F,,,,,,,R,,F,,,,,R,R,,,,R,,,,,,R,F,,,,,,,,,,,,,,P,cc,2,H,14,17,U1334,,,320-U1334B-2H-cc-nan,7f74eec6cd991dc26e37944c3b812c43
320,B,"3H-cc, 16-19 cm",32.65,M,LB-A,,,,,R,,,,R,R,,,,,,,,,,,,F,,,,F,,,,,,,,,F,,,,F,,,,,,,,,R,R,R,,,,,,,,,,,,,,,,,F,A,,,P,,,,P,,P,,P,,,,P,,,,,,,,,P,P,P,,,,,,,,,,,,,,P,cc,3,H,16,19,U1334,,,320-U1334B-3H-cc-nan,05b126b4040b4c11d0fd2407d02565ee
320,B,"4H-cc, 16-19 cm",41.95,M,LB-A,,,,,,R,,,,,,,,,,,,,,,,F,,,,R,,,,,,,,R,R,,,,A,,,,,R,,A,,,F,,,,,R,R,,R,,,,,,,,,,A,R,,,,,,R,F,,R,,,R,,,R,,R,,,R,,,R,,R,R,,,,,,,,,,,,R,R,R,cc,4,H,16,19,U1334,,,320-U1334B-4H-cc-nan,707e448997472d88e5ea4c611245af2c
320,B,"5H-cc, 31-34 cm",50.95,G,LB-A,,,,,,,R,,,,,,,,,R,,,R,R,,R,,,,,,,,,,,,,R,,,,F,,,,,,,R,R,,,,R,,,,R,,,,,,,R,,R,,,F,A,,,,,,R,,,R,,,,,R,F,,,,R,,,,,R,R,R,,,,,,,,,F,R,,R,,A,cc,5,H,31,34,U1334,,,320-U1334B-5H-cc-nan,7fa21c23c6366b43be289185311cc0d9
320,B,"6H-cc, 21-24 cm",59.22,G,LB-A,,,,,,,R,,R,,,,,R,,,,,R,,,R,,,,R,,R,R,,,,,,,,,,F,,,R,,,,,R,,,R,R,,,,R,,,,,,,,R,,R,,F,A,,,,,,,R,,R,,,R,,,F,,,,,,R,R,R,R,A,,,,,,,,,,,R,,,,R,cc,6,H,21,24,U1334,,,320-U1334B-6H-cc-nan,d67041cf95abb0a1046e82219bbe471e
320,B,"7H-cc, 37-40 cm",68.90,G,LB-A,,,,,,,,,,,,,,R,R,,,,,,,R,,,,,,,,,,,,,,,,,F,,,,,,,R,R,R,,R,R,,,,,,,,,,,,,,,,R,A,,,,R,,R,R,,,,,,,,,,,,R,,,,,R,F,R,,,,,,R,,,A,R,,,F,F,cc,7,H,37,40,U1334,,,320-U1334B-7H-cc-nan,20bf14c2b0d1f32503af844246ce5547
320,B,"8H-cc, 18-21 cm",78.06,G,LB-A,,,,,,,,,,,,,,,R,,,,R,,,F,R,R,,R,,,,,,,R,,,,,,,,,,,,,R,R,R,F,F,,,,,,,R,,,,,,,,,,F,F,,,,,,,F,R,R,,,,,,,,R,,,R,,R,F,R,F,,,,,,,,,,F,R,,,,R,cc,8,H,18,21,U1334,,,320-U1334B-8H-cc-nan,7f94e24b16445c47651bcd1146cf5368
320,B,"9H-cc, 35-38 cm",87.72,G,LB-A,,,,,,,R,,,,,,,,,,,,R,,,R,,F,,,,,,R,,,,R,,,,,F,,,,,,,,R,R,R,R,,,,,,,R,R,,,,,,,,,A,R,,,,R,R,R,R,R,,,R,,,,,,,,,,,,R,,R,,,R,,,,,,R,R,R,,,,F,cc,9,H,35,38,U1334,,,320-U1334B-9H-cc-nan,a29afe39f587658f1bbcd9a7bd4349de
320,B,"10H-cc, 25-28 cm",97.24,G,LB-A,,,,,,,,,R,,,,,,,,,,R,,,A,,R,,,,,,,,,,,R,,,,A,,,,,,,,R,R,R,,R,,,,R,,R,,,,,,,,,,R,A,,,,,,R,R,,R,,,,,R,,,R,,,,,,R,,R,,,,,,,,,R,R,R,,R,,F,cc,10,H,25,28,U1334,,,320-U1334B-10H-cc-nan,27e6fa9405cbf6cfa537da805921434d
320,B,"11H-cc, 23-28 cm",106.56,G,LB-A,,,,,,,,,,,,,,,,,,,R,,,R,,R,,R,R,,,,,,,,,,,,F,,,,,,,R,,R,R,R,R,,,,,,,,,,,,,,F,,F,F,,,,,,,R,,R,,,,R,,,,R,,,R,,,,R,F,F,,,,,,,,,R,R,,,R,R,cc,11,H,23,28,U1334,,,320-U1334B-11H-cc-nan,4a4b869344d49bd1bc2d3d6b74a678d3
320,B,"12H-cc, 23-28 cm",116.17,G,LB-A,,,,,,,,,R,,,,,,,,,,,R,,F,,R,,R,,,,,,,,,,,,,F,,,,,,,,,,R,R,,,R,,,R,R,,R,,,,R,R,,,R,R,,,,,,F,,,,,,,,,,,R,,,R,,,,,A,R,,R,,,,,,R,R,R,,F,,R,cc,12,H,23,28,U1334,,,320-U1334B-12H-cc-nan,2bb40e727a9d5d13ce610ff54d8dcb13
320,B,"13H-cc, 37-42 cm",125.71,G,LB-A,,,,,,,,R,,,,,,,,,R,,F,,,R,,R,,,,R,,,,,,,,,,,F,,,,,,,R,,F,R,R,R,,R,,R,,R,,,,,,,,,,R,A,,,,R,,F,,,,,R,R,,,R,,R,,,R,,,,,R,R,,,,,,,,,,F,R,R,,,cc,13,H,37,42,U1334,,,320-U1334B-13H-cc-nan,b6f79b722a9bade1dfd29690ee6e798f
320,B,"14H-cc, 37-42 cm",135.33,G,LB-A,,,,,R,,,,R,,,,,,R,,,,,,,,,R,,R,,,,,,,,R,,,,R,A,,,,,,,R,F,R,R,,,,,,,,,R,,,,,,R,,,R,A,R,,,R,,R,,,R,,R,,,,,,R,,,,,,,,R,R,,,R,,,,,,R,R,,,,R,cc,14,H,37,42,U1334,,,320-U1334B-14H-cc-nan,b55d87cae6a095787edb317f31800580
320,B,"15H-cc, 25-30 cm",144.58,G,LB-A,,,,,R,,,R,,,,,,,,,,,R,,,,,F,,R,,,,,,,,,,,,,R,R,,,,,,R,A,R,A,,,,,,,,,,,,,,,,,,A,R,,,,,,,,,R,,,,,,R,,R,,R,,,,R,,R,R,,,,,,,,,,F,,,,F,cc,15,H,25,30,U1334,,,320-U1334B-15H-cc-nan,6fd138c07f247c801d3e8e628277ce26
320,B,"16H-cc, 21-26 cm",154.21,G,LB-A,,,,,R,,R,R,,,,,,,R,,,,,,,F,,R,,,,,,,,,,,,,,,A,,,,,,,F,,F,,,,,,,R,,R,,,,,,R,,R,,R,F,R,,,,,R,,,,,,R,,R,F,,R,,,,,,R,,R,R,,,,,,,,,,F,,,,F,cc,16,H,21,26,U1334,,,320-U1334B-16H-cc-nan,ed6f5660416c3fc2d4dd8fac7e1461e9
320,B,"17H-cc, 21-26 cm",163.71,G,LB-A,,,,,R,,,,R,,,,,,R,,,,R,,,R,,,,,,,,,,,,,,,,,A,,,,,,,R,,R,R,,,,,,R,,,,R,,,,,,R,,,A,R,,,,,,,,R,,,R,,R,,,,,,,,,R,,A,,R,,,,,,,,R,R,,,,R,cc,17,H,21,26,U1334,,,320-U1334B-17H-cc-nan,813cb7cc6715a34d559151f84eca7fc8
320,B,"18H-cc, 35-40 cm",173.26,G,LB-A,,,,,R,,R,,A,,,,,R,,,,,R,,,R,,R,,,,,,,,,,,,,,,A,,,,,,,F,F,R,,R,,,,,,,,,R,,,,,,R,,R,A,R,,,R,,R,,,R,,R,,,,R,,,,,,,,R,R,R,,R,R,,,,R,,,,R,,R,,R,cc,18,H,35,40,U1334,,,320-U1334B-18H-cc-nan,17c7bd53c987bbb58a8937355955940d
320,B,"19H-cc, 15-18 cm",182.54,G,LB-A,,,,,,,,,R,,,,,R,,,,,R,,,A,,,,,,,,,,,,,,,,,R,,,,,,,,F,R,,R,,,R,,,,,,,,,,,,R,,R,A,,,,,,R,,,,,R,,R,,R,,R,,,,,,,R,R,R,R,,,,,,,R,R,R,,,,F,cc,19,H,15,18,U1334,,,320-U1334B-19H-cc-nan,058b617b38e9ef60e81cacb6c9906ef8
320,B,"20H-cc, 15-18 cm",191.57,G,LB-A,,,,,R,,R,,R,,,,,R,,,,,R,,,F,,R,,,,,,,,,,,,,,,A,,,,,,,F,R,R,R,R,,,,,,,,,,,,,,,R,,,A,,,,,,,,R,,,,,,R,,,,,,R,,,R,,F,,,R,,,,,,,,R,,,,R,cc,20,H,15,18,U1334,,,320-U1334B-20H-cc-nan,f38c7f5571b96c664a336fb21091cb25
320,B,"21H-cc, 0-5 cm",201.29,G,LB-A,,,,,,,R,,,,,,,,,,,,R,R,,F,,A,,,,,,,,,,,,,,,A,,,,,,,R,R,R,R,R,,,,,,,,R,,,,,,,R,,R,A,,,,,,,,R,,,,,,R,,,,,,,,,R,R,F,,,R,,,,,,R,,R,,R,,,cc,21,H,0,5,U1334,,,320-U1334B-21H-cc-nan,04ad61b2cc8e88448a559a4db94b09b7
320,B,"22H-cc, 18-21 cm",211.12,G,LB-A,,,,,,R,,,,,,R,R,R,,,R,R,F,,,A,,F,,,,,,R,,,,,,R,,,F,,,,,,,R,F,R,R,,,,,,,,,,,,,R,,R,,,,A,,,,,,R,,R,R,,,,,,,,,,,,,,R,,,R,R,,,,,,,,,,,,,R,cc,22,H,18,21,U1334,,,320-U1334B-22H-cc-nan,ce109da13ead1f16891ed0d6847f5ab3
