"Expedition, site, hole, core, section, interval (cm):",Bottom Depth [m],Top Depth [m],Age:,Bryozoan fragments,Echinoid fragments indet.,Echinoid plate fragments,Echinoid spines,Holothurian spicules,Fish scales,Fish teeth,Microbivalves,Microgastropods,Ostracods,Otoliths,Radiolarians,Shell (bivalve) fragments,Shell (gastropod) fragments,Shell (scaphopod) fragments,Sample,Top [cm],Bottom [cm],Exp,Site,Hole,Core,Type,Section,A/W,eodp_id
"372-U1517C-7F-CC, 21-26",38.71,38.66,,,,,F,,,,,,,,X,,,,372-U1517C-7F-CC,21,26,372,U1517,C,7,F,CC,,b6560b6c5e6190b3aab0b749faef9aca
"372-U1517C-8F-CC, 21-26",43.4,43.35,,X,,,F,,,X,,,X,,,,,,372-U1517C-8F-CC,21,26,372,U1517,C,8,F,CC,,c37057ecd4ade2fe9a0069706db4c9a3
"372-U1517C-9F-CC, 23-28",48.02,47.97,,,,,F,X,,,,,X,,X,X,,,372-U1517C-9F-CC,23,28,372,U1517,C,9,F,CC,,f8529a92184b9dbd92f7b9120ae73cba
"372-U1517C-10F-CC, 27-32",52.8,52.75,,,,F,F,X,,X,,,,,X,,,,372-U1517C-10F-CC,27,32,372,U1517,C,10,F,CC,,c654a5ac3944a9504284935d7ac21762
"372-U1517C-11F-CC, 26-31",57.47,57.42,,,,,,,,,,,,,X,F,,,372-U1517C-11F-CC,26,31,372,U1517,C,11,F,CC,,ac07d9b1eaba9cb8f9612624875e2f09
"372-U1517C-12F-CC, 26-31",61.7,61.65,,,,,F,,,,,X,X,X,,F,X,F,372-U1517C-12F-CC,26,31,372,U1517,C,12,F,CC,,daec76a220fd1f7bfe917ed100d11f3f
"372-U1517C-13F-CC, 23-28",66.66,66.61,,,,,F,,,X,,,X,,X,,,,372-U1517C-13F-CC,23,28,372,U1517,C,13,F,CC,,ca6df174e9f224d55585f62497ccf64e
"372-U1517C-14F-CC, 37-42",71.6,71.55,,,,,F,,,,,,X,,,X,,,372-U1517C-14F-CC,37,42,372,U1517,C,14,F,CC,,b4d16f549af23a1124eb11d5ff2f359e
"372-U1517C-15H-CC, 0-5",80.85,80.8,,,,,X,,,,,,X,X,,,,,372-U1517C-15H-CC,0,5,372,U1517,C,15,H,CC,,a3e57852de2428d3c15a8d4f18f7a6f6
"372-U1517C-16H-CC, 0-5",90.6,90.55,,,,,F,,,,,,F,X,,F,,,372-U1517C-16H-CC,0,5,372,U1517,C,16,H,CC,,8886efd618915ae94eae1077af1ab17d
"372-U1517C-17H-CC, 44-49",99.6,99.55,,,,,X,X,,X,,,F,X,,,,,372-U1517C-17H-CC,44,49,372,U1517,C,17,H,CC,,7b44d4907c589a508bd8a18645c6c329
"372-U1517C-18H-CC, 0-5",108.3,108.25,Middle Pleistocene,,X,,F,,,,X,,F,,X,F,,,372-U1517C-18H-CC,0,5,372,U1517,C,18,H,CC,,020dd2bc3fd733938270c1b21846b8af
"372-U1517C-19F-CC, 38-43",112.44,112.39,,X,,F,F,,,X,F,X,F,,,F,X,X,372-U1517C-19F-CC,38,43,372,U1517,C,19,F,CC,,68b3c48f319bdfc697294581d74eb7c7
"372-U1517C-20F-CC, 51-56",117.71,117.66,,,,F,F,,,X,,,F,,,F,,,372-U1517C-20F-CC,51,56,372,U1517,C,20,F,CC,,4fd15ccea28d5e14d7a52d25444d6db3
"372-U1517C-21F-CC, 16-21",122.26,122.21,,,,,X,,,,,X,,X,,F,,X,372-U1517C-21F-CC,16,21,372,U1517,C,21,F,CC,,7a299c6ffd66fff197f2112fcd24b6b5
"372-U1517C-22F-CC, 13-18",127.1,127.05,,,,,F,,,,,,,X,,F,,,372-U1517C-22F-CC,13,18,372,U1517,C,22,F,CC,,a9635b7ee1a47d7019b0aec20a936614
"372-U1517C-24F-CC, 47-52",136.51,136.46,,,,X,F,,,,,,F,X,X,F,,X,372-U1517C-24F-CC,47,52,372,U1517,C,24,F,CC,,8f0a6c2eabbb1ecb17351ecb41b5f242
"372-U1517C-25F-CC, 38-43",140.76,140.71,,,,,F,X,,,,,,X,X,,,,372-U1517C-25F-CC,38,43,372,U1517,C,25,F,CC,,65ae3e2ab29f9d504cd2a9af6a8f79cc
"372-U1517C-26F-CC, 12-17",144.96,144.91,,,,,,,,X,,X,X,,X,F,,,372-U1517C-26F-CC,12,17,372,U1517,C,26,F,CC,,873ac6f35e5c4440501b3b911495e9d0
"372-U1517C-27F-CC, 37-42",150.1,150.05,,,,X,F,F,,,,X,X,,F,F,X,,372-U1517C-27F-CC,37,42,372,U1517,C,27,F,CC,,b1b6056d8d0289f426e8ef4b29a73f15
"372-U1517C-28F-CC, 29-34",154.8,154.75,,,,X,F,X,,,,,F,X,F,F,,,372-U1517C-28F-CC,29,34,372,U1517,C,28,F,CC,,9ad0b8bc491f90f10db786f19224dfc4
"372-U1517C-29F-CC, 16-21",159.3,159.25,,,,,,,,,,,,X,,F,X,,372-U1517C-29F-CC,16,21,372,U1517,C,29,F,CC,,50600f50d850ee3b36eff4d11df7fea6
"372-U1517C-30F-CC, 7-12",159.97,159.92,,,,,,,,,,,,,,,,,372-U1517C-30F-CC,7,12,372,U1517,C,30,F,CC,,c2f5845d86fa8c6854984f0f567cfca0
"372-U1517C-31F-CC, 12-17",163.78,163.73,,,,X,F,F,,,,X,F,,X,,,,372-U1517C-31F-CC,12,17,372,U1517,C,31,F,CC,,97a3f0d392fbd0cf030f32c8c1bb26f0
"372-U1517C-32F-CC, 6-11",167.18,167.13,,,,X,F,,,,,,,,X,,,,372-U1517C-32F-CC,6,11,372,U1517,C,32,F,CC,,e3a43537af74e49791ab155661747ac5
"372-U1517C-33F-CC, 11-16",173.04,172.99,,,,,,X,,,,,,,F,,,,372-U1517C-33F-CC,11,16,372,U1517,C,33,F,CC,,ffd1067b7326b14dbc3e75008ef30863
"372-U1517C-34F-CC, 25-30",174.7,174.65,,,,,F,,,,,,,,,,,,372-U1517C-34F-CC,25,30,372,U1517,C,34,F,CC,,4d5732cd509c05a497a8623439c97bf7
"372-U1517C-36F-CC, 15-20",187.58,187.53,,,,,,,,,,,,,,,,,372-U1517C-36F-CC,15,20,372,U1517,C,36,F,CC,,b6e049bcad577c36120a4e29ecde0a92
