Sample,Top Depth [m],Bottom Depth [m],Radiolarian zone/subzone,Abundance,Preservation,Mixing,Acrocubus octopylus,Amphirhopalum ypsilon,Anthocyrtidium angulare,Anthocyrtidum pliocenica,Botryostrobus miralestensis,Calocycletta caepa,Calocycletta costata,Calocycletta robusta,Calocycletta virginis,Carpocanopsis bramlettei,Carpocanopsis cingulata,Carpocanopsis cristata,Cyrtocapsella cornuta,Cyrtocapsella japonica,Cyrtocapsella tetrapera,Diartus hughesi,Diartus petterssoni,Didymocyrtis antipenultima,Didymocyrtis avita,Didymocyrtis laticonus,Didymocyrtis mammifera,Didymocyrtis penultima,Didymocyrtis prismatica,Didymocyrtis tetratharamus,Didymocyrtis tubaria,Didymocyrtis violina,Dorcadospyris dentata,Dorcadospyris forcipata,Lamaprocyrtis heteroporos,Lamaprocyrtis nigriniae,Liriospyris parkerae,Lithopera neotera,Lithopera renzae,Lychnocanoma elongata,Lychnodictyum audax,Nephrospyris renila,Phormostichoartus doliolum,Phormostichoartus fistula,Pterocanium prismatium,Solenosphaera omnitubus,Spongaster berminghami,Spongaster pentas,Spongaster tetras tetras,Stichocorys delmontensis,Stichocorys pergrina,Stichocorys wolffii,Stylatractus universus,Theocorythium trachelium,Theocorythium vetulum,Top [cm],Bottom [cm],Exp,Site,Hole,Core,Type,Section,A/W,eodp_id
321-U1337D-28H-CC,250.09,250.14,RN5,A,G,,,,,,R,R,,,,,,,F,,R,,,,,R,,,,,,,,,,,,,,,,,,R,,,,,,R,,R,,,,,,321,U1337,D,28,H,CC,,004b237b4267c759686116bb3d5aba5c
321-U1337D-29H-CC,258.07,258.12,RN5,A,G,,,,,,,R,,,,,,,R,,F,,,,,R,,,,,,,,,,,,,R,,,,R,R,,,,,,F,,R,,,,,,321,U1337,D,29,H,CC,,5f33618049a382602ae862a015dbe432
321-U1337D-30H-CC,267.04,267.09,RN5,A,M,,,,,,,R,,,,,,,R,,R,,,,,R,,,,,,,,,,,,,R,,,,R,R,,,,,,R,,R,,,,,,321,U1337,D,30,H,CC,,cbe75c81f25f4ac825cf4ac1181179b4
321-U1337D-31X-CC,274.83,274.88,RN5,A,M,,,,,,,R,,,,,,,R,,R,,,,,R,,,,,,,,,,,,,,,R,,R,R,,,,,,R,,R,,,,,,321,U1337,D,31,X,CC,,9bf6b23df8fe9a510431d9b1cb4e7d1e
321-U1337D-32X-CC,282.47,282.52,RN5,A,M,,,,,,,,,R,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,R,,,,,,321,U1337,D,32,X,CC,,7cbee03100734720abb5a2bb186d4ed1
321-U1337D-33X-CC,295.44,295.49,RN5,A,M,,,,,,,,,R,,,,,R,,R,,,,,R,,,,,,,,,,,,,,,,,,R,,,,,,R,,R,,,,,,321,U1337,D,33,X,CC,,1ff8b0ce9f7436d3f2e065a551e63b4f
321-U1337D-34X-CC,304.94,304.99,RN5,A,M,,R,,,,,,R,R,R,R,,,R,,R,,,,,R,R,,,,,,,,,,R,,,,R,,,,,,,,,R,,R,,,,,,321,U1337,D,34,X,CC,,f0d78ead6ca252cd26bd10c41e902d16
321-U1337D-35X-CC,312.97,313.02,RN4,A,M,,R,,,,R,,R,R,R,R,,,R,,R,,,,,R,R,,R,,,R,R,,,,,,,,,,,,,,,,,R,,R,,,,,,321,U1337,D,35,X,CC,,a5de4c954ba36c7ada9cbda38ca623be
321-U1337D-36X-CC,324,324.05,RN4,A,M,,R,,,,R,,R,R,R,R,,,R,,R,,,,,R,R,,,,,R,R,,,,,,,,,,,,,,,,,R,,R,,,,,,321,U1337,D,36,X,CC,,7ed30cc8a105969a7e04fb5430407c99
321-U1337D-37X-CC,333.62,333.67,RN4,A,M,,R,,,,,,R,R,R,R,R,,R,,R,,,,,R,R,,R,,R,R,R,,,,,,,R,,,,R,,,,,,R,,R,,,,,,321,U1337,D,37,X,CC,,bd582cb23ffdb9a83d80a25fee2328c7
321-U1337D-38X-CC,343.02,343.07,RN4,A,M,,,,,,,,R,R,R,,R,,R,,R,,,,,,,,R,,R,R,,,,,,,,R,,,,,,,,,,R,,,,,,,,321,U1337,D,38,X,CC,,ec271b238280eeebab12ed67a73dbcd9
321-U1337D-39X-CC,352.9,352.95,RN4,A,M,,,,,,,,R,R,R,,,,R,,R,,,,,,,,R,,,R,,,,,,,,,R,,,,,,,,,R,,,,,,,,321,U1337,D,39,X,CC,,ed9e973f23b500c7b19c5f7521a750d8
321-U1337D-40X-CC,362.48,362.53,RN 3,A,M,,,,,,,,,R,R,,R,,R,,R,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,R,,R,,,,,,321,U1337,D,40,X,CC,,fd220c3c43732fca71527347036a3036
321-U1337D-41X-CC,372.01,372.06,RN2,A,M,,,,,,,,,,,,R,,R,,R,,,,,,,,,,R,R,,R,,,,,,,,,,,,,,,,R,,,,,,,,321,U1337,D,41,X,CC,,99dca77e5fa41f98909072e1e1491add
321-U1337D-42X-CC,381.68,381.73,RN2,A,M,,,,,,,,,R,R,,,,R,,R,,,,,,,,R,,,,,,,,,,,R,,,,,,,,,,R,,,,,,,,321,U1337,D,42,X,CC,,33c16825934bb88ee69573c09919d808
321-U1337D-43X-CC,391.26,391.31,RN2,A,M,,,,,,,,,R,R,,,,R,,R,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,R,,,,,,,,321,U1337,D,43,X,CC,,dd125f08ca253146e1d7a0f76b90f20e
321-U1337D-44X-CC,400.21,400.27,RN2,A,M,,,,,,,,,R,R,,R,,R,,R,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,R,,,,,,,,321,U1337,D,44,X,CC,,7c649d78e47d9682392481b133e453ce
321-U1337D-45X-CC,410.19,410.24,RN2,A,M,,,,,,,,,R,,,,,R,,R,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,R,,,,,,,,321,U1337,D,45,X,CC,,cd0bd778e9114ec5cf24b105505267b5
321-U1337D-46X-CC,417.51,417.56,RN2,A,M,,,,,,,,,R,,,,,R,,R,,,,,,,,,,R,,,,,,,,,R,,,,,,,,,,,,,,,,,,321,U1337,D,46,X,CC,,257e9b15c2b73b6711079714990bb6f7
321-U1337D-47X-CC,423.86,423.89,RN2,A,M,,,,,,,,,,,,,,R,,,,,,,,,,R,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,321,U1337,D,47,X,CC,,6c079e371d9a526ec10fbf68d3c88c8e
321-U1337D-48X-CC,435.33,435.54,RN2,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,321,U1337,D,48,X,CC,,d3273395f8eaea491ef63438bbb40cf4
