Exp,Hole,Core,Type,Section,Depth (cm),Top Depth (CSF m),Foraminiferal abundance,Foraminferal preservation,Planktic foraminiferal %,Catapsydrax dissimilis,Globigerina spp.,Globigerina bulloides,Globigerina falconensis,Globigerinatheka index,Globigerinella sp.,Globigerinella aequilateralis,Globigerinita glutinata,Globigerinoides ruber,Globigerinoides trilobus,Globigerinopsis obesa,Globoconella sp.,Globoconella conica,Globoconella conomiozea,Globoconella incognita,Globoconella inflata,Globoconella inflata triangula,Globoconella miotumida,Globoconella miozea,Globoconella mons,Globoconella pliozea,Globoconella praescitula,Globoconella puncticulata,Globoconella cf. puncticuloides,Globoconella puncticuloides,Globoconella sphericomiozea,Globoconella subconomiozea,Globoconella zealandica,Globorotaloides suteri,Globoquadrina sp.,Globoquadrina dehiscens,Hirsutella sp.,Hirsutella hirsuta,Hirsutella panda,Hirsutella scitula,Neogloboquadrina dutertrei,Neogloboquadrina incompta,Neogloboquadrina pachyderma,Orbulina bilobata,Orbulina suturalis,Orbulina universa,Paragloborotalia sp.,Paragloborotalia mayeri s.l.,Praeorbulina glomerosa,Subbotina angiporoides,Subbotina minima,Tenuitella gemma,Turborotalita ciperoensis,Truncorotalia crassaformis,Truncorotalia crassacarina,Truncorotalia crassaconica,Truncorotalia crassula,Truncorotalia juanai,Turborotalita quinqueloba,Truncorotalia truncatulinoides,Zeaglobigerina sp.,Zeaglobigerina brevis,Zeaglobierina connecta,Zeaglobierina druryi,Zeaglobierina euapertura,Zeaglobierina nepenthes,Zeaglobierina woodi,Bolboforma sp.,Bolboforma metzmacheri s.s.,Bolboforma reticulata,Bolboforma robusta,Bolboforma subfragoris s.l.,Bryozoa fragments,Echinoid plate fragments,Echinoid spines,Fish teeth,Ostracods,Otoliths,Radiolarians,Sponge spicules,Shell fragments,Micro mollusks,Other fossil material,Remarks
317,U1352B,41,X,CC,,341.28,A,G,70,,X,X,,,,,,,,,,,,,X,,,,,,,,X,X,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,cf.,,,,,,,,,,,,,,,,F,,F,,,,A,,,
317,U1352B,42,X,CC,,348.87,A,M,64,,X,X,,,,,,,,,,,,,X,,,,,,,,,X,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,C,,,
317,U1352B,43,X,CC,,360.39,A,G,91,,X,X,,,,,X,,,,,,,,X,,,,,,,,X,X,,,,,,,,,,,,X,X,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,C,F,,F,,,,C,,,
317,U1352B,44,X,CC,,370.16,A,G,62,,X,X,,,,,,,,,,,,,X,,,,,,,,X,X,,,,,,,,,,,X,,X,,,,,,,,,,,,,,X,,X,,,,,,,,,,,,,,,,,,,,,,A,,,
317,U1352B,45,X,CC,,378.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No planktics
317,U1352B,46,X,CC,,389.42,A,G,87,,X,X,,,,,,,,,,,,,X,,,,,,,,X,X,,,,,,,,,,,,,X,,,,,,,,,,,,,,X,,X,,,,,,,,,,,,,,,,F,,,,,,C,,,
317,U1352B,47,X,CC,,398.98,A,G,85,,X,X,,,,,,,,,,,,,X,,,,,,,,X,X,,,,,,,,,,,,X,X,,,,,,,,,,,,,,?,,X,,,,,,,,X,,,,,,,,F,R,,,,,C,,,
317,U1352B,48,X,CC,,408.38,A,G,83,,X,,,,,,,,,,,,,,?,,,,,,,,X,X,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,F,,,,F,,,
317,U1352B,49,X,CC,,412.64,A,P,78,,X,,,,,,,,,,,,,,X,,,,,,,,X,X,,,,,,,,,,,,X,X,,,,,,,,,,,,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,
317,U1352B,50,X,CC,,427.48,A,G,28,,X,X,,,,X,,,,,,,,,X,,,,,,,,X,X,,,,,,,,,,,,,X,,,,,,,,,,,,,,X,,cf.,,,,,,,,,,,,,,,,F,,C,,,,A,,,
317,U1352B,51,X,CC,,437.12,A,G,81,,X,X,,,,,,,,,,,,,X,,,,,,,,X,X,,,,,,,,,,,X,,X,,,,,,,,,,,cf.,,,,,X,,,,,,,,,,,,,,,,F,,R,,,,C,,,
317,U1352B,52,X,CC,,446.85,A,P,69,,X,X,,,,,,,,,,,,,X,,,,,,,,,?,,,,,,,,,,,,X,X,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,
317,U1352B,53,X,CC,,456.04,A,G,77,,X,X,,,,,,,,,,,,,X,,,,,,,,,X,,,,,,,,,,cf.,,X,X,,,X,,,,,,,,,?,,X,,X,,,,,,,,,,,,,,,A,C,,F,,,,A,,,
317,U1352B,54,X,CC,,464.03,A,G,76,,X,X,,,,,X,,,,,,,,X,,,,,,,,,X,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,R,,,,F,,,
317,U1352B,55,X,CC,,470.06,A,G,69,,X,X,,,,,X,,,,,,,,X,,,,,,,,X,X,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,F,,R,,F,,F,,,
317,U1352B,56,X,CC,,485.59,A,M,47,,X,X,,,,,,,,,,,,,X,,,,,,,,X,X,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,A,,,
317,U1352B,57,X,CC,,492.12,A,G,79,,X,X,,,,,,,,,,,,,X,,,,,,,,X,X,,,,,,,,,,,,X,X,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,F,,,,C,,,
317,U1352B,58,X,CC,,504.62,C,M,68,,X,X,,,,,X,,,,,,,,X,,,,,,,,,X,,,,,,,,,,cf.,,,X,,,,,,,,,,,,,,X,,X,,,,,,,,,,,,,,,F,,,F,,,,C,,,
317,U1352B,59,X,CC,,507.43,F,P,70,,X,X,,,,,,,,,,,,,X,,,,,,,,,X,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,
317,U1352B,60,X,CC,,514.94,C,P,77,,X,X,,,,,,,,,,,,,X,,,,,cf.,,,X,X,,,,,,,,,,,,,,,,X,,,,,,,,X,,,X,,,,,,,,,,,,,,,,,,F,,F,,,,F,,,
