Exp,Site,Hole,Core,Type,Section,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Preservation,Abundance,Globigerina bulloides,Globigerina umbilicata,Neogloboquadrina pachyderma (dex),Neogloboquadrina pachyderma (sin),Comments,A/W,Sample,eodp_id
323,U1345,C,11,H,CC,34,44,101.23,101.33,M,F,F,,,R,"abundant IRD, pyrite, mica, yellow foraminiferal tests",,323-U1345C-11H-CC,30a67aafee128756834d189687745bab
323,U1345,C,12,H,CC,25,35,110.98,111.08,M,P,,,,P,"abundant IRD, pyrite, mica, yellow foraminiferal tests",,323-U1345C-12H-CC,90a3bdd2b9468d8adefd8de1914d6956
323,U1345,C,13,H,CC,29,39,119.06,119.16,G,R,R,P,,,"abundant IRD, pyrite, mica",,323-U1345C-13H-CC,e69caff5c8da16c925a8c3ff84cb3d68
323,U1345,C,14,H,CC,23,33,129.75,129.85,G,D,A,,,D,"abundant IRD, pyrite, mica",,323-U1345C-14H-CC,c124d5de77e4170eca046e48a92d40c7
323,U1345,C,15,H,CC,49,59,139.95,140.05,M,R,,,,R,"abundant IRD, pyrite, mica",,323-U1345C-15H-CC,2d14c23d5ff17e9c06394858e5be0402
323,U1345,C,16,H,CC,24,34,148.43,148.53,M,P,,,,P,"abundant IRD, pyrite, mica",,323-U1345C-16H-CC,967b3f3ddc590ea8c36edc3576a90da8
323,U1345,D,1,H,1,0,0,0,0,VG,A,R,P,,A,,,323-U1345D-1H-1,32ea81f4935f3d43e7c9070bb8fa0b71
323,U1345,D,1,H,CC,19,29,9.66,9.76,G,A,A,,,A,"abundant IRD, mica",,323-U1345D-1H-CC,ac3fbbf88ac5ebfabf3450bc6952bc41
323,U1345,D,2,H,CC,10,20,19.13,19.23,G,D,R,,,D,"abundant IRD, pyrite, mica",,323-U1345D-2H-CC,103294773845d3fe4b0ff902338dbc02
323,U1345,D,3,H,CC,24,34,29.09,29.19,G,A,R,,,A,"dominant IRD, pyrite, mica",,323-U1345D-3H-CC,33404dd54431b2d73b122a12f4387daf
323,U1345,D,4,H,CC,21,31,38.58,38.68,M,A,R,,,A,"dominant IRD, pyrite, mica, yellow foraminiferal tests",,323-U1345D-4H-CC,a83c62396690e789061a7ad3a009b4de
323,U1345,D,5,H,CC,24,34,47.44,47.54,P,R,P,,P,,"abundant IRD, pyrite, mica, yellow foraminiferal tests",,323-U1345D-5H-CC,7a1cc4ad9576d1ccdfbff0e3994501b0
323,U1345,D,6,H,CC,25,35,56.62,56.72,M,R,P,,,R,"dominant IRD, pyrite, mica",,323-U1345D-6H-CC,12b69cff890d0d0f66e6400ce2a8a2ec
323,U1345,D,7,H,CC,48,58,66.26,66.36,G,F,F,,,F,"dominant IRD, pyrite, mica",,323-U1345D-7H-CC,2339c2dcb79e128e1827d829dde4a6a3
323,U1345,D,8,H,CC,16,26,73.22,73.32,M,P,P,,P,P,"dominant IRD, pyrite, mica, yellow foraminiferal tests",,323-U1345D-8H-CC,669a6b93bf8a881ecec6bb449d848798
323,U1345,D,9,H,CC,39,49,83.42,83.52,G,F,,,P,F,"dominant IRD, pyrite, mica",,323-U1345D-9H-CC,5d7b9a2e11776f91c8cf7c9f046a797f
323,U1345,D,10,H,CC,37,47,93.37,93.47,G,A,,,,A,"dominant IRD, pyrite, mica",,323-U1345D-10H-CC,682acad5139eb7aec9d9e7b5499a9002
323,U1345,D,11,H,CC,32,42,102.67,102.77,G,F,,,,F,"dominant IRD, pyrite, mica",,323-U1345D-11H-CC,7c4ee44851a99b4b9524562227fa138c
323,U1345,D,12,H,CC,12,22,111.93,112.03,,B,,,,,,,323-U1345D-12H-CC,701488a2a5d55d6d958d4c6ee01dfbe0
323,U1345,D,13,H,CC,42,52,122.55,122.65,M,A,F,,,A,"abundant IRD, pyrite, mica",,323-U1345D-13H-CC,7e70291edc57627dc5fa671cd68088c5
323,U1345,D,14,H,CC,23,33,131.71,131.81,M,F,P,,,F,"abundant IRD, pyrite, mica",,323-U1345D-14H-CC,8c2159a0154f6d355f4d2ac37f63d6bc
323,U1345,D,15,H,CC,25,35,140.96,141.06,G,P,,,,P,"dominant IRD, pyrite, mica",,323-U1345D-15H-CC,4ea6c412a6dd3da44a1bd25e317fddfa
323,U1345,D,16,H,CC,32,42,150.41,150.51,,B,,,,,,,323-U1345D-16H-CC,41a7f401a3ffdf3eb93b7e7f453463c3
