"Core, section, interval (cm)",Preservation,Abundance (%),Zone/Subzone,Catapsydrax dissimillis,Catapsydrax parvulus,Catapsydrax unicavus,Clavatorella bermudezi,Dentoglobigerina altispira,Dentoglobigerina altispira globosa,Dentoglobigerina baroemoensis,Dentoglobigerina larmeui,Dentoglobigerina tripartita s.s.,Globigerina angustiumbilicata,Globigerina bulloides,Globigerina ciperoensis,Globigerina falconensis,Globigerina praebulloides,Globigerina winkleri,Globigerinita glutinata,Globigerinoides altiaperturus,Globigerinoides bisphericus,Globigerinoides obliquus,Globigerinoides primordius,Globigerinoides quadrilobatus,Globigerinoides sacculifer,Globigerinoides subquadratus,Globigerinoides trilobus,Globoquadrina binaiensis,Globoquadrina dehiscens,Globoquadrina sellii,Globoquadrina venezuelana,Globorotalia (Fohsella) fohsi,Globorotalia (Forsella) fohsi lobata,Globorotalia (Fohsella) fohsi robusta,Globorotalia (Fohsella) peripheroacuta,Globorotalia (Fohsella) peripheroronda,Globorotalia (Fohsella) “praefohsi”,Globorotalia (Men ardella) menardii,Globorotalia (Menardella) praemenardii,Globorotalia praescitula,Globorotaloides suteri,Globoturborotalita druryi,Orbulina suturalis,Orbulina universa,Paragloborotalia bella,Paragloborotalia continuosa,Paragloborotalia kugleri,Paragloborotalia mayeri,Paragloborotalia nana,Paragloborotalia pseudocontinuosa,Paraglobrotalia pseudokugleri,Paragloborotalia semivera,Paragloborotalia siakensis,Praeobulina glomerosa,Praeorbulina curva,Praeorbulina sicana,Sphaeroidinellopsis seminulina,Sphaeroidnellopsis disjuncta,Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Exp,Site,Hole,Core,Type,Section,A/W,eodp_id
320-U1336B-14H-CC,P,80,M1b,,,A,,,,,A,A,,,,,,,,,,,,,,,,,A,,A,,,,,,,,,,,,,,,R,P,R,,,P,R,R,,,,,,320-U1336B-14H-CC,,,,,320,U1336,B,14,H,CC,,acf833c68b02a1c4ececdd58892192ca
320-U1336B-15H-CC,P,43,M1a,R,,D,,,P,,R,F,,,,,,,,,,,,,,,,,,R,D,,,,,,,,,,,,,,,R,P,P,,P,P,R,P,,,,,,320-U1336B-15H-CC,,,,,320,U1336,B,15,H,CC,,36feb1aba56686772e2b2c2bd0810653
"320-U1336B-16H-1,  52-54",P,32,M1a,,,F,,,,,R,A,,,F,,,,,,,,,,,,,R,,,A,,,,,,,,,,,,,,,,P,F,,P,P,P,,,,,,,320-U1336B-16H-1,52,54,,,320,U1336,B,16,H,1,,92213d28b4b1f4737bd4ab849070ff66
320-U1336B-16H-CC,P,24,M1b?,,,A,,,P,R,A,F,,,,,,,,,,,,,,,R,P,P,R,D,,,—,,,,,—,,,P,,,,,-,,,F,P,F,P,,,,,,320-U1336B-16H-CC,,,,,320,U1336,B,16,H,CC,,28ee02bfb6cab72a0d623bc284edbae2
"320-U1336B-17H-3,  80-82",VP,6,O6,,,,,,,,,P,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,P,,P,,P,R,,R,,,,,,320-U1336B-17H-3,80,82,,,320,U1336,B,17,H,3,,a75b5869dbed2d106514cd1d7939823b
320-U1336B-17H-CC,P,65,O6,,,A,,,,,A,A,,,,,,,,,,,,,,,,,,R,D,,,,,,,,,,,,,,,P,,,P,P,P,,,,,,,,320-U1336B-17H-CC,,,,,320,U1336,B,17,H,CC,,0d0d8436ea16e205f5aa1a06bbfa14e0
320-U1336B-18H-CC,P,77,O6,R,,D,,,,,R,R,,,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,,,R,,A,,P,,R,P,,,,,,320-U1336B-18H-CC,,,,,320,U1336,B,18,H,CC,,549c0969db88e01e471290fefed613cb
320-U1336B-19H-CC,P,78,O6,R,,D,,,,,A,F,,,P,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,R,,F,R,,A,,,,,,320-U1336B-19H-CC,,,,,320,U1336,B,19,H,CC,,fd05dfede229f94881013d1dcdad519b
320-U1336B-20H-CC,P,67,O6,,,A,,,,,A,,,,R,,,R,,,,,,,,,,,,,D,,,,,,,,,,,,,,R,,,P,,,R,F,P,,,,,,320-U1336B-20H-CC,,,,,320,U1336,B,20,H,CC,,c43fa4b32cb40a5f6565080c1977597b
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,P,,,,,,,,,,,,,,,,,,c7395a104e4e108a0d8ad95731b7d846
