Exp,Site,Hole,Core,Section,interval (cm),Top Depth [m],Zone/Subzone,Preservation,Abundance (%),Catapsydrax dissimilis,Catapsydrax unicavus,Chiloguembelina cubensis,Dentoglobigerina altispira,Dentoglobigerina baroemoensis,Dentoglobigerina galavisi,Dentoglobigerina globularis,Dentoglobigerina larmeui,Dentoglobigerina pseudovenezuelana,Dentoglobigerina tripartita,Dentoglobigerina spp.,Globigerina angulisuturalis,Globigerina apertura,Globigerina ciperoensis,Globigerina praebulloides,Globigerina woodi,Globigerina spp.,Globigerinoides altiapertura,Globigerinoides bulloideus,Globigerinoides diminutus,Globigerinoides extremus,Globigerinoides immaturus,Globigerinoides mitra,Globigerinoides sacculifer,Globigerinoides seiglei,Globigerinoides triloba,Globigerinoides spp.,Globoquadrina binaiensis,Globoquadrina dehiscens,Globoquadrina euapertura,Globoquadrina praedehiscens,Globoquadrina rohri,Globoquadrina sellii,Globoquadrina tapurensis,Globoquadrina venezuelana,Globorotalia (Globoconella) panda,Globorotalia (Globoconella) praesctula,Globorotalia (Fohsella) fohsi fohsi,Globorotalia (Fohsella) fohsi lobata,Globorotalia (Fohsella) fohsi robusta,Globorotalia (Fohsella) “praefohsi”,Globorotalia (Fohsella) peripheroacuta,Globorotalia (Fohsella) peripheroronda,Globorotalia (Menardella) archaeomenardii,Globorotalia (Menardella) praemenardii,Globorotaloides hexagona,Globoturborotalita anguliofficinalis,Neogloboquadrina acostaensis,Orbulina bilobata,Orbulina universa,Paragloborotalia nana,Paragloborotalia opima,Paragloborotalia pseudocontuosa,Paragloborotalia pseudokugleri,Paragloborotalia semivera,Paragloborotalia siakensis/mayeri,Paragloborotalia kugleri,Praeorbulina circularis,Praeorbulina glomerosa,Praeorbulina sicana,Praeorbulina transitoria,Sphaeroidinellopsis disjuncta,Subbotina angiporoides,Subbotina spp.,Tenuitellinata angustiumbilicata,Tenuitella munda,Turborotalia ampliapertura,Turborotalia increbescans,Top [cm],Bottom [cm],Type,Bottom Depth [m],A/W,Sample,eodp_id
320,U1336,A,5,CC,,46.41,M5b,G,90,,,,P,P,,,,,,P,,,,,,,,,P,,P,,,,,,,,,,,,,P,,,,,,,,P,,,,,,,,,,,,,P,,,P,P,,,,,,,,,,,H,,,320-U1336A-5H-CC-nan,c8608c8ec63cdd15e387515d859e6fd7
320,U1336,A,6,2,38-40,47.88,M4,M,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,40,H,,,320-U1336A-6H-2-nan,c020d811ce05a4ee9269a787635d8e59
320,U1336,A,6,4,38-40,50.88,M2–M3,P,<1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,40,H,,,320-U1336A-6H-4-nan,13a538d2d1c160f8c580222420366a73
320,U1336,A,6,CC,,55.14,M4,G,95,,,,P,,,,,,,,,,,,,,,,,,,P,P,,,,P,P,,,P,,P,P,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,H,,,320-U1336A-6H-CC-nan,7274573ca62338437107c68ab51f76ed
320,U1336,A,7,3,50-52,59.00,M2,G,95,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,P,,,,,,,,,,,,,,,,,,,,,,P,P,,,,,,,,,,,,,50,52,H,,,320-U1336A-7H-3-nan,85493ad0b04fd753b80124a1541942c8
320,U1336,A,7,5,50-52,62,M2,G,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,52,H,,,320-U1336A-7H-5-nan,7e5beadef378242130a2be516a008948
320,U1336,A,7,CC,,65.56,M2,M,80,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,P,,,P,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,H,,,320-U1336A-7H-CC-nan,ba9ced81301d9acdbaf91b9bba287c71
320,U1336,A,8,2,38-40,66.88,M2,M,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,P,,P,P,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,38,40,H,,,320-U1336A-8H-2-nan,7bd3802f73eac759587c177937a9fe73
320,U1336,A,8,4,38-40,69.88,M2,M,80,,,,,,,P,,,,,,,,,,,,,,,,,,,,,P,P,,,P,,P,P,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,38,40,H,,,320-U1336A-8H-4-nan,d3c7707a30f5c054af5a1392209d634f
320,U1336,A,8,CC,,74.38,M2,G,90,,,,P,,,,,,,,,,,,,,,,,,,,,,,,P,P,,P,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H,,,320-U1336A-8H-CC-nan,664fc51f5f163a1b2bccfe79c1774afb
320,U1336,A,9,CC,,84.58,M2,G,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H,,,320-U1336A-9H-CC-nan,a82c804ffb48733038bd834e0f26046b
320,U1336,A,10,CC,,93.78,M2,M,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H,,,320-U1336A-10H-CC-nan,b7f71319ca928abaf61cdaa8f3cb09e9
320,U1336,A,11,2,30-32,95.30,M1b,G,95,P,,,,,,,,,,,,,,,,,,,,,,,,,,,P,P,,,,,,,,,,,,,,,,,,,,,,,,,P,,,P,,,,,,,,,,,,30,32,H,,,320-U1336A-11H-2-nan,1608440b0809d44a80f38c2beabd8587
320,U1336,A,11,CC,,103.48,M1b,M,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,P,,,,,,,,,,,,,,,,,,,,,,,,,P,,,P,,,,,,,,,,,,,,H,,,320-U1336A-11H-CC-nan,1dcafe0448f7902a20e3fddf392ed18d
320,U1336,A,12,2,38-40,104.88,M1b,G,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,38,40,H,,,320-U1336A-12H-2-nan,c581af756f74d84663c605d0574f9309
320,U1336,A,12,CC,,112.43,M1b,G,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,P,,,,,,,,,,,,,,H,,,320-U1336A-12H-CC-nan,9a63871893cf197e6d5f8598e4185221
320,U1336,A,13,CC,,122.58,M1b,G,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,P,,,,,,,,,,,,,,H,,,320-U1336A-13H-CC-nan,d29977322f637fc411d48d2743d01290
320,U1336,A,14,CC,,123.50,M1b,G,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,P,,,,,,,,,,,,,,H,,,320-U1336A-14H-CC-nan,86edd51659121c6c0172e5be71fe5ad2
320,U1336,A,15,2,38-40,125.38,M1b,P,30,P,,,,,,,,,,P,,,,,,,,,,,,,,,,,P,P,,,P,,P,,,,,,,,,,,,,,,,,P,,,,,P,,,,,,,,,,,,,38,40,H,,,320-U1336A-15H-2-nan,6c9b3853b431b357d80ca87fe14bb70c
320,U1336,A,15,4,38-40,128.38,M1a,P,50,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,P,,P,,,,,,,,,,,,,,,,,,,,P,,P,P,,,,,,,,,,,,38,40,H,,,320-U1336A-15H-4-nan,441841e75cf96499349e0df7e98fb0b8
320,U1336,A,15,CC,,133.38,M1a,M,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,P,,,,,,,,,,,,,,H,,,320-U1336A-15H-CC-nan,041dd0596242e5b4c5c1222f4c192939
320,U1336,A,16,CC,,141.99,M1a,M,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,P,,,,,,,,,,,,,,H,,,320-U1336A-16H-CC-nan,33cb434d7f28e9342becf50539e81f59
320,U1336,A,17,2,38-40,143.88,O6,M,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,38,40,H,,,320-U1336A-17H-2-nan,48dd208eb9e5ff6e9f1ff6322adfc8c8
320,U1336,A,17,4,38-40,146.88,O6,M,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,40,H,,,320-U1336A-17H-4-nan,e54ae1bf7b0962d7342ff200c5bf7fd3
320,U1336,A,17,CC,,151.84,O6,M,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,H,,,320-U1336A-17H-CC-nan,62d530393345b1b8c0bc0270f6a5d2e3
320,U1336,A,18,CC,,161.53,O6,M,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,H,,,320-U1336A-18H-CC-nan,aacaae971228e37adc5d9195c6cb0a60
320,U1336,A,19,CC,,170.60,O6,M,70,P,P,,,,P,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,P,,P,,,,,,,,,,,,,,,H,,,320-U1336A-19H-CC-nan,e912b99dade9b4648efe3ef4f00ac528
320,U1336,A,20,2,38-40,172.38,O6,M,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,38,40,H,,,320-U1336A-20H-2-nan,7d7fba63a7405c013d13b7855c3e0504
320,U1336,A,20,4,38-40,175.38,O6,M,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,40,H,,,320-U1336A-20H-4-nan,f9955d874ecc9c5e2785d95eb58e2782
320,U1336,A,20,CC,,180.13,O6,M,90,P,,,,,,,,,P,,,,P,,,P,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,P,,,,,P,,,,,,,,,P,,,,,,H,,,320-U1336A-20H-CC-nan,fa311371d179bbf8e9728612d0d1d933
320,U1336,A,21,CC,,184.78,O6,M,90,P,P,,,,P,,,,P,,P,,P,,,,,,,,,,,,,,,,P,,,,,P,,,,,,,,,,,,,,,,P,,P,,,P,,,,,,,,,P,,,,,,H,,,320-U1336A-21H-CC-nan,38ca38ddbd0dc98b8e0ddeb59f5f834c
320,U1336,A,22,CC,,192.72,O6,P,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,320-U1336A-22X-CC-nan,40d51fb4e9c9ffbbde24fbd0b58ae7b5
320,U1336,A,23,CC,,202.15,O6,P,50,,P,,,,P,,,P,P,,,,,P,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,P,,,,P,,,,,,,,,,,,,,,,,,,,X,,,320-U1336A-23X-CC-nan,cd7cbc3d9c01eaeb8a13c400dc9b7132
320,U1336,A,24,2,41-43,204.31,O5,M,40,,,,,,P,,P,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,41,43,X,,,320-U1336A-24X-2-nan,5f322e5c18a8b035649a548fa7ab06b4
320,U1336,A,24,4,40-42,207.30,O5,M,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,40,42,X,,,320-U1336A-24X-4-nan,808d90ab675c3b16dcf887113fb37066
320,U1336,A,24,CC,,209.62,O4,M,15,,,P,,,,,,,,,P,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,X,,,320-U1336A-24X-CC-nan,e6652a07fbf51fce1de53eb1f4e101a4
320,U1336,A,25,2,45-47,213.95,O4,M,20,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,47,X,,,320-U1336A-25X-2-nan,ddfe8bece903b61536e5eb86e8ec7d80
320,U1336,A,25,CC,,216.91,O4,M,10,,P,P,,,P,,,,,,P,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,P,P,,,,,,,,,,,,,,,,,,,X,,,320-U1336A-25X-CC-nan,94e8beba7c9faa3890a53b869b7ceff7
320,U1336,A,26,4,38-40,226.48,O4,M,40,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,40,X,,,320-U1336A-26X-4-nan,29ecba76b658cebd6ea8c454d73e9e40
320,U1336,A,26,CC,,230.95,O4,M,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,X,,,320-U1336A-26X-CC-nan,dbe6c8cb9982d4f43cba38380acd7ab1
320,U1336,A,27,CC,,237.78,O4,M,15,,,P,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,X,,,320-U1336A-27X-CC-nan,1f3957040de6ef3a1c9989d4a6b7bb9f
320,U1336,A,28,2,20-22,242.50,O3,M,20,,P,P,,,P,,,P,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,P,,,,,,,,,,,,,,,,,20,22,X,,,320-U1336A-28X-2-nan,5ae8b5e95dfbb3944bd4d50209719cca
320,U1336,A,28,CC,,243.78,O3,M,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,X,,,320-U1336A-28X-CC-nan,62da5aab09ea87a9ed71b80431951aff
320,U1336,A,29,2,24-26,252.14,O3,P,<30,P,,,,,P,,,P,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,P,,,,,,,,,,,,,,,,,24,26,X,,,320-U1336A-29X-2-nan,e9e24f4176c4f96223bf0509fd0218e6
320,U1336,A,29,CC,,254.52,O3,M,20,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,P,,,,,,,,X,,,320-U1336A-29X-CC-nan,7a4aeea11121060402c9186063feddf6
320,U1336,A,30,2,38-40,261.88,O1–O2,P,>50,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,P,,,,P,P,38,40,X,,,320-U1336A-30X-2-nan,02531387948ce3d4e35e1f735684022a
320,U1336,A,30,CC,,264.38,O1–O2,P,50,P,P,P,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,P,,,X,,,320-U1336A-30X-CC-nan,f4e17fbc8dbd3b34b08945d9de3dfa0d
320,U1336,A,31,CC,,274.56,O1–O2,P,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,P,,,,X,,,320-U1336A-31X-CC-nan,a98de02c08e301e2700555a950ab7527
320,U1336,A,32,CC,,283.29,O1–O2,P,>50,,P,,,,P,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,P,,,P,,,,X,,,320-U1336A-32X-CC-nan,e5bb99f8ccdc5d10700b0fad0e58ce8e
320,U1336,A,33,CC,,291.24,O1–O2,P,20,P,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,P,,,,,,,X,,,320-U1336A-33X-CC-nan,69de1713428873a62753d0dc1608b1be
320,U1336,A,34,CC,,294.07,O1–O2,P,>50,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,X,,,320-U1336A-34X-CC-nan,7ab4e161acd18ce788df0527c98bcfc9
320,U1336,A,35,CC,,299.59,O1–O2,P,70,,P,,,,P,,,,P,P,,,,,,,,,,,,,,,,,,,P,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,X,,,320-U1336A-35X-CC-nan,086b9415141392e0a49f324fa64b1d71
