Sample,Top Depth [m],Bottom Depth [m],Radiolarian zone,Abundance,Preservation,Mixing,Acrocubus octopylus,Amphirhopalum ypsilon,Anthocyrtidium angulare,Anthocyrtidum pliocenica,Botryostrobus miralestensis,Calocycletta caepa,Calocycletta costata,Calocycletta robusta,Calocycletta virginis,Carpocanopsis cingulata,Carpocanopsis cristata,Centrobotris petrushevskayae,Collosphaera tuberosa,Cycladophora davisiana,Cyrtocapsella cornuta,Cyrtocapsella japonica,Cyrtocapsella tetrapera,Diartus hughesi,Diartus petterssoni,Didymocyrtis antipenultima,Didymocyrtis avita,Didymocyrtis bassanii,Didymocyrtis laticonus,Didymocyrtis mammifera,Didymocyrtis penultima,Didymocyrtis prismatica,Didymocyrtis tetratharamus,Didymocyrtis tubaria,Didymocyrtis violina,Dorcadospyris dentata,Dorcadospyris forcipata,Dorcadospyris praeforcipata,Dorcadospyris scambos,Eucyrtidium diaphanes,Lamaprocyrtis heteroporos,Lamaprocyrtis neoheteroporos,Liriospyris parkerae,Liriospyris stauropora,Lithopera neotera,Lithopera renzae,Lophocyrtis leptetrum,Lophocyrtis pegetrum,Lychnocanoma elongata,Lychnodictyum audax,Nephrospyris renila,Phormostichoartus doliolum,Phormostichoartus fistula,Pterocanium prismatium,Solenosphaera omnitubus,Spongaster berminghami,Spongaster pentas,Spongaster tetras tetras,Stichocorys armata,Stichocorys delmontensis,Stichocorys johnsoni,Stichocorys pergrina,Stichocorys wolffii,Stylatractus universus,Theocorythium trachelium,Theocorythium vetulum,Theocyrtis annosa,Top [cm],Bottom [cm],Exp,Site,Hole,Core,Type,Section,A/W,eodp_id
321-U1337A-11H-CC,101,101,RN9,A,M,,,,,R,,,,,,,,,,,,,,,,,R,,,,R,,R,,,,,,,,,,,,,,,,,,,R,R,,R,R,R,,,,,C,,,,R,,,,321,U1337,A,11,H,CC,,c98c8dc631fa5b83ba8601004515fce5
321-U1337A-12H-CC,110.4,110.4,RN9,A,M,,,,,R,,,,,,,,,,,,,,,,,,,,,R,,R,,,,,,,,,,,,,,,,,,,F,R,,R,R,,,,,,C,,R,,R,,,,321,U1337,A,12,H,CC,,07a83200ebe86c8d4fabdf74c9f1ae0a
321-U1337A-13H-CC,119.84,119.84,RN9,A,M,,,,,R,,,,,,,,,,,,,,,,R,,,,,F,,R,,,,,,,,,,,,,,,,,R,,F,R,,R,R,,,,,R,C,,,,R,,,,321,U1337,A,13,H,CC,,2728311a6d8eedef45ade399a9177b64
321-U1337A-14H-CC,129.37,129.37,RN8,A,M,,,,,R,,R,,,,,,,,,,,,,,R,,,,,F,,,,,,,,,,,,,,,,,,,,,F,R,,R,R,,,,C,R,C,,,,R,,,,321,U1337,A,14,H,CC,,b8136aa7c1ba8c8c70d6068d0ca36684
321-U1337A-15H-CC,138.82,138.82,RN8,A,M,,,,,R,,R,,,,,,,,,,,,,,R,,,,,F,,,,,,,,,,,,,,,,,,,R,,F,R,,,R,,,,C,R,,,,,,,,,321,U1337,A,15,H,CC,,00fdd712c482a4971c56ea4f05e13ff7
321-U1337A-16H-CC,148.52,148.52,RN7,A,M,,,,,,,F,,,,,,,,,,,,F,,R,,,F,,F,,,,,,,,,,,,,,,,,,,,,R,,,,R,,,,C,,,,,,,,,,321,U1337,A,16,H,CC,,b1185011ce816d7a46de710e7cef55fd
321-U1337A-17H-CC,157.99,157.99,RN7,A,M,,,,,,,R,,,,,,,,,,,,F,,R,,,F,,F,,,,,,,,,,,,,,,,,,,,,R,,,,R,,,,C,,,,,,,,,,321,U1337,A,17,H,CC,,b8ed75df1df2bc57dc2b12757bdbddf3
321-U1337A-18H-CC,167.5,167.5,RN7,C,M,,,,,,R,,,,,,,,,,,,,F,R,R,,,F,,,,,,,,,,,,,,,,,,,,,R,,R,,,,,,,,C,,,,,,,,,,321,U1337,A,18,H,CC,,429ae92b409a97a6c19fbff3449e448f
321-U1337A-19H-CC,177,177,RN6,C,M,,,,,,R,R,,,,,,,,,,,,,F,R,,,F,,,,,,,,,,,,,,,,,,,,,,,R,R,,,,,,,C,,,,,,,,,,321,U1337,A,19,H,CC,,a4fe52ba69c50e4392bb7046602a2fa5
321-U1337A-20H-CC,186.38,186.38,RN6,R,G,,,,,,R,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,R,R,,,,,,,R,,,,,,,,,,321,U1337,A,20,H,CC,,ae7fc4c7c9dd18a197a98c5936d79d19
321-U1337A-21H-CC,195.62,195.62,RN6,A,G,,,,,,R,R,,,,,,,,,,,,,R,,,,F,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,C,,,C,,,,,,,321,U1337,A,21,H,CC,,2ebac91375ad97b5e9a0d1af590ea0b3
321-U1337A-22X-CC,198.04,198.04,RN6,R,G,,,,,,,,,,,,,,,,,,,,R,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,R,,,,,,,321,U1337,A,22,X,CC,,97af19b758c1a686b95ff6ae8994a76f
321-U1337A-23X-CC,213.87,213.87,RN6,C,M,,,,,,F,R,,,,,R,,,,,R,,,R,,,,R,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,C,,,C,,,,,,,321,U1337,A,23,X,CC,,228d9277ea63f13cf4662e07a962dab0
321-U1337A-24X-CC,218.98,218.98,RN6,A,G,,,,,,F,R,,,,,,,,,,C,,,F,,,,F,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,C,,,F,,,,,,,321,U1337,A,24,X,CC,,2a33476cdb2b1a182b87532777fe8f35
321-U1337A-25X-CC,232.87,232.87,RN6,A,G,,,,,,R,R,,,,,R,,,,,C,,,F,,,,F,,,,,,,,,,,,,,,,,,,,,,,R,R,,,,,,,C,,,F,,,,,,,321,U1337,A,25,X,CC,,08eb3a3e18879cfc80143e3fbfa8abe9
321-U1337A-26X-CC,242.42,242.42,RN6,A,G,,,,,,R,R,,,,,,,,,R,,F,,R,,,,R,,,,,,,,,,,,,,,,R,,,,,,,R,R,,,,,,,C,,,R,,,,,,,321,U1337,A,26,X,CC,,ca3b692b660da552b2601d6bae8b6d8b
321-U1337A-27X-CC,243.46,243.46,RN6,R,G,,,,,,,R,,,,,R,,,,,,R,,R,,,,R,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,R,,,R,,,,,,,321,U1337,A,27,X,CC,,58c4a4eb9fcaf5dbe4d53f3e23ad7cf9
321-U1337A-28X-CC,256.37,256.37,RN5,A,G,,,,,,R,R,,,,,,,,,R,,R,,,,,,R,,,,,,,,,,,,,,,,,R,,,,,,R,R,,,,,,,F,,,,,,,,,,321,U1337,A,28,X,CC,,2e2f39dab13bee2a131c72d502803133
321-U1337A-29X-CC,270.8,270.8,RN5,A,G,,,,,,R,R,,,,,R,,,,R,,R,,,,,,R,,,,,,,,,,,,,,,,R,R,,,,R,,R,,,,,,,,C,,,,,,,,,,321,U1337,A,29,X,CC,,e5368f60c600450cc46a6d9e63800015
321-U1337A-30X-CC,280.49,280.49,RN5,A,M,,,,,,R,R,,R,,,R,,,,,,R,,,,,,R,,,,,,,,,,,,,,,,,R,,,,R,,,,,,,,,,F,,,R,,,,,,,321,U1337,A,30,X,CC,,8cbe1f601ada924538e77cda28050df5
321-U1337A-31X-CC,289.47,289.47,RN5,A,M,,R,,,,R,,,R,,,,,,,,,F,,,,,,R,,,,,,,,,,,,,,R,,,R,,,,,,,,,,,,,R,F,,,,,,,,,,321,U1337,A,31,X,CC,,53bf6238a558d1e11e2d1d70b238f630
321-U1337A-32X-CC,297.17,297.17,RN5,A,M,,R,,,,R,,,R,,,,,,,R,,R,,,,,R,R,,,,,,,,,,,,,,R,,,R,,,,R,,,,,,,,,,F,,,,,,,,,,321,U1337,A,32,X,CC,,8c5a3ff434a8e35685c9aa3cac796044
321-U1337A-33X-CC,309.25,309.25,RN5,A,M,,R,,,,R,,,F,,,R,,,,,,R,,,,,,,,,,,,,,,,,,,,R,,,R,,,,R,,R,R,,,,,,,F,,,R,,,,,,,321,U1337,A,33,X,CC,,b13789bcf3490aaae6d247d12c547ebc
321-U1337A-34X-CC,318.36,318.36,RN4,A,G,,R,,,,R,,C,R,R,,,,,,R,,R,,,,,R,,R,,R,,R,R,R,,,,,,,,R,,R,,,,,,,,,,,,,,F,,,,,,,,,,321,U1337,A,34,X,CC,,aaf5a1f92bd459d0d468b12420173e8a
321-U1337A-35X-CC,327.23,327.23,RN4,A,M,,R,,,,,,R,R,R,,,,,,R,,R,,,,,,,R,,,,,R,R,,,,,,,,R,,R,,,,R,,,,,,,,,,F,,,,,,,,,,321,U1337,A,35,X,CC,,2e01ddf1f5490a7988b85295fae5b076
321-U1337A-36X-CC,338.15,338.15,RN4,A,M,,,,,,R,,R,R,R,R,,,,,R,,R,,,,,R,,,,R,,,R,R,,,,,,,,R,,R,R,,,R,,R,,,,,,,,F,,,R,,,,,,,321,U1337,A,36,X,CC,,04af8909055027fde37af90820fc1449
321-U1337A-37X-CC,347.64,347.64,RN4,A,M,,,,,,,,R,F,R,R,,,,,R,,R,,,,,,,R,,R,,R,R,R,,,,,,,,R,,,R,,R,,,,,,,,,,,F,,,R,,,,,,,321,U1337,A,37,X,CC,,d1890f88f2dfbbd03409645b7a226bf2
321-U1337A-38X-CC,352.65,352.65,RN4,A,M,,,,,,,,R,R,R,R,,,,,R,,C,,,,,,,,,R,,R,R,R,,,,,,,,R,,,,,,,,,,,,,,,,F,,,R,,,,,,,321,U1337,A,38,X,CC,,732b62abb58757d7dd33dbc6927e7020
321-U1337A-39X-CC,366.85,366.85,RN3,A,M,,,,,,,,,F,R,R,,R,,,R,,C,,,,,,,R,,R,,,R,,R,,,,,,,,,,R,,,,,,,,,,,,,F,,,R,,,,,,,321,U1337,A,39,X,CC,,a4c15f61a825d55fd85ea49abefdd5df
321-U1337A-40X-CC,376.47,376.47,RN2,A,M,,,,,,,,,R,,R,,,,,R,,F,,,,,,,,,R,,,R,,R,,,,,,,,,,R,,R,R,,,,,,,,,,F,,,R,,,,,,,321,U1337,A,40,X,CC,,2e3e6b9efd3fa88a738dd07ea848346a
321-U1337A-41X-CC,386.06,386.06,RN2,A,M,,,,,,,,,F,R,R,,,,,F,,F,,,,,,,,,,,R,R,,,,R,,,,,,,,,,R,,,R,R,,,,,,,F,,,R,,,,,,,321,U1337,A,41,X,CC,,00b0e15acec5685da8b8f0b6ae78740e
321-U1337A-42X-CC,394.23,394.23,RN2,A,G,,,,,,,,,R,R,R,,,,,R,,F,,,,,R,,,,R,,R,,,,,R,,,,,,,,,,R,,,,,,,,,,,F,,,,,,,,,,321,U1337,A,42,X,CC,,a448333b8537cf9a96ef532f375ee769
321-U1337A-43X-CC,405.14,405.14,RN2,A,M,,,,,,,,,R,R,R,,R,,,F,,F,,,,,,,,,R,,R,,,R,,R,,,,,,,,R,,R,,,,,,,,,,,F,,,,,,,,,,321,U1337,A,43,X,CC,,9f6eea3ec72bf0b3c1affea395d6340f
321-U1337A-44X-CC,414.54,414.54,RN2,A,M,,,,,,,,,R,R,R,,R,,,R,,F,,,,,,,,,R,,R,,,,,R,,,,,,,,R,,R,,,,,,,,,,,F,,,,,,,,,,321,U1337,A,44,X,CC,,ff8ef5aa80902f37e3ba46f5ecf4be6a
321-U1337A-45X-CC,424.19,424.19,RN2,A,G,,,,,,,,,R,R,,,R,,,R,,R,,,,,R,,,,R,,,,,,R,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,321,U1337,A,45,X,CC,,f5ef6b27d4c048e4d05ef858d4368586
321-U1337A-46X-CC,433.49,433.49,RN1,A,G,,,,,,,,,R,,,,,,,F,,F,,,,,R,,,,R,,R,,,,R,R,R,,,,,,,,R,R,,,,,,,,,,,,,,,,,,R,,,321,U1337,A,46,X,CC,,b0d5ff23a90e018b448da0d696dd561b
321-U1337A-47X-CC,443.45,443.45,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,321,U1337,A,47,X,CC,,26693501f66b27aba58155940c91986d
321-U1337A-48X-CC,449.32,449.32,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,321,U1337,A,48,X,CC,,a1a06c15d77f408ed6ca145cfcbf7a56
