Exp,Site,Hole,Core,Type,Section,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Preservation,Abundance,Alabaminella weddellensis,Brizalina earlandi,Bulimina aff. exilis,Cassidulina laevigata var. carinata,Cassidulina sp.,Cassidulinoides tenuis,Cibicidoides sp.,Dentalina sp.,Elphidium cf. batialis,Fissurina sp,Fursenkoina sp.,Glandulina sp.,Globobulimina pacifica,Globocassidulina sp.,Gyroidinoides soldanii,Islandiella norcrossi,Melonis barleanum,Melonis pompilioides,Nodosaria aff. pyrula,Nodosaria spp.,Nonionella labradorica,Nonionella turgida,Nonionella turgida digitata,Oridorsalis umbonatus,Planulina wuellerstorfi,Pullenia bulloides,Pullenia sp.,Pyrgo sp.,Quinqueloculina sp.,Reophax dentaliniformis,Rhabdammina sp.,Saccammina sp.,Sphaeroidina bulloides,Triloculina cf. trihedra,Uvigerina auberiana,Uvigerina cf. peregrina,Valvulineria sp.,Cibicidoides mundulus,Oolina globosa?,Comments,A/W,Sample,eodp_id
323,U1344,A,20,H,CC,21,31,190.3,190.4,G,A,,,,,,,,,A,,,,,,P,,,,P,,,,,,,,,,F,,,,P,,A,,,,,"PYR TUBES, MICA",,323-U1344A-20H-CC,085a1a20fd77bdcd3b42bcee53b87332
323,U1344,A,21,H,CC,21,31,199.18,199.28,M,R,,,,,,,,,,,,,,,,,,P,P,,,,,,,,,,,,,,,,P,,P,,,yellow forams,,323-U1344A-21H-CC,3b71523b2cc893e56e948e3dd1e22380
323,U1344,A,22,H,CC,28,38,208.73,208.83,M,A,,,,,,,P,,A,,,,,,,,,P,,,,,,,P,,,P,P,,,,,,R,,,P,,yellow forams,,323-U1344A-22H-CC,d9e6223b63b4a4c55827591f42b5217e
323,U1344,A,23,H,CC,35,45,218.01,218.11,G,D,,P,D,,,A,,,P,,,,A,,,,,,,,,,P,,,,,,,,,,,,,,,,,AB SHELLS,,323-U1344A-23H-CC,29e8b10622d3b7e89a861e11f8597028
323,U1344,A,24,H,CC,33,43,226.57,226.67,M,F,,,,,,R,,,,,,,R,,,,,,,,,,,,,,,P,,,,,,,,,R,,,"PYR TUBES, MICA",,323-U1344A-24H-CC,3bcf2a4bca3cb214be7bcb1610d59e26
323,U1344,A,25,H,CC,39,49,236,236.1,M,P,,,,,P,P,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"PYR TUBES, MICA",,323-U1344A-25H-CC,792d16402488d4c754611e424c7d4584
323,U1344,A,26,H,CC,39,49,245.39,245.49,M,A,,,P,,,,,,A,,,,,,,,,,,,F,,,,,P,,,,,,,,,,,R,P,,"PYR TUBES, MICA",,323-U1344A-26H-CC,2b995726e7c09721ab90644f2b6846f4
323,U1344,A,27,H,CC,52,62,255.73,255.83,M,A,,,A,,,,,,A,R,,,,,,,,,,,P,,,,,,,,R,,,,,,,,F,,,"PYR TUBES, MICA",,323-U1344A-27H-CC,fbf43ed5afddad41fa874bdbb6919657
323,U1344,A,28,X,CC,22,32,263.73,263.83,M,A,,,R,,,,,,A,,,,,,,,,,,,P,,,,,,,,,,,,,,,,P,,,"PYR TUBES, MICA",,323-U1344A-28X-CC,999980ab469d1ab507eea5aa52c25e31
323,U1344,A,29,X,CC,22,32,270.25,270.35,G,A,,,A,,,R,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"PYR TUBES, MICA, FEW YELLOW FORAMS",,323-U1344A-29X-CC,c125cf6cacdd03294298c994956722f0
323,U1344,A,30,X,CC,20,30,280.21,280.31,G,A,,,F,,,,,,A,,,,R,,,,,,,,R,,,,,,,,,,,,,,,,R,,,"PYR TUBES, MICA",,323-U1344A-30X-CC,a287c1f6e9f05edf51a8d96081d6faf5
323,U1344,A,31,X,CC,24,34,288.48,288.58,M,A,,,A,,,R,,,A,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,R,,"PYR TUBES, MICA, FEW YELLOW FORAMS",,323-U1344A-31X-CC,1d30a5580535e69aee7c3c912583871b
323,U1344,A,32,X,CC,72,82,299.07,299.17,M,D,,,D,P,,A,,,F,,,,P,R,,,,,,,,,,,,,,,,,,,,,,,F,,,"PYR TUBES, MICA",,323-U1344A-32X-CC,03cdde7932394d0bec5bceb8d8a74a25
323,U1344,A,33,X,CC,27,37,309.13,309.23,G,R,,,R,,,R,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,"PYR TUBES, MICA",,323-U1344A-33X-CC,240d774e97de8e09474130eeca1731d7
323,U1344,A,34,X,CC,22,32,318.31,318.41,M,A,,,R,,,,,P,A,,,,,,,,,F,,,F,,,,,,,,,,,,,,,,R,,,"PYR TUBES, MICA, ABUNDANT YELLOW FORAM",,323-U1344A-34X-CC,ea295ef904544166f9bc1b8305c6a3f4
323,U1344,A,35,X,CC,17,27,323.47,323.57,M,R,,,,,,,,,P,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,"PYR TUBES, MICA",,323-U1344A-35X-CC,fb2614f7dbd16a3fc1b8986193e7a352
323,U1344,A,36,X,CC,20,30,338.79,338.89,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"PYR TUBES, MICA",,323-U1344A-36X-CC,6094b4de60bbbfdaf595eb96fed2e050
323,U1344,A,37,X,CC,25,35,346.28,346.38,M,R,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,R,,,"PYR TUBES, MICA",,323-U1344A-37X-CC,fa71d6c166fb352f66a707276670bc1b
323,U1344,A,38,X,CC,51,61,356.98,357.08,M,R,,,,,,,,,,,,,,,,,,R,,,,,,,,,,P,,,,,,,,,,,,"PYR TUBES, MICA",,323-U1344A-38X-CC,1bb5e932d73708d4b8bed4eecc2925c0
323,U1344,A,39,X,CC,24,34,364.13,364.23,M,A,,,,,,,,,F,,,,A,,,,,R,,,,,,,,,,P,,,,,,,,,,,,"PYR TUBES, MICA",,323-U1344A-39X-CC,455b834539583fc74023ca86753f7c96
323,U1344,A,40,X,CC,13,23,373.09,373.19,G,R,,,,,,,,,,,,,P,,,,,,,,,,,,,,,P,P,,,,,,,,,,,MICA,,323-U1344A-40X-CC,3461868e59c34c24874216519673a304
323,U1344,A,41,X,CC,37,47,387.87,387.97,M,R,,,,,,,,,P,,,,R,,,,,,,,,,,,,,,,P,,,,,,,,,,,"PYRITE, MICA",,323-U1344A-41X-CC,b229849084e4475e7b99f6900ba824a8
323,U1344,A,42,X,CC,22,32,397.41,397.51,G,A,,,P,,,R,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,A,P,,"PYRITE, MICA",,323-U1344A-42X-CC,9dee45127b0d67088ec2bcb808c459a9
323,U1344,A,43,X,CC,26,36,403.46,403.56,M,F,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,F,,P,"PYRITE, MICA",,323-U1344A-43X-CC,972a1ebab2969ddb7a73fde98b66172b
323,U1344,A,44,X,CC,40,50,414.88,414.98,M,P,,,,,,,,,P,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,MICA,,323-U1344A-44X-CC,39d84614d29b9d667167a3c365ea51a9
323,U1344,A,45,X,CC,50,60,425.83,425.93,M,R,,P,,,,,,,,,,,P,,,,,R,,,,,,,,,,,,,,,,,,,,,,"PYR TUBES, MICA",,323-U1344A-45X-CC,e79a2d4c2c8caafd824ea180d7b76925
323,U1344,A,46,X,CC,60,70,434,434.1,M,R,,,,,,P,,,,,,,,,,,,R,,,,,,,P,P,,,P,,,,,,,,R,,,"PYRITE, MICA",,323-U1344A-46X-CC,9d075ced41bf7e9ec65d3708d4d74bbf
323,U1344,A,47,X,CC,26,36,442.92,443.02,M,F,,,,,,R,,,,,,,F,,,,,,,,R,,,,,,,,,,,,,,,,R,P,,"PYR TUBES, MICA",,323-U1344A-47X-CC,643f557770001952bc7b18b2f403c312
323,U1344,A,48,X,CC,0,10,451.59,451.69,M,R,,,,,,,,,,,,,,,,,,R,P,,,,,,,,,,,,,,,,,,,,,"PYR TUBES, MICA",,323-U1344A-48X-CC,fb0470f211c690ebc0bd777b80c6e72c
323,U1344,A,49,X,CC,65,75,461.75,461.85,G,A,,,P,,,P,,,A,,,,A,R,,,,F,,,,,,,,,,,,,,,,,,,,P,,"PYRITE, MICA",,323-U1344A-49X-CC,6a4b6e3caf83f4e61cc6ddf581210815
323,U1344,A,50,X,CC,11,21,473.39,473.49,M,R,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,"PYRITE, MICA",,323-U1344A-50X-CC,d67fb30bdf6fc5b825e6b638c92ce2ba
323,U1344,A,51,X,CC,32,42,482.57,482.67,G,F,,,,,,,,,F,,,,F,,,,,R,,,,,,,,,,,,,,,,,,,P,,,"PYRITE, MICA",,323-U1344A-51X-CC,8c21ff5a58923443e699d81c32587fb5
323,U1344,A,52,X,CC,38,48,493.1,493.2,M,A,,,,,P,,,,A,,,,R,,,,,P,,,,,,,,,,,,,,,,,,,R,,,"PYRITE, MICA",,323-U1344A-52X-CC,356baf0147ce97b3bc7bc5d03f014ba9
323,U1344,A,53,X,CC,33,43,502.03,502.13,M,F,,,,,,,,,F,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,"PYRITE, MICA",,323-U1344A-53X-CC,f7d4e8b1d9270817b4635c86779d389e
323,U1344,A,54,X,CC,29,39,511.86,511.96,G,F,,,,,,R,,,,,,,R,,,,,F,,,,,,,,,,,,,,,,,,,R,P,,"PYRITE, MICA",,323-U1344A-54X-CC,15f7f864792f937c5e3222a123862962
323,U1344,A,55,X,CC,36,46,521.7,521.8,M,R,,,,,,R,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,P,,,"PYRITE, MICA",,323-U1344A-55X-CC,ac4719c12d714b80975571eda1ae99ae
323,U1344,A,56,X,CC,25,35,530.21,530.31,M,R,,,,,,,,,P,,,,,,,,,R,,,P,,,,,,,,,,,,,,,,,,,"PYR TUBES, MICA",,323-U1344A-56X-CC,1cfbe177bba110c02208a405b0cc53cc
323,U1344,A,57,X,CC,25,35,540.18,540.28,M,F,,P,,,,,,,F,,,,P,,,,,,,,P,,,,,P,,,,,,,,,,,F,,,"PYR TUBES, MICA",,323-U1344A-57X-CC,43044794438afec8170b64754b64b4f0
323,U1344,A,58,X,CC,37,47,549.47,549.57,M,F,,,,,,,,,F,,,,,,,,P,R,,,,,,P,,,,,,,,,,,,,,,P,"PYRITE, MICA",,323-U1344A-58X-CC,60d5661acc219c65d279045cc35eb583
323,U1344,A,59,X,CC,31,41,558.69,558.79,P,R,,,,,,,,,R,,,P,,,,,,R,,,,,,,,,,,,,,,,,,,P,,,"PYRITE, MICA",,323-U1344A-59X-CC,7d952f07ee494d29cfc8574a5f375daa
323,U1344,A,60,X,CC,15,25,567.32,567.42,M,R,,,,,,P,,,P,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,"PYR TUBES, MICA",,323-U1344A-60X-CC,9a01e12c8c8b755e86052465f0ef8922
323,U1344,A,61,X,CC,19,29,578.8,578.9,P,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,"PYR TUBES, MICA",,323-U1344A-61X-CC,47e3a6393e1c2d11dea4606357641039
323,U1344,A,62,X,CC,30,40,587.51,587.61,M,R,,,,,,,,,,,,,,,P,,,,,,,,,P,,,,R,,,,,,,,,,,R,"PYR TUBES, MICA",,323-U1344A-62X-CC,3ab12768060c885d9b6ef3046e3eb629
323,U1344,A,63,X,CC,26,36,596.19,596.29,P,R,,,,,R,R,,,,,,,P,,,,,P,,,R,,,,,,,,,,,,,,,,,,,"PYRITE, YELLOW FORAMS",,323-U1344A-63X-CC,f0db7e62e777f679fccd09ae144eb528
323,U1344,A,64,X,CC,29,39,607.63,607.73,G,A,,,,,,R,,,A,,,,,,,,,P,,,R,,,,,P,P,,R,,,,,,,,,,,"PYRITE, MICA",,323-U1344A-64X-CC,99999c16bb0b648c1e33179626448dd4
323,U1344,A,65,X,CC,32,42,617.98,618.08,G,R,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,"PYRITE, MICA",,323-U1344A-65X-CC,db8927b96ea640e33494c930a2767909
323,U1344,A,68,X,CC,37,47,645.9,646,M,F,,,,,,,,,F,,,,,,P,,,R,P,,,,,,,,,,,,,,,,,,,,,"PYRITE, MICA",,323-U1344A-68X-CC,767a77965f703a676c4fd2f4b9dc3087
323,U1344,A,69,X,CC,26,36,647.16,647.26,M,R,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,"PYRITE, FEW YELLOW FORAMS",,323-U1344A-69X-CC,239607ed5ee53ad0000764eabc135274
323,U1344,A,70,X,CC,28,38,666.35,666.45,P,R,,,,,,P,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"PYRITE, YELLOW FORAMS",,323-U1344A-70X-CC,3a26509bacac1c2ffd9df34db5be3088
323,U1344,A,71,X,CC,27,37,675.08,675.18,M,R,,,,,,,,,R,,,,,,,,,,,,R,,,,,P,,,,,,,,,,,,,,"PYRITE, MICA",,323-U1344A-71X-CC,485221a1c03245a2dab89020c3630536
323,U1344,A,72,X,CC,23,33,683.45,683.55,M,R,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,"PYRITE, MICA",,323-U1344A-72X-CC,a01749b66973f9ef93f9443305b813aa
323,U1344,A,73,X,CC,45,55,694.6,694.7,M,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,"PYRITE, YELLOW FORAMS, VERY HARD LITHIFIED SEDIMENT LUMPS",,323-U1344A-73X-CC,0d09904226f71c67936fbaebfa5c7bcc
323,U1344,A,74,X,CC,23,33,703.59,703.69,G,A,,,,,,,,,A,,,,,,,,,P,,,,,,,,P,P,,,,,,,,,,,,,"PYRITE, MICA",,323-U1344A-74X-CC,628d731b3bd6bb277f7f1625539adf2e
323,U1344,A,75,X,CC,32,42,713.25,713.35,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"PYRITE, MICA. VERY HARD LITHIFIED SEDIMENT LUMPS",,323-U1344A-75X-CC,73723994944534181bbcf0984c0ea6b5
323,U1344,A,76,X,CC,23,33,723.01,723.11,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"PYRITE, MICA. VERY HARD LITHIFIED SEDIMENT LUMPS",,323-U1344A-76X-CC,f77c1356e4d0971ebb6544debd7271bb
323,U1344,A,77,X,CC,36,46,733.03,733.13,M,F,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"PYRITE, MICA",,323-U1344A-77X-CC,9c7a369a9e9bae34b5b093ff3f286016
323,U1344,A,78,X,CC,10,20,739.65,739.75,M,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,"PYRITE, MICA",,323-U1344A-78X-CC,fa3456ad01eeb772274bd652bf0ab326
323,U1344,A,79,X,CC,21,31,746.49,746.59,M,R,,,,,,,,,R,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"PYRITE, MICA. VERY HARD LITHIFIED SEDIMENT LUMPS",,323-U1344A-79X-CC,14a0f2e4645537ba8a06683c4d6ab303
