Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Pseudoemiliania lacunosa,Discoaster brouweri,Coccolithus pelagicus,Calcidiscus leptoporus,Helicosphaera sellii,Calcidiscus macintyrei (>11 um),Helicosphaera carteri,Gephyrocapsa oceanica s.l.,Gephyrocapsa (small),Gephyrocapsa sp. 3,Emiliania huxleyi,Comment
  IR,                 ,                 ,CN14a             ,              ,167,1018,C, 10,H,CC,  19.00,     89.1300,Fornaciari,Nannofossils                                 ,R/F            ,P                 ,R                       ,                   ,C                    ,R                     ,                    ,                               ,                     ,R                         ,                    ,                  ,                 ,from IR. Ch 12. Table 5.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN14a             ,              ,167,1018,C, 11,X,CC,  18.00,     96.5700,Fornaciari,Nannofossils                                 ,C              ,M/G               ,F                       ,                   ,F                    ,                      ,                    ,                               ,                     ,RR                        ,D                   ,                  ,                 ,from IR. Ch 12. Table 5.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN14a             ,              ,167,1018,C, 12,X,CC,  11.00,    107.1100,Fornaciari,Nannofossils                                 ,C/A            ,M/G               ,C                       ,                   ,                     ,R                     ,                    ,                               ,R                    ,+                         ,D                   ,                  ,                 ,from IR. Ch 12. Table 5.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN13b             ,              ,167,1018,C, 15,X,CC,  17.00,    136.8500,Fornaciari,Nannofossils                                 ,A              ,M                 ,C                       ,                   ,                     ,R                     ,                    ,                               ,                     ,                          ,+                   ,                  ,                 ,questionable zonal assignment. from IR. Ch 12. Table 5.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,167,1018,C, 18,X,CC,  24.00,    166.1200,Fornaciari,Nannofossils                                 ,RR             ,P                 ,+                       ,                   ,                     ,                      ,                    ,                               ,                     ,                          ,                    ,                  ,                 ,from IR. Ch 12. Table 5.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN13b             ,              ,167,1018,C, 20,X,CC,  32.00,    185.4300,Fornaciari,Nannofossils                                 ,R              ,P                 ,R                       ,                   ,                     ,+                     ,                    ,                               ,                     ,+                         ,                    ,                  ,                 ,from IR. Ch 12. Table 5.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN13b             ,              ,167,1018,C, 22,X,CC,  30.00,    204.5800,Fornaciari,Nannofossils                                 ,R              ,P                 ,+                       ,                   ,                     ,R                     ,                    ,                               ,                     ,+                         ,                    ,                  ,                 ,from IR. Ch 12. Table 5.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,167,1018,C, 23,X,CC,  39.00,    214.2100,Fornaciari,Nannofossils                                 ,RR             ,P                 ,R                       ,                   ,                     ,R                     ,                    ,                               ,                     ,                          ,                    ,                  ,                 ,from IR. Ch 12. Table 5.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN13a             ,              ,167,1018,C, 24,X,CC,  28.00,    223.8500,Fornaciari,Nannofossils                                 ,F              ,P/M               ,R                       ,                   ,                     ,C                     ,R/F                 ,                               ,R                    ,                          ,                    ,                  ,                 ,from IR. Ch 12. Table 5.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN13a             ,              ,167,1018,C, 25,X,CC,  22.00,    233.2700,Fornaciari,Nannofossils                                 ,C/A            ,M                 ,                        ,                   ,F                    ,R/F                   ,F                   ,R                              ,                     ,                          ,                    ,                  ,                 ,from IR. Ch 12. Table 5.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN12d             ,              ,167,1018,C, 27,X,CC,  32.00,    252.8000,Fornaciari,Nannofossils                                 ,C              ,M/G               ,R/F                     ,RR                 ,F                    ,R                     ,F                   ,C                              ,                     ,                          ,                    ,                  ,                 ,questionable zonal assignment. from IR. Ch 12. Table 5.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN12d             ,              ,167,1018,C, 28,X,CC,  26.00,    262.3000,Fornaciari,Nannofossils                                 ,A              ,G                 ,C                       ,R                  ,C                    ,C                     ,                    ,                               ,                     ,                          ,                    ,                  ,                 ,from IR. Ch 12. Table 5.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
