Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Ceratolithus cristatus,Amaurolithus delicatus,Sphenolithus moriformis,Sphenolithus heteromorphus,Reticulofenestra sp. (<5 microns),Helicosphaera kamptneri,Discoaster sp.,Discoaster deflandrei,Cyclicargolithus floridanus,Cyclicargolithus abisectus,Coccolithus pelagicus,Helicosphaera euphratis,Pontosphaera sp.,Reticulofenestra sp.,Discoaster variabilis,Calcidiscus leptoporus,Sphenolithus sp.,Discoaster lenticularis,Discoaster challengeri,Discoaster aulakos,Dictyococcites sp.,Sphenolithus abies/neoabies,Discoaster quinqueramus,Discoaster pentaradiatus,Triquetrorhabdulus rugosus,Helicosphaera sp.,Discoaster triradiatus,Discoaster surculus,Discoaster sp. (6-rayed),Discoaster intercalaris,Discoaster berggrenii,Calcidiscus macintyrei,Amaurolithus sp.,Discoaster neorectus,Semihololithus sp. ,Hayaster perplexus,Amaurolithus tricorniculatus,Discoaster sp. (9-rayed),Discoaster calcaris,Scyphosphaera sp.,Reticulofenestra pseudoumbilica (>7microns),Pontosphaera sp (large),Discoaster brouweri,Ceratolithus sp.,Pseudoemiliania lacunosa,Dictyococcites bisectus,Rhabdosphaera sp.,Syracosphaera pulchra,Rhabdosphaera clavigera,Discoaster sp. (5-rayed),Discoaster tamalis,Oolithotus fragilis,Umbilicosphaera mirabilis,Pontosphaera discopora,Gephyrocapsa spp. small (<3.5 microns),Pontosphaera japonica,Gephyrocapsa oceanica (4-5.5 microns)  ,Coccolithus sp.,Micrantholithus sp.,Scapholithus fossilis,Reticulofenestra sp. (5-7 microns),Helicosphaera inversa,Ceratolithus rugosus,Helicosphaera sellii,Pontosphaera multipora,Ceratolithus acutus,Ceratolithus telesmus,Ceratolithus simplex,Catinaster umbrellus,Gephyrocapsa spp. large (>5.5 microns),Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Pleistocene,                 ,CN14b             ,              ,134, 832,B, 20,R, 1,  56.00,    328.2600,Staerker ,Nannofossils                                 ,R              ,E                 ,R                     ,                      ,                       ,                          ,                                 ,C                      ,rC            ,                     ,                           ,                          ,S                    ,                       ,R               ,                    ,                     ,C                     ,                ,                       ,                      ,                  ,                  ,rS                         ,rR                     ,rR                      ,                          ,                 ,                      ,                   ,                        ,                       ,                     ,rR                    ,                ,                    ,                   ,                  ,                            ,                        ,                   ,                 ,                                           ,                       ,rS                 ,R               ,rC                      ,                       ,                 ,C                    ,S                      ,                        ,                  ,                   ,C                        ,R                     ,C                                     ,R                    ,S                                      ,               ,                   ,R                    ,                                  ,                     ,                    ,                    ,                      ,                   ,                     ,                    ,                    ,R                                     ,from ODP Leg 134 SR Chapter 10 Table 7 pp 212-215
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Pleistocene,                 ,CN14b             ,              ,134, 832,B, 23,R, 1,  40.00,    357.0000,Staerker ,Nannofossils                                 ,R              ,E                 ,                      ,                      ,                       ,                          ,                                 ,C                      ,rR            ,                     ,                           ,                          ,R                    ,                       ,S               ,                    ,                     ,C                     ,                ,                       ,                      ,                  ,C                 ,rS                         ,rR                     ,rR                      ,                          ,                 ,                      ,                   ,                        ,                       ,                     ,                      ,                ,                    ,                   ,                  ,                            ,                        ,                   ,                 ,                                           ,                       ,                   ,                ,rS                      ,                       ,                 ,C                    ,A                      ,                        ,                  ,R                  ,C                        ,R                     ,V                                     ,R                    ,S                                      ,               ,                   ,                     ,                                  ,                     ,                    ,                    ,R                     ,                   ,                     ,                    ,                    ,                                      ,from ODP Leg 134 SR Chapter 10 Table 7 pp 212-215
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pleistocene,                 ,CN14a             ,              ,134, 832,B, 26,R, 1,  46.00,    386.0600,Staerker ,Nannofossils                                 ,R              ,G                 ,                      ,                      ,                       ,                          ,C                                ,A                      ,              ,                     ,                           ,                          ,                     ,                       ,R               ,                    ,                     ,C                     ,                ,                       ,                      ,                  ,                  ,                           ,                       ,                        ,                          ,                 ,                      ,                   ,                        ,                       ,                     ,rC                    ,                ,                    ,                   ,                  ,                            ,                        ,                   ,                 ,                                           ,                       ,rR                 ,S               ,A                       ,                       ,                 ,S                    ,A                      ,                        ,                  ,                   ,C                        ,                      ,C                                     ,                     ,                                       ,               ,                   ,S                    ,rS                                ,                     ,                    ,                    ,                      ,                   ,                     ,                    ,                    ,                                      ,from ODP Leg 134 SR Chapter 10 Table 7 pp 212-215
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pleistocene,                 ,CN14a             ,              ,134, 832,B, 27,R, 2,  26.00,    397.0600,Staerker ,Nannofossils                                 ,R              ,F                 ,                      ,                      ,                       ,                          ,S                                ,C                      ,rS            ,                     ,                           ,                          ,S                    ,                       ,S               ,                    ,                     ,C                     ,                ,                       ,                      ,                  ,S                 ,rS                         ,                       ,                        ,                          ,                 ,                      ,                   ,                        ,                       ,                     ,rS                    ,                ,                    ,                   ,                  ,                            ,                        ,                   ,R                ,                                           ,                       ,                   ,                ,C                       ,                       ,                 ,S                    ,                       ,                        ,                  ,                   ,S                        ,                      ,                                      ,R                    ,R                                      ,               ,                   ,S                    ,                                  ,                     ,                    ,                    ,                      ,                   ,                     ,                    ,                    ,                                      ,from ODP Leg 134 SR Chapter 10 Table 7 pp 212-215
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pleistocene,                 ,CN14a             ,              ,134, 832,B, 28,R, 5,  70.00,    411.5700,Staerker ,Nannofossils                                 ,S              ,G                 ,                      ,                      ,                       ,                          ,C                                ,C                      ,rS            ,                     ,                           ,                          ,                     ,                       ,R               ,                    ,                     ,C                     ,                ,                       ,                      ,                  ,A                 ,                           ,                       ,rR                      ,                          ,                 ,                      ,rR                 ,                        ,                       ,                     ,                      ,                ,                    ,                   ,R                 ,                            ,                        ,                   ,                 ,                                           ,                       ,                   ,R               ,C                       ,                       ,                 ,C                    ,A                      ,                        ,                  ,                   ,C                        ,                      ,V                                     ,                     ,A                                      ,               ,                   ,                     ,rR                                ,                     ,R                   ,                    ,                      ,rR                 ,                     ,                    ,                    ,S                                     ,from ODP Leg 134 SR Chapter 10 Table 7 pp 212-215
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
