Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Amaurolithus spp.,Reticulofenestra pseudoumbilicus,Discoaster pentaradiatus,Sphenolithus spp.,Calcidiscus macintyrei (>11 um),Amaurolithus primus,Discoaster brouweri,Discoaster surculus,Pseudoemiliania lacunosa,Ceratolithus acutus,Helicosphaera sellii,Discoaster tamalis,Ceratolithus spp.,Helicosphaera carteri,Discoaster asymmetricus,Coccolithus pelagicus,Calcidiscus leptoporus,Gephyrocapsa oceanica s.l.,Gephyrocapsa (small),Ceratolithus telesmus,Gephyrocapsa sp. 3,Emiliania huxleyi,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN14b             ,CN15          ,167,1016,A,  3,H, 3,  95.00,     21.0500,Fornaciari,Nannofossils                                 ,A              ,G                 ,                 ,                                ,                        ,                 ,                               ,                   ,                   ,                   ,                        ,                   ,                    ,                  ,                 ,C                    ,                       ,                     ,                      ,                          ,A                   ,R                    ,                  ,                 ,from IR. Ch 10. Table 5.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN14b             ,CN15          ,167,1016,A,  3,H, 4, 118.00,     22.7800,Fornaciari,Nannofossils                                 ,A              ,G                 ,                 ,                                ,                        ,                 ,                               ,                   ,                   ,                   ,                        ,                   ,                    ,                  ,                 ,                     ,                       ,                     ,                      ,+                         ,C                   ,                     ,                  ,                 ,from IR. Ch 10. Table 5.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN14a             ,              ,167,1016,A,  3,H, 5, 118.00,     24.2800,Fornaciari,Nannofossils                                 ,A              ,G                 ,                 ,                                ,                        ,                 ,                               ,                   ,                   ,                   ,R                       ,                   ,                    ,                  ,                 ,R                    ,                       ,                     ,F                     ,C                         ,                    ,                     ,                  ,                 ,from IR. Ch 10. Table 5.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN14a             ,              ,167,1016,A,  3,H, 6,  40.00,     25.0000,Fornaciari,Nannofossils                                 ,C/A            ,M                 ,                 ,                                ,                        ,                 ,                               ,                   ,                   ,                   ,C                       ,                   ,                    ,                  ,                 ,                     ,                       ,                     ,                      ,                          ,                    ,                     ,                  ,                 ,from IR. Ch 10. Table 5.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN14a             ,              ,167,1016,A,  3,H, 7,  40.00,     26.5000,Fornaciari,Nannofossils                                 ,A              ,M/G               ,                 ,                                ,                        ,                 ,                               ,                   ,                   ,                   ,+                       ,                   ,                    ,                  ,                 ,                     ,                       ,                     ,                      ,+                         ,C                   ,                     ,                  ,                 ,from IR. Ch 10. Table 5.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN14a             ,              ,167,1016,A,  3,H,CC,  22.00,     26.9900,Fornaciari,Nannofossils                                 ,A              ,G                 ,                 ,                                ,                        ,                 ,                               ,                   ,                   ,                   ,R/F                     ,                   ,                    ,                  ,                 ,                     ,                       ,                     ,R                     ,+                         ,A                   ,                     ,                  ,                 ,from IR. Ch 10. Table 5.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN13b             ,              ,167,1016,A,  5,H,CC,  29.00,     45.7500,Fornaciari,Nannofossils                                 ,C              ,M                 ,                 ,                                ,                        ,                 ,                               ,                   ,                   ,                   ,A                       ,                   ,                    ,                  ,                 ,R                    ,                       ,C                    ,+                     ,                          ,+                   ,                     ,                  ,                 ,from IR. Ch 10. Table 5.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN13b             ,              ,167,1016,A,  6,H,CC,  23.00,     55.4800,Fornaciari,Nannofossils                                 ,C              ,M                 ,                 ,                                ,                        ,                 ,                               ,                   ,                   ,                   ,C                       ,                   ,R                   ,                  ,                 ,R                    ,                       ,                     ,C                     ,+                         ,                    ,                     ,                  ,                 ,from IR. Ch 10. Table 5.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN12d             ,CN13a         ,167,1016,A,  8,H,CC,  34.00,     74.6900,Fornaciari,Nannofossils                                 ,F/C            ,P                 ,                 ,                                ,                        ,                 ,+                              ,                   ,RR                 ,                   ,R                       ,                   ,                    ,                  ,                 ,R                    ,                       ,                     ,+                     ,                          ,                    ,                     ,                  ,                 ,from IR. Ch 10. Table 5.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN12d             ,              ,167,1016,A,  9,H,CC,  28.00,     84.1600,Fornaciari,Nannofossils                                 ,F/C            ,P                 ,                 ,                                ,                        ,                 ,+                              ,                   ,R                  ,                   ,+                       ,                   ,                    ,                  ,                 ,R                    ,                       ,                     ,+                     ,                          ,                    ,                     ,                  ,                 ,from IR. Ch 10. Table 5.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN12d             ,              ,167,1016,A, 10,H,CC,  24.00,     93.6400,Fornaciari,Nannofossils                                 ,A              ,G                 ,                 ,                                ,                        ,                 ,                               ,                   ,F                  ,                   ,C                       ,                   ,+                   ,                  ,R                ,                     ,                       ,                     ,                      ,                          ,                    ,                     ,                  ,                 ,from IR. Ch 10. Table 5.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN12              ,              ,167,1016,A, 11,X,CC,  19.00,     95.8800,Fornaciari,Nannofossils                                 ,R/F            ,P                 ,                 ,                                ,                        ,                 ,                               ,                   ,                   ,                   ,+                       ,                   ,                    ,                  ,                 ,R                    ,                       ,                     ,                      ,                          ,                    ,                     ,                  ,                 ,from IR. Ch 10. Table 5.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN12b             ,              ,167,1016,A, 12,X,CC,  30.00,    105.3900,Fornaciari,Nannofossils                                 ,F              ,P                 ,                 ,                                ,+                       ,                 ,                               ,                   ,                   ,+                  ,C                       ,                   ,                    ,                  ,                 ,                     ,                       ,                     ,                      ,                          ,                    ,                     ,                  ,                 ,from IR. Ch 10. Table 5.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN12b             ,              ,167,1016,A, 13,X,CC,  12.00,    115.6400,Fornaciari,Nannofossils                                 ,A              ,G                 ,                 ,                                ,F                       ,                 ,C                              ,                   ,                   ,C                  ,                        ,                   ,                    ,                  ,F                ,                     ,                       ,                     ,                      ,                          ,                    ,                     ,                  ,                 ,from IR. Ch 10. Table 5.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN12a             ,              ,167,1016,A, 14,X,CC,  28.00,    125.3000,Fornaciari,Nannofossils                                 ,C/A            ,G                 ,                 ,                                ,C                       ,                 ,+                              ,                   ,                   ,+                  ,C                       ,                   ,                    ,C                 ,                 ,                     ,                       ,                     ,                      ,                          ,                    ,                     ,                  ,                 ,from IR. Ch 10. Table 5.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN12a             ,              ,167,1016,A, 15,X,CC,  13.00,    134.7300,Fornaciari,Nannofossils                                 ,A              ,M/G               ,                 ,                                ,C                       ,                 ,C                              ,                   ,                   ,C                  ,                        ,                   ,                    ,                  ,                 ,                     ,                       ,C                    ,                      ,                          ,                    ,                     ,                  ,                 ,from IR. Ch 10. Table 5.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN12a             ,              ,167,1016,A, 16,X,CC,  20.00,    144.4900,Fornaciari,Nannofossils                                 ,A              ,G                 ,                 ,                                ,                        ,                 ,C                              ,                   ,R                  ,R                  ,R                       ,                   ,                    ,F                 ,                 ,                     ,                       ,                     ,R                     ,                          ,                    ,                     ,                  ,                 ,from IR. Ch 10. Table 5.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN12a             ,              ,167,1016,A, 17,X, 4,  41.00,    149.3100,Fornaciari,Nannofossils                                 ,A              ,G                 ,                 ,                                ,R                       ,+                ,C                              ,                   ,C                  ,R                  ,C                       ,                   ,                    ,F                 ,                 ,                     ,                       ,+                    ,                      ,                          ,                    ,                     ,                  ,                 ,from IR. Ch 10. Table 5.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN12a             ,              ,167,1016,A, 17,X,CC,  16.00,    154.0000,Fornaciari,Nannofossils                                 ,R              ,P                 ,                 ,                                ,                        ,+                ,                               ,                   ,                   ,                   ,                        ,                   ,                    ,+                 ,                 ,                     ,+                      ,                     ,                      ,                          ,                    ,                     ,                  ,                 ,from IR. Ch 10. Table 5.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN12a             ,              ,167,1016,A, 18,X, 1,  45.00,    154.4500,Fornaciari,Nannofossils                                 ,A              ,G                 ,                 ,                                ,                        ,                 ,+                              ,                   ,                   ,                   ,                        ,                   ,                    ,                  ,                 ,                     ,                       ,                     ,                      ,                          ,                    ,                     ,                  ,                 ,from IR. Ch 10. Table 5.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN10b             ,CN12a         ,167,1016,A, 18,X, 2,  45.00,    155.9500,Fornaciari,Nannofossils                                 ,A              ,G                 ,+                ,R/F                             ,                        ,                 ,                               ,                   ,                   ,                   ,R                       ,                   ,F                   ,                  ,F                ,R                    ,                       ,                     ,                      ,                          ,                    ,                     ,                  ,                 ,from IR. Ch 10. Table 5.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN10b             ,CN11          ,167,1016,A, 18,X, 3,  45.00,    157.4500,Fornaciari,Nannofossils                                 ,A              ,G                 ,                 ,+                               ,                        ,                 ,                               ,                   ,                   ,                   ,                        ,                   ,                    ,                  ,                 ,                     ,                       ,                     ,                      ,                          ,                    ,                     ,                  ,                 ,from IR. Ch 10. Table 5.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN10b             ,CN11          ,167,1016,A, 18,X, 4,  44.00,    158.9400,Fornaciari,Nannofossils                                 ,A              ,G                 ,                 ,                                ,C                       ,                 ,                               ,                   ,                   ,+                  ,+                       ,                   ,C                   ,+                 ,+                ,                     ,                       ,                     ,                      ,                          ,                    ,                     ,                  ,                 ,from IR. Ch 10. Table 5.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN10b             ,CN11          ,167,1016,A, 18,X, 5,  45.00,    160.4500,Fornaciari,Nannofossils                                 ,A              ,G                 ,+                ,+                               ,                        ,                 ,                               ,                   ,                   ,                   ,R                       ,+                  ,C                   ,                  ,                 ,                     ,                       ,                     ,                      ,                          ,                    ,                     ,                  ,                 ,from IR. Ch 10. Table 5.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN10b             ,CN11          ,167,1016,A, 18,X, 6,  50.00,    162.0000,Fornaciari,Nannofossils                                 ,F              ,P                 ,+                ,C                               ,C                       ,                 ,                               ,                   ,                   ,                   ,R                       ,R                  ,                    ,                  ,                 ,                     ,                       ,                     ,                      ,                          ,                    ,                     ,                  ,                 ,from IR. Ch 10. Table 5.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN9               ,CN10a         ,167,1016,A, 18,X, 7,  42.00,    163.4200,Fornaciari,Nannofossils                                 ,C              ,P/M               ,C                ,A                               ,                        ,                 ,                               ,                   ,                   ,                   ,                        ,                   ,                    ,                  ,                 ,                     ,                       ,                     ,                      ,                          ,                    ,                     ,                  ,                 ,from IR. Ch 10. Table 5.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN9               ,CN10a         ,167,1016,A, 18,X,CC,  17.00,    163.6500,Fornaciari,Nannofossils                                 ,R/F            ,P                 ,R                ,F                               ,+                       ,                 ,+                              ,                   ,                   ,                   ,R                       ,                   ,                    ,                  ,                 ,                     ,                       ,                     ,                      ,                          ,                    ,                     ,                  ,                 ,from IR. Ch 10. Table 5.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN9               ,CN10a         ,167,1016,A, 19,X, 1,  63.00,    164.2300,Fornaciari,Nannofossils                                 ,A              ,G                 ,F                ,A                               ,                        ,                 ,C                              ,                   ,                   ,                   ,                        ,                   ,                    ,                  ,                 ,                     ,                       ,                     ,                      ,                          ,                    ,                     ,                  ,                 ,from IR. Ch 10. Table 5.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN9               ,CN10a         ,167,1016,A, 19,X, 2,  53.00,    165.6300,Fornaciari,Nannofossils                                 ,A              ,G                 ,+                ,A                               ,+                       ,                 ,C                              ,R                  ,                   ,                   ,                        ,                   ,                    ,                  ,                 ,                     ,                       ,                     ,                      ,                          ,                    ,                     ,                  ,                 ,from IR. Ch 10. Table 5.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN9               ,CN10a         ,167,1016,A, 19,X, 3,  48.00,    167.0800,Fornaciari,Nannofossils                                 ,R              ,P                 ,                 ,+                               ,                        ,                 ,                               ,                   ,                   ,                   ,                        ,                   ,                    ,                  ,                 ,                     ,                       ,                     ,                      ,                          ,                    ,                     ,                  ,                 ,from IR. Ch 10. Table 5.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN9               ,CN10a         ,167,1016,A, 19,X,CC,  25.00,    173.2100,Fornaciari,Nannofossils                                 ,A              ,M                 ,+                ,C                               ,+                       ,                 ,+                              ,R                  ,C                  ,+                  ,                        ,                   ,                    ,                  ,                 ,                     ,                       ,                     ,                      ,                          ,                    ,                     ,                  ,                 ,from IR. Ch 10. Table 5.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN9               ,CN10a         ,167,1016,A, 20,X,CC,  20.00,    182.8900,Fornaciari,Nannofossils                                 ,C              ,P                 ,R                ,R                               ,+                       ,                 ,                               ,R                  ,+                  ,                   ,                        ,                   ,                    ,                  ,                 ,                     ,                       ,                     ,                      ,                          ,                    ,                     ,                  ,                 ,from IR. Ch 10. Table 5.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN9               ,CN10a         ,167,1016,A, 21,X,CC,  16.00,    192.4500,Fornaciari,Nannofossils                                 ,F              ,M                 ,F                ,R                               ,                        ,R                ,R                              ,R                  ,                   ,                   ,                        ,                   ,                    ,                  ,                 ,                     ,                       ,                     ,                      ,                          ,                    ,                     ,                  ,                 ,from IR. Ch 10. Table 5.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN9               ,CN10a         ,167,1016,A, 22,X,CC,  18.00,    202.1400,Fornaciari,Nannofossils                                 ,C              ,G                 ,R                ,C                               ,                        ,                 ,                               ,                   ,                   ,                   ,                        ,                   ,                    ,                  ,                 ,                     ,                       ,                     ,                      ,                          ,                    ,                     ,                  ,                 ,from IR. Ch 10. Table 5.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN9               ,CN10a         ,167,1016,A, 27,X,CC,  34.00,    250.4100,Fornaciari,Nannofossils                                 ,F              ,P                 ,                 ,C                               ,+                       ,                 ,                               ,                   ,                   ,                   ,                        ,                   ,                    ,                  ,                 ,                     ,                       ,                     ,                      ,                          ,                    ,                     ,                  ,                 ,from IR. Ch 10. Table 5.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN9               ,CN10a         ,167,1016,A, 28,X,CC,  31.00,    259.9900,Fornaciari,Nannofossils                                 ,RR             ,P                 ,                 ,+                               ,                        ,                 ,                               ,                   ,                   ,                   ,                        ,                   ,                    ,                  ,                 ,                     ,                       ,                     ,                      ,                          ,                    ,                     ,                  ,                 ,from IR. Ch 10. Table 5.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN9               ,CN10a         ,167,1016,A, 29,X,CC,  35.00,    269.5800,Fornaciari,Nannofossils                                 ,R/F            ,P                 ,R                ,R                               ,R                       ,                 ,                               ,                   ,                   ,                   ,                        ,                   ,                    ,                  ,                 ,                     ,                       ,                     ,                      ,                          ,                    ,                     ,                  ,                 ,from IR. Ch 10. Table 5.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN9               ,CN10a         ,167,1016,A, 30,X,CC,  34.00,    278.8900,Fornaciari,Nannofossils                                 ,RR             ,P                 ,                 ,+                               ,                        ,                 ,                               ,                   ,                   ,                   ,                        ,                   ,                    ,                  ,                 ,                     ,                       ,                     ,                      ,                          ,                    ,                     ,                  ,                 ,from IR. Ch 10. Table 5.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN9               ,CN10a         ,167,1016,A, 35,X,CC,  15.00,    311.3800,Fornaciari,Nannofossils                                 ,RR             ,P                 ,+                ,                                ,                        ,                 ,                               ,                   ,                   ,                   ,                        ,                   ,                    ,                  ,                 ,                     ,                       ,                     ,                      ,                          ,                    ,                     ,                  ,                 ,from IR. Ch 10. Table 5.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
